StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
90840	2020-02-05T19:29:12.873	Medium	620000	720000	820000	500	0.0349	Unknown	Unknown
90841	2020-02-05T19:29:12.873	Medium	670000	785000	900000	490	0.0328	Unknown	Unknown
90842	2020-02-05T19:29:12.873	High	620000	725000	830000	490	0.0328	Unknown	Unknown
90843	2020-02-05T19:29:12.873	High	625000	730000	835000	500	0.0349	Unknown	Unknown
90844	2020-02-05T19:29:12.873	High	600000	700000	800000	500	0.0349	Unknown	Unknown
90845	2020-02-05T19:29:12.873	High	730000	855000	980000			Unknown	Unknown
90846	2020-02-05T19:29:12.873	High	615000	715000	815000	500	0.0349	Unknown	Unknown
90847	2020-02-05T19:29:12.873	High	610000	710000	810000	500	0.0349	Unknown	Unknown
90848	2020-02-05T19:29:12.873	High	760000	890000	1020000			Unknown	Unknown
90849	2020-02-05T19:29:12.873	Medium	660000	765000	870000	490	0.0328	Unknown	Unknown
90850	2020-02-05T19:29:12.873	High	600000	700000	800000	500	0.0349	Unknown	Unknown
90851	2020-02-05T19:29:12.873	Medium	660000	765000	870000	490	0.0328	Unknown	Unknown
90852	2020-02-05T19:29:12.873	Medium	650000	755000	860000	490	0.0328	Unknown	Unknown
90853	2020-02-05T19:29:12.873	High	690000	800000	910000	500	0.0349	Unknown	Unknown
90854	2020-02-05T19:29:12.873	Medium	660000	775000	890000	490	0.0328	Unknown	Unknown
90855	2020-02-05T19:29:12.873	Medium	720000	845000	970000	490	0.0328	Unknown	Unknown
90856	2020-02-05T19:29:12.873	High	640000	745000	850000	500	0.0349	Unknown	Unknown
90857	2020-02-05T19:29:12.873	High	930000	1070000	1210000			Unknown	Unknown
90858	2020-02-05T19:29:12.873	Medium	650000	755000	860000	490	0.0328	Unknown	Unknown
90859	2020-02-05T19:29:12.873	Medium	670000	785000	900000	490	0.0328	Unknown	Unknown
90860	2020-02-05T19:29:12.873	High	745000	865000	985000	490	0.0328	Unknown	Unknown
90861	2020-02-05T19:29:12.873	High	745000	865000	985000	490	0.0328	Unknown	Unknown
90862	2020-02-05T19:29:12.873	High	685000	800000	915000	490	0.0328	Unknown	Unknown
90863	2020-02-05T19:29:12.873	High	800000	930000	1060000			Unknown	Unknown
90864	2020-02-05T19:29:12.873	High	655000	770000	885000	490	0.0328	Unknown	Unknown
90865	2020-02-05T19:29:12.873	High	725000	845000	965000	490	0.0328	Unknown	Unknown
90866	2020-02-05T19:29:12.873	High	655000	770000	885000	490	0.0328	Unknown	Unknown
90867	2020-02-05T19:29:12.873	High	730000	855000	980000			Unknown	Unknown
90868	2020-02-05T19:29:12.873	High	655000	760000	865000	490	0.0328	Unknown	Unknown
90869	2020-02-05T19:29:12.873	High	710000	830000	950000			Unknown	Unknown
90870	2020-02-05T19:29:12.873	High	655000	770000	885000	490	0.0328	Unknown	Unknown
90871	2020-02-05T19:29:12.873	High	705000	820000	935000	490	0.0328	Unknown	Unknown
90872	2020-02-05T19:29:12.873	Medium	700000	810000	920000	500	0.0349	Unknown	Unknown
90873	2020-01-29T09:57:42.103	High	655000	760000	865000	500	0.0349	Unknown	Unknown
90874	2020-02-05T19:29:12.873	High	725000	850000	975000			Unknown	Unknown
90875	2020-02-05T19:29:12.873	High	685000	800000	915000	490	0.0328	Unknown	Unknown
90876	2020-02-05T19:29:12.873	High	645000	750000	855000	490	0.0328	Unknown	Unknown
90877	2020-02-05T19:29:12.873	High	680000	790000	900000	500	0.0349	Unknown	Unknown
90878	2020-02-05T19:29:12.873	High	650000	755000	860000	490	0.0328	Unknown	Unknown
90879								Unknown	Unknown
90880	2020-02-05T19:29:12.873	High	745000	865000	985000			Unknown	Unknown
90881	2020-02-05T19:29:12.873	High	665000	775000	885000	500	0.0349	Unknown	Unknown
90882	2020-02-05T19:29:12.873	High	655000	760000	865000	490	0.0328	Unknown	Unknown
90883	2020-02-05T19:29:12.873	High	630000	740000	850000	500	0.0349	Unknown	Unknown
90884	2020-02-05T19:29:12.873	High	710000	825000	940000			Unknown	Unknown
90885	2020-02-05T19:29:12.873	High	645000	750000	855000	490	0.0328	Unknown	Unknown
90886	2020-02-05T19:29:12.873	High	655000	770000	885000	490	0.0328	Unknown	Unknown
90887	2020-02-05T19:29:12.873	High	635000	740000	845000	490	0.0328	Unknown	Unknown
90888	2020-02-05T19:29:12.873	High	630000	740000	850000	500	0.0349	Unknown	Unknown
90889	2020-02-05T19:29:12.873	High	635000	740000	845000	490	0.0328	Unknown	Unknown
90890	2020-02-05T19:29:12.873	High	675000	790000	905000	490	0.0328	Unknown	Unknown
90891	2020-02-05T19:29:12.873	High	660000	760000	860000	490	0.0328	Unknown	Unknown
90892	2020-02-05T19:29:12.873	High	630000	740000	850000	500	0.0349	Unknown	Unknown
90893	2020-02-05T19:29:12.873	High	750000	880000	1010000	500	0.0349	Unknown	Unknown
90894	2020-02-05T19:29:12.873	High	645000	755000	865000	490	0.0328	Unknown	Unknown
90895	2020-02-05T19:29:12.873	High	630000	740000	850000	500	0.0349	Unknown	Unknown
90896	2020-02-05T19:29:12.873	High	630000	740000	850000	500	0.0349	Unknown	Unknown
90897	2020-02-12T17:27:27.64	Medium	680000	790000	900000	490	0.0328	Unknown	Unknown
90898	2020-02-05T19:29:12.873	High	695000	810000	925000	490	0.0328	Unknown	Unknown
90899	2020-02-05T19:29:12.873	High	675000	790000	905000			Unknown	Unknown
90900	2020-02-05T19:29:12.873	High	430000	500000	570000	430	0.0377	Unknown	Unknown
90901	2020-02-05T19:29:12.873	High	415000	480000	545000	430	0.0377	Unknown	Unknown
90902	2020-02-05T19:29:12.873	High	595000	695000	795000	500	0.0349	Unknown	Unknown
90903	2020-02-05T19:29:12.873	High	615000	720000	825000	490	0.0328	Unknown	Unknown
90904	2020-02-05T19:29:12.873	High	610000	700000	790000	500	0.0349	Unknown	Unknown
90905	2020-02-05T19:29:12.873	High	620000	725000	830000	500	0.0349	Unknown	Unknown
90906	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
90907	2019-08-27T00:00:00	RecentlySold	660000	660000	660000			Unknown	Unknown
90908	2020-02-05T19:29:12.873	High	585000	680000	775000	490	0.0328	Unknown	Unknown
90909	2020-02-05T19:29:12.873	High	575000	675000	775000	500	0.0349	Unknown	Unknown
90910	2020-02-05T19:29:12.873	High	650000	745000	840000	500	0.0349	Unknown	Unknown
90911	2020-02-05T19:29:12.873	High	650000	750000	850000			Unknown	Unknown
90912	2020-02-05T19:29:12.873	Medium	600000	700000	800000	500	0.0349	Unknown	Unknown
90913	2020-02-05T19:29:12.873	High	365000	425000	485000	425		Unknown	Unknown
90914	2020-02-05T19:29:12.873	High	415000	485000	555000	430	0.0377	Unknown	Unknown
90915	2020-02-05T19:29:12.873	High	600000	700000	800000	490	0.0328	Unknown	Unknown
