StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
92725	MY-4293-DC	455000	2003-06-10					False	False	9	67		Land	Land			820
92726	GH-8186-WG	765000	2010-05-29					False	False	17	1		House	House			1010
92727	GT-0863-YJ							False	False				House	House			
92728	NA-0843-WZ	460000	2005-01-28					False	False	18	1		House	House			804
92729	ZV-6284-PL							False	False	11	67	2	House	House	2	4	
92730	ZB-9510-JL	768000	2019-07-20					False	False	19	1	2	House	House	2	4	835
92731	GT-6221-KH							False	False				House	House			
92732	GS-3079-AM							False	False				House	House			
92733	NU-1116-JV	800000	2015-11-18					False	False	5	67		House	House		4	1075
92734	GT-1170-CE							False	False	14	67	2	House	House	2	4	854
92735	AZ-7009-KY	320000	2000-10-26					False	False	27	1		House	House			949
92736	LU-6317-DE	291000	2001-01-31					False	False	15	67		House	House			828
92737	SJ-1857-QA	623500	2008-10-11					False	False	28	1		House	House			1102
92738	JH-6072-EL	366000	2007-05-12					False	False	16	67		House	House			817
92739	OP-3886-ZM							False	False	29	1		House	House			1233
92740	GR-8789-NQ							False	False				House	House			
92741	LB-8196-CL	1085000	2015-09-19					False	False	30	1	2	House	House	2	4	1061
92742	GR-3796-UQ							False	False	18	67		House	House			793
92743	ML-0255-AE							False	False				House	House			
92744	JV-1191-SP							False	False				House	House			
92745	UK-7750-KF							False	False				House	House			
92746	JV-2070-XW							False	False				House	House			
92747	HO-7601-UV	500000	2006-02-08					False	False	41	1		House	House		4	831
92748	MI-0644-IQ							False	False				House	House			
92749	TA-1804-UO							False	False				House	House			
92750	PA-4041-QL							False	False				House	House			
92751	FK-0585-UX			LJ Hooker Belconnen	450	2015		False	False			2	House	House	2	3	
92752	JR-5065-UZ	800000	2015-09-19					False	False	23	67		House	House			900
92753	QF-2705-MV	845000	2016-03-05					False	False	44	1	3	House	House	3	4	1284
92754	JX-6870-EY	218200	1991-12-10					False	False	6	67		House	House			
92755	IT-2501-WR	1010000	2019-08-22	Rutherford Johnston Properties	795	2018	24	False	False	45	1	2	House	House	2	4	1414
92756	OO-8482-UF	165000	1996-08-06					False	False	9	1		House	House			955
92757	VR-3436-TO	825000	2015-03-30					False	False	7	67		House	House			954
92758	CH-5630-AB							False	False				House	House			
92759	TQ-0613-XT	850000	2017-09-21	Rutherford Johnston Properties	530	2015	22	False	False	3	19	2	House	House	2	4	878
92760	BG-7391-GI	210000	1994-08-16					False	False	22	21		House	House			774
92761	OK-2803-FS	200000	1998-01-16					False	False	10	20		House	House			890
92762	AM-9462-UP	610000	2009-11-11					False	False	23	21	1	House	House	2	4	766
92763	LJ-2003-VI	670000	2011-05-03					False	False	9	20		House	House		4	834
92764	BE-0905-PN							False	False	24	21		House	House			816
92765	UL-2281-YG	427000	2002-12-18					False	False	8	20	0	House	House	2	4	790
92766	UJ-0945-EU	223000	1998-05-01					False	False	25	21		House	House			827
92767	QE-0874-QY							False	False				House	House			
92768	BC-3009-YN	163000	1994-07-04					False	False	26	21	2	House	House	2	3	904
92769	JY-4440-VS	776000	2014-09-20					False	False	6	20	2	House	House	2	4	875
92770	EC-7791-SM							False	False	18	21		House	House			807
92771	NN-9124-LG	269950	2000-11-22					False	False	27	21		House	House			891
92772	OA-6802-SC	620000	2007-09-22					False	False	5	20		House	House		4	860
92773	LA-7139-HX	475000	2002-12-15					False	False	28	21		House	House		3	888
92774	AF-9589-WN	460000	2004-04-02					False	False	4	20		House	House		3	756
92775	PF-9713-RE	632000	2010-06-26	Luton Properties - Dickson	580	2015	10	True	False	29	21	2	House	House	2	4	830
92776	VK-1905-XJ	463000	2005-09-16					False	False	3	20		House	House		4	770
92777	EE-6165-EL							False	False				House	House			
92778	BS-3325-BT							False	False				House	House			
92779	WO-8209-HG	278000	2000-11-13					False	False	31	21		House	House			824
92780	BF-9987-BZ	626000	2015-04-18					False	False	1	20	2	House	House	2	3	804
92781	DZ-9517-HN	355000	2000-04-19					False	False	2	19		House	House			842
92782	EB-5558-PF							False	False				House	House			
92783	VZ-0189-IC							False	False	24	20		House	House			737
92784	PB-6377-QI	630000	2005-10-21					False	False	33	21		House	House		4	948
92785	MG-9046-KP							False	False			3	House	House	2	3	
92786	UF-2746-IR							False	False				House	House			
92787	MH-8743-DM							False	False				House	House			
92788	TB-6310-GC	205000	2000-04-11					False	False	21	20		House	House			802
92789	EF-1753-EO							False	False				House	House			
92790	FB-0941-OT							False	False				House	House			
92791	MT-0262-EG	575000	2008-10-12					False	False	19	21		House	House			869
92792	AG-1885-IQ	227500	1997-10-03					False	False	19	20		House	House			943
92793	MK-8571-QZ	800000	2015-07-02					False	False	18	20		House	House			971
92794	BG-0492-NG	875000	2015-06-18					False	False	30	19	2	House	House	2	5	970
92795	UI-0559-JG	975000	2016-12-21					False	False	17	20	2	House	House	2	4	1000
92796	FM-6608-TE	620000	2015-02-28	LJ Hooker Belconnen	470	2018	7	True	False	31	19	1	House	House	1	3	825
92797	ME-3686-EK							False	False				House	House			
92798	AB-0929-WA	800000	2018-01-29					False	False	32	19	1	House	House	2	3	825
92799	MQ-7775-TT							False	False	15	20		House	House			951
92800	BM-5152-PC	250000	1995-11-24					False	False	1	19		House	House			859
92801	HP-5474-GD	801002	2014-07-31					False	False	33	19	2	House	House	2	4	825
92802	DT-1775-VX							False	False	14	20		House	House			940
92803	IG-0239-TT	940000	2018-11-17					False	False	34	19	2	House	House	2	4	914
92804	MC-3539-XR							False	False			0	House	House	2	5	
