StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
92725								Unknown	Unknown
92726	2020-02-05T19:29:12.873	High	870000	1010000	1150000	510	0.0268	Unknown	Unknown
92727	2020-02-05T19:29:12.873	High	830000	960000	1090000	510	0.0268	Unknown	Unknown
92728	2020-02-05T19:29:12.873	Medium	800000	920000	1040000	510	0.0268	Unknown	Unknown
92729	2020-01-22T10:30:07.47	Medium	670000	780000	890000			Unknown	Unknown
92730	2020-02-05T19:29:12.873	Medium	670000	780000	890000			Unknown	Unknown
92731	2020-02-05T19:29:12.873	Medium	800000	920000	1040000	510	0.0268	Unknown	Unknown
92732	2020-02-05T19:29:12.873	High	830000	960000	1090000	510	0.0268	Unknown	Unknown
92733	2020-02-05T19:29:12.873	High	790000	920000	1050000			Unknown	Unknown
92734	2020-01-09T10:24:26.003	Demoted	710000	825000	940000			ReportedByCustomer	Unknown
92735	2020-02-05T19:29:12.873	Medium	790000	910000	1030000	510	0.0268	Unknown	Unknown
92736	2020-02-05T19:29:12.873	High	830000	960000	1090000	510	0.0268	Unknown	Unknown
92737	2020-02-05T19:29:12.873	High	830000	960000	1090000	510	0.0268	Unknown	Unknown
92738	2020-01-09T10:24:26.003	High	830000	960000	1090000	510	0.0268	Unknown	Unknown
92739	2020-02-05T19:29:12.873	High	830000	960000	1090000	510	0.0268	Unknown	Unknown
92740	2020-02-05T19:29:12.873	High	860000	990000	1120000	510	0.0268	Unknown	Unknown
92741	2020-02-05T19:29:12.873	High	770000	890000	1010000			Unknown	Unknown
92742	2020-02-05T19:29:12.873	High	840000	970000	1100000	510	0.0268	Unknown	Unknown
92743	2020-02-05T19:29:12.873	High	840000	970000	1100000	510	0.0268	Unknown	Unknown
92744	2020-02-05T19:29:12.873	High	810000	950000	1090000	510	0.0268	Unknown	Unknown
92745	2020-01-09T10:24:26.003	High	830000	960000	1090000	510	0.0268	Unknown	Unknown
92746	2020-02-05T19:29:12.873	High	840000	980000	1120000	510	0.0268	Unknown	Unknown
92747	2020-02-05T19:29:12.873	High	760000	880000	1000000			Unknown	Unknown
92748	2020-02-05T19:29:12.873	High	810000	950000	1090000	510	0.0268	Unknown	Unknown
92749	2020-02-05T19:29:12.873	Medium	760000	890000	1020000	510	0.0268	Unknown	Unknown
92750	2020-02-05T19:29:12.873	High	760000	890000	1020000	510	0.0268	Unknown	Unknown
92751	2020-02-05T19:29:12.873	Medium	725000	840000	955000			Unknown	Unknown
92752	2020-02-05T19:29:12.873	High	790000	930000	1070000	510	0.0268	Unknown	Unknown
92753	2020-02-05T19:29:12.873	High	800000	930000	1060000			Unknown	Unknown
92754	2020-02-05T19:29:12.873	High	810000	950000	1090000	510	0.0268	Unknown	Unknown
92755	2019-08-22T00:00:00	RecentlySold	1010000	1010000	1010000			Unknown	Unknown
92756	2020-02-05T19:29:12.873	High	860000	990000	1120000	510	0.0268	Unknown	Unknown
92757	2020-02-05T19:29:12.873	High	870000	1010000	1150000	510	0.0268	Unknown	Unknown
92758	2020-02-05T19:29:12.873	High	860000	990000	1120000	510	0.0268	Unknown	Unknown
92759	2020-02-05T19:29:12.873	High	870000	1010000	1150000			Unknown	Unknown
92760	2020-01-09T10:24:26.003	High	730000	850000	970000	510	0.0268	Unknown	Unknown
92761	2020-01-09T10:24:26.003	High	830000	960000	1090000	510	0.0268	Unknown	Unknown
92762	2020-02-12T17:27:27.64	High	760000	880000	1000000			Unknown	Unknown
92763	2020-01-09T10:24:26.003	High	810000	940000	1070000			Unknown	Unknown
92764	2020-01-09T10:24:26.003	High	760000	880000	1000000	510	0.0268	Unknown	Unknown
92765	2020-02-05T19:29:12.873	High	800000	940000	1080000			Unknown	Unknown
92766	2020-02-05T19:29:12.873	High	760000	890000	1020000	510	0.0268	Unknown	Unknown
92767	2020-02-12T17:27:27.64	High	800000	930000	1060000	510	0.0268	Unknown	Unknown
92768	2020-02-05T19:29:12.873	High	820000	950000	1080000			Unknown	Unknown
92769	2020-01-09T10:24:26.003	High	820000	950000	1080000			Unknown	Unknown
92770	2020-02-12T17:27:27.64	Medium	715000	835000	955000	510	0.0268	Unknown	Unknown
92771	2020-02-05T19:29:12.873	High	830000	960000	1090000	510	0.0268	Unknown	Unknown
92772	2020-02-05T19:29:12.873	High	860000	1000000	1140000			Unknown	Unknown
92773	2020-02-05T19:29:12.873	High	745000	865000	985000			Unknown	Unknown
92774	2019-12-18T09:44:26.13	High	760000	880000	1000000			Unknown	Unknown
92775	2020-01-09T10:24:26.003	High	810000	940000	1070000			Unknown	Unknown
92776	2020-02-05T19:29:12.873	High	850000	980000	1110000			Unknown	Unknown
92777	2020-02-12T17:27:27.64	High	760000	880000	1000000	510	0.0268	Unknown	Unknown
92778	2020-02-12T17:27:27.64	High	760000	880000	1000000	510	0.0268	Unknown	Unknown
92779	2020-02-05T19:29:12.873	High	790000	910000	1030000	510	0.0268	Unknown	Unknown
92780	2020-02-12T17:27:27.64	High	740000	860000	980000			Unknown	Unknown
92781	2020-01-09T10:24:26.003	High	740000	855000	970000	510	0.0268	Unknown	Unknown
92782	2020-02-12T17:27:27.64	High	750000	870000	990000	510	0.0268	Unknown	Unknown
92783	2020-02-05T19:29:12.873	High	810000	940000	1070000	510	0.0268	Unknown	Unknown
92784	2020-01-09T10:24:26.003	High	800000	930000	1060000			Unknown	Unknown
92785	2020-02-12T17:27:27.64	High	790000	920000	1050000			Unknown	Unknown
