StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
94335	Sale	1994-06-22T00:00:00	130000	PRIVATE TREATY			
94338	Sale		Richard Luton Manuka	2001-11-16T00:00:00	179000.0	PRIVATE TREATY	34.0
94338	Sale	1995-12-21T00:00:00	103000	PRIVATE TREATY			
94342	Rental		Distinct Property Management	2019-05-01T00:00:00	360.0	PER WEEK	7.0
94342	Rental		Distinct Property Management	2017-06-07T00:00:00	345.0	PER WEEK	41.0
94342	Rental		Distinct Property Management	2016-02-24T00:00:00	320.0	PER WEEK	7.0
94342	Sale	1570	Elders Real Estate Belconnen	2008-10-16T00:00:00	299000.0	PRIVATE TREATY	8.0
94344	Sale	2011-09-01T00:00:00	378000	PRIVATE TREATY			
94345	Sale	10311	Luton Properties - Dickson	2019-06-06T00:00:00	445000.0	PRIVATE TREATY	57.0
94358	Sale	2004-02-05T00:00:00	312000	PRIVATE TREATY			
94358	Sale	1994-05-03T00:00:00	120000	PRIVATE TREATY			
94362	Sale	2007-03-13T00:00:00	358000	PRIVATE TREATY			
94365	Sale	2011-10-25T00:00:00	455000	PRIVATE TREATY			
94365	Sale	2007-04-04T00:00:00	405000	PRIVATE TREATY			
94365	Sale	2000-09-18T00:00:00	160000	PRIVATE TREATY			
94367	Sale		PBR Belconnen	2008-04-03T00:00:00	475000.0	PRIVATE TREATY	28.0
94370	Sale		RW Canberra	2019-07-22T00:00:00	687000.0	PRIVATE TREATY	9.0
94370	Sale		LJH Belconnen	2008-11-15T00:00:00	418000.0	AUCTION	
94371	Sale		Elders Real Estate Belconnen	2010-02-24T00:00:00	566000.0	PRIVATE TREATY	24.0
94371	Sale	2003-12-02T00:00:00	389950	PRIVATE TREATY			
94371	Sale	2001-03-29T00:00:00	195000	PRIVATE TREATY			
94373	Sale		Elders Real Estate Belconnen	2012-06-23T00:00:00	545000.0	AUCTION	
94374	Sale	1999-03-04T00:00:00	137500	PRIVATE TREATY			
94374	Sale	1992-04-30T00:00:00	135500	PRIVATE TREATY			
94375	Sale	2010-07-05T00:00:00	430000	PRIVATE TREATY			
94375	Sale	2004-11-03T00:00:00	290000	PRIVATE TREATY			
94375	Sale	1997-10-01T00:00:00	140000	PRIVATE TREATY			
94380	Sale	2015-09-08T00:00:00	509000	PRIVATE TREATY			
94380	Sale	2002-09-19T00:00:00	290000	PRIVATE TREATY			
94382	Sale		McGrath Woden Property Management	2014-09-12T00:00:00	505000.0	PRIVATE TREATY	45.0
94382	Sale	2007-05-25T00:00:00	410000	PRIVATE TREATY	48.0		
94387	Sale	2009-02-12T00:00:00	450000	PRIVATE TREATY			
94390	Sale	10311	Luton Properties - Dickson	2015-12-08T00:00:00	529000.0	PRIVATE TREATY	27.0
94390	Sale		LJH Belconnen	2010-05-05T00:00:00	620500.0	PRIVATE TREATY	
