StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
94329	II-4597-DA							False	False				House	House			
94330	II-1517-OD							False	False				House	House			
94331	IJ-1196-ZZ							False	False				House	House			
94332	IG-8243-QZ							False	False				House	House			
94333	IE-7568-BK							False	False				House	House			
94334	IF-2188-UL							False	False				House	House			
94335	LP-0985-YE	130000	1994-06-22					False	False	1	59		House	House			392
94336	IM-3807-QY							False	False				House	House			
94337	IK-8418-BE							False	False				House	House			
94338	WM-7180-VC	179000	2001-11-16					False	False	17	56		House	House		3	481
94339	NV-8340-JH							False	False				House	House			
94340	GT-4581-MH							False	False				House	House			
94341	QJ-6867-CM							False	False				House	House			
94342	IM-1629-UI	299000	2008-10-16	Distinct Property Management	360	2019	7	True	False	33	56	1	House	House	1	2	312
94343	GR-4835-SG							False	False				House	House			
94344	GJ-8200-SU	378000	2011-09-01					False	False	35	56		House	House			302
94345	GT-0018-QK	445000	2019-06-06					False	False	36	56	1	House	House	1	2	312
94346	GX-1638-PJ							False	False				House	House			
94347	GT-2462-EL							False	False				House	House			
94348	GV-6691-IR							False	False				House	House			
94349	QG-3764-JT							False	False				House	House			
94350	QA-4196-XC							False	False				House	House			
94351	PZ-7981-WX							False	False				House	House			
94352	QF-4071-HH							False	False				House	House			
94353	QE-8476-JG							False	False				House	House			
94354	OG-2383-MO							False	False				House	House			
94355	IN-3744-ZG							False	False				House	House			
94356	IK-8775-LK							False	False				House	House			
94357	AR-6637-ED							False	False				Unit	Unit			
94358	ZT-6122-AA	312000	2004-02-05					False	False	26	1		Unit	Unit			
94359	TM-6473-RS							False	False				Unit	Unit			
94360	SY-8500-HR							False	False				Unit	Unit			
94361	SV-1716-BX							False	False				Unit	Unit			
94362	VW-8530-NP	358000	2007-03-13					False	False	33	2		Unit	Unit			
94363	UX-8751-CB							False	False				Unit	Unit			
94364	SE-4721-KL							False	False				Unit	Unit			
94365	RD-9329-JA	455000	2011-10-25					False	False	9	1		Unit	Unit			
94366	DR-5506-YW							False	False				Unit	Unit			
94367	CL-7705-AX	475000	2008-04-03					False	False	3	1		Unit	Unit		3	
94368	PT-3617-MC							False	False	20	4		House	House			701
94369	MC-0635-JB							False	False	18	6		House	House			860
94370	UZ-6947-ON	687000	2019-07-22					False	False	11	4	0	House	House	1	3	746
94371	LR-4436-HS	566000	2010-02-24					False	False	11	6	4	House	House	1	4	860
94372	TX-4840-VU							False	False				House	House			
94373	QO-7615-IJ	545000	2012-06-23					False	False	9	6	1	House	House	1	4	860
94374	OD-0350-LG	137500	1999-03-04					False	False	8	6		House	House			958
94375	SA-8642-VF	430000	2010-07-05					False	False	3	4	1	House	House	1	3	814
94376	TR-9545-ZT							False	False				Unit	Unit			
94377	TG-5366-RU							False	False				Unit	Unit			
94378	EE-5897-EL							False	False				Unit	Unit			
94379	EH-8745-NQ							False	False				Unit	Unit			
94380	KY-0309-OM	509000	2015-09-08					False	False	24	1		Unit	Unit			
94381	CT-4002-SE							False	False				Unit	Unit			
94382	WU-2278-CR	505000	2014-09-12					False	False	33	2	2	Unit	Unit	2	3	
94383	UR-6470-IJ							False	False				Unit	Unit			
94384	FI-6767-OZ							False	False				Unit	Unit			
94385	AM-7977-ED							False	False				Unit	Unit			
94386	UX-5527-WE							False	False				Unit	Unit			
94387	GA-4584-FU	450000	2009-02-12					False	False	6	1		Unit	Unit			
94388	WO-9700-ZQ							False	False				Unit	Unit			
94389	WM-2239-OE							False	False	22	6		House	House			1111
94390	QJ-0162-ZV	529000	2015-12-08	LJ Hooker Belconnen	380	2008	77	False	False	7	6	1	House	House	2	4	964
94391	PL-3054-HN	585000	2015-08-20					False	False	24	6	3	House	House	2	3	453
94392	VP-2078-UV	529000	2015-12-08					False	False	23	6		House	House			512
94393	WP-4982-WB	700000	2018-11-27					False	False	2	4		House	House		3	698
94394	SP-1951-DR	122000	1998-07-08					False	False	6	6		House	House			905
94395	OJ-5155-PI	550000	2010-10-11					False	False	1	4		House	House			816
94396	MT-9206-TA	330000	2003-08-05					False	False	5	6	1	House	House	1	3	910
94397	IP-1240-MK	472500	2013-01-21					False	False			1	House	House	2	3	
