StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
94335	2020-02-05T19:29:12.873	High	505000	585000	665000	535	0.039	Unknown	Unknown
94336	2020-02-12T17:27:27.64	High	485000	565000	645000	535	0.039	Unknown	Unknown
94337	2020-02-12T17:27:27.64	High	465000	550000	635000	535	0.039	Unknown	Unknown
94338	2020-02-05T19:29:12.873	High	515000	595000	675000	550	0.0424	Unknown	Unknown
94339	2020-02-12T17:27:27.64	High	460000	540000	620000	535	0.039	Unknown	Unknown
94340						535	0.039	Unknown	Unknown
94341	2020-02-12T17:27:27.64	High	445000	520000	595000	535	0.039	Unknown	Unknown
94342	2020-02-12T17:27:27.64	High	445000	520000	595000			Unknown	Unknown
94343	2020-02-12T17:27:27.64	High	455000	530000	605000	535	0.039	Unknown	Unknown
94344	2020-02-05T19:29:12.873	High	485000	565000	645000	535	0.039	Unknown	Unknown
94345	2020-02-05T19:29:12.873	Low	400000	465000	530000			Unknown	Unknown
94346	2020-02-12T17:27:27.64	High	455000	530000	605000	535	0.039	Unknown	Unknown
94347	2020-02-12T17:27:27.64	High	455000	530000	605000	535	0.039	Unknown	Unknown
94348						535	0.039	Unknown	Unknown
94349						535	0.039	Unknown	Unknown
94350						535	0.039	Unknown	Unknown
94351						535	0.039	Unknown	Unknown
94352						535	0.039	Unknown	Unknown
94353	2020-02-12T17:27:27.64	High	480000	560000	640000	535	0.039	Unknown	Unknown
94354	2020-02-12T17:27:27.64	High	510000	595000	680000	535	0.039	Unknown	Unknown
94355	2020-02-12T17:27:27.64	High	490000	570000	650000	535	0.039	Unknown	Unknown
94356	2020-02-12T17:27:27.64	High	480000	560000	640000	535	0.039	Unknown	Unknown
94357	2020-02-05T19:29:12.873	Low	405000	470000	535000	405	0.0396	Unknown	Unknown
94358	2020-01-22T10:30:07.47	Medium	510000	590000	670000	405	0.0396	Unknown	Unknown
94359	2020-02-05T19:29:12.873	High	440000	510000	580000	405	0.0396	Unknown	Unknown
94360	2020-02-05T19:29:12.873	High	440000	510000	580000	405	0.0396	Unknown	Unknown
94361	2020-02-05T19:29:12.873	Medium	480000	560000	640000	405	0.0396	Unknown	Unknown
94362	2020-02-05T19:29:12.873	Medium	510000	590000	670000	405	0.0396	Unknown	Unknown
94363	2020-02-05T19:29:12.873	Medium	480000	560000	640000	405	0.0396	Unknown	Unknown
94364	2020-02-05T19:29:12.873	Low	340000	395000	450000	405	0.0396	Unknown	Unknown
94365	2020-02-05T19:29:12.873	Medium	440000	510000	580000	405	0.0396	Unknown	Unknown
94366	2020-02-05T19:29:12.873	Medium	480000	560000	640000	405	0.0396	Unknown	Unknown
94367								Unknown	Unknown
94368	2020-02-05T19:29:12.873	Medium	570000	665000	760000	535	0.039	Unknown	Unknown
94369	2020-02-05T19:29:12.873	Medium	665000	770000	875000	535	0.039	Unknown	Unknown
94370	2020-02-05T19:29:12.873	Medium	610000	710000	810000	550	0.0424	Unknown	Unknown
94371	2020-02-05T19:29:12.873	High	685000	800000	915000	615	0.0397	Unknown	Unknown
94372	2020-02-05T19:29:12.873	Medium	675000	790000	905000	535	0.039	Unknown	Unknown
94373	2020-02-05T19:29:12.873	High	685000	800000	915000	615	0.0397	Unknown	Unknown
94374	2020-02-05T19:29:12.873	High	685000	800000	915000	535	0.039	Unknown	Unknown
94375	2020-02-05T19:29:12.873	High	560000	650000	740000	550	0.0424	Unknown	Unknown
94376	2020-02-05T19:29:12.873	Low	380000	440000	500000	405	0.0396	Unknown	Unknown
94377	2020-01-22T10:30:07.47	Medium	510000	590000	670000	405	0.0396	Unknown	Unknown
94378	2020-02-05T19:29:12.873	High	440000	510000	580000	405	0.0396	Unknown	Unknown
