StreetAddressID	POI	Distance
95865	City GPO	1.0
95865	Major Shopping Centre - Belconnen Mall	0.8
95865	Hospital - Calvary Private Hospital	3.2
95865	Primary School - Florey Primary	1.3
95865	High School - Belconnen High School, Hawker	1.9
95865	College - Lake Ginninderra College	1.6
95865	University - University Of Canberra, Bruce	2.6
95866	City GPO	0.9
95866	Major Shopping Centre - Belconnen Mall	0.8
95866	Hospital - Calvary Private Hospital	3.2
95866	Primary School - Florey Primary	1.3
95866	High School - Belconnen High School, Hawker	1.9
95866	College - Lake Ginninderra College	1.6
95866	University - University Of Canberra, Bruce	2.6
95867	City GPO	0.9
95867	Major Shopping Centre - Belconnen Mall	0.8
95867	Hospital - Calvary Private Hospital	3.2
95867	Primary School - Florey Primary	1.3
95867	High School - Belconnen High School, Hawker	1.9
95867	College - Lake Ginninderra College	1.6
95867	University - University Of Canberra, Bruce	2.6
95868	City GPO	1.0
95868	Major Shopping Centre - Belconnen Mall	0.9
95868	Hospital - Calvary Private Hospital	3.3
95868	Primary School - Florey Primary	1.2
95868	High School - Belconnen High School, Hawker	1.9
95868	College - Lake Ginninderra College	1.7
95868	University - University Of Canberra, Bruce	2.7
95869	City GPO	1.0
95869	Major Shopping Centre - Belconnen Mall	0.9
95869	Hospital - Calvary Private Hospital	3.3
95869	Primary School - Florey Primary	1.3
95869	High School - Belconnen High School, Hawker	1.9
95869	College - Lake Ginninderra College	1.7
95869	University - University Of Canberra, Bruce	2.7
95870	City GPO	1.0
95870	Major Shopping Centre - Belconnen Mall	0.9
95870	Hospital - Calvary Private Hospital	3.3
95870	Primary School - Florey Primary	1.3
95870	High School - Belconnen High School, Hawker	1.9
95870	College - Lake Ginninderra College	1.6
95870	University - University Of Canberra, Bruce	2.6
95871	City GPO	1.0
95871	Major Shopping Centre - Belconnen Mall	0.9
95871	Hospital - Calvary Private Hospital	3.3
95871	Primary School - Florey Primary	1.3
95871	High School - Belconnen High School, Hawker	1.9
95871	College - Lake Ginninderra College	1.6
95871	University - University Of Canberra, Bruce	2.6
95872	City GPO	1.0
95872	Major Shopping Centre - Belconnen Mall	0.9
95872	Hospital - Calvary Private Hospital	3.3
95872	Primary School - Florey Primary	1.3
95872	High School - Belconnen High School, Hawker	1.9
95872	College - Lake Ginninderra College	1.6
95872	University - University Of Canberra, Bruce	2.6
95873	City GPO	1.0
95873	Major Shopping Centre - Belconnen Mall	0.9
95873	Hospital - Calvary Private Hospital	3.3
95873	Primary School - Florey Primary	1.3
95873	High School - Belconnen High School, Hawker	1.9
95873	College - Lake Ginninderra College	1.6
95873	University - University Of Canberra, Bruce	2.6
95874	City GPO	1.0
95874	Major Shopping Centre - Belconnen Mall	0.9
95874	Hospital - Calvary Private Hospital	3.3
95874	Primary School - Florey Primary	1.3
95874	High School - Belconnen High School, Hawker	1.9
95874	College - Lake Ginninderra College	1.6
95874	University - University Of Canberra, Bruce	2.6
95875	City GPO	1.0
95875	Major Shopping Centre - Belconnen Mall	0.9
95875	Hospital - Calvary Private Hospital	3.3
95875	Primary School - Florey Primary	1.3
95875	High School - Belconnen High School, Hawker	1.9
95875	College - Lake Ginninderra College	1.6
95875	University - University Of Canberra, Bruce	2.6
95876	City GPO	1.0
95876	Major Shopping Centre - Belconnen Mall	0.9
95876	Hospital - Calvary Private Hospital	3.3
95876	Primary School - Florey Primary	1.3
95876	High School - Belconnen High School, Hawker	1.9
95876	College - Lake Ginninderra College	1.6
95876	University - University Of Canberra, Bruce	2.6
95877	City GPO	1.0
95877	Major Shopping Centre - Belconnen Mall	0.9
95877	Hospital - Calvary Private Hospital	3.3
95877	Primary School - Florey Primary	1.3
95877	High School - Belconnen High School, Hawker	1.9
95877	College - Lake Ginninderra College	1.6
95877	University - University Of Canberra, Bruce	2.6
95878	City GPO	1.0
95878	Major Shopping Centre - Belconnen Mall	0.9
95878	Hospital - Calvary Private Hospital	3.3
95878	Primary School - Florey Primary	1.3
95878	High School - Belconnen High School, Hawker	1.9
95878	College - Lake Ginninderra College	1.6
95878	University - University Of Canberra, Bruce	2.6
95879	City GPO	1.0
95879	Major Shopping Centre - Belconnen Mall	0.9
95879	Hospital - Calvary Private Hospital	3.3
95879	Primary School - Florey Primary	1.3
95879	High School - Belconnen High School, Hawker	1.9
95879	College - Lake Ginninderra College	1.6
95879	University - University Of Canberra, Bruce	2.6
95880	City GPO	1.0
95880	Major Shopping Centre - Belconnen Mall	0.9
