StreetAddressID	POI	Distance
97392	City GPO	0.6
97392	Major Shopping Centre - Canberra Centre	2.0
97392	Hospital - Calvary Private Hospital	3.9
97392	Primary School - Turner Primary	0.4
97392	High School - Lyneham High, Lyneham	1.1
97392	College - Merici College	0.8
97392	University - Australian National University	2.2
97393	City GPO	1.0
97393	Major Shopping Centre - Kippax Fair	2.3
97393	Hospital - Calvary Private Hospital	4.8
97393	Primary School - St Matthew's Primary School	0.7
97393	High School - Belconnen High School, Hawker	1.4
97393	College - Hawker College	1.2
97393	University - University Of Canberra, Bruce	4.2
97394	City GPO	1.0
97394	Major Shopping Centre - Kippax Fair	2.3
97394	Hospital - Calvary Private Hospital	4.8
97394	Primary School - St Matthew's Primary School	0.7
97394	High School - Belconnen High School, Hawker	1.4
97394	College - Hawker College	1.2
97394	University - University Of Canberra, Bruce	4.2
97395	City GPO	1.1
97395	Major Shopping Centre - Kippax Fair	2.2
97395	Hospital - Calvary Private Hospital	4.9
97395	Primary School - St Matthew's Primary School	0.7
97395	High School - Belconnen High School, Hawker	1.4
97395	College - Hawker College	1.2
97395	University - University Of Canberra, Bruce	4.3
97396	City GPO	1.0
97396	Major Shopping Centre - Kippax Fair	2.3
97396	Hospital - Calvary Private Hospital	4.8
97396	Primary School - St Matthew's Primary School	0.6
97396	High School - Belconnen High School, Hawker	1.3
97396	College - Hawker College	1.2
97396	University - University Of Canberra, Bruce	4.2
97397	City GPO	1.1
97397	Major Shopping Centre - Kippax Fair	2.2
97397	Hospital - Calvary Private Hospital	4.9
97397	Primary School - St Matthew's Primary School	0.7
97397	High School - Belconnen High School, Hawker	1.4
97397	College - Hawker College	1.2
97397	University - University Of Canberra, Bruce	4.3
97398	City GPO	1.0
97398	Major Shopping Centre - Kippax Fair	2.3
97398	Hospital - Calvary Private Hospital	4.8
97398	Primary School - St Matthew's Primary School	0.6
97398	High School - Belconnen High School, Hawker	1.3
97398	College - Hawker College	1.2
97398	University - University Of Canberra, Bruce	4.2
97399	City GPO	1.0
97399	Major Shopping Centre - Kippax Fair	2.1
97399	Hospital - Calvary Private Hospital	4.9
97399	Primary School - St Matthew's Primary School	0.7
97399	High School - Belconnen High School, Hawker	1.4
97399	College - Hawker College	1.2
97399	University - University Of Canberra, Bruce	4.3
97400	City GPO	0.9
97400	Major Shopping Centre - Kippax Fair	2.3
97400	Hospital - Calvary Private Hospital	4.8
97400	Primary School - St Matthew's Primary School	0.6
97400	High School - Belconnen High School, Hawker	1.3
97400	College - Hawker College	1.1
97400	University - University Of Canberra, Bruce	4.2
97401	City GPO	1.0
97401	Major Shopping Centre - Kippax Fair	2.2
97401	Hospital - Calvary Private Hospital	4.9
97401	Primary School - St Matthew's Primary School	0.7
97401	High School - Belconnen High School, Hawker	1.4
97401	College - Hawker College	1.2
97401	University - University Of Canberra, Bruce	4.3
97402	City GPO	0.9
97402	Major Shopping Centre - Kippax Fair	2.3
97402	Hospital - Calvary Private Hospital	4.8
97402	Primary School - St Matthew's Primary School	0.6
97402	High School - Belconnen High School, Hawker	1.3
97402	College - Hawker College	1.2
97402	University - University Of Canberra, Bruce	4.2
97403	City GPO	0.9
97403	Major Shopping Centre - Kippax Fair	2.3
97403	Hospital - Calvary Private Hospital	4.8
97403	Primary School - St Matthew's Primary School	0.6
97403	High School - Belconnen High School, Hawker	1.3
97403	College - Hawker College	1.2
97403	University - University Of Canberra, Bruce	4.2
97404	City GPO	0.9
97404	Major Shopping Centre - Kippax Fair	2.3
97404	Hospital - Calvary Private Hospital	4.8
97404	Primary School - St Matthew's Primary School	0.6
97404	High School - Belconnen High School, Hawker	1.3
97404	College - Hawker College	1.2
97404	University - University Of Canberra, Bruce	4.2
97405	City GPO	1.1
97405	Major Shopping Centre - Kippax Fair	2.2
97405	Hospital - Calvary Private Hospital	4.8
97405	Primary School - St Matthew's Primary School	0.7
97405	High School - Belconnen High School, Hawker	1.4
97405	College - St Francis Xavier College	1.2
97405	University - University Of Canberra, Bruce	4.2
97406	City GPO	1.0
97406	Major Shopping Centre - Kippax Fair	2.2
97406	Hospital - Calvary Private Hospital	4.9
97406	Primary School - St Matthew's Primary School	0.7
97406	High School - Belconnen High School, Hawker	1.3
97406	College - Hawker College	1.1
97406	University - University Of Canberra, Bruce	4.3
97407	City GPO	1.0
97407	Major Shopping Centre - Kippax Fair	2.2
97407	Hospital - Calvary Private Hospital	4.9
97407	Primary School - St Matthew's Primary School	0.6
97407	High School - Belconnen High School, Hawker	1.3
97407	College - Hawker College	1.1
97407	University - University Of Canberra, Bruce	4.3
97408	City GPO	1.0
97408	Major Shopping Centre - Kippax Fair	2.2
97408	Hospital - Calvary Private Hospital	4.9
97408	Primary School - St Matthew's Primary School	0.6
97408	High School - Belconnen High School, Hawker	1.3
97408	College - Hawker College	1.1
97408	University - University Of Canberra, Bruce	4.3
97409	City GPO	1.0
97409	Major Shopping Centre - Kippax Fair	2.2
97409	Hospital - Calvary Private Hospital	4.9
