StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
97392	Rental	21086	Luton Properties - Gungahlin	2016-01-19T00:00:00	395.0	PER WEEK	51.0
97394	Sale		Luton Properties Gungahlin	2018-06-06T00:00:00	340000.0	PRIVATE TREATY	369.0
97394	Rental	21086	Luton Properties - Gungahlin	2016-02-07T00:00:00	355.0	PER WEEK	31.0
97396	Rental	1570	Elders Real Estate Belconnen	2008-07-11T00:00:00	430.0	PER WEEK	17.0
97396	Sale		Elders Real Estate Belconnen	2008-05-24T00:00:00	449000.0	AUCTION	
97396	Sale	2004-06-17T00:00:00	322500	PRIVATE TREATY	145.0		
97397	Sale	2014-12-24T00:00:00	491500	PRIVATE TREATY			
97397	Sale	2005-09-19T00:00:00	310000	PRIVATE TREATY			
97397	Sale	2003-10-31T00:00:00	290000	PRIVATE TREATY			
97397	Sale	1993-01-11T00:00:00	138000	PRIVATE TREATY			
97398	Rental		RentBetter	2020-02-04T00:00:00	495.0	PER WEEK	65.0
97398	Sale	2016-02-16T00:00:00	420000	PRIVATE TREATY			
97399	Sale		LJ Hooker Dickson	2002-11-06T00:00:00	327000.0	AUCTION	
97401	Sale		Rutherford Johnston Properties	2016-02-24T00:00:00	480000.0	PRIVATE TREATY	
97401	Sale	2004-07-20T00:00:00	281000	PRIVATE TREATY	234.0		
97401	Sale	2001-05-25T00:00:00	157750	PRIVATE TREATY			
97401	Sale	1997-08-15T00:00:00	92500	PRIVATE TREATY			
97404	Sale	23819	Manage Me - Property Sales	2016-03-21T00:00:00	355000.0	PRIVATE TREATY	271.0
97404	Sale	2010-06-07T00:00:00	375000	PRIVATE TREATY			
97406	Sale		PBR Belconnen	2006-06-03T00:00:00	333000.0	AUCTION	
97406	Sale	2001-12-13T00:00:00	205000	PRIVATE TREATY			
97407	Sale		Luton Properties - Kippax	2013-11-29T00:00:00	390000.0	PRIVATE TREATY	78.0
97409	Sale	1998-05-13T00:00:00	93000	PRIVATE TREATY			
97411	Sale		LJH Belconnen	2017-02-10T00:00:00	370000.0	PRIVATE TREATY	
97411	Sale		CIVIUM - Build Develop Create	2016-02-02T00:00:00	365000.0	PRIVATE TREATY	95.0
97411	Sale	17080	McGrath Estate Agents	2013-06-21T00:00:00	410000.0	Listed - not sold	62.0
97411	Sale	2010-11-04T00:00:00	375000	PRIVATE TREATY			
97412	Sale	22652	Rutherford Johnston Properties	2016-10-21T00:00:00	542500.0	PRIVATE TREATY	16.0
97412	Sale	2008-11-23T00:00:00	410000	PRIVATE TREATY			
97412	Sale	2007-03-13T00:00:00	370000	PRIVATE TREATY			
97412	Sale	2002-04-10T00:00:00	189500	PRIVATE TREATY			
97413	Sale	2003-03-31T00:00:00	182000	PRIVATE TREATY			
97414	Sale	1991-08-28T00:00:00		PRIVATE TREATY			
97415	Sale		Independent Woden	2017-03-18T00:00:00	495000.0	PRIVATE TREATY	
97415	Sale	2009-03-31T00:00:00	402000	PRIVATE TREATY			
