StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
97392								Unknown	Unknown
97394	2020-02-05T19:29:12.873	High	320000	350000	380000			Unknown	Unknown
97395	2020-02-05T19:29:12.873	High	545000	635000	725000	500	0.043	Unknown	Unknown
97396	2020-02-05T19:29:12.873	High	535000	630000	725000	485	0.0431	Unknown	Unknown
97397	2020-02-05T19:29:12.873	High	535000	630000	725000	500	0.043	Unknown	Unknown
97398	2020-02-05T19:29:12.873	High	520000	605000	690000	485	0.0431	Unknown	Unknown
97399	2020-02-05T19:29:12.873	High	525000	610000	695000	485	0.0431	Unknown	Unknown
97400	2020-02-05T19:29:12.873	High	530000	625000	720000	500	0.043	Unknown	Unknown
97401	2020-02-05T19:29:12.873	High	505000	595000	685000	485	0.0431	Unknown	Unknown
97402	2020-02-05T19:29:12.873	High	495000	580000	665000	500	0.043	Unknown	Unknown
97403	2019-10-18T12:32:42.017	High	325000	380000	435000	373	0.0512	Unknown	Unknown
97404	2020-02-05T19:29:12.873	High	310000	350000	390000			Unknown	Unknown
97406	2020-01-09T10:24:26.003	High	545000	635000	725000			Unknown	Unknown
97407	2020-02-05T19:29:12.873	High	505000	595000	685000	485	0.0431	Unknown	Unknown
97408	2020-02-05T19:29:12.873	High	525000	610000	695000	500	0.043	Unknown	Unknown
97409	2020-02-05T19:29:12.873	High	495000	580000	665000	500	0.043	Unknown	Unknown
97410	2020-02-05T19:29:12.873	High	495000	570000	645000	500	0.043	Unknown	Unknown
97411	2020-02-05T19:29:12.873	High	320000	350000	380000			Unknown	Unknown
97412	2020-02-05T19:29:12.873	High	510000	585000	660000	485	0.0431	Unknown	Unknown
97413								Unknown	Unknown
97414	2020-02-05T19:29:12.873	High	495000	570000	645000	500	0.043	Unknown	Unknown
97415	2020-02-05T19:29:12.873	High	505000	595000	685000	485	0.0431	Unknown	Unknown
97416	2020-02-05T19:29:12.873	High	515000	595000	675000	500	0.043	Unknown	Unknown
97417	2020-02-05T19:29:12.873	High	505000	595000	685000	485	0.0431	Unknown	Unknown
97418	2020-02-05T19:29:12.873	High	320000	350000	380000			Unknown	Unknown
97419	2020-02-05T19:29:12.873	High	530000	625000	720000	500	0.043	Unknown	Unknown
97420	2020-02-05T19:29:12.873	High	500000	585000	670000	500	0.043	Unknown	Unknown
97421	2020-01-09T10:24:26.003	High	600000	705000	810000			Unknown	Unknown
97422	2020-02-05T19:29:12.873	High	530000	625000	720000	500	0.043	Unknown	Unknown
97423	2020-01-09T10:24:26.003	High	520000	605000	690000	500	0.043	Unknown	Unknown
97425	2020-01-09T10:24:26.003	High	530000	625000	720000	500	0.043	Unknown	Unknown
97426	2019-10-18T12:32:42.017	High	590000	690000	790000			Unknown	Unknown
97427	2019-12-25T13:07:16.643	High	320000	355000	390000	373	0.0512	Unknown	Unknown
97428	2020-01-09T10:24:26.003	High	535000	630000	725000	500	0.043	Unknown	Unknown
97429	2020-02-12T17:27:27.64	High	290000	340000	390000			Unknown	Unknown
97430	2020-01-09T10:24:26.003	High	540000	635000	730000	500	0.043	Unknown	Unknown
97431	2020-02-05T19:29:12.873	High	320000	350000	380000			Unknown	Unknown
97432	2020-02-05T19:29:12.873	High	285000	330000	375000			Unknown	Unknown
97433	2020-02-05T19:29:12.873	High	320000	350000	380000			Unknown	Unknown
97434	2020-02-05T19:29:12.873	High	505000	595000	685000	500	0.043	Unknown	Unknown
97435	2020-02-05T19:29:12.873	High	535000	630000	725000	500	0.043	Unknown	Unknown
97436	2020-02-05T19:29:12.873	High	495000	580000	665000	500	0.043	Unknown	Unknown
97437	2020-02-05T19:29:12.873	High	505000	590000	675000	500	0.043	Unknown	Unknown
97438	2020-01-09T10:24:26.003	High	485000	570000	655000	500	0.043	Unknown	Unknown
97439	2020-02-05T19:29:12.873	High	495000	580000	665000	500	0.043	Unknown	Unknown
97440	2020-02-05T19:29:12.873	High	495000	580000	665000	485	0.0431	Unknown	Unknown
97441	2020-02-05T19:29:12.873	High	505000	585000	665000	500	0.043	Unknown	Unknown
97442	2020-02-05T19:29:12.873	High	595000	695000	795000			Unknown	Unknown
97443	2020-02-05T19:29:12.873	High	550000	630000	710000	485	0.0431	Unknown	Unknown
97444	2020-02-05T19:29:12.873	High	535000	630000	725000	500	0.043	Unknown	Unknown
97445	2020-02-05T19:29:12.873	High	535000	630000	725000	500	0.043	Unknown	Unknown
97446	2020-02-05T19:29:12.873	High	585000	675000	765000			Unknown	Unknown
97447	2020-02-05T19:29:12.873	High	520000	600000	680000	485	0.0431	Unknown	Unknown
97448	2020-02-05T19:29:12.873	High	550000	640000	730000	485	0.0431	Unknown	Unknown
97449	2020-01-09T10:24:26.003	High	485000	565000	645000	500	0.043	Unknown	Unknown
97450	2020-02-05T19:29:12.873	High	495000	580000	665000	500	0.043	Unknown	Unknown
97451	2020-02-05T19:29:12.873	High	505000	590000	675000	500	0.043	Unknown	Unknown
97452	2019-09-06T00:00:00	RecentlySold	620000	620000	620000			Unknown	Unknown
