StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
100030	2020-02-05T19:29:12.873	High	465000	540000	615000	480	0.0509	Unknown	Unknown
100031	2020-02-05T19:29:12.873	High	420000	490000	560000	480	0.0522	Unknown	Unknown
100032	2020-02-05T19:29:12.873	High	460000	535000	610000	480	0.0522	Unknown	Unknown
100033	2020-02-05T19:29:12.873	High	450000	530000	610000	480	0.0509	Unknown	Unknown
100034	2020-02-05T19:29:12.873	High	445000	510000	575000	480	0.0522	Unknown	Unknown
100035	2020-02-05T19:29:12.873	High	470000	555000	640000	480	0.0509	Unknown	Unknown
100036	2020-02-05T19:29:12.873	High	425000	495000	565000	480	0.0522	Unknown	Unknown
100037	2020-02-05T19:29:12.873	High	425000	495000	565000	480	0.0509	Unknown	Unknown
100038	2020-02-05T19:29:12.873	High	450000	525000	600000	480	0.0509	Unknown	Unknown
100039	2020-02-05T19:29:12.873	High	435000	505000	575000	480	0.0509	Unknown	Unknown
100040	2019-09-09T00:00:00	RecentlySold	525000	525000	525000	480	0.0522	Unknown	Unknown
100041	2020-02-05T19:29:12.873	High	435000	510000	585000	480	0.0522	Unknown	Unknown
100042	2020-01-09T10:24:26.003	High	470000	555000	640000	480	0.0509	Unknown	Unknown
100043	2020-02-05T19:29:12.873	High	455000	520000	585000	480	0.0522	Unknown	Unknown
100044	2020-02-05T19:29:12.873	High	460000	530000	600000			Unknown	Unknown
100045	2020-02-05T19:29:12.873	High	435000	505000	575000	480	0.0509	Unknown	Unknown
100046	2019-12-04T09:49:14.273	High	450000	520000	590000			Unknown	Unknown
100047	2020-02-05T19:29:12.873	High	435000	505000	575000	480	0.0509	Unknown	Unknown
100048	2020-02-05T19:29:12.873	High	430000	500000	570000	480	0.0509	Unknown	Unknown
100049	2020-02-05T19:29:12.873	High	400000	465000	530000	480	0.0522	Unknown	Unknown
100050	2020-02-05T19:29:12.873	High	450000	530000	610000	480	0.0509	Unknown	Unknown
100051	2020-02-05T19:29:12.873	High	415000	485000	555000	480	0.0522	Unknown	Unknown
100052	2020-02-05T19:29:12.873	High	450000	530000	610000	480	0.0509	Unknown	Unknown
100053	2020-02-05T19:29:12.873	High	410000	480000	550000	480	0.0509	Unknown	Unknown
100054	2020-02-05T19:29:12.873	High	450000	530000	610000	480	0.0509	Unknown	Unknown
100055	2020-02-05T19:29:12.873	High	405000	475000	545000	480	0.0522	Unknown	Unknown
100056	2020-02-05T19:29:12.873	High	450000	530000	610000	480	0.0509	Unknown	Unknown
100057	2020-02-05T19:29:12.873	Medium	460000	540000	620000	480	0.0509	Unknown	Unknown
100058	2020-02-05T19:29:12.873	High	430000	500000	570000	480	0.0522	Unknown	Unknown
100059	2020-02-05T19:29:12.873	High	420000	490000	560000	480	0.0522	Unknown	Unknown
100060	2020-02-05T19:29:12.873	High	480000	560000	640000	480	0.0509	Unknown	Unknown
100061	2020-01-15T12:14:29.21	High	435000	510000	585000	480	0.0509	Unknown	Unknown
100062	2020-02-05T19:29:12.873	High	515000	605000	695000	480	0.0522	Unknown	Unknown
100063	2020-02-05T19:29:12.873	High	445000	520000	595000	480	0.0522	Unknown	Unknown
100064	2020-02-05T19:29:12.873	High	415000	485000	555000	480	0.0509	Unknown	Unknown
100065	2020-02-05T19:29:12.873	High	450000	520000	590000	480	0.0509	Unknown	Unknown
100066	2020-02-05T19:29:12.873	High	435000	510000	585000	480	0.0509	Unknown	Unknown
100067	2020-01-15T12:14:29.21	High	510000	595000	680000			Unknown	Unknown
100068	2020-02-05T19:29:12.873	High	420000	490000	560000	480	0.0522	Unknown	Unknown
100069	2020-02-05T19:29:12.873	High	465000	545000	625000	480	0.0509	Unknown	Unknown
100070	2020-02-05T19:29:12.873	High	435000	510000	585000	480	0.0509	Unknown	Unknown
100071	2020-02-05T19:29:12.873	High	510000	595000	680000			Unknown	Unknown
100072	2020-02-05T19:29:12.873	High	435000	510000	585000	480	0.0509	Unknown	Unknown
100073	2020-02-05T19:29:12.873	Low	450000	520000	590000	480	0.0509	Unknown	Unknown
100074	2020-02-05T19:29:12.873	High	500000	580000	660000	480	0.0509	Unknown	Unknown
100075	2020-02-05T19:29:12.873	Low	450000	530000	610000	480	0.0509	Unknown	Unknown
100076	2020-02-05T19:29:12.873	Medium	480000	560000	640000	480	0.0509	Unknown	Unknown
100077	2020-02-05T19:29:12.873	Medium	480000	560000	640000	480	0.0509	Unknown	Unknown
100078	2020-02-05T19:29:12.873	Medium	480000	560000	640000	480	0.0509	Unknown	Unknown
100079	2020-02-05T19:29:12.873	Low	440000	510000	580000	480	0.0509	Unknown	Unknown
100080	2020-02-05T19:29:12.873	High	525000	615000	705000			Unknown	Unknown
100081	2020-02-05T19:29:12.873	Low	475000	560000	645000	480	0.0509	Unknown	Unknown
100082	2020-02-05T19:29:12.873	High	380000	440000	500000	480	0.0509	Unknown	Unknown
100083	2020-02-05T19:29:12.873	High	395000	460000	525000	480	0.0509	Unknown	Unknown
100084	2020-02-05T19:29:12.873	High	410000	480000	550000	480	0.0509	Unknown	Unknown
100085	2020-02-05T19:29:12.873	High	395000	460000	525000	480	0.0509	Unknown	Unknown
100086	2020-02-05T19:29:12.873	High	390000	455000	520000	480	0.0509	Unknown	Unknown
100087	2020-02-05T19:29:12.873	High	380000	440000	500000	480	0.0509	Unknown	Unknown
100088	2020-02-05T19:29:12.873	High	380000	445000	510000	480	0.0509	Unknown	Unknown
100089	2020-02-05T19:29:12.873	High	380000	445000	510000	480	0.0509	Unknown	Unknown
100090	2020-02-05T19:29:12.873	High	385000	450000	515000	480	0.0522	Unknown	Unknown
100091	2020-02-05T19:29:12.873	High	380000	445000	510000	480	0.0509	Unknown	Unknown
100092	2020-02-05T19:29:12.873	High	425000	485000	545000	480	0.0509	Unknown	Unknown
100093								Unknown	Unknown
100094	2020-02-05T19:29:12.873	High	415000	475000	535000	480	0.0522	Unknown	Unknown
100095	2020-02-05T19:29:12.873	High	565000	650000	735000			Unknown	Unknown
100096	2020-02-05T19:29:12.873	High	530000	620000	710000			Unknown	Unknown
100097	2020-02-05T19:29:12.873	High	455000	530000	605000	480	0.0509	Unknown	Unknown
100098	2020-02-05T19:29:12.873	High	475000	555000	635000	480	0.0509	Unknown	Unknown
100099	2020-02-05T19:29:12.873	High	455000	540000	625000	480	0.0509	Unknown	Unknown
100100	2020-01-29T09:57:42.103	High	490000	575000	660000			Unknown	Unknown
100101	2020-02-05T19:29:12.873	High	560000	650000	740000			Unknown	Unknown
100102	2020-02-05T19:29:12.873	High	500000	585000	670000	480	0.0522	Unknown	Unknown
100103						450		Unknown	Unknown
100104	2020-02-05T19:29:12.873	Medium	390000	455000	520000	480	0.0522	Unknown	Unknown
100105	2020-02-05T19:29:12.873	High	460000	540000	620000	480	0.0509	Unknown	Unknown
100106	2020-02-05T19:29:12.873	High	435000	505000	575000	480	0.0509	Unknown	Unknown
100107	2020-02-05T19:29:12.873	High	425000	495000	565000			Unknown	Unknown
100108	2020-02-05T19:29:12.873	High	435000	505000	575000	480	0.0509	Unknown	Unknown
100109	2020-02-05T19:29:12.873	High	435000	510000	585000	480	0.0522	Unknown	Unknown
100110	2020-02-05T19:29:12.873	High	435000	505000	575000	480	0.0509	Unknown	Unknown
100111	2020-02-05T19:29:12.873	High	455000	525000	595000			Unknown	Unknown
100112	2019-08-16T00:00:00	RecentlySold	565000	565000	565000	480	0.0522	Unknown	Unknown
100113						450		Unknown	Unknown
100114	2020-02-05T19:29:12.873	High	435000	505000	575000	480	0.0509	Unknown	Unknown
100115	2020-02-05T19:29:12.873	High	430000	505000	580000	480	0.0509	Unknown	Unknown
100116	2020-02-05T19:29:12.873	High	420000	490000	560000			Unknown	Unknown
100117	2020-02-05T19:29:12.873	High	440000	515000	590000	480	0.0509	Unknown	Unknown
100118	2020-02-05T19:29:12.873	High	510000	595000	680000			Unknown	Unknown
100119						450		Unknown	Unknown
100120	2020-02-05T19:29:12.873	High	480000	560000	640000	480	0.0509	Unknown	Unknown
100121	2020-02-05T19:29:12.873	High	415000	485000	555000	480	0.0522	Unknown	Unknown
100122	2020-02-05T19:29:12.873	High	460000	540000	620000	480	0.0509	Unknown	Unknown
