StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
101389	Sale	2009-07-28T00:00:00	415000	PRIVATE TREATY			
101389	Sale		Independent Property Group Canberra City	2006-10-17T00:00:00	355000.0	Listed - not sold	5.0
101389	Sale	2001-06-19T00:00:00	170000	PRIVATE TREATY			
101390	Sale	2001-10-30T00:00:00	205500	PRIVATE TREATY			
101390	Sale	2001-03-30T00:00:00	61200	PRIVATE TREATY			
101391	Sale	2010-02-22T00:00:00	418000	PRIVATE TREATY			
101391	Sale	2007-06-22T00:00:00	365000	PRIVATE TREATY			
101391	Sale	2001-07-16T00:00:00	180000	PRIVATE TREATY			
101392	Sale	14110	LJ Hooker Kaleen	2015-08-05T00:00:00	440000.0	PRIVATE TREATY	39.0
101392	Rental		LJ Hooker Kaleen	2011-01-12T00:00:00	450.0	PER WEEK	
101392	Sale		FN Real Estate Gungahlin	2009-05-19T00:00:00	400000.0	PRIVATE TREATY	30.0
101392	Sale	2003-05-27T00:00:00	260000	PRIVATE TREATY			
101392	Sale	2001-10-26T00:00:00	180000	PRIVATE TREATY			
101392	Sale	2001-03-30T00:00:00	61200	PRIVATE TREATY			
101393	Sale	18793	Peter Blackshaw Tuggeranong	2016-08-26T00:00:00	471000.0	PRIVATE TREATY	35.0
101393	Sale	2008-03-04T00:00:00	377500	PRIVATE TREATY	11.0		
101393	Sale	2001-06-26T00:00:00	180000	PRIVATE TREATY			
101394	Sale	2004-03-25T00:00:00	295000	PRIVATE TREATY			
101394	Sale	2001-06-26T00:00:00	180000	PRIVATE TREATY			
101395	Sale	2010-06-21T00:00:00	415000	PRIVATE TREATY			
101395	Sale	2006-04-12T00:00:00	325000	PRIVATE TREATY			
101395	Sale	2001-07-02T00:00:00	185000	PRIVATE TREATY			
101396	Sale	2001-08-24T00:00:00	61200	PRIVATE TREATY			
101397	Sale	32650	Badenoch Real Estate Sales	2014-07-08T00:00:00	422500.0	PRIVATE TREATY	146.0
101397	Sale	2011-12-19T00:00:00	440000	PRIVATE TREATY			
101397	Sale	2006-11-06T00:00:00	355000	PRIVATE TREATY			
101397	Sale	2001-08-30T00:00:00	177000	PRIVATE TREATY			
101398	Sale	14533	Blue Property Marketing	2009-08-24T00:00:00	405000.0	PRIVATE TREATY	34.0
101398	Sale	2001-07-09T00:00:00	170000	PRIVATE TREATY			
101399	Sale	2002-06-28T00:00:00	240000	PRIVATE TREATY			
101399	Sale	2001-03-26T00:00:00	54000	PRIVATE TREATY			
101400	Rental		Colin McIntyre Property - Chisholm	2010-08-25T00:00:00	450.0	PER WEEK	21.0
101400	Sale	14615	Colin McIntyre Property - Chisholm	2010-07-22T00:00:00	430000.0	PRIVATE TREATY	56.0
101400	Sale	2007-02-20T00:00:00	342000	PRIVATE TREATY			
101400	Sale	2005-06-10T00:00:00	184879	PRIVATE TREATY			
101400	Sale	2001-10-17T00:00:00	170000	PRIVATE TREATY			
101401	Sale	21086	Luton Properties - Gungahlin	2019-05-03T00:00:00	580000.0	PRIVATE TREATY	27.0
101401	Sale	2013-06-04T00:00:00	400000	PRIVATE TREATY			
101401	Sale	2008-08-29T00:00:00	340500	PRIVATE TREATY			
101401	Sale	2006-05-05T00:00:00	322000	PRIVATE TREATY	13.0		
101401	Sale	2001-12-24T00:00:00	173000	PRIVATE TREATY			
101401	Sale	2001-03-30T00:00:00	61500	PRIVATE TREATY			
101402	Sale		RW Belconnen	2016-11-03T00:00:00	462150.0	AUCTION	
101402	Sale	2010-05-28T00:00:00	420000	PRIVATE TREATY			
101402	Sale	2005-11-01T00:00:00	290000	PRIVATE TREATY			
101402	Sale	2001-06-14T00:00:00	170000	PRIVATE TREATY			
101403	Sale	2012-07-25T00:00:00	445000	PRIVATE TREATY			
101403	Sale	2001-09-07T00:00:00	201635	PRIVATE TREATY			
101404	Sale	32650	Badenoch Real Estate Sales	2019-11-01T00:00:00	550500.0	PRIVATE TREATY	56.0
101404	Rental		Badenoch Real Estate Sales	2010-05-22T00:00:00	385.0	PER WEEK	17.0
101404	Rental		Badenoch Real Estate Sales	2009-05-06T00:00:00	385.0	PER WEEK	11.0
101404	Sale	2001-08-15T00:00:00	189000	PRIVATE TREATY			
101405	Sale	14110	LJ Hooker Kaleen	2014-08-14T00:00:00	425000.0	PRIVATE TREATY	25.0
101405	Sale	2010-02-25T00:00:00	409000	PRIVATE TREATY			
101405	Sale	2008-07-15T00:00:00	365000	PRIVATE TREATY			
