StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
101389	TL-7461-TH	415000	2009-07-28					False	False	5	102	2	House	House	2	3	450
101390	RT-6487-HX	205500	2001-10-30					False	False	15	103		House	House			450
101391	SB-9891-WL	418000	2010-02-22					False	False	6	102		House	House			450
101392	UA-1219-DJ	440000	2015-08-05	LJ Hooker Kaleen	450	2011		False	False	14	103	2	House	House	2	3	450
101393	RY-0660-DR	471000	2016-08-26					False	False	7	102	2	House	House	2	3	450
101394	SA-4458-SW	295000	2004-03-25					False	False	13	103		House	House			450
101395	RT-7475-DM	415000	2010-06-21					False	False	8	102		House	House			450
101396	TO-5453-HB	61200	2001-08-24					False	False	12	103		Land	Land			450
101397	RZ-4401-DS	422500	2014-07-08					False	False	9	102	2	House	House	2	3	450
101398	AJ-6229-IA	405000	2009-08-24					False	False	11	103	2	House	House	1	3	450
101399	ED-6851-HN	240000	2002-06-28					False	False	1	102		House	House			500
101400	MC-2279-DD	430000	2010-07-22	Colin McIntyre Property - Chisholm	450	2010	21	True	False	10	102	2	House	House	2	3	584
101401	LF-2587-LO	580000	2019-05-03					False	False	10	103	2	House	House	2	3	500
101402	OX-6986-UU	462150	2016-11-03					False	False	19	103	2	House	House	1	3	462
101403	SC-5081-XR	445000	2012-07-25					False	False	2	102		House	House			502
101404	AD-4793-XB	550500	2019-11-01	Badenoch Real Estate Sales	385	2010	17	False	False	18	103	2	House	House	2	3	450
101405	HF-1844-JE	425000	2014-08-14					False	False	3	102	2	House	House	1	3	450
101406	RX-0097-NI	460000	2012-10-31					False	False	17	103		House	House			450
101407	SC-1326-QO	575000	2019-07-15					False	False	4	102	2	House	House	2	4	450
101408	RV-2657-TF	428000	2011-11-04					False	False	16	103	2	House	House	2	3	450
101409	XF-2023-KA	109000	1995-03-24					False	False	13	14		House	Townhouse			420
101410	GI-3367-UQ	53000	1994-07-25					False	False	4	13		Land	Land			
101411	XC-2153-VS	340000	2014-10-18					False	False	14	14	1	House	Townhouse	1	3	420
101412	GC-7442-UP	350000	2008-04-15					False	False	3	13	0	House	Townhouse	1	3	420
101413	GG-7985-TB	32500	2000-04-19	Total Property Management - Bright	530	2019	28	True	False	1	14	2	House	House	2	4	352
101414	YQ-8828-AY	366000	2008-12-05					False	False	2	13	1	House	Townhouse	1	3	420
101415	IX-6337-NK	32500	2000-04-19	Total Property Management - Bright Partners	460	2017	111	True	False	2	14	2	House	House	2	4	341
101416	YQ-1938-UD	138000	2000-03-10					False	False	1	13		House	House			566
101417	UA-2852-CG	405000	2014-12-02	Distinct Property Management	440	2016	13	True	False	3	14	2	House	House	2	3	427
101418	XH-0301-KS	232500	2002-12-03					False	False	13	15	0	House	House	2	3	462
101419	JO-8331-UG							False	False				House	House			824
101420	XE-0404-YJ	360000	2011-07-29					False	False	4	14	0	House	Townhouse	1	3	427
101421	OI-5231-GU	340200	2007-06-15					False	False	12	15		House	House			478
101422	OI-2507-SD	300000	2015-10-14					False	False	5	14		House	House			828
101423	XG-0885-XE	121000	1994-06-29					False	False	11	15		House	House			480
101424	XG-0921-KQ	185000	2001-12-21					False	False	10	15		House	House		4	480
101425	XI-2977-YF	435000	2013-06-25					False	False	9	15	2	House	House	2	3	487
101426	SA-6972-VH	210000	2001-12-18					False	False	8	15		House	House			802
101427	OO-4431-YA	630000	2017-07-22					False	False	12	13	2	House	House	2	4	900
101428	GC-8613-RY	146000	1996-11-27					False	False	10	14		House	House			813
101429	OO-6253-IV	425000	2003-08-29					False	False	11	13		House	House			1053
101430	YS-6074-MS	447000	2019-01-10					False	False	11	14		House	Townhouse			420
101431	XD-3700-AM	269000	2004-02-11	Ray White Canberra	420	2018	26	True	False	12	14	0	House	Townhouse	1	3	420
101433	RG-8597-LT	170240	1997-12-04					False	False	2	32		House	House			673
101434	YJ-9980-BU	440000	2009-02-03					False	False	3	32	2	House	House	2	4	837
101435	BQ-4224-LF	380000	2007-05-11					False	False	4	32	1	House	House	2	3	718
101436	JN-5302-RP	151000	2001-10-21	LJ Hooker Belconnen	415	2017	7	True	False	19	25	2	House	House	1	3	489
101437	CR-8138-SJ	501000	2013-08-16					False	False	5	32	2	House	House	2	4	825
101438	RD-5232-AR	44936	1998-06-04					False	False	6	32		Land	Land			748
101439	OV-2798-NZ	80000	1997-10-09					False	False	3	26		House	House			
101440	FS-3772-PK	179500	1998-05-12					False	False	2	26		House	House			680
101441	FS-7705-CU	51500	1998-11-10					False	False	1	26		Land	Land			720
101442	RG-6584-UB	532000	2019-10-12					False	False	10	37	2	House	House	2	3	405
101443	FO-6533-HL		2001-11-15					False	False	9	37		House	House			432
101444	FM-6933-YL		2001-11-15					False	False	8	37		House	House			456
101445	AZ-0557-MH	740000	2015-04-02					False	False	1	23		House	House			926
101446	GB-1033-WU	202800	2000-12-11					False	False	1	34		House	House			663
101447	NJ-0715-AK	415000	2011-12-05	Independent Property Management	0	2019	8	True	False	2	34	2	House	House	2	4	496
101448	NJ-2551-OP	482500	2016-07-21					False	False	3	34	1	House	House	2	3	499
101449	VZ-5024-OC	50500	2000-05-24					False	False	4	24		Land	Land			800
101450	ER-3841-CA	480000	2010-04-23					False	False	4	34	2	House	House	3	5	501
101451	ZU-7360-TZ	330000	2017-01-18					False	False	3	24		House	House			840
101452	NF-1616-MW	37000	1994-11-17					False	False	5	34		Land	Land			498
101453	DW-4372-BT	700000	2017-07-21					False	False	2	24	4	House	House	2	4	842
101454	BD-0290-UO			Badenoch Real Estate Rentals	380	2011	11	False	False			1	House	House	1	2	488
101455	PD-3337-JX	68500	1994-06-17					False	False	1	24		Land	Land			
101456	XU-4462-ZQ	525000	2018-02-22					False	False	9	55	2	House	House	2	3	449
101457	GD-1164-NQ	490000	2017-05-18					False	False	26	48	5	House	House	1	3	451
101458	DM-7566-SO	124103	1998-10-29					False	False	6	47		House	House			437
101459	AW-8154-WV	42000	1998-09-03	LJ Hooker Dickson	370	2009	25	True	False	27	48	2	House	House	2	3	539
