StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
106295	Sale		Elders Real Estate Belconnen	2014-09-06T00:00:00	488000.0	AUCTION	
106295	Sale	1999-03-02T00:00:00	95000	PRIVATE TREATY			
106296	Sale		R&H Gungahlin	2008-01-16T00:00:00	565000.0	PRIVATE TREATY	58.0
106296	Sale	2006-09-05T00:00:00	400000	PRIVATE TREATY	24.0		
106296	Sale	2004-04-29T00:00:00	365000	PRIVATE TREATY			
106296	Sale	1991-11-20T00:00:00	174000	PRIVATE TREATY			
106297	Sale		LJ Hooker Kaleen	2017-06-07T00:00:00	620000.0	PRIVATE TREATY	
106297	Sale	17735	Luton Properties - Kippax	2013-03-13T00:00:00		Listed - not sold	70.0
106297	Sale	2008-03-26T00:00:00	410000	PRIVATE TREATY			
106297	Sale		PBR Gungahlin	2007-07-07T00:00:00	419000.0	Listed - not sold	
106297	Sale		LJ Hooker Kaleen	2004-09-04T00:00:00	370000.0	Listed - not sold	
106297	Sale	2003-06-27T00:00:00	305000	PRIVATE TREATY	13.0		
106298	Sale		RW Canberra	2018-09-08T00:00:00	875000.0	AUCTION	
106298	Sale	2004-12-01T00:00:00	288000	PRIVATE TREATY			
106298	Sale	1999-03-30T00:00:00	141000	PRIVATE TREATY			
106298	Sale	1991-11-12T00:00:00	143000	PRIVATE TREATY			
106299	Sale		RW Canberra	2018-05-05T00:00:00	595000.0	AUCTION	
106299	Rental	25465	Independent Property Management	2017-10-20T00:00:00	465.0	PER WEEK	217.0
106299	Rental		Independent Property Management	2015-11-01T00:00:00	460.0	PER WEEK	89.0
106299	Sale		IPG Inner North	2015-07-10T00:00:00	515000.0	PRIVATE TREATY	47.0
106299	Sale	2002-04-11T00:00:00	215000	PRIVATE TREATY			
106299	Sale	1993-11-25T00:00:00	155000	PRIVATE TREATY			
106300	Sale	1999-06-25T00:00:00	172000	PRIVATE TREATY			
106302	Sale	2012-08-07T00:00:00	490000	PRIVATE TREATY			
106302	Sale	2011-05-26T00:00:00	475000	PRIVATE TREATY			
106302	Sale	2007-05-25T00:00:00	390000	PRIVATE TREATY			
106305	Sale	1993-05-24T00:00:00	135000	PRIVATE TREATY			
106306	Rental	19357	LJ Hooker Kippax	2016-06-08T00:00:00	395.0	PER WEEK	19.0
106306	Rental	25458	barrett ELTON Canberra	2015-10-14T00:00:00	395.0	PER WEEK	47.0
106306	Sale		One Agency Scott Crossman	2015-08-06T00:00:00	497000.0	AUCTION	
106308	Sale	10311	Luton Properties - Dickson	2008-12-08T00:00:00	685000.0	PRIVATE TREATY	31.0
106308	Sale	2001-03-07T00:00:00	156000	PRIVATE TREATY	32.0		
106309	Sale		Luton Properties - Weston Creek and Molonglo Valley	2013-12-20T00:00:00	525000.0	PRIVATE TREATY	126.0
106309	Sale	1997-08-26T00:00:00	149950	PRIVATE TREATY			
106311	Sale		Luton Properties Woden	2017-04-13T00:00:00	582500.0	PRIVATE TREATY	
106311	Sale		Rutherford Johnston Properties	2015-03-13T00:00:00	485000.0	PRIVATE TREATY	66.0
106311	Sale	2011-02-16T00:00:00	531000	PRIVATE TREATY			
106313	Sale	1995-03-10T00:00:00	165000	PRIVATE TREATY			
106313	Sale	1992-09-22T00:00:00	176500	PRIVATE TREATY			
106315	Sale	1999-08-24T00:00:00	200000	PRIVATE TREATY			
106315	Sale	1995-06-06T00:00:00	180000	PRIVATE TREATY			
106315	Sale	1991-11-28T00:00:00	176000	PRIVATE TREATY			
106317	Sale		McGrath - Projects	2017-06-24T00:00:00	610000.0	AUCTION	
106317	Sale	2013-02-02T00:00:00	520000	PRIVATE TREATY			
106317	Sale	1991-03-20T00:00:00	133500	PRIVATE TREATY			
106318	Sale	1995-01-18T00:00:00	167000	PRIVATE TREATY			
106318	Sale	1991-04-08T00:00:00	145000	PRIVATE TREATY			
106319	Sale	2006-10-06T00:00:00	504500	PRIVATE TREATY			
106319	Sale	1992-04-14T00:00:00	208950	PRIVATE TREATY			
106320	Sale		Elders Real Estate Belconnen	2004-01-27T00:00:00	305000.0	PRIVATE TREATY	87.0
106322	Sale		LJ Hooker Kaleen	2018-10-17T00:00:00	760000.0	AUCTION	
106322	Sale	1994-07-13T00:00:00	225000	PRIVATE TREATY			
106323	Sale	1570	Elders Real Estate Belconnen	2014-08-13T00:00:00	545000.0	PRIVATE TREATY	194.0
106324	Sale	1993-10-27T00:00:00	217500	PRIVATE TREATY			
106325	Sale	2009-03-31T00:00:00	385000	PRIVATE TREATY			
106325	Sale	1991-12-06T00:00:00	135000	PRIVATE TREATY			
106327	Sale	1997-01-23T00:00:00	180000	PRIVATE TREATY			
106329	Sale	17735	Luton Properties - Kippax	2011-05-10T00:00:00	623000.0	PRIVATE TREATY	164.0
106331	Sale	2001-01-05T00:00:00	247000	PRIVATE TREATY			
106331	Sale	1998-07-02T00:00:00	163500	PRIVATE TREATY			
106331	Sale	1992-01-06T00:00:00	173500	PRIVATE TREATY			
106332	Sale	2017-06-07T00:00:00	675000	PRIVATE TREATY			
106333	Sale	2004-04-07T00:00:00	110000	PRIVATE TREATY			
106333	Sale	1992-09-01T00:00:00	179000	PRIVATE TREATY			
106335	Sale	1992-12-15T00:00:00	184000	PRIVATE TREATY			
106337	Sale		Independent Projects	2017-06-26T00:00:00	470000.0	PRIVATE TREATY	
106337	Sale		LJH Belconnen	2004-05-09T00:00:00	405000.0	PRIVATE TREATY	4.0
106338	Sale	1992-12-18T00:00:00	200000	PRIVATE TREATY			
106340	Sale	1995-08-04T00:00:00	207000	PRIVATE TREATY			
106341	Rental		Luton Properties - Kippax	2019-11-25T00:00:00	600.0	PER WEEK	18.0
106341	Rental	18961	Philip Kouvelis Real estate	2015-10-07T00:00:00	490.0	PER WEEK	
106341	Sale	2010-05-07T00:00:00	650000	PRIVATE TREATY			
106341	Sale	2004-04-08T00:00:00	361700	PRIVATE TREATY	131.0		
106342	Sale	16807	Blandfordia Real Estate	2012-04-16T00:00:00	625000.0	PRIVATE TREATY	437.0
106342	Sale	2009-06-15T00:00:00	535100	PRIVATE TREATY	45.0		
106343	Sale	17080	McGrath Estate Agents	2016-04-06T00:00:00	473000.0	PRIVATE TREATY	27.0
106343	Sale	2000-08-25T00:00:00	165500	PRIVATE TREATY			
106346	Rental	20001	Peter Blackshaw Real Estate Queanbeyan & Jerrabomberra	2018-04-06T00:00:00	415.0	PER WEEK	23.0
106346	Rental	20001	Peter Blackshaw Real Estate Queanbeyan & Jerrabomberra	2017-08-18T00:00:00	415.0	PER WEEK	49.0
106346	Sale	2013-02-22T00:00:00	205000	PRIVATE TREATY			
106346	Sale	2001-07-26T00:00:00	139950	PRIVATE TREATY			
106347	Sale	22060	Independent Tuggeranong	2016-09-09T00:00:00	472000.0	PRIVATE TREATY	15.0
106347	Sale	2004-05-20T00:00:00	300000	PRIVATE TREATY			
106348	Sale	17735	Luton Properties - Kippax	2015-11-27T00:00:00	480000.0	PRIVATE TREATY	28.0
106348	Sale	2008-08-13T00:00:00	320000	PRIVATE TREATY			
106348	Sale	2007-01-15T00:00:00	290000	PRIVATE TREATY	24.0		
106350	Sale	14533	Blue Property Marketing	2019-04-15T00:00:00	550000.0	PRIVATE TREATY	61.0
106350	Sale		LJ Hooker Kaleen	2014-06-11T00:00:00	393000.0	PRIVATE TREATY	21.0
106350	Sale	1994-11-18T00:00:00	108300	PRIVATE TREATY			
106354	Sale	25451	P & P Real Estate	2019-10-31T00:00:00	553500.0	PRIVATE TREATY	15.0
106358	Sale	17473	Ray White Canberra	2019-10-31T00:00:00	655000.0	AUCTION	
106358	Sale	1999-08-13T00:00:00	142000	PRIVATE TREATY			
106358	Sale	1994-10-05T00:00:00	164000	PRIVATE TREATY			
106359	Sale	2019-09-20T00:00:00	470000	PRIVATE TREATY			
106359	Rental	25465	Independent Property Management	2017-03-23T00:00:00	380.0	PER WEEK	13.0
106359	Rental		Independent Property Management	2015-07-05T00:00:00	395.0	PER WEEK	17.0
106359	Rental	14112	LJH Kippax	2009-10-08T00:00:00	350.0	PER WEEK	47.0
106359	Sale	2003-12-04T00:00:00	272000	PRIVATE TREATY	33.0		
106359	Sale	2001-01-25T00:00:00	112000	PRIVATE TREATY			
106359	Sale	1997-12-09T00:00:00	88500	PRIVATE TREATY			
106362	Sale	1998-10-14T00:00:00	155000	PRIVATE TREATY			
106362	Sale	1993-06-29T00:00:00	134000	PRIVATE TREATY			
106363	Sale		Lita McKell & Associates Realty	2002-03-08T00:00:00	188000.0	PRIVATE TREATY	146.0
106364	Rental	25465	Independent Property Management	2016-07-14T00:00:00	460.0	PER WEEK	22.0
106364	Sale		Raine & Horne Canberra City	2004-01-13T00:00:00	350000.0	PRIVATE TREATY	73.0
106365	Sale	2019-01-11T00:00:00	420000	PRIVATE TREATY			
106367	Sale	11153	Luton Properties - Belconnen	2017-06-23T00:00:00		PRIVATE TREATY	57.0
106367	Sale	1997-07-01T00:00:00	120000	PRIVATE TREATY			
106368	Sale	2006-01-24T00:00:00	287500	PRIVATE TREATY			
106369	Sale	2002-12-05T00:00:00	200000	PRIVATE TREATY			
106369	Sale	1994-10-07T00:00:00	147500	PRIVATE TREATY			
106370	Sale		PRD Leader Real Estate	2011-02-25T00:00:00	670000.0	PRIVATE TREATY	
106370	Sale	2001-03-23T00:00:00	142000	PRIVATE TREATY			
106370	Sale	1998-02-10T00:00:00	100000	PRIVATE TREATY			
106370	Sale	1997-08-01T00:00:00	105000	PRIVATE TREATY			
106372	Sale	1995-01-23T00:00:00	149500	PRIVATE TREATY			
106375	Sale		RW Launceston	2004-08-16T00:00:00	270000.0	PRIVATE TREATY	177.0
106375	Sale	1993-11-24T00:00:00	128000	PRIVATE TREATY			
106376	Sale	1998-03-17T00:00:00	115000	PRIVATE TREATY			
106378	Sale	2017-06-26T00:00:00	400000	PRIVATE TREATY			
106378	Sale	2004-10-12T00:00:00	330000	PRIVATE TREATY			
106381	Sale	2005-03-08T00:00:00	279000	PRIVATE TREATY			
106381	Sale	1999-01-05T00:00:00	100000	PRIVATE TREATY			
106381	Sale	1993-12-22T00:00:00	118000	PRIVATE TREATY			
106383	Sale		McGrath - Projects	2017-10-07T00:00:00	550000.0	AUCTION	
106383	Sale		LJ Hooker Gungahlin	2012-10-03T00:00:00	446000.0	PRIVATE TREATY	35.0
106384	Sale		LJ Hooker Dickson	2001-11-23T00:00:00	170000.0	PRIVATE TREATY	62.0
106384	Sale	1993-10-11T00:00:00	130000	PRIVATE TREATY			
106385	Sale		Richard Luton Manuka	2006-09-22T00:00:00	343000.0	PRIVATE TREATY	20.0
106385	Sale	1992-04-16T00:00:00	147000	PRIVATE TREATY			
106386	Sale		R&H Gungahlin	2001-10-18T00:00:00	200500.0	PRIVATE TREATY	82.0
106386	Sale	1997-11-20T00:00:00	125000	PRIVATE TREATY			
106386	Sale	1992-05-25T00:00:00	149000	PRIVATE TREATY			
106388	Sale	1570	Elders Real Estate Belconnen	2016-08-23T00:00:00	515000.0	PRIVATE TREATY	760.0
106389	Sale	2009-10-21T00:00:00	159000	PRIVATE TREATY			
106389	Sale	2008-12-19T00:00:00	530000	PRIVATE TREATY			
106389	Sale	1995-09-29T00:00:00	184000	PRIVATE TREATY			
106390	Sale		Archived Peter Blackshaw Real Estate Woden & Weston Cre	2018-07-14T00:00:00	680000.0	AUCTION	
106390	Sale	2017-05-22T00:00:00	668000	PRIVATE TREATY			
106390	Sale	2003-05-09T00:00:00	369000	PRIVATE TREATY	34.0		
106391	Rental	31148	Fuse Property	2019-06-14T00:00:00	650.0	PER WEEK	26.0
106391	Rental		Luton Properties - Kippax	2016-02-11T00:00:00	650.0	PER WEEK	11.0
106391	Sale	2010-02-13T00:00:00	685000	PRIVATE TREATY			
106392	Sale	2005-07-13T00:00:00	410000	PRIVATE TREATY			
106393	Rental	17473	Ray White Canberra	2016-09-21T00:00:00	470.0	PER WEEK	15.0
106393	Rental		Elders Real Estate Belconnen	2011-02-23T00:00:00	520.0	PER WEEK	18.0
106393	Rental	1570	Elders Real Estate Belconnen	2010-06-02T00:00:00	520.0	PER WEEK	
