StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
106295	2020-02-05T19:29:12.873	High	470000	550000	630000	495	0.0468	Unknown	Unknown
106296	2020-02-05T19:29:12.873	High	645000	760000	875000	635	0.0498	Unknown	Unknown
106297	2020-02-05T19:29:12.873	Medium	655000	755000	855000	635	0.0498	Unknown	Unknown
106298	2020-02-05T19:29:12.873	High	780000	910000	1040000			Unknown	Unknown
106299	2020-02-05T19:29:12.873	High	555000	650000	745000	635	0.0498	Unknown	Unknown
106300	2020-02-05T19:29:12.873	High	660000	770000	880000	575	0.0503	Unknown	Unknown
106301								Unknown	Unknown
106302	2020-02-12T17:27:27.64	High	595000	690000	785000	635	0.0498	Unknown	Unknown
106303	2020-02-05T19:29:12.873	High	650000	760000	870000	575	0.0503	Unknown	Unknown
106304	2020-02-05T19:29:12.873	High	620000	720000	820000	575	0.0503	Unknown	Unknown
106305	2020-02-05T19:29:12.873	High	640000	740000	840000	575	0.0503	Unknown	Unknown
106306	2020-02-05T19:29:12.873	High	540000	630000	720000	495	0.0468	Unknown	Unknown
106307	2020-02-05T19:29:12.873	High	620000	720000	820000	575	0.0503	Unknown	Unknown
106308	2020-02-05T19:29:12.873	High	630000	730000	830000	635	0.0498	Unknown	Unknown
106309	2020-02-05T19:29:12.873	High	760000	880000	1000000	635	0.0498	Unknown	Unknown
106310	2020-02-05T19:29:12.873	High	640000	740000	840000	575	0.0503	Unknown	Unknown
106311	2018-12-07T03:23:45.237589Z	Medium	545000	630000	715000	495	0.0468	Unknown	Unknown
106312	2020-02-05T19:29:12.873	Medium	655000	765000	875000	575	0.0503	Unknown	Unknown
106313	2020-02-05T19:29:12.873	High	610000	710000	810000	635	0.0498	Unknown	Unknown
106314	2020-02-05T19:29:12.873	High	640000	740000	840000	575	0.0503	Unknown	Unknown
106315	2020-02-05T19:29:12.873	High	770000	900000	1030000	635	0.0498	Unknown	Unknown
106316	2018-05-25T11:23:40.4260855Z	Medium	635000	730000	825000			Unknown	Unknown
106317	2020-02-05T19:29:12.873	High	610000	710000	810000	635	0.0498	Unknown	Unknown
106318	2020-02-05T19:29:12.873	Medium	590000	690000	790000	575	0.0503	Unknown	Unknown
106319	2020-02-05T19:29:12.873	Medium	615000	715000	815000	575	0.0503	Unknown	Unknown
106320	2020-02-05T19:29:12.873	High	510000	590000	670000	495	0.0468	Unknown	Unknown
106321	2020-02-05T19:29:12.873	Medium	625000	725000	825000	575	0.0503	Unknown	Unknown
106322	2020-02-05T19:29:12.873	High	680000	790000	900000	635	0.0498	Unknown	Unknown
106323	2020-02-05T19:29:12.873	High	660000	770000	880000	495	0.0468	Unknown	Unknown
106324	2020-02-05T19:29:12.873	Medium	635000	735000	835000	575	0.0503	Unknown	Unknown
106325	2020-02-05T19:29:12.873	Medium	595000	700000	805000	575	0.0503	Unknown	Unknown
106326	2020-02-05T19:29:12.873	Medium	570000	670000	770000	575	0.0503	Unknown	Unknown
106327	2020-02-05T19:29:12.873	Medium	590000	690000	790000	575	0.0503	Unknown	Unknown
106328	2020-02-05T19:29:12.873	High	620000	720000	820000	575	0.0503	Unknown	Unknown
106329	2020-02-05T19:29:12.873	High	660000	770000	880000	635	0.0498	Unknown	Unknown
106330	2020-02-05T19:29:12.873	High	655000	765000	875000	575	0.0503	Unknown	Unknown
106331	2020-02-05T19:29:12.873	Medium	635000	735000	835000	575	0.0503	Unknown	Unknown
106332	2020-02-05T19:29:12.873	High	655000	760000	865000	575	0.0503	Unknown	Unknown
106333	2020-02-05T19:29:12.873	Medium	625000	725000	825000	575	0.0503	Unknown	Unknown
106334	2020-02-12T17:27:27.64	Medium	570000	670000	770000	575	0.0503	Unknown	Unknown
106335	2020-02-05T19:29:12.873	High	645000	750000	855000	575	0.0503	Unknown	Unknown
106336	2020-02-05T19:29:12.873	Medium	615000	720000	825000	575	0.0503	Unknown	Unknown
106337	2020-02-05T19:29:12.873	High	500000	580000	660000	495	0.0468	Unknown	Unknown
106338	2020-02-05T19:29:12.873	Medium	625000	730000	835000	575	0.0503	Unknown	Unknown
106339	2020-02-05T19:29:12.873	Medium	615000	715000	815000	575	0.0503	Unknown	Unknown
106340	2020-02-05T19:29:12.873	Medium	625000	725000	825000	575	0.0503	Unknown	Unknown
