StreetAddressID	POI	Distance
107619	City GPO	2.2
107619	Major Shopping Centre - Kippax Fair	4.4
107619	Hospital - Calvary Private Hospital	7.0
107619	Primary School - Fraser Primary	1.0
107619	High School - Melba Copland High School, Melba	2.3
107619	College - Melba Copland College, Melba	2.1
107619	University - University Of Canberra, Bruce	5.7
107620	City GPO	2.2
107620	Major Shopping Centre - Kippax Fair	4.4
107620	Hospital - Calvary Private Hospital	7.1
107620	Primary School - Fraser Primary	0.9
107620	High School - Melba Copland High School, Melba	2.4
107620	College - Melba Copland College, Melba	2.2
107620	University - University Of Canberra, Bruce	5.8
107621	City GPO	2.1
107621	Major Shopping Centre - Kippax Fair	4.4
107621	Hospital - Calvary Private Hospital	7.0
107621	Primary School - Fraser Primary	1.0
107621	High School - Melba Copland High School, Melba	2.3
107621	College - Melba Copland College, Melba	2.1
107621	University - University Of Canberra, Bruce	5.7
107622	City GPO	2.1
107622	Major Shopping Centre - Kippax Fair	4.4
107622	Hospital - Calvary Private Hospital	7.1
107622	Primary School - Fraser Primary	0.9
107622	High School - Melba Copland High School, Melba	2.3
107622	College - Melba Copland College, Melba	2.2
107622	University - University Of Canberra, Bruce	5.8
107623	City GPO	2.1
107623	Major Shopping Centre - Kippax Fair	4.4
107623	Hospital - Calvary Private Hospital	7.1
107623	Primary School - Fraser Primary	0.9
107623	High School - Melba Copland High School, Melba	2.3
107623	College - Melba Copland College, Melba	2.1
107623	University - University Of Canberra, Bruce	5.7
107624	City GPO	2.3
107624	Major Shopping Centre - Kippax Fair	4.5
107624	Hospital - Calvary Private Hospital	7.1
107624	Primary School - Fraser Primary	1.1
107624	High School - Melba Copland High School, Melba	2.4
107624	College - Melba Copland College, Melba	2.2
107624	University - University Of Canberra, Bruce	5.7
107625	City GPO	2.3
107625	Major Shopping Centre - Kippax Fair	4.6
107625	Hospital - Calvary Private Hospital	7.0
107625	Primary School - Fraser Primary	1.1
107625	High School - Melba Copland High School, Melba	2.4
107625	College - Melba Copland College, Melba	2.2
107625	University - University Of Canberra, Bruce	5.7
107626	City GPO	2.4
107626	Major Shopping Centre - Kippax Fair	4.6
107626	Hospital - Calvary Private Hospital	7.0
107626	Primary School - Fraser Primary	1.2
107626	High School - Melba Copland High School, Melba	2.4
107626	College - Melba Copland College, Melba	2.2
107626	University - University Of Canberra, Bruce	5.7
107627	City GPO	2.2
107627	Major Shopping Centre - Kippax Fair	4.5
107627	Hospital - Calvary Private Hospital	7.1
107627	Primary School - Fraser Primary	1.0
107627	High School - Melba Copland High School, Melba	2.4
107627	College - Melba Copland College, Melba	2.2
107627	University - University Of Canberra, Bruce	5.8
107628	City GPO	2.2
107628	Major Shopping Centre - Kippax Fair	4.5
107628	Hospital - Calvary Private Hospital	7.1
107628	Primary School - Fraser Primary	1.0
107628	High School - Melba Copland High School, Melba	2.4
107628	College - Melba Copland College, Melba	2.2
107628	University - University Of Canberra, Bruce	5.8
107629	City GPO	2.2
107629	Major Shopping Centre - Kippax Fair	4.4
107629	Hospital - Calvary Private Hospital	7.1
107629	Primary School - Fraser Primary	1.0
107629	High School - Melba Copland High School, Melba	2.4
107629	College - Melba Copland College, Melba	2.2
107629	University - University Of Canberra, Bruce	5.8
107630	City GPO	2.3
107630	Major Shopping Centre - Kippax Fair	4.5
107630	Hospital - Calvary Private Hospital	7.1
107630	Primary School - Fraser Primary	1.0
107630	High School - Melba Copland High School, Melba	2.4
107630	College - Melba Copland College, Melba	2.2
107630	University - University Of Canberra, Bruce	5.8
107631	City GPO	2.3
107631	Major Shopping Centre - Kippax Fair	4.5
107631	Hospital - Calvary Private Hospital	7.1
107631	Primary School - Fraser Primary	1.1
107631	High School - Melba Copland High School, Melba	2.4
107631	College - Melba Copland College, Melba	2.2
107631	University - University Of Canberra, Bruce	5.7
107632	City GPO	1.8
107632	Major Shopping Centre - Kippax Fair	4.1
107632	Hospital - Calvary Private Hospital	7.4
107632	Primary School - Fraser Primary	0.5
107632	High School - Melba Copland High School, Melba	2.4
107632	College - Melba Copland College, Melba	2.4
107632	University - University Of Canberra, Bruce	6.1
107633	City GPO	1.8
107633	Major Shopping Centre - Kippax Fair	4.1
107633	Hospital - Calvary Private Hospital	7.2
107633	Primary School - Fraser Primary	0.6
107633	High School - Melba Copland High School, Melba	2.2
107633	College - Melba Copland College, Melba	2.2
107633	University - University Of Canberra, Bruce	5.9
107634	City GPO	2.3
107634	Major Shopping Centre - Kippax Fair	4.6
107634	Hospital - Calvary Private Hospital	7.5
107634	Primary School - Fraser Primary	0.8
107634	High School - Melba Copland High School, Melba	2.7
107634	College - Melba Copland College, Melba	2.5
107634	University - University Of Canberra, Bruce	6.1
107635	City GPO	2.3
107635	Major Shopping Centre - Kippax Fair	4.6
107635	Hospital - Calvary Private Hospital	7.5
107635	Primary School - Fraser Primary	0.8
107635	High School - Melba Copland High School, Melba	2.7
107635	College - Melba Copland College, Melba	2.5
107635	University - University Of Canberra, Bruce	6.1
107636	City GPO	2.3
107636	Major Shopping Centre - Kippax Fair	4.6
107636	Hospital - Calvary Private Hospital	7.5
107636	Primary School - Fraser Primary	0.8
107636	High School - Melba Copland High School, Melba	2.7
107636	College - Melba Copland College, Melba	2.5
107636	University - University Of Canberra, Bruce	6.1
107637	City GPO	2.2
107637	Major Shopping Centre - Kippax Fair	4.5
107637	Hospital - Calvary Private Hospital	7.5
107637	Primary School - Fraser Primary	0.6
107637	High School - Melba Copland High School, Melba	2.6
107637	College - Melba Copland College, Melba	2.6
107637	University - University Of Canberra, Bruce	6.2
107638	City GPO	2.1
107638	Major Shopping Centre - Kippax Fair	4.5
107638	Hospital - Calvary Private Hospital	7.5
107638	Primary School - Fraser Primary	0.6
107638	High School - Melba Copland High School, Melba	2.7
107638	College - Melba Copland College, Melba	2.6
107638	University - University Of Canberra, Bruce	6.2
107639	City GPO	1.9
107639	Major Shopping Centre - Kippax Fair	4.2
107639	Hospital - Calvary Private Hospital	7.3
107639	Primary School - Fraser Primary	0.6
107639	High School - Melba Copland High School, Melba	2.3
107639	College - Melba Copland College, Melba	2.3
107639	University - University Of Canberra, Bruce	5.9
107640	City GPO	2.1
107640	Major Shopping Centre - Kippax Fair	4.5
