StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
107619	2020-02-05T19:29:12.873	High	705000	820000	935000	520	0.0405	Unknown	Unknown
107620	2020-02-05T19:29:12.873	High	705000	830000	955000			Unknown	Unknown
107621	2020-02-05T19:29:12.873	High	705000	820000	935000	520	0.0405	Unknown	Unknown
107622	2020-02-05T19:29:12.873	High	730000	850000	970000	520	0.0405	Unknown	Unknown
107623	2020-02-05T19:29:12.873	High	730000	850000	970000	520	0.0405	Unknown	Unknown
107624	2020-02-05T19:29:12.873	High	670000	780000	890000			Unknown	Unknown
107625	2020-02-05T19:29:12.873	High	660000	770000	880000	520	0.0405	Unknown	Unknown
107626	2020-02-05T19:29:12.873	High	680000	790000	900000	520	0.0405	Unknown	Unknown
107627	2020-02-05T19:29:12.873	High	650000	760000	870000	520	0.0405	Unknown	Unknown
107628	2020-02-05T19:29:12.873	High	655000	770000	885000	520	0.0405	Unknown	Unknown
107629	2020-02-05T19:29:12.873	High	695000	810000	925000	520	0.0405	Unknown	Unknown
107630	2020-02-05T19:29:12.873	High	650000	760000	870000	520	0.0405	Unknown	Unknown
107631	2020-02-05T19:29:12.873	High	740000	860000	980000			Unknown	Unknown
107632	2017-12-17T23:21:06.9220303Z	Medium	600000	695000	790000	480		Unknown	Unknown
107633	2020-02-05T19:29:12.873	High	685000	800000	915000	520	0.0405	Unknown	Unknown
107634	2020-02-05T19:29:12.873	High	550000	640000	730000	480		Unknown	Unknown
107635	2020-01-09T10:24:26.003	High	685000	800000	915000			Unknown	Unknown
107636	2020-02-05T19:29:12.873	High	630000	730000	830000	480		Unknown	Unknown
107637	2020-02-05T19:29:12.873	Medium	585000	690000	795000	520	0.0405	Unknown	Unknown
107638	2020-02-05T19:29:12.873	Medium	700000	810000	920000			Unknown	Unknown
107639	2020-02-05T19:29:12.873	High	770000	890000	1010000			Unknown	Unknown
107640	2020-02-05T19:29:12.873	Medium	595000	700000	805000	520	0.0405	Unknown	Unknown
107641	2020-02-05T19:29:12.873	High	565000	660000	755000	520	0.0405	Unknown	Unknown
107642	2020-02-05T19:29:12.873	Medium	665000	775000	885000			Unknown	Unknown
107643	2020-02-05T19:29:12.873	High	695000	815000	935000			Unknown	Unknown
107644	2020-01-29T09:57:42.103	Medium	590000	685000	780000	480		Unknown	Unknown
107645	2020-02-05T19:29:12.873	High	635000	740000	845000			Unknown	Unknown
107646	2020-02-05T19:29:12.873	High	565000	655000	745000	480		Unknown	Unknown
107647	2020-02-05T19:29:12.873	High	655000	770000	885000	520	0.0405	Unknown	Unknown
107648	2020-02-05T19:29:12.873	Medium	645000	745000	845000	520	0.0405	Unknown	Unknown
107649	2020-02-05T19:29:12.873	High	630000	730000	830000	520	0.0405	Unknown	Unknown
107650	2020-02-05T19:29:12.873	High	610000	710000	810000	520	0.0405	Unknown	Unknown
107651	2020-02-05T19:29:12.873	High	655000	760000	865000			Unknown	Unknown
107652	2020-02-05T19:29:12.873	High	680000	790000	900000	520	0.0405	Unknown	Unknown
107653	2020-02-05T19:29:12.873	Medium	705000	815000	925000	520	0.0405	Unknown	Unknown
107654	2020-02-05T19:29:12.873	High	575000	670000	765000	480		Unknown	Unknown
107655	2020-02-05T19:29:12.873	High	630000	730000	830000			Unknown	Unknown
107656	2020-02-05T19:29:12.873	High	770000	900000	1030000			Unknown	Unknown
107657	2020-02-05T19:29:12.873	High	605000	710000	815000	480		Unknown	Unknown
107658	2020-02-05T19:29:12.873	High	670000	780000	890000			Unknown	Unknown
107659	2020-01-09T10:24:26.003	High	685000	800000	915000	520	0.0405	Unknown	Unknown
107660	2020-02-05T19:29:12.873	High	700000	815000	930000			Unknown	Unknown
107661	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
107662	2020-01-15T12:14:29.21	High	690000	805000	920000			Unknown	Unknown
107663	2019-12-04T09:49:14.273	High	695000	810000	925000			Unknown	Unknown
107664	2020-02-05T19:29:12.873	High	670000	780000	890000	520	0.0405	Unknown	Unknown
107665	2019-06-11T02:34:05.0134334Z	Medium	690000	800000	910000			Unknown	Unknown
107666	2020-02-05T19:29:12.873	Medium	680000	790000	900000			Unknown	Unknown
107667	2020-01-15T12:14:29.21	High	705000	820000	935000	520	0.0405	Unknown	Unknown
107668	2020-02-05T19:29:12.873	High	695000	810000	925000	520	0.0405	Unknown	Unknown
107669	2020-02-05T19:29:12.873	High	645000	760000	875000	520	0.0405	Unknown	Unknown
107670	2020-02-05T19:29:12.873	High	760000	880000	1000000			Unknown	Unknown
107671	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
107672	2020-01-09T10:24:26.003	High	635000	745000	855000	520	0.0405	Unknown	Unknown
107673	2020-02-05T19:29:12.873	High	760000	880000	1000000			Unknown	Unknown
107674	2020-02-05T19:29:12.873	High	630000	730000	830000	520	0.0405	Unknown	Unknown
107675	2020-02-05T19:29:12.873	High	665000	780000	895000	520	0.0405	Unknown	Unknown
107676	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
107677	2020-02-05T19:29:12.873	High	650000	760000	870000	520	0.0405	Unknown	Unknown
107678	2020-02-05T19:29:12.873	High	625000	735000	845000	480		Unknown	Unknown
107679	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
107680	2020-02-05T19:29:12.873	High	590000	685000	780000	480		Unknown	Unknown
107681	2020-02-05T19:29:12.873	High	695000	810000	925000	520	0.0405	Unknown	Unknown
107682	2020-02-05T19:29:12.873	High	595000	695000	795000	480		Unknown	Unknown
107683	2020-02-05T19:29:12.873	High	620000	725000	830000	520	0.0405	Unknown	Unknown
107684	2020-02-05T19:29:12.873	High	620000	725000	830000	520	0.0405	Unknown	Unknown
107685	2020-02-05T19:29:12.873	High	625000	735000	845000	520	0.0405	Unknown	Unknown
107686	2020-02-05T19:29:12.873	High	690000	805000	920000			Unknown	Unknown
107687	2020-01-29T09:57:42.103	High	655000	755000	855000			Unknown	Unknown
107688	2020-02-05T19:29:12.873	High	620000	725000	830000	520	0.0405	Unknown	Unknown
