StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
108426	EX-8186-GW	462000	2011-11-07					False	False	13	5	4	House	House	2	4	673
108427	RS-7279-RT	406000	2007-07-26					False	False	6	7	2	House	House	2	3	1097
108428	RP-6763-SK	340000	2003-11-25					False	False	5	7		House	House		3	952
108429	IG-8808-AW	580000	2019-06-21					False	False	4	7	2	House	House	2	3	885
108430	VW-1554-CU	175000	1996-07-29					False	False	21	4		House	House			773
108431	ZE-1980-DN	116000	1999-11-02					False	False	3	7		House	House			885
108432	CX-3242-WZ							False	False				House	House			
108433	NR-5261-OS							False	False				House	House			
108434	KF-5338-GK	500000	2018-04-19					False	False	9	5		House	House			893
108435	NU-5308-SD							False	False				House	House			
108436	EI-5772-QX	399950	2009-05-29					False	False	21	3	1	House	House	1	3	744
108437	DH-0422-QZ	50000	1993-04-21					False	False	24	6		House	House			948
108438	FD-3043-IA	542000	2018-06-08	Elders Real Estate Belconnen	430	2015	11	False	False	22	3	2	House	House	1	3	669
108439	NU-5305-WQ							False	False				House	House			
108440	RN-1568-HI	395000	2009-11-05					False	False	1	3	1	House	House	1	3	743
108441	NL-8454-TY	156660	2010-02-02					False	False	22	6		House	House			968
108442	KL-9294-XO							False	False				House	House			
108443	FI-6387-ND	240000	2004-08-10					False	False	21	6	0	House	House	2	4	968
108444	RF-9370-JL	663000	2018-03-24					False	False	10	7	2	House	House	2	4	824
108445	ID-0119-TK			Ray White Canberra	485	2019	10	False	False	42	2	1	House	House	1	3	780
108446	GA-8523-UV	135000	1993-09-06					False	False	20	6		House	House			954
108447	GJ-2321-TU	343000	2008-09-17					False	False	1	2	2	House	House	1	3	837
108448	FH-2794-IP	265000	2002-08-28					False	False	19	6		House	House			954
108449	IE-9433-LK	368000	2007-11-19					False	False	2	2		House	House			660
108450	KI-5596-QA	680000	2018-08-29	Key Real Estate ACT	0	2019	303	True	False	18	6	4	House	House	1	4	899
108451	VT-5853-CJ	460000	2013-04-02					False	False	3	2	2	House	House	2	3	692
108452	UT-0047-IM	140000	2001-11-12					False	False	17	6		House	House			899
108453	BV-3596-DY							False	False	4	2		House	House			725
108454	NQ-5310-RX							False	False				House	House			
108455	UC-8677-HV	470500	2015-09-02	At Home	480	2018	16	True	False	10	5	1	House	House	2	4	805
108456	XT-8384-CE	448000	2011-06-03					False	False	5	2	2	House	House	1	3	770
108457	JV-3843-PJ	222500	2002-03-26					False	False	15	6		House	House			1410
108458	BY-9834-SP							False	False	6	2		House	House			788
108459	GW-8110-YD							False	False				House	House			
108460	KX-5342-ZA							False	False				House	House			
108461	FC-8424-YQ	274950	2005-08-12					False	False	13	6		House	House		3	740
108462	BX-2703-EZ	114000	1998-12-23					False	False	8	2		House	House			861
108463	GU-2416-VD							False	False				House	House			
108464	QC-3574-YM			LJH Belconnen	340	2015		False	False			0	Unit	Duplex	1	2	
108465	HC-2801-IZ							False	False				House	House			
108466	TB-2350-TA	343000	2007-03-31					False	False	9	7	2	House	House	1	3	790
108467	WW-4174-IH	395000	2012-10-04					False	False	10	2		House	House			790
108468	GV-4299-RB							False	False				House	House			
108469	CB-0638-EC							False	False				House	House			
108470	CE-5153-NK							False	False				House	House			
108471	OV-9615-ZW	445000	2012-03-26					False	False	12	2		House	House			697
108472	KI-7485-IK							False	False				House	House			
108473	XR-0067-OL	550000	2019-03-28	Trusted Realtors	500	2019	21	True	False	14	2	1	House	House	1	3	718
108474	PQ-5182-GL	120000	1992-04-10					False	False	49	1		House	House			700
108475	CE-2294-DW							False	False				House	House			
108476	IE-9396-YJ	136000	2000-08-28					False	False	15	2		House	House		3	735
108477	ZY-5922-JJ	540000	2018-11-07					False	False	48	1	4	House	House	1	3	696
108478	QW-9763-YE	407000	2009-12-10					False	False	16	2		House	House		3	769
108479	WB-3912-AS		2015-08-12	Hodgkinson Real Estate	365	2014	92	False	False	47	1	1	House	House	1	3	687
108480	JW-4353-YW							False	False	17	2		House	House			983
108481	IN-3067-HC							False	False				House	House			
108482	RX-3052-PP	620000	2019-08-10	Peter Blackshaw Real Estate Gungahlin	540	2019	21	True	False	18	2	1	House	House	2	4	997
108483	GO-3057-WL	116000	1995-12-11					False	False	45	1		House	House			685
108484	AW-0004-GA	440000	2015-05-13	Elders Real Estate Belconnen	350	2008	7	False	False	19	2	2	House	House	1	4	883
108485	TX-7653-UX	395000	2011-03-21	LJH Kippax	390	2009	62	False	False	44	1	1	House	House	1	3	732
108486	DL-6482-OP	134000	1993-03-11					False	False	8	7		House	House			895
108487	KX-2154-ZN							False	False				House	House			
108488	KX-8971-AR							False	False				House	House			
108489	BV-1852-EN							False	False				House	House			
108490	KG-6131-MF	395000	2014-12-19					False	False	42	1	2	House	House	1	3	866
108491	MW-1287-PQ	149500	2001-04-05					False	False	22	2		House	House			757
108492	GN-8706-UJ	405000	2014-09-30					False	False	41	1	2	House	House	1	3	737
108493	KV-0981-WS							False	False				House	House			
108494	ZF-4737-QB	241000	2002-09-03					False	False	3	9		House	House			902
108495	IK-9790-BQ							False	False				House	House			
108496	RG-9879-TR	118000	1997-01-21					False	False	12	5		House	House			787
108497	FG-6300-JV	410000	2005-04-22					False	False	4	9	0	House	House	2	3	698
108498	XW-2056-UX	269000	2007-04-05					False	False	38	1		House	House			651
108499	PQ-9996-TG	550000	2018-08-15					False	False	37	1	2	House	House	1	3	619
108500	SU-7263-GC	115000	2001-01-29					False	False	36	1		House	House			608
108501	PY-0372-MQ	591000	2017-12-16					False	False	35	1	1	House	House	1	3	624
108502	IJ-9108-YP							False	False				House	House			
108503	SU-0403-IM	530000	2011-08-24					False	False	7	7	1	House	House	2	4	1516
108504	KV-0659-NV							False	False				House	House			
108505	QB-6278-CI	365000	2009-08-17					False	False	32	1	0	House	House	1	3	605
108506	RI-6393-JP	255000	2005-07-27					False	False	31	1	0	House	House	1	3	615
108507	IJ-3919-IQ	155500	2001-11-09					False	False	30	1		House	House		3	615
108508	ZH-7648-WZ	221600	2002-10-04					False	False	29	1		House	House			634
108509	EW-6168-CK							False	False				House	House			
108510	ER-9239-FY							False	False				House	House			
108511	SS-3043-HH	130500	1999-02-19					False	False	10	32		House	House			921
108512	CH-8698-SQ	153000	1993-11-30					False	False	7	32		House	House			1265
108513	MD-5002-RE							False	False				House	House			
108514	FP-3665-HB	298000	2003-07-30					False	False	8	32		House	House		3	946
108515	YK-1160-CD	110000	1992-06-04					False	False	30	41		House	House			681
108516	UM-3542-OA	128000	1999-03-18					False	False	27	34		House	House			909
108517	VS-8383-TJ							False	False				House	House			
108518	TV-8430-YY							False	False				House	House			
108519	MW-1865-IK	386500	2008-02-07					False	False	6	35		House	House			755
108520	BQ-8424-XQ	449000	2008-05-23	LJH Kippax	560	2010	11	True	False	29	34	2	House	House	3	5	1009
108521	ZN-6702-TI	500000	2017-02-18					False	False	5	35	1	House	House	1	3	749
108522	PW-5535-GJ							False	False				House	House			
108523	LK-3351-PA	540000	2018-06-21					False	False	4	35	1	House	House	1	3	749
108524	ZN-1570-SQ	106000	1999-09-21					False	False	3	35		House	House			747
108525	CH-9589-GX	152000	1993-03-01					False	False	23	34		House	House			802
