StreetAddressID	POI	Distance
109784	City GPO	1.6
109784	Major Shopping Centre - Kippax Fair	1.6
109784	Hospital - Calvary Private Hospital	8.5
109784	Primary School - MacGregor Primary	1.4
109784	High School - Melba Copland High School, Melba	4.4
109784	College - St Francis Xavier College	3.5
109784	University - University Of Canberra, Bruce	7.8
109785	City GPO	1.7
109785	Major Shopping Centre - Kippax Fair	1.7
109785	Hospital - Calvary Private Hospital	8.5
109785	Primary School - MacGregor Primary	1.4
109785	High School - Belconnen High School, Hawker	4.4
109785	College - St Francis Xavier College	3.6
109785	University - University Of Canberra, Bruce	7.8
109786	City GPO	1.7
109786	Major Shopping Centre - Kippax Fair	1.7
109786	Hospital - Calvary Private Hospital	8.5
109786	Primary School - MacGregor Primary	1.4
109786	High School - Melba Copland High School, Melba	4.4
109786	College - St Francis Xavier College	3.5
109786	University - University Of Canberra, Bruce	7.8
109787	City GPO	1.7
109787	Major Shopping Centre - Kippax Fair	1.7
109787	Hospital - Calvary Private Hospital	8.5
109787	Primary School - MacGregor Primary	1.4
109787	High School - Belconnen High School, Hawker	4.4
109787	College - St Francis Xavier College	3.6
109787	University - University Of Canberra, Bruce	7.8
109788	City GPO	1.7
109788	Major Shopping Centre - Kippax Fair	1.7
109788	Hospital - Calvary Private Hospital	8.5
109788	Primary School - MacGregor Primary	1.4
109788	High School - Melba Copland High School, Melba	4.4
109788	College - St Francis Xavier College	3.5
109788	University - University Of Canberra, Bruce	7.8
109789	City GPO	1.7
109789	Major Shopping Centre - Kippax Fair	1.7
109789	Hospital - Calvary Private Hospital	8.5
109789	Primary School - MacGregor Primary	1.4
109789	High School - Belconnen High School, Hawker	4.4
109789	College - St Francis Xavier College	3.6
109789	University - University Of Canberra, Bruce	7.8
109790	City GPO	1.7
109790	Major Shopping Centre - Kippax Fair	1.7
109790	Hospital - Calvary Private Hospital	8.5
109790	Primary School - MacGregor Primary	1.4
109790	High School - Melba Copland High School, Melba	4.4
109790	College - St Francis Xavier College	3.6
109790	University - University Of Canberra, Bruce	7.8
109791	City GPO	1.7
109791	Major Shopping Centre - Kippax Fair	1.7
109791	Hospital - Calvary Private Hospital	8.5
109791	Primary School - MacGregor Primary	1.5
109791	High School - Belconnen High School, Hawker	4.4
109791	College - St Francis Xavier College	3.6
109791	University - University Of Canberra, Bruce	7.8
109792	City GPO	1.7
109792	Major Shopping Centre - Kippax Fair	1.7
109792	Hospital - Calvary Private Hospital	8.6
109792	Primary School - MacGregor Primary	1.5
109792	High School - Belconnen High School, Hawker	4.5
109792	College - St Francis Xavier College	3.6
109792	University - University Of Canberra, Bruce	7.9
109793	City GPO	1.6
109793	Major Shopping Centre - Kippax Fair	1.6
109793	Hospital - Calvary Private Hospital	8.4
109793	Primary School - MacGregor Primary	1.4
109793	High School - Belconnen High School, Hawker	4.4
109793	College - St Francis Xavier College	3.5
109793	University - University Of Canberra, Bruce	7.7
109794	City GPO	1.7
109794	Major Shopping Centre - Kippax Fair	1.7
109794	Hospital - Calvary Private Hospital	8.6
109794	Primary School - MacGregor Primary	1.5
109794	High School - Belconnen High School, Hawker	4.5
109794	College - St Francis Xavier College	3.6
109794	University - University Of Canberra, Bruce	7.9
109795	City GPO	1.7
109795	Major Shopping Centre - Kippax Fair	1.7
109795	Hospital - Calvary Private Hospital	8.6
109795	Primary School - MacGregor Primary	1.4
109795	High School - Belconnen High School, Hawker	4.5
109795	College - St Francis Xavier College	3.6
109795	University - University Of Canberra, Bruce	7.9
109796	City GPO	1.6
109796	Major Shopping Centre - Kippax Fair	1.6
109796	Hospital - Calvary Private Hospital	8.5
109796	Primary School - MacGregor Primary	1.4
109796	High School - Belconnen High School, Hawker	4.4
109796	College - St Francis Xavier College	3.5
109796	University - University Of Canberra, Bruce	7.8
109797	City GPO	1.6
109797	Major Shopping Centre - Kippax Fair	1.6
109797	Hospital - Calvary Private Hospital	8.5
109797	Primary School - MacGregor Primary	1.4
109797	High School - Belconnen High School, Hawker	4.4
109797	College - St Francis Xavier College	3.5
109797	University - University Of Canberra, Bruce	7.7
109798	City GPO	1.6
109798	Major Shopping Centre - Kippax Fair	1.6
109798	Hospital - Calvary Private Hospital	8.5
109798	Primary School - MacGregor Primary	1.4
109798	High School - Belconnen High School, Hawker	4.4
109798	College - St Francis Xavier College	3.5
109798	University - University Of Canberra, Bruce	7.8
109799	City GPO	1.6
109799	Major Shopping Centre - Kippax Fair	1.6
109799	Hospital - Calvary Private Hospital	8.5
109799	Primary School - MacGregor Primary	1.4
109799	High School - Belconnen High School, Hawker	4.4
109799	College - St Francis Xavier College	3.5
109799	University - University Of Canberra, Bruce	7.8
109800	City GPO	1.7
109800	Major Shopping Centre - Kippax Fair	1.7
109800	Hospital - Calvary Private Hospital	8.5
109800	Primary School - MacGregor Primary	1.4
109800	High School - Belconnen High School, Hawker	4.4
109800	College - St Francis Xavier College	3.5
109800	University - University Of Canberra, Bruce	7.8
109801	City GPO	1.6
109801	Major Shopping Centre - Kippax Fair	1.6
109801	Hospital - Calvary Private Hospital	8.5
109801	Primary School - MacGregor Primary	1.4
109801	High School - Belconnen High School, Hawker	4.4
109801	College - St Francis Xavier College	3.5
109801	University - University Of Canberra, Bruce	7.8
109802	City GPO	1.7
109802	Major Shopping Centre - Kippax Fair	1.7
109802	Hospital - Calvary Private Hospital	8.5
109802	Primary School - MacGregor Primary	1.4
109802	High School - Belconnen High School, Hawker	4.4
109802	College - St Francis Xavier College	3.5
109802	University - University Of Canberra, Bruce	7.8
109803	City GPO	1.7
109803	Major Shopping Centre - Kippax Fair	1.7
109803	Hospital - Calvary Private Hospital	8.5
109803	Primary School - MacGregor Primary	1.4
109803	High School - Belconnen High School, Hawker	4.4
109803	College - St Francis Xavier College	3.5
109803	University - University Of Canberra, Bruce	7.8
109804	City GPO	0.8
109804	Major Shopping Centre - Kippax Fair	0.8
109804	Hospital - Calvary Private Hospital	7.7
109804	Primary School - MacGregor Primary	0.8
109804	High School - Melba Copland High School, Melba	3.4
109804	College - St Francis Xavier College	2.6
109804	University - University Of Canberra, Bruce	6.9
109805	City GPO	0.8
109805	Major Shopping Centre - Kippax Fair	0.8
109805	Hospital - Calvary Private Hospital	7.8
109805	Primary School - MacGregor Primary	0.8
109805	High School - Melba Copland High School, Melba	3.5
109805	College - St Francis Xavier College	2.7
109805	University - University Of Canberra, Bruce	7.0
109806	City GPO	0.8
109806	Major Shopping Centre - Kippax Fair	0.8
109806	Hospital - Calvary Private Hospital	7.8
109806	Primary School - MacGregor Primary	0.8
109806	High School - Melba Copland High School, Melba	3.5
109806	College - St Francis Xavier College	2.7
109806	University - University Of Canberra, Bruce	7.0
109807	City GPO	0.8
109807	Major Shopping Centre - Kippax Fair	0.8
109807	Hospital - Calvary Private Hospital	7.8
109807	Primary School - MacGregor Primary	0.7
109807	High School - Melba Copland High School, Melba	3.5
109807	College - St Francis Xavier College	2.7
109807	University - University Of Canberra, Bruce	7.0
109808	City GPO	0.9
109808	Major Shopping Centre - Kippax Fair	0.9
109808	Hospital - Calvary Private Hospital	7.8
109808	Primary School - MacGregor Primary	0.8
109808	High School - Melba Copland High School, Melba	3.6
109808	College - St Francis Xavier College	2.7
109808	University - University Of Canberra, Bruce	7.0
109809	City GPO	0.9
109809	Major Shopping Centre - Kippax Fair	0.9
109809	Hospital - Calvary Private Hospital	7.8
109809	Primary School - MacGregor Primary	0.8
109809	High School - Melba Copland High School, Melba	3.5
109809	College - St Francis Xavier College	2.7
109809	University - University Of Canberra, Bruce	7.0
109810	City GPO	0.9
109810	Major Shopping Centre - Kippax Fair	0.9
109810	Hospital - Calvary Private Hospital	7.8
109810	Primary School - MacGregor Primary	0.8
109810	High School - Melba Copland High School, Melba	3.5
109810	College - St Francis Xavier College	2.7
109810	University - University Of Canberra, Bruce	7.1
109811	City GPO	0.9
109811	Major Shopping Centre - Kippax Fair	0.9
109811	Hospital - Calvary Private Hospital	7.9
109811	Primary School - MacGregor Primary	0.8
109811	High School - Melba Copland High School, Melba	3.6
109811	College - St Francis Xavier College	2.8
109811	University - University Of Canberra, Bruce	7.1
109812	City GPO	0.9
109812	Major Shopping Centre - Kippax Fair	0.9
109812	Hospital - Calvary Private Hospital	7.9
109812	Primary School - MacGregor Primary	0.8
109812	High School - Melba Copland High School, Melba	3.6
109812	College - St Francis Xavier College	2.8
109812	University - University Of Canberra, Bruce	7.1
109813	City GPO	0.9
109813	Major Shopping Centre - Kippax Fair	0.9
109813	Hospital - Calvary Private Hospital	7.9
109813	Primary School - MacGregor Primary	0.9
109813	High School - Melba Copland High School, Melba	3.6
109813	College - St Francis Xavier College	2.8
109813	University - University Of Canberra, Bruce	7.1
109814	City GPO	0.9
109814	Major Shopping Centre - Kippax Fair	0.9
109814	Hospital - Calvary Private Hospital	7.9
109814	Primary School - MacGregor Primary	0.8
109814	High School - Melba Copland High School, Melba	3.6
109814	College - St Francis Xavier College	2.8
109814	University - University Of Canberra, Bruce	7.1
109815	City GPO	0.9
109815	Major Shopping Centre - Kippax Fair	0.9
109815	Hospital - Calvary Private Hospital	7.9
109815	Primary School - MacGregor Primary	0.9
109815	High School - Melba Copland High School, Melba	3.7
109815	College - St Francis Xavier College	2.8
109815	University - University Of Canberra, Bruce	7.1
109816	City GPO	1.0
109816	Major Shopping Centre - Kippax Fair	1.0
109816	Hospital - Calvary Private Hospital	7.9
109816	Primary School - MacGregor Primary	0.8
109816	High School - Melba Copland High School, Melba	3.6
109816	College - St Francis Xavier College	2.8
109816	University - University Of Canberra, Bruce	7.2
109817	City GPO	1.0
109817	Major Shopping Centre - Kippax Fair	1.0
109817	Hospital - Calvary Private Hospital	7.9
109817	Primary School - MacGregor Primary	0.8
109817	High School - Melba Copland High School, Melba	3.7
109817	College - St Francis Xavier College	2.8
109817	University - University Of Canberra, Bruce	7.1
109818	City GPO	0.7
109818	Major Shopping Centre - Kippax Fair	0.7
109818	Hospital - Calvary Private Hospital	7.7
109818	Primary School - MacGregor Primary	0.9
109818	High School - Melba Copland High School, Melba	3.4
109818	College - St Francis Xavier College	2.6
109818	University - University Of Canberra, Bruce	6.9
109819	City GPO	1.0
109819	Major Shopping Centre - Kippax Fair	1.0
109819	Hospital - Calvary Private Hospital	7.9
109819	Primary School - MacGregor Primary	0.8
109819	High School - Melba Copland High School, Melba	3.7
109819	College - St Francis Xavier College	2.9
109819	University - University Of Canberra, Bruce	7.2
109820	City GPO	1.0
109820	Major Shopping Centre - Kippax Fair	1.0
109820	Hospital - Calvary Private Hospital	7.9
109820	Primary School - MacGregor Primary	0.8
109820	High School - Melba Copland High School, Melba	3.7
109820	College - St Francis Xavier College	2.8
109820	University - University Of Canberra, Bruce	7.2
109821	City GPO	1.0
109821	Major Shopping Centre - Kippax Fair	1.0
109821	Hospital - Calvary Private Hospital	7.9
109821	Primary School - MacGregor Primary	0.9
109821	High School - Melba Copland High School, Melba	3.7
109821	College - St Francis Xavier College	2.9
109821	University - University Of Canberra, Bruce	7.2
109822	City GPO	1.0
109822	Major Shopping Centre - Kippax Fair	1.0
109822	Hospital - Calvary Private Hospital	7.9
109822	Primary School - MacGregor Primary	0.9
109822	High School - Melba Copland High School, Melba	3.7
109822	College - St Francis Xavier College	2.9
109822	University - University Of Canberra, Bruce	7.2
109823	City GPO	1.0
109823	Major Shopping Centre - Kippax Fair	1.0
109823	Hospital - Calvary Private Hospital	8.0
109823	Primary School - MacGregor Primary	0.9
109823	High School - Melba Copland High School, Melba	3.7
109823	College - St Francis Xavier College	2.9
109823	University - University Of Canberra, Bruce	7.2
109824	City GPO	1.0
109824	Major Shopping Centre - Kippax Fair	1.0
109824	Hospital - Calvary Private Hospital	8.0
109824	Primary School - MacGregor Primary	0.9
109824	High School - Melba Copland High School, Melba	3.8
109824	College - St Francis Xavier College	2.9
109824	University - University Of Canberra, Bruce	7.2
109825	City GPO	0.7
109825	Major Shopping Centre - Kippax Fair	0.7
109825	Hospital - Calvary Private Hospital	7.7
109825	Primary School - MacGregor Primary	0.8
109825	High School - Melba Copland High School, Melba	3.4
109825	College - St Francis Xavier College	2.6
109825	University - University Of Canberra, Bruce	6.9
109826	City GPO	1.0
109826	Major Shopping Centre - Kippax Fair	1.0
109826	Hospital - Calvary Private Hospital	8.0
109826	Primary School - MacGregor Primary	0.9
109826	High School - Melba Copland High School, Melba	3.8
109826	College - St Francis Xavier College	2.9
109826	University - University Of Canberra, Bruce	7.2
109827	City GPO	1.0
109827	Major Shopping Centre - Kippax Fair	1.0
109827	Hospital - Calvary Private Hospital	8.0
109827	Primary School - MacGregor Primary	0.9
109827	High School - Melba Copland High School, Melba	3.8
109827	College - St Francis Xavier College	2.9
109827	University - University Of Canberra, Bruce	7.2
109828	City GPO	1.1
109828	Major Shopping Centre - Kippax Fair	1.1
109828	Hospital - Calvary Private Hospital	8.0
109828	Primary School - MacGregor Primary	1.0
109828	High School - Melba Copland High School, Melba	3.8
109828	College - St Francis Xavier College	2.9
109828	University - University Of Canberra, Bruce	7.2
109829	City GPO	1.1
109829	Major Shopping Centre - Kippax Fair	1.1
109829	Hospital - Calvary Private Hospital	8.0
109829	Primary School - MacGregor Primary	1.0
109829	High School - Melba Copland High School, Melba	3.8
109829	College - St Francis Xavier College	2.9
109829	University - University Of Canberra, Bruce	7.2
109830	City GPO	1.0
109830	Major Shopping Centre - Kippax Fair	1.0
109830	Hospital - Calvary Private Hospital	7.9
109830	Primary School - MacGregor Primary	1.0
109830	High School - Melba Copland High School, Melba	3.7
109830	College - St Francis Xavier College	2.9
109830	University - University Of Canberra, Bruce	7.1
109831	City GPO	0.7
109831	Major Shopping Centre - Kippax Fair	0.7
109831	Hospital - Calvary Private Hospital	7.7
109831	Primary School - MacGregor Primary	0.8
109831	High School - Melba Copland High School, Melba	3.4
109831	College - St Francis Xavier College	2.6
109831	University - University Of Canberra, Bruce	6.9
109832	City GPO	1.1
109832	Major Shopping Centre - Kippax Fair	1.1
109832	Hospital - Calvary Private Hospital	8.0
109832	Primary School - MacGregor Primary	1.0
109832	High School - Melba Copland High School, Melba	3.8
109832	College - St Francis Xavier College	3.0
109832	University - University Of Canberra, Bruce	7.2
109833	City GPO	1.0
109833	Major Shopping Centre - Kippax Fair	1.0
109833	Hospital - Calvary Private Hospital	7.9
109833	Primary School - MacGregor Primary	1.0
109833	High School - Melba Copland High School, Melba	3.7
109833	College - St Francis Xavier College	2.9
109833	University - University Of Canberra, Bruce	7.1
109834	City GPO	1.0
109834	Major Shopping Centre - Kippax Fair	1.0
109834	Hospital - Calvary Private Hospital	8.0
109834	Primary School - MacGregor Primary	1.0
109834	High School - Melba Copland High School, Melba	3.8
109834	College - St Francis Xavier College	2.9
109834	University - University Of Canberra, Bruce	7.2
109835	City GPO	1.0
109835	Major Shopping Centre - Kippax Fair	1.0
109835	Hospital - Calvary Private Hospital	7.9
109835	Primary School - MacGregor Primary	1.0
109835	High School - Melba Copland High School, Melba	3.7
109835	College - St Francis Xavier College	2.8
109835	University - University Of Canberra, Bruce	7.1
109836	City GPO	0.9
109836	Major Shopping Centre - Kippax Fair	0.9
109836	Hospital - Calvary Private Hospital	7.8
109836	Primary School - MacGregor Primary	1.0
109836	High School - Melba Copland High School, Melba	3.7
109836	College - St Francis Xavier College	2.8
109836	University - University Of Canberra, Bruce	7.1
109837	City GPO	1.0
109837	Major Shopping Centre - Kippax Fair	1.0
109837	Hospital - Calvary Private Hospital	7.9
109837	Primary School - MacGregor Primary	1.0
109837	High School - Melba Copland High School, Melba	3.8
109837	College - St Francis Xavier College	2.9
109837	University - University Of Canberra, Bruce	7.2
109838	City GPO	0.9
109838	Major Shopping Centre - Kippax Fair	0.9
109838	Hospital - Calvary Private Hospital	7.8
109838	Primary School - MacGregor Primary	1.0
109838	High School - Melba Copland High School, Melba	3.7
109838	College - St Francis Xavier College	2.8
109838	University - University Of Canberra, Bruce	7.1
109839	City GPO	1.0
109839	Major Shopping Centre - Kippax Fair	1.0
109839	Hospital - Calvary Private Hospital	7.9
109839	Primary School - MacGregor Primary	1.1
109839	High School - Melba Copland High School, Melba	3.8
109839	College - St Francis Xavier College	2.9
109839	University - University Of Canberra, Bruce	7.2
109840	City GPO	0.9
109840	Major Shopping Centre - Kippax Fair	0.9
109840	Hospital - Calvary Private Hospital	7.8
109840	Primary School - MacGregor Primary	1.0
109840	High School - Melba Copland High School, Melba	3.7
109840	College - St Francis Xavier College	2.8
109840	University - University Of Canberra, Bruce	7.1
109841	City GPO	1.0
109841	Major Shopping Centre - Kippax Fair	1.0
109841	Hospital - Calvary Private Hospital	7.9
109841	Primary School - MacGregor Primary	1.1
109841	High School - Melba Copland High School, Melba	3.8
109841	College - St Francis Xavier College	2.9
109841	University - University Of Canberra, Bruce	7.2
109842	City GPO	1.0
109842	Major Shopping Centre - Kippax Fair	1.0
109842	Hospital - Calvary Private Hospital	7.9
109842	Primary School - MacGregor Primary	1.1
109842	High School - Melba Copland High School, Melba	3.8
109842	College - St Francis Xavier College	2.9
109842	University - University Of Canberra, Bruce	7.1
109843	City GPO	0.8
109843	Major Shopping Centre - Kippax Fair	0.8
109843	Hospital - Calvary Private Hospital	7.7
109843	Primary School - MacGregor Primary	1.1
109843	High School - Melba Copland High School, Melba	3.6
109843	College - St Francis Xavier College	2.7
109843	University - University Of Canberra, Bruce	7.0
109844	City GPO	1.0
109844	Major Shopping Centre - Kippax Fair	1.0
109844	Hospital - Calvary Private Hospital	7.8
109844	Primary School - MacGregor Primary	1.1
109844	High School - Melba Copland High School, Melba	3.7
109844	College - St Francis Xavier College	2.8
109844	University - University Of Canberra, Bruce	7.1
109845	City GPO	0.8
109845	Major Shopping Centre - Kippax Fair	0.8
109845	Hospital - Calvary Private Hospital	7.7
109845	Primary School - MacGregor Primary	1.1
109845	High School - Melba Copland High School, Melba	3.6
109845	College - St Francis Xavier College	2.7
109845	University - University Of Canberra, Bruce	7.0
109846	City GPO	0.9
109846	Major Shopping Centre - Kippax Fair	0.9
