StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
112522	PY-0835-IR	620000	2018-09-24					False	False	12	6		House	House			912
112523	CD-0008-JL							False	False				House	House			
112524	SH-9081-NL							False	False	11	6		House	House			
112525	QG-6379-KA	369000	2009-03-04	Distinct Property Management	490	2018	7	True	False	16	5	5	House	House	1	3	759
112526	HW-9866-NG	173000	1994-06-17					False	False	28	8		House	House			881
112527	LU-6438-II	115000	1996-01-31					False	False	17	5		House	House			759
112528	MY-0269-HD	285000	2003-10-29					False	False	27	8		House	House			754
112529	HP-0263-FG							False	False				House	House			
112530	MY-0248-YO	465000	2015-08-13					False	False	26	8	1	House	House	1	4	653
112531	LW-3155-XU	132000	2000-02-08					False	False	19	5		House	House			810
112532	WI-9802-RO							False	False	25	8	0	House	House	1	4	628
112533	HV-4826-TC	289000	2003-04-03					False	False	16	6		House	House		4	761
112534	KQ-9305-MN	141950	2000-05-15					False	False	11	5	1	House	House	1	3	634
112535	DU-3106-FD							False	False	15	6		House	House			821
112536	QA-0639-IK	485000	2016-06-30	LJH Kippax	500	2017	27	True	False	12	5	2	House	House	2	3	654
112537	JH-8554-FH							False	False	14	6		House	House			886
112538	XH-6402-ME	455000	2015-05-07					False	False	13	5	2	House	House	2	4	698
112539	MX-5951-ZO	162000	1994-07-08					False	False	13	6		House	House			977
112540	BG-2751-RG	99950	1997-05-06					False	False	4	111	1	House	House	1	3	555
112541	BF-4307-YG	125000	2001-04-10					False	False	3	111		House	House			460
112542	KZ-3246-HX	110000	1999-09-21					False	False	2	111		House	House			460
112543	AU-3210-ID	460000	2018-02-10	Ray White Canberra	480	2018	5	True	False	1	111	0	House	House	1	3	460
112544	UX-1674-FC							False	False				House	House			
112545	OX-0034-QF	460000	2019-02-09					False	False	14	74	1	House	House	1	2	432
112546	UW-3482-GA							False	False				House	House			
112547	ZT-4139-OI	480000	2019-09-14					False	False	16	74	1	House	House	1	2	297
112548	GN-2207-KV	377000	2016-03-10					False	False	10	74	2	House	House	1	3	555
112549	DN-4339-ME	275000	2007-05-18					False	False	4	75	1	House	House	1	2	386
112550	IB-5321-JN	270000	2008-07-10					False	False	11	74		House	House			291
112551	OP-4945-HF	456000	2017-06-28					False	False	3	75	1	House	House	1	2	386
112552	DV-6304-YS	170000	2012-11-29					False	False	12	74		House	House			291
112553	UR-3721-CI	377500	2018-02-28					False	False	2	75	1	House	House	1	2	364
112554	CK-4677-JG	405500	2016-09-27					False	False	13	74	1	House	House	1	2	389
112555	MG-8654-YC	139000	2001-11-20					False	False	1	75		House	House		2	320
112556	SZ-5576-VM	440000	2013-03-27					False	False	6	50	2	House	House	1	3	743
112557	GN-2395-TM							False	False				House	House			
112558	JV-5615-MB							False	False				House	House			
112559	CE-6873-LK	145000	1997-05-07					False	False	22	47		House	House			869
112560	KN-8041-TZ	442000	2016-05-14					False	False	5	50	2	House	House	1	3	861
112561	JL-8036-MX							False	False				House	House			
112562	JW-1986-GE							False	False				House	House			
112563	JM-4760-PD							False	False	19	47		House	House			904
112564	JT-6720-JM							False	False				House	House			
112565	JC-2861-SZ	528000	2017-01-16					False	False	20	47	1	House	House	2	4	818
112566	KL-4893-GW	169000	1997-12-23					False	False	2	50		House	House			780
112567	LA-4243-HU	277000	2005-08-25	PRDnationwide Canberra	440	2017	14	True	False	1	64	4	House	House	1	3	876
112568	PT-6592-UE	90000	1996-07-25	LJH Kippax	385	2010	14	True	False	6	63	0	House	House	1	3	664
112569	TH-2791-VQ							False	False	13	64		House	House			664
112570	AM-4517-DK	410000	2017-05-29					False	False	7	63		House	House			689
112571	MZ-2469-KP	320000	2006-08-08					False	False	12	64		House	House			664
112572	IV-7597-RH	420000	2016-02-18					False	False	8	63		House	House			789
112573	IQ-3650-PH	140000	1994-11-30					False	False	11	64		House	House			779
112574	MZ-4115-MX	99500	1999-08-25					False	False	9	63		House	House			648
112575	MV-9424-IS	108000	1998-12-04					False	False	10	63		House	House			719
112576	BR-8151-ZG	538000	2012-03-05					False	False	23	67	2	House	House	2	5	724
112577	RG-2247-ZK							False	False				House	House			
112578	HY-2494-PX	425000	2013-02-11	Luton Properties - Belconnen	395	2011	7	False	False	11	63	2		Other Residential	1	3	681
112579	HD-2545-WB	443000	2011-10-06					False	False	22	67	4	House	House	2	3	751
112580	SJ-0720-GY	92000	1991-11-04					False	False	12	63		House	House			
112581	TL-9852-UL	550000	2018-04-07	Agent Team Belconnen	525	2018	25	True	False	13	63	4	House	House	2	3	664
112582	TI-4453-KQ							False	False				House	House			
112583	WO-1264-BH	400000	2010-06-07					False	False	15	63	4	House	House	1	3	732
112584	TG-5013-JG	235000	2003-05-01					False	False	17	64		House	House		3	703
112585	CF-7259-OX	110000	2000-09-22					False	False	1	63		House	House			895
112586	PE-9562-RO							False	False				House	House			
112587	RG-3150-EX							False	False				House	House			
112588	LB-8601-UZ	440000	2012-04-30	Ray White Canberra	465	2019	18	True	False	21	62	2	House	House	2	4	699
112589	RQ-9010-PW	8000	2013-12-18					False	False	3	63		House	House			751
112590	US-4551-HA	295000	2005-10-31					False	False	9	62		House	House			878
112591	HY-9738-LD	520000	2017-10-21	Instyle Estate Agents Projects	420	2017	172	False	False	16	64	1		Other Residential	1	3	664
112592	XB-0011-YG							False	False	4	63		House	House			664
112593	HY-9982-WL	280000	2007-02-17					False	False	15	64		House	House			664
112594	PG-7223-WV							False	False				House	House			
112595	PT-9190-WF	385000	2014-05-09					False	False	14	64		House	House			664
112596	RG-0859-GL							False	False				House	House			
112597	TS-7446-NW	284000	2007-02-01					False	False	14	62		House	House		4	1003
112598	XR-3789-YH	224000	2004-06-25					False	False	15	62		House	House			828
