StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
118293	UW-1566-KV							False	False	4	53		House	House			786
118294	RY-9170-VF	190000	1992-05-04					False	False	3	53		House	House			1216
118295	BD-3386-ML							False	False	2	53		House	House			752
118296	RZ-3013-KC	470000	2010-04-12					False	False	1	53		House	House			912
118297	TV-9189-TW	416500	2009-07-17	Sadil Quinlan	370	2008		False	False	11	54	3	House	House	2	3	907
118298	SC-6588-AB	245000	2003-03-06					False	False	10	54		House	House		3	1007
118299	JJ-8003-KI	128000	1998-08-14					False	False	9	54		House	House			817
118300	RZ-0819-KL							False	False	8	54		House	House			837
118301	AV-2734-UW	420000	2018-02-05					False	False	7	54		House	House			791
118302	XT-6635-JZ	390000	2009-07-29					False	False	10	52	2	House	House	2	5	768
118303	JF-3910-VT			Wright Dunn Real Estate 	400	2015	36	False	False	6	54	2	House	House	1	3	876
118304	ZW-4285-SG							False	False				House	House			
118305	PA-0717-ZY	705000	2019-02-22					False	False	13	55	2	House	House	2	4	784
118306	AY-3910-YG	555000	2016-06-25					False	False	12	55	2	House	House	2	4	800
118307	PS-4956-VX	190000	2000-10-17					False	False	11	55		House	House			799
118308	UL-4691-WA							False	False				House	House			
118309	CR-6240-ZF	560000	2018-06-21					False	False	16	64		House	House			960
118310	PQ-9423-XY	485000	2008-01-17					False	False	15	64	1	House	House	2	4	868
118311	ZH-3783-UW							False	False				House	House			
118312	XC-4139-MI	505000	2013-04-11					False	False	13	64	3	House	House	2	3	891
118313	VY-2755-HL	760000	2018-10-06					False	False	12	64	2	House	House	2	4	795
118314	RA-8051-FT	410000	2012-01-13					False	False	11	64		House	House			789
118315	UE-4507-NX	145000	2004-12-16					False	False	10	64	2	House	House	1	3	790
118316	FC-2090-RM	372500	2007-12-15					False	False	9	64		House	House		3	1019
118317	RF-6876-NJ							False	False				House	House			
118318	RG-1328-FZ							False	False				House	House			
118319	XA-4425-PW							False	False				House	House			
118320	JI-7058-YI							False	False	5	50		House	House			748
118321	EU-0005-EV							False	False	20	56		House	House			892
118322	PA-4534-TI	103500	1991-06-28					False	False	21	56		House	House			
118323	SB-9200-IB	307500	2006-11-28					False	False	22	56		House	House		3	821
118324	OL-9747-NY	498000	2017-01-12	LJ Hooker Kippax	570	2017	22	True	False	6	49	2	House	House	2	4	774
118325	XO-3063-VI							False	False				House	House			
118326	XI-9621-DR							False	False	17	57	1	House	House	1	4	885
118327	XG-0727-GW							False	False	18	57		House	House			874
118328	OC-2161-WE	503000	2019-04-30					False	False	10	45	2	House	House	1	3	924
118329	XU-2554-XN							False	False				House	House			
