StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
119360	KR-3397-DY	175000	2002-05-10					False	False	2	164		House	House			224
119361	RN-3463-HA							False	False				House	House			
119362	IT-8553-YI	390000	2010-08-25	Badenoch Real Estate Sales	330	2010		False	False	6	164	1	House	House	1	2	327
119363	QG-2199-YQ	128000	1991-01-04					False	False	7	165		House	House			245
119364	NB-2896-FG	338500	2009-03-03	Elders Real Estate Belconnen	350	2008		False	False	7	164	1	House	House	1	2	242
119365	PN-3791-CD	360000	2013-05-15					False	False	8	164	0	House	House	1	2	242
119366	EN-6773-CN	117000	2001-02-16	LJH Belconnen	370	2010		True	False	9	164	1	House	House	1	2	242
119367	VY-5448-QG	358000	2008-08-21					False	False	8	165	1	House	House	1	3	196
119368	RL-6082-ZI	380000	2016-06-08					False	False	10	164		House	House			
119369	QB-8672-RL	455000	2013-09-12					False	False	13	165	1	House	House	2	3	197
119370	VR-0107-XJ	370000	2008-05-06	Blewitt Properties	500	2019	13	True	False	9	165	1	House	House	1	3	208
119371	RN-2384-IJ			IPG Inner North & City	290	2007	14	False	False			1	House	Townhouse	1	2	
119372	XG-4531-YT	395000	2016-05-19					False	False	10	165	1	House	House	1	3	
119373	PL-1258-QZ	275000	2005-09-21					False	False	11	165		House	House			242
119374	CB-5999-SH	350000	2014-08-19					False	False	3	164		House	House			262
119375	KB-6467-PC	560000	2019-09-27					False	False	14	165	1	House	House	2	3	261
119376	YQ-3170-AO	468000	2019-10-10	Luton Properties - Belconnen	440	2018	56	False	False	4	164	1	House	House	1	2	247
119377	KS-0786-RE	560000	2017-10-28					False	False	4	165		House	House			333
119378	QP-6962-BN	148000	1997-10-13					False	False	5	165		House	House			265
119379	QB-1162-MB	112000	1991-01-21					False	False	5	164		Unit	Unit			326
119380	QD-5632-LY	1660000	2009-01-01	LJ Hooker Belconnen	420	2018	10	True	True	1	115	1	Unit	Unit	1	3	
119381	ZU-5892-NT	114400	1999-06-25					False	True	1	114		Unit	Unit			
119382	FT-3659-TK							False	False				Unit	Unit			
119384	QX-2711-UX	1660000	2009-01-01	LJ Hooker Belconnen	430	2018	7	True	True	1	115	1	Unit	Unit	1	3	
119385	VU-9171-GQ	225000	2008-01-18					False	True	1	114		Unit	Unit			
119386	CZ-4904-LA							False	False				Unit	Unit			
119387	LG-0095-SG	1660000	2009-01-01	LJ Hooker Belconnen	0	2019		True	True	1	115	1	Unit	Unit	1	3	
119388	QO-7568-LZ	389000	2017-06-07	Agent Team Belconnen	420	2019	10	True	True	1	114	1	Unit	Unit	1	2	
119389	VJ-2559-BB							False	False				Unit	Unit			
119390	NI-7308-NG							False	False			1	House	Townhouse	1	3	
119391	SH-1293-EC	1660000	2009-01-01	LJ Hooker Belconnen	400	2017	21	True	True	1	115	1	Unit	Unit	1	3	
119392	IC-4051-RY	103800	1999-09-30					False	True	1	114		Unit	Unit			
119393	XR-5440-TI							False	False				House	House			
119395	YG-8475-HS							False	False				House	House			
119396	AT-2136-GY							False	False				House	House			
119397	DL-6975-NV							False	False				House	House			
119398	GI-0325-SG	1660000	2009-01-01					False	True	1	115	1	Unit	Unit	1	3	
119399	ED-6226-FI	113300	1999-06-25					False	True	1	114		Unit	Unit			
119400	TE-3078-PF							False	False				Unit	Unit			
119401	JU-9337-PW							False	False				House	House			
119402	JW-9304-KS							False	False			1	House	Townhouse	1	3	
119403	VW-2388-EV	1660000	2009-01-01	LJH Belconnen	430	2019	29	True	True	1	115	1	Unit	Unit	1	3	
119404	YM-8927-IA	260000	2006-06-07					False	True	1	114		Unit	Unit		2	
119405	SZ-1224-DX							False	False				Unit	Unit			
119406	OV-8420-AC			LJ Hooker Belconnen	360	2009	22	False	False			1	House	Townhouse	1	3	
119407	CZ-6256-WS	1660000	2009-01-01					False	True	1	115	1	Unit	Unit	1	3	
119408	ST-7006-FR	340000	2015-10-06	Bertram Ellis	390	2011	5	False	True	1	114	1	Unit	Unit	1	2	
119409	ER-3891-NY							False	False				Unit	Unit			
119410	XH-4936-IG	1660000	2009-01-01	LJ Hooker Belconnen	430	2019	6	True	True	1	115	1	Unit	Unit	1	3	
119411	BT-4352-JS	410000	2019-01-21	McIntyre Property	370	2016	70	False	True	1	114	1	Unit	Unit	1	3	
119412	SB-3754-MI							False	False				Unit	Unit			
119413	DX-5934-JT			LJ Hooker Belconnen	410	2011		False	False			1	House	Townhouse	1	3	
119414	AR-7855-OC	1660000	2009-01-01					False	True	1	115	1	Unit	Unit	1	3	
119415	XM-2308-HB							False	False				Unit	Unit			
119416	MN-3150-VQ	117000	1996-02-01	LJ Hooker Belconnen	385	2010	11	True	True	1	114	1	Unit	Unit	1	3	
119417	KF-3157-WY	1660000	2009-01-01	LJ Hooker Belconnen	400	2011		True	True	1	115	1	Unit	Unit	1	3	
119418	ZW-5864-LN							False	False				Unit	Unit			
119419	UL-5253-RH	111500	1997-03-26					False	True	1	114		Unit	Unit			
119420	GE-7938-FF			LJ Hooker Belconnen	365	2009	14	False	False			1	House	Townhouse	1	3	
119421	KP-0468-XL	1660000	2009-01-01	LJ Hooker Belconnen	560	2019		True	True	1	115	1	Unit	Unit	1	3	
119422	GW-6453-GV	399500	2013-08-28					False	True	1	114		Unit	Unit			
119423	GU-0905-PE							False	False				Unit	Unit			
119424	GJ-9636-OA	1660000	2009-01-01	LJH Belconnen	430	2019	15	True	True	1	115	1	Unit	Unit	1	3	
119425	MG-4038-IE	289000	2005-11-15					False	True	1	114		Unit	Unit			
119426	XS-1366-GT							False	False				Unit	Unit			
119427	XD-3667-JN							False	False			1	House	Townhouse	1	3	
119428	EE-6123-AC							False	False				House	House			
119429	IK-4976-JL							False	False				House	House			
119430	JF-8282-PU							False	False				House	House			
119431	YS-5639-NN							False	False				Commercial	Commercial			
119433	WG-8190-ZU							False	False				House	House			
119434	VV-1688-CW	250000	2002-06-20	Independent Property Management	420	2017	11	True	True	19	86	1	Unit	Unit	2	2	
119435	HT-2781-VD	412500	2015-12-21	Total Property Management - Bright Partners	450	2016	4	True	True	27	149	2	Unit	Unit	2	2	
119436	DF-7124-KX	390000	2017-11-23					False	True	22	86		Unit	Unit			
119437	FG-7003-TU	300000	2019-05-20					False	True	20	86		Commercial	Commercial			
119439	ZO-8547-IM	240000	2002-02-14					False	True	19	86	2	Unit	Unit	1	2	
119440	HV-0202-OM	340000	2018-08-23	Propertyentourage.com	0	2019	100	True	True	27	149	1	Unit	Unit	1	1	
119441	CH-3894-JM	425000	2018-07-04	Richard Luton Belconnen	440	2010	6	False	True	22	86	2	Unit	Unit	2	2	
119442	BO-8718-LO							False	True				Unit	Unit			
119444	KP-3052-QA	425000	2018-07-04					False	True			2	Unit	Unit	2	2	
119445	EZ-6977-KQ			LJH Belconnen	400	2014		False	True			1	Unit	Unit	2	2	
119446	BJ-3464-WZ							False	True			2	Unit	Unit	2	2	
119447	YJ-7281-HZ							False	True				Unit	Unit			
119448	FX-2781-PL							False	True				Unit	Unit			
119449	WQ-8970-CQ							False	True				Unit	Unit			
119450	VW-6461-HN							False	True				Unit	Unit			
119451	QB-5454-AI	260000	2002-05-16	White Rhino Property	0	2019	2	True	True	19	86	2	Unit	Unit	2	2	
119452	AY-9417-KM	360000	2018-03-15					False	True	27	149	1	Unit	Unit	1	1	
119453	VT-2845-XK	411000	2012-05-10	McGrath Estate Agents	410	2017	15	True	True	22	86	1	Unit	Unit	2	2	
119454	FA-0474-YF	285000	2002-05-07					False	True	20	86		Commercial	Commercial			
119455	DB-4608-FS	418000	2019-02-26					False	True			2	Unit	Unit	2	2	
119456	JC-5474-OT	387000	2018-07-13					False	True			0	Unit	Unit	2	2	
119457	QC-9460-JR							False	True				Unit	Unit			
119458	DC-1877-SZ							False	True				Unit	Unit			
119459	IX-9215-CR							False	True				Unit	Unit			
119460	DC-4053-EV							False	True				Unit	Unit			
119461	DB-2083-CD							False	True				Unit	Unit			
119462	ZP-0040-ZP	565000	2019-07-24					False	True	19	86	2	Unit	Unit	2	3	
119463	HT-7444-QA	291000	2014-08-28	Distinct Property Management	360	2017	10	True	True	27	149	1	Unit	Unit	1	1	
119464	DF-7438-MP	385000	2009-05-15					False	True	22	86		Unit	Unit			
119465	JJ-3842-AW	1709730	2018-06-12					False	True	20	86		Commercial	Commercial			
119467	EH-5243-OS							False	True				Unit	Unit			
119468	RM-7096-WV		2018-12-05	barrett ELTON Canberra	425	2013	42	False	True			2	Unit	Unit	2	2	
119469	YK-3127-CO							False	True			1	Unit	Unit	1	1	
119470	VO-7745-UV							False	True				Unit	Unit			
119471	SM-7612-XY							False	True				Unit	Unit			
119472	GB-5230-WV							False	True				Unit	Unit			
119473	GE-6659-HZ							False	True				Unit	Unit			
119474	RL-7013-KR	410000	2017-11-02	Badenoch Real Estate Sales	390	2008		False	True	19	86	2	Unit	Unit	2	2	
119475	OG-2652-WV	266500	2003-11-12					False	True	27	149		Unit	Unit			
119476	CI-0451-KN	380000	2009-03-24					False	True	22	86		Unit	Unit			
119477	JI-6466-LK	1709730	2018-06-12					False	True	20	86		Commercial	Commercial			
119478	ET-5293-IB							False	True				Unit	Unit			
119479	ZI-3965-FO		2014-12-02					False	True			1	Unit	Unit	2	2	
119480	FZ-4352-JY							False	True			1	Unit	Unit	1	1	
119481	QU-3363-CK							False	True				Unit	Unit			
119482	UO-9945-SW							False	True				Unit	Unit			
119483	QU-0430-YS							False	True				Unit	Unit			
119484	QT-7986-YR							False	True			1	Unit	Unit	1	1	
119485	ZO-9923-CE	400000	2004-12-03					False	True	19	86		Unit	Unit			
119486	XP-1880-NI	256500	2003-12-17					False	True	27	149		Unit	Unit			
119487	ZW-2802-TG	385000	2012-10-16					False	True	22	86		Unit	Unit			
119488	QD-5767-BD	182400	2000-06-29					False	True	20	86		Commercial	Commercial			
119489	LT-0612-FT		2009-03-13					False	True			1	Unit	Unit	2	2	
119490	HI-3385-JR			Badenoch Real Estate Rentals	430	2011	28	False	True			1	Unit	Unit	2	2	
119491	GE-3184-DO	365000	2015-06-01	PRDnationwide Canberra	385	2017	7	True	True			2	Unit	Unit	2	2	
119492	EN-4768-GH							False	True				Unit	Unit			
119493	UE-0913-QT							False	True				Unit	Unit			
119494	EM-3835-FX							False	True				Unit	Unit			
119495	BT-9661-ET							False	True			1	Unit	Unit	1	1	
