StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
124815	KZ-6513-OE							False	True			1	Unit	Unit	1	2	
124816	PY-8239-GH			Dwyer Dunn Property Consultants	350	2014	14	False	True			1	Unit	Unit	1	2	
124817	NE-5657-DQ		2011-12-15	Ray White Canberra	410	2019	21	True	True			1	Unit	Unit	1	2	
124818	BS-2216-PG	349000	2015-08-21	McGrath Estate Agents Property Management	420	2019	7	True	True			1	Unit	Unit	1	2	
124819	ST-2691-KL		2015-07-06	Independent Property Management	0	2019	198	True	True			1	Unit	Unit	1	1	
124820	HW-9508-SL	329000	2017-05-16					False	True			1	Unit	Unit	1	2	
124821	UA-3337-SC	342000	2019-07-18	Elders Real Estate Belconnen	405	2009	3	False	True			1	Unit	Unit	1	2	
124822	HW-7785-RO	349000	2018-10-25	Luton Properties - Belconnen	400	2008	28	False	True			1	Unit	Unit	1	2	
124823	QI-8348-EW	395000	2009-07-20	Taylors Real Estate	400	2018	23	True	True			0	Unit	Unit	1	2	
124824	UC-3230-SY			McGrath Estate Agents Property Management	375	2020	13	False	True			1	Unit	Unit	1	1	
124825	TN-2748-PN							False	True			1	Unit	Unit	1	2	
124826	GP-0264-OV							False	False				House	House			
124827	IE-3581-GD							False	True			1	Unit	Unit	1	1	
124828	IB-5857-XJ			McGrath Estate Agents	420	2018	27	False	True			2	Unit	Unit	1	2	
124829	UA-6592-HR							False	True				Unit	Unit			
124831	UB-7842-JR	355000	2020-01-30	CIVIUM - Build Develop Create	415	2015	155	False	True			2	Unit	Unit	1	2	
124832	OF-3465-FO							False	True				Unit	Unit			
124833	AK-8445-LL		2017-03-03	Premier Capital Properties	390	2016	58	False	True			0	Unit	Unit	1	2	
124834	IK-7192-KL	325000	2018-10-12					False	True			0	Unit	Unit	1	2	
124835	PG-3016-QJ			Hodgkinson Real Estate 	325	2016	18	False	True			1	Unit	Unit	1	1	
124836	JX-9999-SS		2018-01-24	Hodgkinson Real Estate 	340	2016	1	False	True			1	Unit	Unit	1	2	
124837	EF-6413-OI							False	True				Unit	Unit			
124838	UG-1337-SF			Hodgkinson Real Estate 	0	2019	1	False	True			1	Unit	Unit	1	2	
124839	QQ-1649-UL							False	True				Unit	Unit			
124840	KB-7473-WE			LJ Hooker Dickson	329	2017	8	False	True			1	Unit	Unit	1	1	
124841	DE-6337-EF							False	False				House	House			
124842	GK-2256-EZ			Archived Peter Blackshaw Real Estate Woden & Weston Cre	360	2015	13	False	True			1	Unit	Unit	1	2	
124843	CQ-5037-CW	250000	2019-02-22	Sadil Quinlan Properties	380	2019	13	True	True			1	Unit	Unit	1	1	
124844	RM-8027-SL	338000	2019-10-14	Hayman Partners Projects	420	2019	27	False	True			1	Unit	Unit	1	2	
