StreetAddressID	POI	Distance
128106	City GPO	2.9
128106	Major Shopping Centre - Belconnen Mall	2.8
128106	Hospital - Calvary Private Hospital	4.7
128106	Primary School - Miles Franklin Primary	0.1
128106	High School - Melba Copland High School, Melba	1.6
128106	College - Melba Copland College, Melba	0.7
128106	University - University Of Canberra, Bruce	3.3
128107	City GPO	2.7
128107	Major Shopping Centre - Belconnen Mall	2.7
128107	Hospital - Calvary Private Hospital	4.5
128107	Primary School - Miles Franklin Primary	0.0
128107	High School - Melba Copland High School, Melba	1.6
128107	College - Melba Copland College, Melba	0.7
128107	University - University Of Canberra, Bruce	3.2
128108	City GPO	2.7
128108	Major Shopping Centre - Belconnen Mall	2.7
128108	Hospital - Calvary Private Hospital	4.5
128108	Primary School - Miles Franklin Primary	0.1
128108	High School - Melba Copland High School, Melba	1.6
128108	College - Melba Copland College, Melba	0.7
128108	University - University Of Canberra, Bruce	3.2
128109	City GPO	2.7
128109	Major Shopping Centre - Belconnen Mall	2.7
128109	Hospital - Calvary Private Hospital	4.5
128109	Primary School - Miles Franklin Primary	0.1
128109	High School - Melba Copland High School, Melba	1.7
128109	College - Melba Copland College, Melba	0.8
128109	University - University Of Canberra, Bruce	3.2
128110	City GPO	2.8
128110	Major Shopping Centre - Belconnen Mall	2.7
128110	Hospital - Calvary Private Hospital	4.5
128110	Primary School - Miles Franklin Primary	0.1
128110	High School - Melba Copland High School, Melba	1.7
128110	College - Melba Copland College, Melba	0.8
128110	University - University Of Canberra, Bruce	3.2
128111	City GPO	2.7
128111	Major Shopping Centre - Belconnen Mall	2.6
128111	Hospital - Calvary Private Hospital	4.5
128111	Primary School - Miles Franklin Primary	0.1
128111	High School - Melba Copland High School, Melba	1.5
128111	College - Melba Copland College, Melba	0.7
128111	University - University Of Canberra, Bruce	3.2
128112	City GPO	2.7
128112	Major Shopping Centre - Belconnen Mall	2.7
128112	Hospital - Calvary Private Hospital	4.5
128112	Primary School - Miles Franklin Primary	0.1
128112	High School - Melba Copland High School, Melba	1.7
128112	College - Melba Copland College, Melba	0.8
128112	University - University Of Canberra, Bruce	3.2
128113	City GPO	2.7
128113	Major Shopping Centre - Belconnen Mall	2.7
128113	Hospital - Calvary Private Hospital	4.5
128113	Primary School - Miles Franklin Primary	0.1
128113	High School - Melba Copland High School, Melba	1.7
128113	College - Melba Copland College, Melba	0.8
128113	University - University Of Canberra, Bruce	3.1
128114	City GPO	2.9
128114	Major Shopping Centre - Belconnen Mall	2.8
128114	Hospital - Calvary Private Hospital	4.7
128114	Primary School - Miles Franklin Primary	0.1
128114	High School - Melba Copland High School, Melba	1.6
128114	College - Melba Copland College, Melba	0.7
128114	University - University Of Canberra, Bruce	3.3
128115	City GPO	2.8
128115	Major Shopping Centre - Belconnen Mall	2.8
128115	Hospital - Calvary Private Hospital	4.5
128115	Primary School - Miles Franklin Primary	0.1
128115	High School - Melba Copland High School, Melba	1.7
128115	College - Melba Copland College, Melba	0.8
128115	University - University Of Canberra, Bruce	3.2
128116	City GPO	2.8
128116	Major Shopping Centre - Belconnen Mall	2.8
128116	Hospital - Calvary Private Hospital	4.5
128116	Primary School - Miles Franklin Primary	0.1
128116	High School - Melba Copland High School, Melba	1.7
128116	College - Melba Copland College, Melba	0.8
128116	University - University Of Canberra, Bruce	3.2
128117	City GPO	2.7
