StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
128106	GZ-3579-FT							False	False				House	House			
128107	QH-0078-CX	173000	1997-12-22					False	False	6	81	6	House	House	2	3	693
128108	XV-8160-GX	547500	2010-09-24					False	False	7	81		House	House			726
128109	HN-5459-HI	598000	2011-05-09					False	False	8	81	4	House	House	2	5	813
128110	ZK-7846-FM	289000	2004-03-01					False	False	9	81		House	House		3	781
128111	KN-0258-GI							False	False				House	House			
128112	SU-2498-IE							False	False				House	House			
128113	ZO-3678-XB							False	False	11	81		House	House			
128114	JK-4163-TG							False	False				House	House			
128115	KO-1303-LE							False	False				House	House			
128116	BY-4702-XT	310000	2004-08-16					False	False	21	80		House	House		3	807
128117	YA-3894-LP	580000	2013-06-19					False	False	4	83	2	House	House	2	4	1266
128118	HL-3510-XO							False	False	20	80		House	House			854
128119	KI-8795-EY							False	False				House	House			
128120	ZN-8222-GF	350000	2008-05-15	LJ Hooker Gungahlin	500	2018	13	True	False	18	80	2	House	House	1	3	884
128121	ST-5823-TC							False	False				House	House			
128122	SP-8816-LM							False	False				House	House			
128123	ZN-0704-GH	115000	1998-01-13					False	False	3	81		House	House			831
128124	DK-2538-GF	312000	2004-11-23					False	False	2	83		House	House		3	980
128125	MQ-6679-EA	366000	2007-05-09					False	False	4	81	1	House	House	1	3	747
128126	JP-5729-EG	758888	2017-01-25					False	False	1	83	0	House	House	3	7	929
128127	DF-2607-BG							False	False				Unit	Unit			
128128	EG-4686-XI	336000	2006-04-12					False	False	33	66		Unit	Unit			
128129	OH-3194-DS	482000	2012-04-27					False	False	11	58		House	House			1077
128130	WB-8069-OK	160000	1993-11-02					False	False	7	67		House	House			1232
128131	PY-4916-SJ	439950	2007-08-31	Ray White Canberra	485	2018	17	True	False	8	67	2	House	House	2	3	834
128132	MO-9253-QV	130800	1995-09-25					False	False	9	67		House	House			765
128133	HF-4280-NB							False	False	10	67		House	House			977
128134	YK-9879-WW	371000	2006-03-24					False	False	11	67		House	House			895
128135	NQ-0468-DA	1120000	2016-11-12					False	False	6	58	5	House	House	1	5	1052
128136	WP-4772-PY	210000	2001-05-09					False	False	12	67		House	House		4	754
128137	UZ-4258-CF	440000	2015-07-22	Elders Real Estate Belconnen	375	2007	45	False	False	13	67	2	House	House	2	3	693
128138	IE-5401-EJ	696000	2019-02-11					False	False	14	67	3	House	House	2	3	940
128139	HZ-1865-ME	135000	1999-06-11					False	False	15	67		House	House			965
128140	IC-9134-VE	495000	2012-07-25					False	False	16	67	2	House	House	2	4	719
128141	CH-4952-IQ							False	False	2	57		House	House			881
128142	VA-1810-JD	148500	2000-01-14					False	False	17	67		House	House			760
128143	EB-7238-AW							False	False				House	House			
128144	ID-8208-HZ							False	False				House	House			
128145	DM-8132-RE	640000	2016-06-04					False	False	3	57	2	House	House	2	4	894
128146	IE-2270-IN							False	False				House	House			
128147	JX-7507-JQ	136400	1996-09-09					False	False	4	57		House	House		3	903
128148	CI-2879-HF							False	False				House	House			
128149	PM-2640-AT							False	False				Unit	Unit			
128150	CQ-3906-JI							False	False				Unit	Unit			
128151	AD-7658-LY							False	False				House	House			
128152	EF-0334-AS	639000	2013-12-17					False	False	6	57		House	House			891
128153	WD-2705-XV	375000	2017-10-06	Ray White Canberra	520	2020	30	True	False	3	63	2	House	House	2	4	867
128154	KN-2722-VY	2795	1994-06-23	LJ Hooker Gungahlin	0	2019	24	True	False	7	57	2	House	House	1	3	884
128155	BE-9518-TQ	342000	2003-02-14	Strictly Rentals	490	2007	35	True	False	2	63	2	Land	Land	2	4	1090
128156	CC-7922-SN	575000	2018-05-27	LJ Hooker Kaleen	500	2018	23	False	False	8	57	2	House	House	1	3	877
128157	MS-7804-MR	203300	1992-01-07					False	False	1	63		House	House			1292
128158	JY-0604-UT			LJ Hooker Belconnen	0	2019	32	False	False			2	House	House	1	3	
128159	OX-4169-KX							False	False				House	House			
128160	JU-4277-HK	515500	2010-04-06	LJ Hooker Kaleen	450	2008		False	False	14	64	3	House	House	2	4	735
128161	HW-4324-FG							False	False				House	House			
128162	HZ-3139-JX	245000	2011-03-02					False	False	13	64		House	House			776
128163	HL-4389-YR	160000	1998-02-16					False	False	12	64		House	House			794
128164	IZ-8250-XE	465000	2015-09-03					False	False	11	64	4	House	House	1	3	663
128166	RN-5878-UF	348000	2006-06-30					False	False	20	53		House	House			798
128167	JF-1595-LB	150000	1993-12-13					False	False	17	65		House	House			406
128168	HG-2050-XC	168000	2002-02-19					False	False	16	65		House	House		3	670
128169	MM-6825-LG	205673	2000-09-15					False	False	35	66		House	House			813
128170	JM-9767-PK	400000	2013-08-27	Elders Real Estate Belconnen	450	2011	14	False	False	15	65	1	House	House	1	3	734
128171	ED-3424-BV			Maloney's the Estate Agent	350	2006	7	False	False			2	House	House	2	4	
128172	AF-8610-PW	302000	2006-07-13					False	False	14	65		House	House		3	526
128173	LW-4125-FP	288000	2003-06-18	LJ Hooker Gungahlin	0	2019	2	True	False	33	66	1	House	House	1	3	1085
128174	BP-0563-YM							False	False			1	House	House	2	3	
128175	HW-6185-PD							False	False				House	House			
128176	XD-7498-FA	390000	2014-08-05	LJ Hooker Kaleen	450	2012	222	False	False	13	65	1	House	House	1	3	600
128177	IK-8261-GJ	530000	2012-11-08					False	False	32	66		House	House		5	1255
128178	ZA-7175-QK	140000	2001-07-12					False	False	12	65		House	House			421
128179	ML-9785-YB	760000	2018-11-26					False	False	31	66	2	House	House	2	4	885
128180	LB-0712-RJ							False	False				House	House			
128181	KL-5733-KD			Rumbles Real Estate	350	2015	14	False	False	10	65	1	House	House	1	3	613
128182	UZ-5035-RC	840000	2018-09-07	McGrath Estate Agents	650	2017	212	False	False	23	66	4	House	House	2	4	749
128183	HE-2342-DQ	380000	2007-12-10					False	False	9	65		House	House			446
128184	ZT-4625-LA	441000	2007-04-19					False	False	22	66		House	House			703
128185	IP-5894-RY	520000	2018-05-29					False	False	8	65		House	House			461
128186	IQ-7592-LU	159000	1996-08-16					False	False	21	66		House	House			730
128187	SH-4537-GL	270000	2005-11-17	Badenoch Real Estate Sales	385	2011	22	True	False	7	65	3	House	House	1	3	677
128188	HZ-1909-TJ	133000	1999-02-15					False	False	20	66		House	House			921
128189	WH-4649-GQ		2011-08-30					False	False	6	65	0	House	House	1	3	740
128190	IO-9118-AG	407500	2013-06-19					False	False	5	65		House	House			540
128191	FT-7649-LX	662000	2017-09-13					False	False	18	62	2	House	House	2	4	800
128192	XW-6516-TA	452000	2010-12-02					False	False	4	65	2	House	House	2	3	600
128193	AW-0902-TZ	461000	2014-07-19					False	False	17	62	0	House	House	1	3	678
128194	UG-2254-QH	612500	2009-12-21					False	False	8	58		House	House			962
128195	JG-1244-WT	490000	2015-12-23					False	False	3	65	2	House	House	2	3	842
128196	IP-4390-CV	186000	2002-02-14	FN Real Estate Gungahlin	310	2004	203	True	False	16	62	0	House	House	1	3	584
128197	YA-6691-LR	415000	2009-12-18	LJ Hooker Kaleen	450	2012	223	True	False	2	65	2	House	House	2	3	825
128198	MT-9062-GQ	500000	2016-03-31	McGrath Dickson	520	2019	26	True	False	15	62	1	House	House	1	4	826
128199	DY-1258-IK			Badenoch Real Estate Sales	400	2011	7	False	False			2	House	House	2	3	
128200	QA-8690-MR	667000	2009-11-02					False	False	1	67	2	House	House	2	4	970
128201	XO-1574-FA	771000	2010-03-18					False	False	7	58		House	House			1009
128202	EA-3646-QA			Wright Dunn Real Estate 	475	2018	37	False	False			2	House	House	2	4	
128203	VS-3529-BL	440000	2006-06-28					False	False	3	67	0	House	House	2	5	1010
128204	DY-1132-ZR							False	False				House	House			
128205	VO-4236-UK		2012-05-31					False	False	5	67	1	House	House	2	4	880
128206	HH-7231-MM							False	False				House	House			
128207	AW-9931-PX	335000	2007-03-28					False	False	5	3	2	House	House	1	3	625
128208	ZW-9085-RO	442500	2014-07-17					False	False	17	2	2	House	House	1	3	711
128209	MB-9836-KO	275000	2005-07-11	Wright Dunn Real Estate 	400	2015	73	True	False	18	2	1	House	House	1	3	898
128210	GC-7541-YT	205000	1995-10-18					False	False	19	2		House	House			1276
128211	HG-0352-VT	320000	2004-07-27					False	False	13	50		House	House		4	921
128212	GQ-0180-VB	510000	2009-02-06					False	False	20	2	2	House	House	2	4	861
128213	LK-3069-OZ	550000	2014-03-15					False	False	21	2	2	House	House	2	3	1166
128214	SY-0197-LX	650000	2018-10-17					False	False	22	2		House	House			836
128215	XQ-4803-RY	133000	1992-04-02					False	False	14	49		House	House			806
128216	VC-3038-WY	120000	1996-11-21					False	False	23	2		House	House			736
128217	ML-7367-VC	402000	2008-02-19	McGrath Estate Agents	470	2017	16	True	False	13	49	2	House	House	2	4	842
128218	NB-5332-TP							False	False	24	2		House	House			824
