StreetAddressID	POI	Distance
131629	City GPO	3.3
131629	Major Shopping Centre - Belconnen Mall	3.4
131629	Hospital - Calvary Private Hospital	2.2
131629	Primary School - Maribyrnong Primary	0.1
131629	High School - Kaleen High	1.1
131629	College - Radford College	1.6
131629	University - University Of Canberra, Bruce	1.7
131630	City GPO	3.3
131630	Major Shopping Centre - Belconnen Mall	3.4
131630	Hospital - Calvary Private Hospital	2.2
131630	Primary School - Maribyrnong Primary	0.1
131630	High School - Kaleen High	1.1
131630	College - Radford College	1.6
131630	University - University Of Canberra, Bruce	1.7
131631	City GPO	3.3
131631	Major Shopping Centre - Belconnen Mall	3.4
131631	Hospital - Calvary Private Hospital	2.2
131631	Primary School - Maribyrnong Primary	0.1
131631	High School - Kaleen High	1.1
131631	College - Radford College	1.6
131631	University - University Of Canberra, Bruce	1.7
131632	City GPO	3.3
131632	Major Shopping Centre - Belconnen Mall	3.4
131632	Hospital - Calvary Private Hospital	2.2
131632	Primary School - Maribyrnong Primary	0.1
131632	High School - Kaleen High	1.1
131632	College - Radford College	1.6
131632	University - University Of Canberra, Bruce	1.7
131633	City GPO	2.9
131633	Major Shopping Centre - Belconnen Mall	3.0
131633	Hospital - Calvary Private Hospital	2.1
131633	Primary School - Maribyrnong Primary	0.5
131633	High School - Kaleen High	0.9
131633	College - Radford College	1.4
131633	University - University Of Canberra, Bruce	1.3
131634	City GPO	3.3
131634	Major Shopping Centre - Belconnen Mall	3.4
131634	Hospital - Calvary Private Hospital	2.2
131634	Primary School - Maribyrnong Primary	0.1
131634	High School - Kaleen High	1.0
131634	College - Radford College	1.6
131634	University - University Of Canberra, Bruce	1.6
131635	City GPO	2.8
131635	Major Shopping Centre - Belconnen Mall	2.9
131635	Hospital - Calvary Private Hospital	2.1
131635	Primary School - Maribyrnong Primary	0.5
131635	High School - Kaleen High	0.9
131635	College - Radford College	1.4
131635	University - University Of Canberra, Bruce	1.3
131636	City GPO	2.8
131636	Major Shopping Centre - Belconnen Mall	2.9
131636	Hospital - Calvary Private Hospital	2.1
131636	Primary School - Maribyrnong Primary	0.5
131636	High School - Kaleen High	0.9
131636	College - Radford College	1.4
131636	University - University Of Canberra, Bruce	1.3
131637	City GPO	2.8
131637	Major Shopping Centre - Belconnen Mall	2.9
131637	Hospital - Calvary Private Hospital	2.1
131637	Primary School - Maribyrnong Primary	0.5
131637	High School - Kaleen High	0.9
131637	College - Radford College	1.4
131637	University - University Of Canberra, Bruce	1.3
131638	City GPO	2.8
131638	Major Shopping Centre - Belconnen Mall	2.9
131638	Hospital - Calvary Private Hospital	2.1
131638	Primary School - Maribyrnong Primary	0.6
131638	High School - Kaleen High	0.9
131638	College - Radford College	1.4
