StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
134580	2020-02-05T19:29:12.873	Low	670000	780000	890000			Unknown	Unknown
134581	2020-02-05T19:29:12.873	Low	610000	710000	810000	550	0.0511	Unknown	Unknown
134582	2020-02-05T19:29:12.873	Low	405000	470000	535000	550	0.0511	Unknown	Unknown
134583	2020-02-05T19:29:12.873	Low	405000	470000	535000	550	0.0511	Unknown	Unknown
134584								Unknown	Unknown
134585								Unknown	Unknown
134586								Unknown	Unknown
134587								Unknown	Unknown
134588	2020-02-05T19:29:12.873	Low	560000	650000	740000	550	0.0511	Unknown	Unknown
134589	2020-02-05T19:29:12.873	High	540000	630000	720000	550	0.0511	Unknown	Unknown
134590	2020-02-05T19:29:12.873	Low	570000	670000	770000	550	0.0511	Unknown	Unknown
134591	2020-02-05T19:29:12.873	High	635000	740000	845000	550	0.0511	Unknown	Unknown
134592								Unknown	Unknown
134593	2020-02-05T19:29:12.873	High	560000	650000	740000	550	0.0511	Unknown	Unknown
134594	2020-02-05T19:29:12.873	High	480000	550000	620000	560		Unknown	Unknown
134596						580		Unknown	Unknown
134597	2020-02-05T19:29:12.873	High	480000	550000	620000	560		Unknown	Unknown
134598						400		Unknown	Unknown
134600						400		Unknown	Unknown
134602						400		Unknown	Unknown
134604						400		Unknown	Unknown
134605	2020-02-05T19:29:12.873	High	480000	550000	620000	560		Unknown	Unknown
134606						400		Unknown	Unknown
134607						560		Unknown	Unknown
134608						400		Unknown	Unknown
134611						400		Unknown	Unknown
134612	2020-02-05T19:29:12.873	High	480000	550000	620000	560		Unknown	Unknown
134614	2020-02-05T19:29:12.873	High	480000	550000	620000	560		Unknown	Unknown
134617						400		Unknown	Unknown
134619						515	0.0526	Unknown	Unknown
134620						580		Unknown	Unknown
134622						515	0.0526	Unknown	Unknown
134623						515	0.0526	Unknown	Unknown
134624						580		Unknown	Unknown
134625						580		Unknown	Unknown
134626						515	0.0526	Unknown	Unknown
134627						580		Unknown	Unknown
134628	2019-09-06T00:00:00	RecentlySold	970000	970000	970000			Unknown	Unknown
134629	2019-12-17T00:00:00	RecentlySold	745000	745000	745000			Unknown	Unknown
134631	2020-02-05T19:29:12.873	High	490000	560000	630000	560		Unknown	Unknown
134632						515	0.0526	Unknown	Unknown
134633						515	0.0526	Unknown	Unknown
134634	2020-02-12T17:27:27.64	High	610000	710000	810000			Unknown	Unknown
134636	2020-02-12T17:27:27.64	Low	415000	480000	545000	550	0.0511	Unknown	Unknown
134637	2020-01-09T10:24:26.003	High	460000	540000	620000	560		Unknown	Unknown
134639								Unknown	Unknown
134643								Unknown	Unknown
134647	2020-02-12T17:27:27.64	Low	360000	420000	480000	550	0.0511	Unknown	Unknown
134650	2019-11-07T00:00:00	RecentlySold	565000	565000	565000	560		Unknown	Unknown
134651						515	0.0526	Unknown	Unknown
134652						580		Unknown	Unknown
134654								Unknown	Unknown
134658	2020-02-12T17:27:27.64	Low	360000	420000	480000	550	0.0511	Unknown	Unknown
134662	2020-02-12T17:27:27.64	Low	360000	420000	480000	550	0.0511	Unknown	Unknown
134666	2020-02-12T17:27:27.64	Low	395000	465000	535000	550	0.0511	Unknown	Unknown
134673						515	0.0526	Unknown	Unknown
134675						515	0.0526	Unknown	Unknown
134676						515	0.0526	Unknown	Unknown
134677	2020-01-29T09:57:42.103	High	375000	435000	495000	510		Unknown	Unknown
134678						515	0.0526	Unknown	Unknown
134680						515	0.0526	Unknown	Unknown
134681	2020-01-29T09:57:42.103	High	375000	435000	495000	510		Unknown	Unknown
134682						515	0.0526	Unknown	Unknown
134683	2020-02-05T19:29:12.873	High	490000	560000	630000	560		Unknown	Unknown
134684						515	0.0526	Unknown	Unknown
134686	2020-02-05T19:29:12.873	High	490000	560000	630000	560		Unknown	Unknown
134689	2020-02-05T19:29:12.873	High	470000	550000	630000	560		Unknown	Unknown
134694	2020-02-05T19:29:12.873	High	480000	550000	620000	560		Unknown	Unknown
134695						515	0.0526	Unknown	Unknown
134696						500		Unknown	Unknown
134698	2020-01-29T09:57:42.103	High	385000	450000	515000	500		Unknown	Unknown
134704	2020-02-05T19:29:12.873	High	490000	560000	630000	560		Unknown	Unknown
