StreetAddressID	POI	Distance
135764	City GPO	2.7
135764	Major Shopping Centre - Belconnen Mall	2.7
135764	Hospital - Calvary Private Hospital	3.9
135764	Primary School - Evatt Primary	1.1
135764	High School - Kaleen High	2.2
135764	College - Melba Copland College, Melba	1.9
135764	University - University Of Canberra, Bruce	2.5
135765	City GPO	2.7
135765	Major Shopping Centre - Belconnen Mall	2.7
135765	Hospital - Calvary Private Hospital	3.9
135765	Primary School - Evatt Primary	1.0
135765	High School - Kaleen High	2.3
135765	College - Melba Copland College, Melba	1.8
135765	University - University Of Canberra, Bruce	2.5
135766	City GPO	2.7
135766	Major Shopping Centre - Belconnen Mall	2.7
135766	Hospital - Calvary Private Hospital	3.9
135766	Primary School - Evatt Primary	1.1
135766	High School - Kaleen High	2.2
135766	College - Melba Copland College, Melba	1.9
135766	University - University Of Canberra, Bruce	2.5
135767	City GPO	2.7
135767	Major Shopping Centre - Belconnen Mall	2.7
135767	Hospital - Calvary Private Hospital	3.9
135767	Primary School - Evatt Primary	1.0
135767	High School - Kaleen High	2.3
135767	College - Melba Copland College, Melba	1.8
135767	University - University Of Canberra, Bruce	2.5
135768	City GPO	2.7
135768	Major Shopping Centre - Belconnen Mall	2.7
135768	Hospital - Calvary Private Hospital	3.9
135768	Primary School - Evatt Primary	1.1
135768	High School - Kaleen High	2.2
135768	College - Melba Copland College, Melba	1.9
135768	University - University Of Canberra, Bruce	2.5
135769	City GPO	2.7
135769	Major Shopping Centre - Belconnen Mall	2.7
135769	Hospital - Calvary Private Hospital	3.9
135769	Primary School - Evatt Primary	1.0
135769	High School - Kaleen High	2.3
135769	College - Melba Copland College, Melba	1.8
135769	University - University Of Canberra, Bruce	2.6
135770	City GPO	2.7
135770	Major Shopping Centre - Belconnen Mall	2.7
135770	Hospital - Calvary Private Hospital	3.9
135770	Primary School - Evatt Primary	1.1
135770	High School - Kaleen High	2.2
135770	College - Melba Copland College, Melba	1.9
135770	University - University Of Canberra, Bruce	2.5
135771	City GPO	2.7
135771	Major Shopping Centre - Belconnen Mall	2.7
135771	Hospital - Calvary Private Hospital	3.9
135771	Primary School - Evatt Primary	1.0
135771	High School - Kaleen High	2.3
135771	College - Melba Copland College, Melba	1.8
135771	University - University Of Canberra, Bruce	2.6
135772	City GPO	2.7
135772	Major Shopping Centre - Belconnen Mall	2.7
135772	Hospital - Calvary Private Hospital	3.9
135772	Primary School - Evatt Primary	1.1
135772	High School - Kaleen High	2.2
135772	College - Melba Copland College, Melba	1.8
135772	University - University Of Canberra, Bruce	2.5
135773	City GPO	2.8
135773	Major Shopping Centre - Belconnen Mall	2.8
135773	Hospital - Calvary Private Hospital	4.0
135773	Primary School - Evatt Primary	1.0
135773	High School - Kaleen High	2.2
135773	College - Melba Copland College, Melba	1.9
135773	University - University Of Canberra, Bruce	2.6
135774	City GPO	2.7
135774	Major Shopping Centre - Belconnen Mall	2.7
135774	Hospital - Calvary Private Hospital	4.0
135774	Primary School - Evatt Primary	1.0
135774	High School - Kaleen High	2.3
135774	College - Melba Copland College, Melba	1.7
135774	University - University Of Canberra, Bruce	2.6
