StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
135765	Sale	2005-02-15T00:00:00	4500	PRIVATE TREATY			
135765	Sale	2003-02-21T00:00:00	420000	PRIVATE TREATY			
135765	Sale	1995-08-02T00:00:00	235000	PRIVATE TREATY			
135767	Sale		RW Gungahlin	2011-07-18T00:00:00	630000.0	PRIVATE TREATY	56.0
135770	Sale	1995-10-04T00:00:00	229000	PRIVATE TREATY			
135771	Sale	1998-02-26T00:00:00	277000	PRIVATE TREATY			
135772	Sale	1992-08-24T00:00:00	280000	PRIVATE TREATY			
135775	Sale	2010-03-15T00:00:00	745000	PRIVATE TREATY			
135775	Sale	1995-05-22T00:00:00	325000	PRIVATE TREATY			
135777	Sale	22652	Rutherford Johnston Properties	2015-09-02T00:00:00	557500.0	PRIVATE TREATY	48.0
135777	Rental		Rental Place	2013-09-04T00:00:00	500.0	PER WEEK	35.0
135777	Sale	2010-04-21T00:00:00	525000	PRIVATE TREATY			
135777	Rental	14099	LJ Hooker Belconnen	2008-08-22T00:00:00	400.0	PER WEEK	17.0
135778	Sale		RW Canberra	2018-06-15T00:00:00	855000.0	PRIVATE TREATY	20.0
135778	Sale	1997-12-03T00:00:00	245000	PRIVATE TREATY			
135779	Sale		RW Canberra	2018-03-24T00:00:00	716000.0	AUCTION	
135779	Sale	1998-07-20T00:00:00	195000	PRIVATE TREATY			
135779	Sale	1991-05-27T00:00:00	168000	PRIVATE TREATY			
135780	Sale		RW Belconnen	2016-10-01T00:00:00	745000.0	AUCTION	
135780	Sale	1992-09-21T00:00:00	235000	PRIVATE TREATY			
135781	Sale	2000-04-12T00:00:00	178000	PRIVATE TREATY			
135782	Sale	1992-03-12T00:00:00	252000	PRIVATE TREATY			
135784	Sale	1993-04-13T00:00:00	198500	PRIVATE TREATY			
135785	Rental	14099	LJ Hooker Belconnen	2017-11-22T00:00:00	0.0	PER WEEK	38.0
135785	Sale	2000-08-03T00:00:00	300000	PRIVATE TREATY			
135786	Sale	1996-04-01T00:00:00	204000	PRIVATE TREATY			
135786	Sale	1991-08-23T00:00:00	195000	PRIVATE TREATY			
135788	Sale	1991-10-14T00:00:00	176000	PRIVATE TREATY			
135790	Sale	2017-11-22T00:00:00	200000	PRIVATE TREATY			
135790	Sale	2000-02-16T00:00:00	160000	PRIVATE TREATY			
135791	Sale	1570	Elders Real Estate Belconnen	2009-02-12T00:00:00	462000.0	PRIVATE TREATY	343.0
135791	Sale	2004-06-02T00:00:00	155000	PRIVATE TREATY			
135791	Sale	2003-05-28T00:00:00	284950	PRIVATE TREATY	53.0		
135791	Sale	1999-07-13T00:00:00	105000	PRIVATE TREATY			
135792	Sale		LJ Hooker Kaleen	2000-11-16T00:00:00	269000.0	PRIVATE TREATY	96.0
135793	Sale	29103	Irwin Property	2018-10-15T00:00:00	619000.0	PRIVATE TREATY	38.0
135793	Sale	1999-03-24T00:00:00	114100	PRIVATE TREATY			
135794	Rental	14099	LJ Hooker Belconnen	2019-03-13T00:00:00	390.0	PER WEEK	14.0
135794	Rental		LJH Belconnen	2018-02-21T00:00:00	450.0	PER WEEK	17.0
135794	Rental		LJH Belconnen	2012-10-31T00:00:00	460.0	PER WEEK	
135796	Sale	2010-08-30T00:00:00	540000	PRIVATE TREATY			
135797	Sale		Denise Flint Real Estate	2000-08-25T00:00:00	265000.0	PRIVATE TREATY	41.0
135797	Sale	1995-03-23T00:00:00	133000	PRIVATE TREATY			
135799	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2013-04-17T00:00:00	645000.0	PRIVATE TREATY	194.0
135799	Sale	2009-03-24T00:00:00	675000	PRIVATE TREATY			
135801	Sale		LJ Hooker Canberra City	2008-10-24T00:00:00	570000.0	PRIVATE TREATY	54.0
135801	Sale	1999-02-26T00:00:00	113000	PRIVATE TREATY			
135802	Sale	1994-06-28T00:00:00	226000	PRIVATE TREATY			
135803	Sale	2006-06-29T00:00:00	380000	PRIVATE TREATY			
135803	Sale	1999-03-12T00:00:00	182000	PRIVATE TREATY			
135804	Sale	10310	Luton Properties - Manuka	2014-05-16T00:00:00	649990.0	PRIVATE TREATY	48.0
135804	Sale		PBR Gungahlin	2006-04-13T00:00:00	485000.0	PRIVATE TREATY	33.0
135804	Sale	2001-06-21T00:00:00	269950	PRIVATE TREATY	12.0		
135806	Sale		LJH Belconnen	2001-01-25T00:00:00	265000.0	PRIVATE TREATY	82.0
135806	Sale	1994-12-20T00:00:00	197000	PRIVATE TREATY			
135809	Sale	11153	Luton Properties - Belconnen	2019-03-29T00:00:00	710000.0	PRIVATE TREATY	48.0
135809	Sale	2001-09-06T00:00:00	287000	PRIVATE TREATY			
135809	Sale	1994-01-07T00:00:00	100000	PRIVATE TREATY			
135809	Sale	1991-03-04T00:00:00	154000	PRIVATE TREATY			
135811	Sale	2008-03-16T00:00:00	445000	PRIVATE TREATY			
135812	Sale	11153	Luton Properties - Belconnen	2011-11-14T00:00:00	560000.0	PRIVATE TREATY	74.0
135813	Rental	19011	McGrath Woden Property Management	2019-12-08T00:00:00	665.0	PER WEEK	35.0
135813	Rental	25465	Independent Property Management	2018-10-16T00:00:00	640.0	PER WEEK	11.0
135813	Sale	2001-10-17T00:00:00	231000	PRIVATE TREATY			
135813	Sale	1993-04-14T00:00:00	180000	PRIVATE TREATY			
135814	Sale		Prem Cap Prop	2004-09-27T00:00:00	405000.0	PRIVATE TREATY	135.0
135815	Sale	17473	Ray White Canberra	2014-06-25T00:00:00	532000.0	PRIVATE TREATY	33.0
135815	Sale	2002-02-06T00:00:00	240000	PRIVATE TREATY			
135815	Sale		LJ Hooker Kaleen	2001-05-19T00:00:00	249950.0	Listed - not sold	
135815	Sale	1994-05-02T00:00:00	172500	PRIVATE TREATY			
135816	Sale	2005-05-31T00:00:00	515000	PRIVATE TREATY			
135816	Sale	2003-01-13T00:00:00	370000	PRIVATE TREATY	107.0		
135817	Rental		Elders Dickson	2004-10-25T00:00:00	400.0	PER WEEK	56.0
135818	Sale	1997-07-14T00:00:00	120000	PRIVATE TREATY			
135819	Sale	14101	LJ Hooker Canberra City	2013-04-29T00:00:00	715000.0	PRIVATE TREATY	202.0
135819	Sale	2002-09-19T00:00:00	455000	PRIVATE TREATY	61.0		
135821	Sale	1991-04-26T00:00:00	148000	PRIVATE TREATY			
135823	Sale	2012-11-14T00:00:00	735000	PRIVATE TREATY			
135825	Rental		LJH Manuka	2013-10-30T00:00:00	800.0	PER WEEK	
135825	Sale	1997-05-05T00:00:00	220000	PRIVATE TREATY			
135827	Sale	1994-03-01T00:00:00	250000	PRIVATE TREATY			
135828	Sale	5795	Maloney's the Estate Agent	2009-08-05T00:00:00	790000.0	PRIVATE TREATY	81.0
135829	Sale		RW Canberra	2018-12-08T00:00:00	561000.0	AUCTION	
135830	Sale	1997-11-14T00:00:00	230000	PRIVATE TREATY			
135833	Sale	2008-08-26T00:00:00	560000	PRIVATE TREATY			
135833	Sale	2000-01-10T00:00:00	262000	PRIVATE TREATY			
135834	Sale	1993-11-18T00:00:00	385000	PRIVATE TREATY			
135836	Sale		LJ Hooker Canberra City	2011-04-20T00:00:00	670000.0	AUCTION	
135836	Sale	2000-05-05T00:00:00	308000	PRIVATE TREATY			
135836	Sale	1994-07-15T00:00:00	305000	PRIVATE TREATY			
135837	Sale	28119	Belle Property Kingston	2019-02-01T00:00:00	590000.0	PRIVATE TREATY	84.0
135837	Rental		Badenoch Real Estate Sales	2011-07-13T00:00:00	475.0	PER WEEK	22.0
135837	Sale		Luton Properties - Belconnen	2011-05-25T00:00:00	475000.0	PRIVATE TREATY	45.0
135837	Rental	11153	Luton Properties - Belconnen	2009-02-05T00:00:00	420.0	PER WEEK	18.0
135837	Sale	2005-09-21T00:00:00	382000	PRIVATE TREATY	109.0		
135837	Sale	1999-05-25T00:00:00	125000	PRIVATE TREATY			
135837	Sale	1992-03-02T00:00:00	132000	PRIVATE TREATY			
135841	Sale	2004-06-25T00:00:00	400000	PRIVATE TREATY			
135841	Sale	2003-01-07T00:00:00	372000	PRIVATE TREATY	73.0		
135841	Sale	1997-10-24T00:00:00	252500	PRIVATE TREATY			
135842	Sale	1991-04-30T00:00:00	170000	PRIVATE TREATY			
135843	Rental	17080	McGrath Estate Agents	2018-04-05T00:00:00	640.0	PER WEEK	22.0
135843	Rental		McGrath - Projects	2017-07-09T00:00:00	590.0	PER WEEK	32.0
