StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
136846	Sale	1994-08-23T00:00:00	222500	PRIVATE TREATY			
136851	Rental	16565	McIntyre Property	2019-02-27T00:00:00	425.0	PER WEEK	5.0
136851	Sale	2015-02-09T00:00:00	299900	PRIVATE TREATY			
136855	Rental	10312	Luton Properties Tuggeranong CRE	2011-09-28T00:00:00	375.0	PER WEEK	8.0
136855	Rental	10312	Luton Properties Tuggeranong CRE	2010-10-13T00:00:00	370.0	PER WEEK	35.0
136855	Rental		Richard Luton Tuggeranong	2009-10-08T00:00:00	370.0	PER WEEK	27.0
136855	Sale	1994-03-04T00:00:00	132000	PRIVATE TREATY			
136855	Sale	1993-07-01T00:00:00	36250	PRIVATE TREATY			
136855	Sale	1991-02-19T00:00:00	165000	PRIVATE TREATY			
136856	Rental		Hodgkinson Real Estate	2012-07-25T00:00:00	420.0	PER WEEK	
136858	Rental	14101	LJ Hooker Canberra City	2018-08-17T00:00:00	380.0	PER WEEK	14.0
136858	Rental		LJ Hooker Canberra City	2017-10-31T00:00:00	360.0	PER WEEK	5.0
136858	Sale	2015-08-06T00:00:00	277500	PRIVATE TREATY			
136861	Sale	2014-12-19T00:00:00	419900	PRIVATE TREATY			
136864	Sale	2015-10-28T00:00:00	417500	PRIVATE TREATY			
136867	Sale	2017-08-25T00:00:00	304900	PRIVATE TREATY			
136870	Sale	2017-09-29T00:00:00	304900	PRIVATE TREATY			
136873	Rental	15436	LJ Hooker Weston Creek	2019-10-25T00:00:00	0.0	PER WEEK	12.0
136873	Sale	2017-09-01T00:00:00	304900	PRIVATE TREATY			
136876	Sale	2017-09-05T00:00:00	304400	PRIVATE TREATY			
136879	Sale	2017-10-23T00:00:00	302400	PRIVATE TREATY			
136885	Sale	2016-08-16T00:00:00	417500	PRIVATE TREATY			
136888	Sale	2015-04-10T00:00:00	400000	PRIVATE TREATY			
136891	Sale	1994-03-04T00:00:00	188000	PRIVATE TREATY			
136894	Sale	2015-03-06T00:00:00	267000	PRIVATE TREATY			
136897	Sale	2015-01-21T00:00:00	415000	PRIVATE TREATY			
136900	Sale	2015-01-05T00:00:00	325000	PRIVATE TREATY			
136903	Rental	28076	LJ Hooker Tuggeranong	2019-12-18T00:00:00	0.0	PER WEEK	7.0
136903	Rental	28076	LJ Hooker Tuggeranong	2019-05-19T00:00:00	0.0	PER WEEK	
136903	Sale	2018-04-23T00:00:00	340000	PRIVATE TREATY			
136903	Sale	2014-12-23T00:00:00	329900	PRIVATE TREATY			
136909	Rental	15436	LJ Hooker Weston Creek	2017-10-27T00:00:00	360.0	PER WEEK	47.0
136909	Sale	2016-12-19T00:00:00	301400	PRIVATE TREATY			
136912	Sale	2015-03-11T00:00:00	419900	PRIVATE TREATY			
136915	Sale	2017-06-06T00:00:00	419900	PRIVATE TREATY			
136918	Rental	28076	LJ Hooker Tuggeranong	2019-03-27T00:00:00	0.0	PER WEEK	12.0
136918	Rental		LJH Tuggeranong	2017-09-22T00:00:00	480.0	PER WEEK	8.0
136918	Sale	2014-12-22T00:00:00	419900	PRIVATE TREATY			
136921	Rental	16565	McIntyre Property	2019-03-27T00:00:00	420.0	PER WEEK	7.0
136921	Sale	2015-02-06T00:00:00	335000	PRIVATE TREATY			
136924	Sale	2015-01-19T00:00:00	335000	PRIVATE TREATY			
136925	Sale	2018-06-28T00:00:00	863500	PRIVATE TREATY			
136925	Sale	22577	LJ Hooker Commercial Canberra	2014-08-27T00:00:00		Listed - not sold	336.0
136927	Sale	2016-05-27T00:00:00	356900	PRIVATE TREATY			
136930	Sale	2015-07-14T00:00:00	315000	PRIVATE TREATY			
136936	Sale	2015-04-24T00:00:00	420000	PRIVATE TREATY			
136939	Sale	2015-02-16T00:00:00	419900	PRIVATE TREATY			
136942	Rental	15436	LJ Hooker Weston Creek	2019-11-14T00:00:00	0.0	PER WEEK	2.0
136942	Rental	15436	LJ Hooker Weston Creek	2017-11-12T00:00:00	0.0	PER WEEK	16.0
136942	Sale	2014-12-23T00:00:00	425000	PRIVATE TREATY			
136945	Rental	28076	LJ Hooker Tuggeranong	2020-02-12T00:00:00	0.0	PER WEEK	316.0
136945	Rental		LJH Tuggeranong	2017-10-13T00:00:00	0.0	PER WEEK	16.0
136945	Sale	2015-01-20T00:00:00	339900	PRIVATE TREATY			
136948	Rental	15436	LJ Hooker Weston Creek	2019-10-15T00:00:00	0.0	PER WEEK	5.0
136948	Rental		LJH Weston Creek	2018-10-18T00:00:00	410.0	PER WEEK	37.0
136948	Sale	2015-08-31T00:00:00	342400	PRIVATE TREATY			
136951	Sale	5795	Maloney's the Estate Agent	2019-07-25T00:00:00	500000.0	PRIVATE TREATY	338.0
136951	Sale	2015-01-22T00:00:00	469900	PRIVATE TREATY			
136954	Sale	2015-01-28T00:00:00	469900	PRIVATE TREATY			
136959	Sale	2015-01-23T00:00:00	515000	PRIVATE TREATY			
136962	Sale	2015-12-09T00:00:00	360000	PRIVATE TREATY			
136965	Sale	2015-02-06T00:00:00	495000	PRIVATE TREATY			
136968	Rental	16565	McIntyre Property	2020-02-06T00:00:00	750.0	PER WEEK	11.0
136968	Sale	2015-02-05T00:00:00	505000	PRIVATE TREATY			
136970	Sale	2015-01-19T00:00:00	475000	PRIVATE TREATY			
136976	Rental		LJH Weston Creek	2019-06-20T00:00:00	0.0	PER WEEK	228.0
136976	Rental		LJH Weston Creek	2017-12-05T00:00:00	550.0	PER WEEK	58.0
136976	Sale	2015-03-04T00:00:00	475000	PRIVATE TREATY			
136994	Rental	14101	LJ Hooker Canberra City	2017-11-12T00:00:00	450.0	PER WEEK	49.0
136994	Sale	2015-02-06T00:00:00	395000	PRIVATE TREATY			
137024	Rental	15436	LJ Hooker Weston Creek	2019-03-13T00:00:00	0.0	PER WEEK	15.0
137024	Sale	2015-02-10T00:00:00	289900	PRIVATE TREATY			
137052	Sale	2015-08-04T00:00:00	299900	PRIVATE TREATY			
137077	Sale	2015-02-09T00:00:00	309900	PRIVATE TREATY			
137101	Sale	2016-11-16T00:00:00	265400	PRIVATE TREATY			
137102	Sale		The Real Estate Shop	2016-02-23T00:00:00	379000.0	Listed - not sold	92.0
137104	Sale	2019-10-02T00:00:00	275000	PRIVATE TREATY			
137104	Sale	2016-09-19T00:00:00	254000	PRIVATE TREATY			
137105	Rental	14060	Hodgkinson Real Estate 	2018-11-16T00:00:00	460.0	PER WEEK	5.0
137107	Rental	25429	Distinct Property Management	2019-02-27T00:00:00	0.0	PER WEEK	103.0
137107	Sale	2017-03-17T00:00:00	245000	PRIVATE TREATY			
137110	Sale	2015-12-31T00:00:00	286900	PRIVATE TREATY			
137111	Rental		Fiona Wall Properties	2015-07-22T00:00:00	440.0	PER WEEK	7.0
137113	Sale	2016-07-11T00:00:00	361900	PRIVATE TREATY			
137117	Sale	2016-05-06T00:00:00	250000	PRIVATE TREATY			
137120	Rental	25451	P & P Real Estate	2019-12-12T00:00:00	0.0	PER WEEK	8.0
137120	Sale	2016-06-30T00:00:00	254400	PRIVATE TREATY			
137121	Sale		Luton Properties Tuggeranong CRE	2019-12-04T00:00:00		PRIVATE TREATY	60.0
137121	Sale	20262	CBR Property	2013-04-05T00:00:00	375000.0	Listed - not sold	355.0
137123	Sale	2016-12-09T00:00:00	253400	PRIVATE TREATY			
137124	Rental	14060	Hodgkinson Real Estate 	2014-12-04T00:00:00	340.0	PER WEEK	20.0
137124	Rental	14060	Hodgkinson Real Estate 	2013-08-01T00:00:00	370.0	PER WEEK	14.0
137126	Rental	29298	GEOCON	2019-06-13T00:00:00	520.0	PER WEEK	7.0
137126	Rental	20001	Peter Blackshaw Real Estate Queanbeyan & Jerrabomberra	2018-01-26T00:00:00	510.0	PER WEEK	49.0
137129	Sale	2018-10-05T00:00:00	315000	PRIVATE TREATY			
137130	Rental	25465	Independent Property Management	2015-12-23T00:00:00	415.0	PER WEEK	43.0
137132	Rental	25465	Independent Property Management	2018-09-07T00:00:00	470.0	PER WEEK	24.0
137132	Sale	2016-09-30T00:00:00	349900	PRIVATE TREATY			
137133	Rental	14060	Hodgkinson Real Estate 	2018-05-17T00:00:00	340.0	PER WEEK	18.0
137133	Rental	10312	Luton Properties Tuggeranong CRE	2015-05-20T00:00:00	385.0	PER WEEK	133.0
137135	Sale	2018-11-07T00:00:00	332500	PRIVATE TREATY			
137136	Rental	30205	Bolton & Co Belconnen	2017-11-12T00:00:00	350.0	PER WEEK	51.0
137138	Sale	2016-09-19T00:00:00	354900	PRIVATE TREATY			
137141	Sale	2018-03-13T00:00:00	294900	PRIVATE TREATY			
137144	Rental	18793	Peter Blackshaw Tuggeranong	2018-03-02T00:00:00	420.0	PER WEEK	12.0
137144	Sale	2015-07-22T00:00:00	309900	PRIVATE TREATY			
137147	Rental	25465	Independent Property Management	2018-08-22T00:00:00	360.0	PER WEEK	8.0
137147	Sale	2016-07-29T00:00:00	249400	PRIVATE TREATY			
137149	Sale	25305	McCann Properties	2018-07-24T00:00:00	285000.0	PRIVATE TREATY	110.0
137149	Rental	14064	Homefinders Real Estate	2017-11-17T00:00:00	340.0	PER WEEK	49.0
