StreetAddressID	POI	Distance
140708	City GPO	1.4
140708	Major Shopping Centre - Hyperdome	3.6
140708	Hospital - The Canberra Hospital	6.7
140708	Primary School - Taylor Primary	1.8
140708	High School - Namadgi School	1.8
140708	College - Lake Tuggeranong College	3.4
140708	University - Australian National University	13.6
140709	City GPO	1.3
140709	Major Shopping Centre - Hyperdome	3.7
140709	Hospital - The Canberra Hospital	6.7
140709	Primary School - Taylor Primary	1.8
140709	High School - Namadgi School	1.8
140709	College - Lake Tuggeranong College	3.5
140709	University - Australian National University	13.5
140710	City GPO	1.3
140710	Major Shopping Centre - Hyperdome	3.7
140710	Hospital - The Canberra Hospital	6.6
140710	Primary School - Taylor Primary	1.8
140710	High School - Namadgi School	1.8
140710	College - Lake Tuggeranong College	3.5
140710	University - Australian National University	13.5
140711	City GPO	1.4
140711	Major Shopping Centre - Hyperdome	3.7
140711	Hospital - The Canberra Hospital	6.7
140711	Primary School - Taylor Primary	1.8
140711	High School - Namadgi School	1.8
140711	College - Lake Tuggeranong College	3.5
140711	University - Australian National University	13.5
140712	City GPO	1.3
140712	Major Shopping Centre - Hyperdome	3.7
140712	Hospital - The Canberra Hospital	6.6
140712	Primary School - Taylor Primary	1.8
140712	High School - Namadgi School	1.7
140712	College - Lake Tuggeranong College	3.4
140712	University - Australian National University	13.5
140713	City GPO	1.4
140713	Major Shopping Centre - Hyperdome	3.7
140713	Hospital - The Canberra Hospital	6.7
140713	Primary School - Taylor Primary	1.8
140713	High School - Namadgi School	1.8
140713	College - Lake Tuggeranong College	3.4
140713	University - Australian National University	13.5
140714	City GPO	1.3
140714	Major Shopping Centre - Hyperdome	3.6
140714	Hospital - The Canberra Hospital	6.6
140714	Primary School - Taylor Primary	1.8
140714	High School - Namadgi School	1.7
140714	College - Lake Tuggeranong College	3.4
140714	University - Australian National University	13.5
140715	City GPO	1.4
140715	Major Shopping Centre - Hyperdome	3.6
140715	Hospital - The Canberra Hospital	6.7
140715	Primary School - Taylor Primary	1.8
140715	High School - Namadgi School	1.8
140715	College - Lake Tuggeranong College	3.4
140715	University - Australian National University	13.6
140716	City GPO	1.4
140716	Major Shopping Centre - Hyperdome	3.6
140716	Hospital - The Canberra Hospital	6.7
140716	Primary School - Taylor Primary	1.8
140716	High School - Namadgi School	1.8
140716	College - Lake Tuggeranong College	3.4
140716	University - Australian National University	13.6
140717	City GPO	0.4
140717	Major Shopping Centre - Cooleman Court	4.2
140717	Hospital - The Canberra Hospital	5.6
140717	Primary School - Taylor Primary	0.9
140717	High School - Namadgi School	1.8
140717	College - Marist College Canberra	3.9
140717	University - Australian National University	12.4
140718	City GPO	0.3
140718	Major Shopping Centre - Cooleman Court	4.2
140718	Hospital - The Canberra Hospital	5.5
140718	Primary School - Taylor Primary	0.8
140718	High School - Namadgi School	1.8
140718	College - Marist College Canberra	3.8
140718	University - Australian National University	12.4
140719	City GPO	0.3
140719	Major Shopping Centre - Cooleman Court	4.2
140719	Hospital - The Canberra Hospital	5.5
140719	Primary School - Taylor Primary	0.8
140719	High School - Namadgi School	1.8
140719	College - Marist College Canberra	3.8
140719	University - Australian National University	12.3
140720	City GPO	0.3
140720	Major Shopping Centre - Cooleman Court	4.1
140720	Hospital - The Canberra Hospital	5.5
140720	Primary School - Taylor Primary	0.8
140720	High School - Namadgi School	1.8
140720	College - Marist College Canberra	3.8
140720	University - Australian National University	12.3
140721	City GPO	0.3
