StreetAddressID	POI	Distance
147082	City GPO	1.0
147082	Major Shopping Centre - Hyperdome	1.0
147082	Hospital - The Canberra Hospital	7.9
147082	Primary School - Monash Primary	1.1
147082	High School - Wanniassa School Senior Campus	2.3
147082	College - Lake Tuggeranong College	0.8
147082	University - Australian National University	15.4
147083	City GPO	1.0
147083	Major Shopping Centre - Hyperdome	1.1
147083	Hospital - The Canberra Hospital	7.9
147083	Primary School - Monash Primary	1.1
147083	High School - Wanniassa School Senior Campus	2.3
147083	College - Lake Tuggeranong College	0.8
147083	University - Australian National University	15.4
147084	City GPO	0.9
147084	Major Shopping Centre - Hyperdome	1.0
147084	Hospital - The Canberra Hospital	7.9
147084	Primary School - Monash Primary	1.1
147084	High School - Wanniassa School Senior Campus	2.3
147084	College - Lake Tuggeranong College	0.8
147084	University - Australian National University	15.4
147085	City GPO	1.7
147085	Major Shopping Centre - Hyperdome	1.6
147085	Hospital - The Canberra Hospital	7.1
147085	Primary School - Monash Primary	1.3
147085	High School - Wanniassa School Senior Campus	1.5
147085	College - Mackillop College	1.1
147085	University - Australian National University	14.6
147086	City GPO	1.6
147086	Major Shopping Centre - Hyperdome	1.6
147086	Hospital - The Canberra Hospital	7.2
147086	Primary School - Monash Primary	1.2
147086	High School - Wanniassa School Senior Campus	1.6
147086	College - Mackillop College	1.1
147086	University - Australian National University	14.6
147087	City GPO	1.7
147087	Major Shopping Centre - Hyperdome	1.6
147087	Hospital - The Canberra Hospital	7.1
147087	Primary School - Monash Primary	1.2
147087	High School - Wanniassa School Senior Campus	1.5
147087	College - Mackillop College	1.0
147087	University - Australian National University	14.6
147088	City GPO	1.6
147088	Major Shopping Centre - Hyperdome	1.6
147088	Hospital - The Canberra Hospital	7.1
147088	Primary School - Monash Primary	1.2
147088	High School - Wanniassa School Senior Campus	1.6
147088	College - Mackillop College	1.1
147088	University - Australian National University	14.6
147089	City GPO	1.7
147089	Major Shopping Centre - Hyperdome	1.7
147089	Hospital - The Canberra Hospital	7.1
147089	Primary School - Monash Primary	1.2
147089	High School - Wanniassa School Senior Campus	1.5
147089	College - Mackillop College	1.0
147089	University - Australian National University	14.6
147090	City GPO	1.6
147090	Major Shopping Centre - Hyperdome	1.6
147090	Hospital - The Canberra Hospital	7.1
147090	Primary School - Monash Primary	1.2
147090	High School - Wanniassa School Senior Campus	1.6
147090	College - Mackillop College	1.1
147090	University - Australian National University	14.6
147091	City GPO	1.7
147091	Major Shopping Centre - Hyperdome	1.7
147091	Hospital - The Canberra Hospital	7.1
147091	Primary School - Monash Primary	1.1
147091	High School - Wanniassa School Senior Campus	1.5
147091	College - Mackillop College	1.0
147091	University - Australian National University	14.6
147092	City GPO	1.7
147092	Major Shopping Centre - Hyperdome	1.7
147092	Hospital - The Canberra Hospital	7.1
147092	Primary School - Monash Primary	1.1
147092	High School - Wanniassa School Senior Campus	1.6
147092	College - Mackillop College	1.0
147092	University - Australian National University	14.6
147093	City GPO	1.7
147093	Major Shopping Centre - Erindale Shopping Centre	1.7
147093	Hospital - The Canberra Hospital	7.1
147093	Primary School - Monash Primary	1.1
147093	High School - Wanniassa School Senior Campus	1.6
147093	College - Mackillop College	1.0
147093	University - Australian National University	14.6
147094	City GPO	1.6
147094	Major Shopping Centre - Hyperdome	1.5
147094	Hospital - The Canberra Hospital	7.1
147094	Primary School - Monash Primary	1.3
147094	High School - Wanniassa School Senior Campus	1.6
147094	College - Mackillop College	1.2
147094	University - Australian National University	14.6
147095	City GPO	1.6
147095	Major Shopping Centre - Erindale Shopping Centre	1.6
147095	Hospital - The Canberra Hospital	7.1
147095	Primary School - Monash Primary	1.1
147095	High School - Wanniassa School Senior Campus	1.6
147095	College - Mackillop College	1.0
147095	University - Australian National University	14.6
147096	City GPO	1.6
147096	Major Shopping Centre - Hyperdome	1.6
147096	Hospital - The Canberra Hospital	7.2
147096	Primary School - Monash Primary	1.1
147096	High School - Wanniassa School Senior Campus	1.6
147096	College - Mackillop College	1.0
147096	University - Australian National University	14.7
147097	City GPO	1.6
147097	Major Shopping Centre - Erindale Shopping Centre	1.6
147097	Hospital - The Canberra Hospital	7.1
147097	Primary School - Monash Primary	1.0
147097	High School - Wanniassa School Senior Campus	1.6
147097	College - Mackillop College	0.9
147097	University - Australian National University	14.6
147098	City GPO	1.6
147098	Major Shopping Centre - Hyperdome	1.6
147098	Hospital - The Canberra Hospital	7.2
147098	Primary School - Monash Primary	1.0
147098	High School - Wanniassa School Senior Campus	1.6
147098	College - Mackillop College	1.0
147098	University - Australian National University	14.7
147099	City GPO	1.6
147099	Major Shopping Centre - Erindale Shopping Centre	1.6
147099	Hospital - The Canberra Hospital	7.2
147099	Primary School - Monash Primary	1.0
147099	High School - Wanniassa School Senior Campus	1.6
147099	College - Mackillop College	0.9
147099	University - Australian National University	14.7
147100	City GPO	1.6
147100	Major Shopping Centre - Hyperdome	1.6
147100	Hospital - The Canberra Hospital	7.1
147100	Primary School - Monash Primary	1.3
147100	High School - Wanniassa School Senior Campus	1.6
147100	College - Mackillop College	1.1
147100	University - Australian National University	14.6
147101	City GPO	1.6
147101	Major Shopping Centre - Hyperdome	1.5
147101	Hospital - The Canberra Hospital	7.1
147101	Primary School - Monash Primary	1.3
