StreetAddressID	Year	UnImprovedValue	YearlyGrowthRation
147082	2009-2010	232000.0	0.0
147082	2010-2011	281000.0	21.120689655172413
147082	2011-2012	309000.0	9.9644128113879
147082	2012-2013	309000.0	0.0
147082	2013-2014	309000.0	0.0
147082	2014-2015	301000.0	-2.5889967637540456
147082	2015-2016	311000.0	3.322259136212625
147082	2016-2017	348000.0	11.89710610932476
147082	2017-2018	348000.0	0.0
147082	2018-2019	364000.0	4.597701149425287
147082	2019-2020	369000.0	1.3736263736263736
147083	2009-2010	232000.0	0.0
147083	2010-2011	281000.0	21.120689655172413
147083	2011-2012	309000.0	9.9644128113879
147083	2012-2013	309000.0	0.0
147083	2013-2014	309000.0	0.0
147083	2014-2015	301000.0	-2.5889967637540456
147083	2015-2016	311000.0	3.322259136212625
147083	2016-2017	348000.0	11.89710610932476
147083	2017-2018	348000.0	0.0
147083	2018-2019	364000.0	4.597701149425287
147083	2019-2020	369000.0	1.3736263736263736
147084	2009-2010	243000.0	0.0
147084	2010-2011	295000.0	21.39917695473251
147084	2011-2012	325000.0	10.16949152542373
147084	2012-2013	325000.0	0.0
147084	2013-2014	325000.0	0.0
147084	2014-2015	317000.0	-2.4615384615384617
147084	2015-2016	328000.0	3.4700315457413247
147084	2016-2017	367000.0	11.890243902439025
147084	2017-2018	367000.0	0.0
147084	2018-2019	384000.0	4.632152588555858
147084	2019-2020	390000.0	1.5625
147085	2009-2010	235000.0	0.0
147085	2010-2011	285000.0	21.27659574468085
147085	2011-2012	314000.0	10.175438596491228
147085	2012-2013	314000.0	0.0
147085	2013-2014	314000.0	0.0
147085	2014-2015	305000.0	-2.8662420382165608
147085	2015-2016	315000.0	3.278688524590164
147085	2016-2017	340000.0	7.936507936507936
147085	2017-2018	340000.0	0.0
147085	2018-2019	356000.0	4.705882352941177
147085	2019-2020	361000.0	1.4044943820224718
147086	2009-2010	268000.0	0.0
147086	2010-2011	325000.0	21.26865671641791
147086	2011-2012	358000.0	10.153846153846153
147086	2012-2013	358000.0	0.0
147086	2013-2014	358000.0	0.0
147086	2014-2015	348000.0	-2.793296089385475
147086	2015-2016	359000.0	3.1609195402298855
147086	2016-2017	310000.0	-13.649025069637883
147086	2017-2018	310000.0	0.0
147086	2018-2019	325000.0	4.838709677419355
147086	2019-2020	330000.0	1.5384615384615385
147087	2009-2010	244000.0	0.0
147087	2010-2011	296000.0	21.311475409836063
147087	2011-2012	326000.0	10.135135135135135
147087	2012-2013	326000.0	0.0
147087	2013-2014	326000.0	0.0
147087	2014-2015	317000.0	-2.7607361963190185
