StreetAddressID	POI	Distance
151172	City GPO	1.5
151172	Major Shopping Centre - Erindale Shopping Centre	1.5
151172	Hospital - The Canberra Hospital	6.5
151172	Primary School - Fadden Primary	0.3
151172	High School - Caroline Chisholm High School, Chisholm	1.7
151172	College - Erindale College	1.7
151172	University - Australian National University	13.8
151173	City GPO	1.4
151173	Major Shopping Centre - Erindale Shopping Centre	1.4
151173	Hospital - The Canberra Hospital	6.5
151173	Primary School - Fadden Primary	0.4
151173	High School - Caroline Chisholm High School, Chisholm	1.7
151173	College - Erindale College	1.7
151173	University - Australian National University	13.7
151174	City GPO	1.5
151174	Major Shopping Centre - Erindale Shopping Centre	1.5
151174	Hospital - The Canberra Hospital	6.5
151174	Primary School - Fadden Primary	0.3
151174	High School - Caroline Chisholm High School, Chisholm	1.7
151174	College - Erindale College	1.8
151174	University - Australian National University	13.7
151175	City GPO	1.5
151175	Major Shopping Centre - Erindale Shopping Centre	1.5
151175	Hospital - The Canberra Hospital	6.5
151175	Primary School - Fadden Primary	0.3
151175	High School - Caroline Chisholm High School, Chisholm	1.7
151175	College - Erindale College	1.8
151175	University - Australian National University	13.7
151176	City GPO	1.5
151176	Major Shopping Centre - Erindale Shopping Centre	1.5
151176	Hospital - The Canberra Hospital	6.5
151176	Primary School - Fadden Primary	0.3
151176	High School - Caroline Chisholm High School, Chisholm	1.7
151176	College - Erindale College	1.8
151176	University - Australian National University	13.7
151177	City GPO	1.5
151177	Major Shopping Centre - Erindale Shopping Centre	1.4
151177	Hospital - The Canberra Hospital	6.4
151177	Primary School - Fadden Primary	0.4
151177	High School - Caroline Chisholm High School, Chisholm	1.8
151177	College - Erindale College	1.7
151177	University - Australian National University	13.7
151178	City GPO	1.5
151178	Major Shopping Centre - Erindale Shopping Centre	1.5
151178	Hospital - The Canberra Hospital	6.5
151178	Primary School - Fadden Primary	0.3
151178	High School - Caroline Chisholm High School, Chisholm	1.7
151178	College - Erindale College	1.8
151178	University - Australian National University	13.7
151179	City GPO	1.5
151179	Major Shopping Centre - Erindale Shopping Centre	1.5
151179	Hospital - The Canberra Hospital	6.4
151179	Primary School - Fadden Primary	0.4
151179	High School - Caroline Chisholm High School, Chisholm	1.8
151179	College - Erindale College	1.7
151179	University - Australian National University	13.6
151180	City GPO	1.5
151180	Major Shopping Centre - Erindale Shopping Centre	1.4
151180	Hospital - The Canberra Hospital	6.6
151180	Primary School - Fadden Primary	0.3
151180	High School - Caroline Chisholm High School, Chisholm	1.6
151180	College - Erindale College	1.7
151180	University - Australian National University	13.8
151181	City GPO	1.5
151181	Major Shopping Centre - Erindale Shopping Centre	1.5
151181	Hospital - The Canberra Hospital	6.4
151181	Primary School - Fadden Primary	0.3
151181	High School - Caroline Chisholm High School, Chisholm	1.8
151181	College - Erindale College	1.8
151181	University - Australian National University	13.6
151182	City GPO	1.5
151182	Major Shopping Centre - Erindale Shopping Centre	1.5
151182	Hospital - The Canberra Hospital	6.4
151182	Primary School - Fadden Primary	0.4
151182	High School - Caroline Chisholm High School, Chisholm	1.8
151182	College - Erindale College	1.7
151182	University - Australian National University	13.6
151183	City GPO	1.5
151183	Major Shopping Centre - Erindale Shopping Centre	1.5
151183	Hospital - The Canberra Hospital	6.4
151183	Primary School - Fadden Primary	0.3
151183	High School - Caroline Chisholm High School, Chisholm	1.8
151183	College - Erindale College	1.8
151183	University - Australian National University	13.6
151184	City GPO	1.5
151184	Major Shopping Centre - Erindale Shopping Centre	1.5
151184	Hospital - The Canberra Hospital	6.4
151184	Primary School - Fadden Primary	0.3
151184	High School - Caroline Chisholm High School, Chisholm	1.8
151184	College - Erindale College	1.8
151184	University - Australian National University	13.6
151185	City GPO	1.5
151185	Major Shopping Centre - Erindale Shopping Centre	1.5
151185	Hospital - The Canberra Hospital	6.4
151185	Primary School - Fadden Primary	0.4
151185	High School - Caroline Chisholm High School, Chisholm	1.8
151185	College - Erindale College	1.8
151185	University - Australian National University	13.6
151186	City GPO	1.6
151186	Major Shopping Centre - Erindale Shopping Centre	1.5
151186	Hospital - The Canberra Hospital	6.4
151186	Primary School - Fadden Primary	0.3
151186	High School - Caroline Chisholm High School, Chisholm	1.8
151186	College - Erindale College	1.8
151186	University - Australian National University	13.6
151187	City GPO	1.5
151187	Major Shopping Centre - Erindale Shopping Centre	1.5
151187	Hospital - The Canberra Hospital	6.3
151187	Primary School - Fadden Primary	0.4
151187	High School - Caroline Chisholm High School, Chisholm	1.9
151187	College - Erindale College	1.8
151187	University - Australian National University	13.6
151188	City GPO	1.5
151188	Major Shopping Centre - Erindale Shopping Centre	1.5
151188	Hospital - The Canberra Hospital	6.3
151188	Primary School - Fadden Primary	0.4
151188	High School - Caroline Chisholm High School, Chisholm	1.9
151188	College - Erindale College	1.8
151188	University - Australian National University	13.5
151189	City GPO	1.4
151189	Major Shopping Centre - Erindale Shopping Centre	1.4
151189	Hospital - The Canberra Hospital	6.6
151189	Primary School - Fadden Primary	0.4
151189	High School - Caroline Chisholm High School, Chisholm	1.6
151189	College - Erindale College	1.7
151189	University - Australian National University	13.8
151190	City GPO	1.5
151190	Major Shopping Centre - Erindale Shopping Centre	1.4
151190	Hospital - The Canberra Hospital	6.6
151190	Primary School - Fadden Primary	0.3
151190	High School - Caroline Chisholm High School, Chisholm	1.6
151190	College - Erindale College	1.7
151190	University - Australian National University	13.8
151191	City GPO	1.5
151191	Major Shopping Centre - Erindale Shopping Centre	1.4
151191	Hospital - The Canberra Hospital	6.6
151191	Primary School - Fadden Primary	0.3
151191	High School - Caroline Chisholm High School, Chisholm	1.7
151191	College - Erindale College	1.7
151191	University - Australian National University	13.8
151192	City GPO	1.5
151192	Major Shopping Centre - Erindale Shopping Centre	1.4
151192	Hospital - The Canberra Hospital	6.5
151192	Primary School - Fadden Primary	0.3
151192	High School - Caroline Chisholm High School, Chisholm	1.7
151192	College - Erindale College	1.7
151192	University - Australian National University	13.8
151193	City GPO	0.8
151193	Major Shopping Centre - Erindale Shopping Centre	2.1
151193	Hospital - The Canberra Hospital	7.2
151193	Primary School - Holy Family Primary School	0.6
151193	High School - Caroline Chisholm High School, Chisholm	1.0
151193	College - Erindale College	2.5
151193	University - Australian National University	14.3
151194	City GPO	0.8
151194	Major Shopping Centre - Erindale Shopping Centre	2.2
151194	Hospital - The Canberra Hospital	7.2
151194	Primary School - Fadden Primary	0.6
151194	High School - Caroline Chisholm High School, Chisholm	1.1
151194	College - Erindale College	2.5
151194	University - Australian National University	14.3
151195	City GPO	0.8
151195	Major Shopping Centre - Erindale Shopping Centre	2.2
151195	Hospital - The Canberra Hospital	7.2
151195	Primary School - Holy Family Primary School	0.6
151195	High School - Caroline Chisholm High School, Chisholm	1.0
151195	College - Erindale College	2.5
151195	University - Australian National University	14.3
151196	City GPO	0.8
151196	Major Shopping Centre - Erindale Shopping Centre	2.2
151196	Hospital - The Canberra Hospital	7.2
151196	Primary School - Holy Family Primary School	0.6
151196	High School - Caroline Chisholm High School, Chisholm	1.0
151196	College - Erindale College	2.5
151196	University - Australian National University	14.3
151197	City GPO	0.9
151197	Major Shopping Centre - Erindale Shopping Centre	2.1
151197	Hospital - The Canberra Hospital	7.1
151197	Primary School - Fadden Primary	0.5
151197	High School - Caroline Chisholm High School, Chisholm	1.1
151197	College - Erindale College	2.4
151197	University - Australian National University	14.2
151198	City GPO	0.8
151198	Major Shopping Centre - Erindale Shopping Centre	2.1
151198	Hospital - The Canberra Hospital	7.2
151198	Primary School - Holy Family Primary School	0.5
151198	High School - Caroline Chisholm High School, Chisholm	1.0
151198	College - Erindale College	2.4
151198	University - Australian National University	14.3
151199	City GPO	0.8
151199	Major Shopping Centre - Erindale Shopping Centre	2.1
151199	Hospital - The Canberra Hospital	7.2
151199	Primary School - Fadden Primary	0.6
151199	High School - Caroline Chisholm High School, Chisholm	1.1
151199	College - Erindale College	2.5
151199	University - Australian National University	14.2
151200	City GPO	0.8
151200	Major Shopping Centre - Erindale Shopping Centre	2.1
151200	Hospital - The Canberra Hospital	7.2
151200	Primary School - Holy Family Primary School	0.5
151200	High School - Caroline Chisholm High School, Chisholm	1.0
151200	College - Erindale College	2.4
151200	University - Australian National University	14.3
151201	City GPO	0.8
151201	Major Shopping Centre - Erindale Shopping Centre	2.1
151201	Hospital - The Canberra Hospital	7.2
151201	Primary School - Fadden Primary	0.6
151201	High School - Caroline Chisholm High School, Chisholm	1.1
151201	College - Erindale College	2.5
151201	University - Australian National University	14.3
151202	City GPO	0.8
151202	Major Shopping Centre - Erindale Shopping Centre	2.1
151202	Hospital - The Canberra Hospital	7.2
151202	Primary School - Holy Family Primary School	0.5
151202	High School - Caroline Chisholm High School, Chisholm	1.0
151202	College - Erindale College	2.5
151202	University - Australian National University	14.3
151203	City GPO	0.8
151203	Major Shopping Centre - Erindale Shopping Centre	2.2
151203	Hospital - The Canberra Hospital	7.2
151203	Primary School - Fadden Primary	0.6
151203	High School - Caroline Chisholm High School, Chisholm	1.1
151203	College - Erindale College	2.5
151203	University - Australian National University	14.3
151204	City GPO	1.5
151204	Major Shopping Centre - Erindale Shopping Centre	2.1
151204	Hospital - The Canberra Hospital	6.5
151204	Primary School - Fadden Primary	0.4
151204	High School - Caroline Chisholm High School, Chisholm	1.7
151204	College - Erindale College	2.3
151204	University - Australian National University	13.6
151205	City GPO	1.5
151205	Major Shopping Centre - Erindale Shopping Centre	2.1
151205	Hospital - The Canberra Hospital	6.5
151205	Primary School - Fadden Primary	0.4
151205	High School - Caroline Chisholm High School, Chisholm	1.8
151205	College - Erindale College	2.3
151205	University - Australian National University	13.5
151206	City GPO	1.5
151206	Major Shopping Centre - Erindale Shopping Centre	2.0
151206	Hospital - The Canberra Hospital	6.5
151206	Primary School - Fadden Primary	0.3
151206	High School - Caroline Chisholm High School, Chisholm	1.7
151206	College - Erindale College	2.3
151206	University - Australian National University	13.6
151207	City GPO	1.5
151207	Major Shopping Centre - Erindale Shopping Centre	2.1
151207	Hospital - The Canberra Hospital	6.4
151207	Primary School - Fadden Primary	0.4
151207	High School - Caroline Chisholm High School, Chisholm	1.8
151207	College - Erindale College	2.3
151207	University - Australian National University	13.5
151208	City GPO	1.5
151208	Major Shopping Centre - Erindale Shopping Centre	2.0
151208	Hospital - The Canberra Hospital	6.5
151208	Primary School - Fadden Primary	0.3
151208	High School - Caroline Chisholm High School, Chisholm	1.7
151208	College - Erindale College	2.3
151208	University - Australian National University	13.6
151209	City GPO	1.5
151209	Major Shopping Centre - Erindale Shopping Centre	2.0
151209	Hospital - The Canberra Hospital	6.4
151209	Primary School - Fadden Primary	0.4
151209	High School - Caroline Chisholm High School, Chisholm	1.8
151209	College - Erindale College	2.3
151209	University - Australian National University	13.5
151210	City GPO	1.5
151210	Major Shopping Centre - Erindale Shopping Centre	2.0
151210	Hospital - The Canberra Hospital	6.5
151210	Primary School - Fadden Primary	0.3
151210	High School - Caroline Chisholm High School, Chisholm	1.7
151210	College - Erindale College	2.3
151210	University - Australian National University	13.6
151211	City GPO	1.5
151211	Major Shopping Centre - Erindale Shopping Centre	2.0
151211	Hospital - The Canberra Hospital	6.5
151211	Primary School - Fadden Primary	0.3
151211	High School - Caroline Chisholm High School, Chisholm	1.7
151211	College - Erindale College	2.3
151211	University - Australian National University	13.6
151212	City GPO	1.0
151212	Major Shopping Centre - Erindale Shopping Centre	1.0
151212	Hospital - The Canberra Hospital	6.2
151212	Primary School - Fadden Primary	0.9
151212	High School - Caroline Chisholm High School, Chisholm	2.2
151212	College - Erindale College	1.2
151212	University - Australian National University	13.5
151213	City GPO	1.0
151213	Major Shopping Centre - Erindale Shopping Centre	1.1
151213	Hospital - The Canberra Hospital	6.1
151213	Primary School - Fadden Primary	1.0
151213	High School - Wanniassa School Senior Campus	2.2
151213	College - Erindale College	1.2
151213	University - Australian National University	13.4
151214	City GPO	1.6
151214	Major Shopping Centre - Erindale Shopping Centre	1.7
151214	Hospital - The Canberra Hospital	6.0
151214	Primary School - Fadden Primary	0.6
151214	High School - Caroline Chisholm High School, Chisholm	2.1
151214	College - Erindale College	1.9
151214	University - Australian National University	13.2
151215	City GPO	1.7
151215	Major Shopping Centre - Erindale Shopping Centre	1.7
151215	Hospital - The Canberra Hospital	6.0
151215	Primary School - Fadden Primary	0.7
151215	High School - Caroline Chisholm High School, Chisholm	2.2
151215	College - Erindale College	1.9
151215	University - Australian National University	13.2
151216	City GPO	0.9
151216	Major Shopping Centre - Erindale Shopping Centre	1.0
151216	Hospital - The Canberra Hospital	6.1
151216	Primary School - Wanniassa School Junior Campus	1.0
151216	High School - Wanniassa School Senior Campus	2.1
151216	College - Erindale College	1.1
151216	University - Australian National University	13.4
151217	City GPO	1.0
151217	Major Shopping Centre - Erindale Shopping Centre	1.1
151217	Hospital - The Canberra Hospital	6.1
151217	Primary School - Fadden Primary	1.0
151217	High School - Wanniassa School Senior Campus	2.2
151217	College - Erindale College	1.2
151217	University - Australian National University	13.4
151218	City GPO	0.9
151218	Major Shopping Centre - Erindale Shopping Centre	1.0
151218	Hospital - The Canberra Hospital	6.1
151218	Primary School - Wanniassa School Junior Campus	1.0
151218	High School - Wanniassa School Senior Campus	2.1
151218	College - Erindale College	1.1
151218	University - Australian National University	13.4
151219	City GPO	1.0
151219	Major Shopping Centre - Erindale Shopping Centre	1.1
151219	Hospital - The Canberra Hospital	6.1
151219	Primary School - Fadden Primary	1.0
151219	High School - Wanniassa School Senior Campus	2.2
151219	College - Erindale College	1.2
151219	University - Australian National University	13.4
151220	City GPO	0.9
151220	Major Shopping Centre - Erindale Shopping Centre	1.0
151220	Hospital - The Canberra Hospital	6.0
151220	Primary School - Wanniassa School Junior Campus	1.0
151220	High School - Wanniassa School Senior Campus	2.1
151220	College - Erindale College	1.1
151220	University - Australian National University	13.4
151221	City GPO	1.0
151221	Major Shopping Centre - Erindale Shopping Centre	1.0
151221	Hospital - The Canberra Hospital	6.1
151221	Primary School - Fadden Primary	1.0
151221	High School - Wanniassa School Senior Campus	2.1
151221	College - Erindale College	1.2
151221	University - Australian National University	13.4
151222	City GPO	0.9
