StreetAddressID	POI	Distance
152326	City GPO	1.5
152326	Major Shopping Centre - Erindale Shopping Centre	1.3
152326	Hospital - The Canberra Hospital	6.9
152326	Primary School - Holy Family Primary School	0.4
152326	High School - Caroline Chisholm High School, Chisholm	1.3
152326	College - Erindale College	1.7
152326	University - Australian National University	14.2
152327	City GPO	1.4
152327	Major Shopping Centre - Erindale Shopping Centre	1.3
152327	Hospital - The Canberra Hospital	6.9
152327	Primary School - Holy Family Primary School	0.4
152327	High School - Caroline Chisholm High School, Chisholm	1.4
152327	College - Erindale College	1.7
152327	University - Australian National University	14.2
152328	City GPO	1.5
152328	Major Shopping Centre - Erindale Shopping Centre	1.4
152328	Hospital - The Canberra Hospital	7.0
152328	Primary School - Holy Family Primary School	0.4
152328	High School - Caroline Chisholm High School, Chisholm	1.3
152328	College - Erindale College	1.7
152328	University - Australian National University	14.2
152329	City GPO	1.4
152329	Major Shopping Centre - Erindale Shopping Centre	1.3
152329	Hospital - The Canberra Hospital	7.0
152329	Primary School - Holy Family Primary School	0.4
152329	High School - Caroline Chisholm High School, Chisholm	1.3
152329	College - Erindale College	1.7
152329	University - Australian National University	14.2
152330	City GPO	1.4
152330	Major Shopping Centre - Erindale Shopping Centre	1.4
152330	Hospital - The Canberra Hospital	7.0
152330	Primary School - Holy Family Primary School	0.4
152330	High School - Caroline Chisholm High School, Chisholm	1.3
152330	College - Erindale College	1.7
152330	University - Australian National University	14.2
152331	City GPO	1.4
152331	Major Shopping Centre - Erindale Shopping Centre	1.3
152331	Hospital - The Canberra Hospital	7.0
152331	Primary School - Holy Family Primary School	0.4
152331	High School - Caroline Chisholm High School, Chisholm	1.3
152331	College - Erindale College	1.7
152331	University - Australian National University	14.3
152332	City GPO	1.4
152332	Major Shopping Centre - Erindale Shopping Centre	1.4
152332	Hospital - The Canberra Hospital	7.0
152332	Primary School - Holy Family Primary School	0.3
152332	High School - Caroline Chisholm High School, Chisholm	1.3
152332	College - Erindale College	1.7
152332	University - Australian National University	14.3
152333	City GPO	1.4
152333	Major Shopping Centre - Erindale Shopping Centre	1.3
152333	Hospital - The Canberra Hospital	7.0
152333	Primary School - Holy Family Primary School	0.4
152333	High School - Caroline Chisholm High School, Chisholm	1.3
152333	College - Erindale College	1.7
152333	University - Australian National University	14.3
152334	City GPO	1.4
152334	Major Shopping Centre - Erindale Shopping Centre	1.3
152334	Hospital - The Canberra Hospital	7.0
152334	Primary School - Holy Family Primary School	0.3
152334	High School - Caroline Chisholm High School, Chisholm	1.3
152334	College - Erindale College	1.7
152334	University - Australian National University	14.3
152335	City GPO	1.4
152335	Major Shopping Centre - Erindale Shopping Centre	1.3
152335	Hospital - The Canberra Hospital	6.8
152335	Primary School - Holy Family Primary School	0.5
152335	High School - Caroline Chisholm High School, Chisholm	1.5
152335	College - Erindale College	1.6
152335	University - Australian National University	14.1
152336	City GPO	1.4
152336	Major Shopping Centre - Erindale Shopping Centre	1.3
152336	Hospital - The Canberra Hospital	7.0
152336	Primary School - Holy Family Primary School	0.4
152336	High School - Caroline Chisholm High School, Chisholm	1.3
152336	College - Erindale College	1.7
152336	University - Australian National University	14.3
152337	City GPO	1.4
152337	Major Shopping Centre - Erindale Shopping Centre	1.3
152337	Hospital - The Canberra Hospital	7.1
152337	Primary School - Holy Family Primary School	0.3
152337	High School - Caroline Chisholm High School, Chisholm	1.3
152337	College - Erindale College	1.7
152337	University - Australian National University	14.3
152338	City GPO	1.4
152338	Major Shopping Centre - Erindale Shopping Centre	1.3
152338	Hospital - The Canberra Hospital	7.1
152338	Primary School - Holy Family Primary School	0.4
152338	High School - Caroline Chisholm High School, Chisholm	1.3
152338	College - Erindale College	1.7
152338	University - Australian National University	14.3
152339	City GPO	1.4
152339	Major Shopping Centre - Erindale Shopping Centre	1.3
152339	Hospital - The Canberra Hospital	7.1
152339	Primary School - Holy Family Primary School	0.3
152339	High School - Caroline Chisholm High School, Chisholm	1.2
152339	College - Erindale College	1.7
152339	University - Australian National University	14.3
152340	City GPO	1.4
152340	Major Shopping Centre - Erindale Shopping Centre	1.3
152340	Hospital - The Canberra Hospital	7.1
152340	Primary School - Holy Family Primary School	0.3
152340	High School - Caroline Chisholm High School, Chisholm	1.2
152340	College - Erindale College	1.7
152340	University - Australian National University	14.3
152341	City GPO	1.4
152341	Major Shopping Centre - Erindale Shopping Centre	1.3
152341	Hospital - The Canberra Hospital	7.1
152341	Primary School - Holy Family Primary School	0.4
152341	High School - Caroline Chisholm High School, Chisholm	1.3
152341	College - Erindale College	1.7
152341	University - Australian National University	14.3
152342	City GPO	1.4
152342	Major Shopping Centre - Erindale Shopping Centre	1.3
152342	Hospital - The Canberra Hospital	7.1
152342	Primary School - Holy Family Primary School	0.3
152342	High School - Caroline Chisholm High School, Chisholm	1.2
152342	College - Erindale College	1.7
152342	University - Australian National University	14.4
152343	City GPO	1.4
152343	Major Shopping Centre - Erindale Shopping Centre	1.3
152343	Hospital - The Canberra Hospital	7.1
152343	Primary School - Holy Family Primary School	0.4
152343	High School - Caroline Chisholm High School, Chisholm	1.3
152343	College - Erindale College	1.7
152343	University - Australian National University	14.4
152344	City GPO	1.4
152344	Major Shopping Centre - Erindale Shopping Centre	1.3
152344	Hospital - The Canberra Hospital	7.1
152344	Primary School - Holy Family Primary School	0.3
152344	High School - Caroline Chisholm High School, Chisholm	1.2
152344	College - Erindale College	1.7
152344	University - Australian National University	14.4
152345	City GPO	1.4
152345	Major Shopping Centre - Erindale Shopping Centre	1.3
152345	Hospital - The Canberra Hospital	7.1
152345	Primary School - Holy Family Primary School	0.4
152345	High School - Caroline Chisholm High School, Chisholm	1.2
152345	College - Erindale College	1.7
152345	University - Australian National University	14.4
