StreetAddressID	POI	Distance
153511	City GPO	0.6
153511	Major Shopping Centre - Erindale Shopping Centre	2.6
153511	Hospital - The Canberra Hospital	7.3
153511	Primary School - Fadden Primary	1.0
153511	High School - Caroline Chisholm High School, Chisholm	1.1
153511	College - Erindale College	2.9
153511	University - Australian National University	14.3
153512	City GPO	0.7
153512	Major Shopping Centre - Erindale Shopping Centre	2.5
153512	Hospital - The Canberra Hospital	7.3
153512	Primary School - Fadden Primary	0.9
153512	High School - Caroline Chisholm High School, Chisholm	1.1
153512	College - Erindale College	2.8
153512	University - Australian National University	14.3
153513	City GPO	0.7
153513	Major Shopping Centre - Erindale Shopping Centre	2.6
153513	Hospital - The Canberra Hospital	7.3
153513	Primary School - Fadden Primary	0.9
153513	High School - Caroline Chisholm High School, Chisholm	1.2
153513	College - Erindale College	2.9
153513	University - Australian National University	14.3
153514	City GPO	0.7
153514	Major Shopping Centre - Erindale Shopping Centre	2.5
153514	Hospital - The Canberra Hospital	7.3
153514	Primary School - Fadden Primary	0.9
153514	High School - Caroline Chisholm High School, Chisholm	1.1
153514	College - Erindale College	2.9
153514	University - Australian National University	14.3
153515	City GPO	0.7
153515	Major Shopping Centre - Erindale Shopping Centre	2.6
153515	Hospital - The Canberra Hospital	7.3
153515	Primary School - Fadden Primary	0.9
153515	High School - Caroline Chisholm High School, Chisholm	1.2
153515	College - Erindale College	2.9
153515	University - Australian National University	14.3
153516	City GPO	0.6
153516	Major Shopping Centre - Erindale Shopping Centre	2.5
153516	Hospital - The Canberra Hospital	7.3
153516	Primary School - Fadden Primary	0.9
153516	High School - Caroline Chisholm High School, Chisholm	1.1
153516	College - Erindale College	2.9
153516	University - Australian National University	14.3
153517	City GPO	0.7
153517	Major Shopping Centre - Erindale Shopping Centre	2.6
153517	Hospital - The Canberra Hospital	7.3
153517	Primary School - Fadden Primary	1.0
153517	High School - Caroline Chisholm High School, Chisholm	1.2
153517	College - Erindale College	2.9
153517	University - Australian National University	14.3
153518	City GPO	0.6
153518	Major Shopping Centre - Erindale Shopping Centre	2.6
153518	Hospital - The Canberra Hospital	7.3
153518	Primary School - Fadden Primary	0.9
153518	High School - Caroline Chisholm High School, Chisholm	1.1
153518	College - Erindale College	2.9
153518	University - Australian National University	14.3
153519	City GPO	1.1
153519	Major Shopping Centre - Erindale Shopping Centre	3.0
153519	Hospital - The Canberra Hospital	7.1
153519	Primary School - Fadden Primary	1.3
153519	High School - Caroline Chisholm High School, Chisholm	1.7
153519	College - Erindale College	3.3
153519	University - Australian National University	14.0
153520	City GPO	1.2
153520	Major Shopping Centre - Erindale Shopping Centre	3.1
153520	Hospital - The Canberra Hospital	7.0
153520	Primary School - Fadden Primary	1.3
153520	High School - Caroline Chisholm High School, Chisholm	1.8
153520	College - Erindale College	3.4
153520	University - Australian National University	13.8
153521	City GPO	1.2
153521	Major Shopping Centre - Erindale Shopping Centre	3.0
153521	Hospital - The Canberra Hospital	7.0
153521	Primary School - Fadden Primary	1.3
153521	High School - Caroline Chisholm High School, Chisholm	1.8
153521	College - Erindale College	3.3
153521	University - Australian National University	13.8
153522	City GPO	1.2
153522	Major Shopping Centre - Erindale Shopping Centre	3.0
153522	Hospital - The Canberra Hospital	7.0
153522	Primary School - Fadden Primary	1.3
153522	High School - Caroline Chisholm High School, Chisholm	1.8
153522	College - Erindale College	3.3
153522	University - Australian National University	13.8
153523	City GPO	1.1
153523	Major Shopping Centre - Erindale Shopping Centre	3.0
153523	Hospital - The Canberra Hospital	7.1
153523	Primary School - Fadden Primary	1.3
153523	High School - Caroline Chisholm High School, Chisholm	1.7
153523	College - Erindale College	3.3
153523	University - Australian National University	13.9
153524	City GPO	1.2
153524	Major Shopping Centre - Erindale Shopping Centre	3.1
153524	Hospital - The Canberra Hospital	7.1
153524	Primary School - Fadden Primary	1.3
153524	High School - Caroline Chisholm High School, Chisholm	1.8
153524	College - Erindale College	3.4
153524	University - Australian National University	13.9
153525	City GPO	1.1
153525	Major Shopping Centre - Erindale Shopping Centre	3.0
153525	Hospital - The Canberra Hospital	7.1
153525	Primary School - Fadden Primary	1.3
153525	High School - Caroline Chisholm High School, Chisholm	1.7
153525	College - Erindale College	3.3
153525	University - Australian National University	13.9
153526	City GPO	1.2
153526	Major Shopping Centre - Erindale Shopping Centre	3.1
153526	Hospital - The Canberra Hospital	7.1
153526	Primary School - Fadden Primary	1.3
153526	High School - Caroline Chisholm High School, Chisholm	1.8
153526	College - Erindale College	3.4
153526	University - Australian National University	13.9
153527	City GPO	1.2
153527	Major Shopping Centre - Erindale Shopping Centre	3.0
153527	Hospital - The Canberra Hospital	7.1
153527	Primary School - Fadden Primary	1.3
153527	High School - Caroline Chisholm High School, Chisholm	1.8
153527	College - Erindale College	3.3
153527	University - Australian National University	13.9
153528	City GPO	1.2
153528	Major Shopping Centre - Erindale Shopping Centre	3.1
153528	Hospital - The Canberra Hospital	7.1
153528	Primary School - Fadden Primary	1.3
153528	High School - Caroline Chisholm High School, Chisholm	1.8
153528	College - Erindale College	3.4
153528	University - Australian National University	13.9
153529	City GPO	1.2
153529	Major Shopping Centre - Erindale Shopping Centre	3.0
153529	Hospital - The Canberra Hospital	7.0
153529	Primary School - Fadden Primary	1.3
153529	High School - Caroline Chisholm High School, Chisholm	1.8
153529	College - Erindale College	3.3
153529	University - Australian National University	13.9
153530	City GPO	1.0
153530	Major Shopping Centre - Erindale Shopping Centre	2.9
153530	Hospital - The Canberra Hospital	7.1
153530	Primary School - Fadden Primary	1.2
153530	High School - Caroline Chisholm High School, Chisholm	1.6
153530	College - Erindale College	3.2
153530	University - Australian National University	14.0
153531	City GPO	1.0
153531	Major Shopping Centre - Erindale Shopping Centre	2.8
153531	Hospital - The Canberra Hospital	7.1
153531	Primary School - Fadden Primary	1.1
153531	High School - Caroline Chisholm High School, Chisholm	1.6
153531	College - Erindale College	3.1
153531	University - Australian National University	14.0
153532	City GPO	1.0
153532	Major Shopping Centre - Erindale Shopping Centre	2.9
153532	Hospital - The Canberra Hospital	7.1
153532	Primary School - Fadden Primary	1.2
153532	High School - Caroline Chisholm High School, Chisholm	1.6
153532	College - Erindale College	3.2
153532	University - Australian National University	14.0
153533	City GPO	1.0
153533	Major Shopping Centre - Erindale Shopping Centre	2.8
153533	Hospital - The Canberra Hospital	7.1
153533	Primary School - Fadden Primary	1.1
153533	High School - Caroline Chisholm High School, Chisholm	1.6
153533	College - Erindale College	3.1
153533	University - Australian National University	14.0
153534	City GPO	1.0
153534	Major Shopping Centre - Erindale Shopping Centre	2.9
153534	Hospital - The Canberra Hospital	7.1
153534	Primary School - Fadden Primary	1.2
153534	High School - Caroline Chisholm High School, Chisholm	1.6
153534	College - Erindale College	3.2
153534	University - Australian National University	14.0
153535	City GPO	1.0
153535	Major Shopping Centre - Erindale Shopping Centre	2.9
153535	Hospital - The Canberra Hospital	7.1
153535	Primary School - Fadden Primary	1.1
153535	High School - Caroline Chisholm High School, Chisholm	1.6
153535	College - Erindale College	3.2
153535	University - Australian National University	14.0
153536	City GPO	0.9
153536	Major Shopping Centre - Erindale Shopping Centre	2.9
153536	Hospital - The Canberra Hospital	7.2
153536	Primary School - Fadden Primary	1.2
153536	High School - Caroline Chisholm High School, Chisholm	1.5
153536	College - Erindale College	3.2
153536	University - Australian National University	14.1
153537	City GPO	0.9
153537	Major Shopping Centre - Erindale Shopping Centre	2.9
153537	Hospital - The Canberra Hospital	7.2
153537	Primary School - Fadden Primary	1.2
153537	High School - Caroline Chisholm High School, Chisholm	1.5
153537	College - Erindale College	3.2
153537	University - Australian National University	14.1
153538	City GPO	0.9
153538	Major Shopping Centre - Erindale Shopping Centre	2.9
153538	Hospital - The Canberra Hospital	7.2
153538	Primary School - Fadden Primary	1.2
153538	High School - Caroline Chisholm High School, Chisholm	1.5
153538	College - Erindale College	3.2
153538	University - Australian National University	14.1
153539	City GPO	0.9
153539	Major Shopping Centre - Erindale Shopping Centre	2.9
153539	Hospital - The Canberra Hospital	7.2
153539	Primary School - Fadden Primary	1.1
153539	High School - Caroline Chisholm High School, Chisholm	1.5
153539	College - Erindale College	3.2
153539	University - Australian National University	14.0
153540	City GPO	1.0
153540	Major Shopping Centre - Erindale Shopping Centre	2.9
153540	Hospital - The Canberra Hospital	7.2
153540	Primary School - Fadden Primary	1.2
153540	High School - Caroline Chisholm High School, Chisholm	1.6
153540	College - Erindale College	3.2
153540	University - Australian National University	14.0
153541	City GPO	1.0
153541	Major Shopping Centre - Erindale Shopping Centre	2.9
153541	Hospital - The Canberra Hospital	7.1
153541	Primary School - Fadden Primary	1.1
153541	High School - Caroline Chisholm High School, Chisholm	1.5
153541	College - Erindale College	3.2
153541	University - Australian National University	14.0
153542	City GPO	1.0
153542	Major Shopping Centre - Erindale Shopping Centre	2.9
153542	Hospital - The Canberra Hospital	7.2
153542	Primary School - Fadden Primary	1.2
153542	High School - Caroline Chisholm High School, Chisholm	1.6
153542	College - Erindale College	3.2
153542	University - Australian National University	14.0
153543	City GPO	1.0
153543	Major Shopping Centre - Erindale Shopping Centre	2.8
153543	Hospital - The Canberra Hospital	7.1
153543	Primary School - Fadden Primary	1.1
153543	High School - Caroline Chisholm High School, Chisholm	1.5
153543	College - Erindale College	3.2
153543	University - Australian National University	14.0
153544	City GPO	1.3
153544	Major Shopping Centre - Erindale Shopping Centre	3.1
153544	Hospital - The Canberra Hospital	7.0
153544	Primary School - Fadden Primary	1.3
153544	High School - Caroline Chisholm High School, Chisholm	1.9
153544	College - Erindale College	3.4
153544	University - Australian National University	13.8
153545	City GPO	1.3
153545	Major Shopping Centre - Erindale Shopping Centre	3.1
153545	Hospital - The Canberra Hospital	7.0
153545	Primary School - Fadden Primary	1.4
153545	High School - Caroline Chisholm High School, Chisholm	1.9
153545	College - Erindale College	3.4
153545	University - Australian National University	13.7
153546	City GPO	1.3
153546	Major Shopping Centre - Erindale Shopping Centre	3.1
153546	Hospital - The Canberra Hospital	7.0
153546	Primary School - Fadden Primary	1.4
153546	High School - Caroline Chisholm High School, Chisholm	1.9
153546	College - Erindale College	3.4
153546	University - Australian National University	13.8
153547	City GPO	1.2
153547	Major Shopping Centre - Erindale Shopping Centre	3.0
153547	Hospital - The Canberra Hospital	7.0
153547	Primary School - Fadden Primary	1.2
153547	High School - Caroline Chisholm High School, Chisholm	1.8
153547	College - Erindale College	3.3
153547	University - Australian National University	13.8
153548	City GPO	1.3
153548	Major Shopping Centre - Erindale Shopping Centre	3.0
153548	Hospital - The Canberra Hospital	6.9
153548	Primary School - Fadden Primary	1.3
153548	High School - Caroline Chisholm High School, Chisholm	1.9
153548	College - Erindale College	3.3
153548	University - Australian National University	13.7
153549	City GPO	1.2
153549	Major Shopping Centre - Erindale Shopping Centre	3.0
153549	Hospital - The Canberra Hospital	7.0
153549	Primary School - Fadden Primary	1.3
153549	High School - Caroline Chisholm High School, Chisholm	1.8
153549	College - Erindale College	3.3
153549	University - Australian National University	13.8
153550	City GPO	1.3
153550	Major Shopping Centre - Erindale Shopping Centre	3.0
153550	Hospital - The Canberra Hospital	6.9
153550	Primary School - Fadden Primary	1.3
153550	High School - Caroline Chisholm High School, Chisholm	1.9
153550	College - Erindale College	3.3
153550	University - Australian National University	13.7
153551	City GPO	1.3
153551	Major Shopping Centre - Erindale Shopping Centre	3.0
153551	Hospital - The Canberra Hospital	7.0
153551	Primary School - Fadden Primary	1.3
153551	High School - Caroline Chisholm High School, Chisholm	1.8
153551	College - Erindale College	3.3
153551	University - Australian National University	13.8
