StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
153511	Sale	2001-12-21T00:00:00	285000	PRIVATE TREATY			
153511	Sale	1991-05-10T00:00:00	173000	PRIVATE TREATY			
153512	Sale	2011-02-18T00:00:00	512000	PRIVATE TREATY			
153512	Sale	1992-04-10T00:00:00	177500	PRIVATE TREATY			
153513	Sale	2012-10-24T00:00:00	635000	PRIVATE TREATY			
153513	Sale	2007-07-26T00:00:00	462500	PRIVATE TREATY	275.0		
153513	Sale	2004-02-24T00:00:00	375000	PRIVATE TREATY			
153514	Sale		Peter Blackshaw Real Estate Tuggeranong Projects	2018-12-18T00:00:00	690000.0	AUCTION	
153514	Sale	1999-09-24T00:00:00	278000	PRIVATE TREATY			
153514	Sale	1992-01-07T00:00:00	262500	PRIVATE TREATY			
153515	Sale		Peter Blackshaw Real Estate Projects	2016-06-25T00:00:00	704000.0	AUCTION	
153515	Sale	2005-02-24T00:00:00	415000	PRIVATE TREATY			
153515	Sale	2004-06-28T00:00:00	395000	PRIVATE TREATY	44.0		
153515	Sale	1999-07-26T00:00:00	205000	PRIVATE TREATY			
153515	Sale	1995-12-07T00:00:00	195000	PRIVATE TREATY			
153516	Rental	25429	Distinct Property Management	2018-01-17T00:00:00	600.0	PER WEEK	12.0
153516	Sale		Peter Blackshaw Canberra	2013-11-05T00:00:00	582000.0	PRIVATE TREATY	21.0
153516	Sale	1993-12-10T00:00:00	212500	PRIVATE TREATY			
153516	Sale	1992-09-02T00:00:00	200000	PRIVATE TREATY			
153517	Sale		Colin McIntyre Property - Chisholm	2009-08-25T00:00:00	572000.0	PRIVATE TREATY	4.0
153517	Sale	2003-12-03T00:00:00	435000	PRIVATE TREATY	32.0		
153518	Sale		Peter Blackshaw Real Estate Tuggeranong Projects	2017-12-08T00:00:00	640000.0	PRIVATE TREATY	
153518	Sale	2010-04-10T00:00:00	548000	PRIVATE TREATY			
153521	Sale		John Roden Real Estate	2003-01-30T00:00:00	370000.0	PRIVATE TREATY	68.0
153521	Sale	1994-04-28T00:00:00	199900	PRIVATE TREATY			
153522	Sale	2014-02-28T00:00:00	642500	PRIVATE TREATY			
153522	Sale	1996-05-03T00:00:00	200000	PRIVATE TREATY			
153523	Sale		Philip Kouvelis Real estate	2018-10-13T00:00:00	785000.0	PRIVATE TREATY	
153524	Sale	1992-05-06T00:00:00	217500	PRIVATE TREATY			
153525	Sale	10311	Luton Properties - Dickson	2012-09-28T00:00:00	721000.0	PRIVATE TREATY	98.0
153525	Sale	14128	LJH Tuggeranong	2010-03-15T00:00:00	695000.0	PRIVATE TREATY	36.0
153525	Sale		LJH Tuggeranong	2002-05-04T00:00:00	370000.0	AUCTION	
153526	Sale	2007-07-06T00:00:00	665000	PRIVATE TREATY			
153526	Sale	2004-07-29T00:00:00	525000	PRIVATE TREATY			
153526	Sale	2002-06-04T00:00:00	410000	PRIVATE TREATY	129.0		
153526	Sale	1999-12-16T00:00:00	320000	PRIVATE TREATY			
153526	Sale	1991-05-07T00:00:00	275000	PRIVATE TREATY			
153529	Sale		LJH Tuggeranong	2012-11-03T00:00:00	635000.0	AUCTION	
153529	Sale	2006-03-22T00:00:00	430000	PRIVATE TREATY	326.0		
153529	Sale	1999-09-17T00:00:00	225000	PRIVATE TREATY			
153530	Sale		LJH Tuggeranong	2011-11-24T00:00:00	485000.0	PRIVATE TREATY	
153530	Rental	14128	LJH Tuggeranong	2011-11-23T00:00:00	490.0	PER WEEK	
153530	Sale		LJH Tuggeranong	2009-02-18T00:00:00	405000.0	PRIVATE TREATY	32.0
153531	Sale	1992-08-14T00:00:00	153500	PRIVATE TREATY			
153532	Sale	1997-09-29T00:00:00	176000	PRIVATE TREATY			
153534	Sale		Richard Luton Manuka	2003-07-22T00:00:00	365000.0	PRIVATE TREATY	94.0
153537	Sale		LJH Tuggeranong	2015-01-19T00:00:00	580000.0	PRIVATE TREATY	34.0
153537	Sale		LJH Tuggeranong	2010-04-16T00:00:00	570000.0	PRIVATE TREATY	119.0
153537	Rental		LJH Tuggeranong	2010-04-05T00:00:00		PER WEEK	
153537	Sale	2006-07-03T00:00:00	430000	PRIVATE TREATY	16.0		
153537	Sale	1998-05-29T00:00:00	170000	PRIVATE TREATY			
153537	Sale	1991-10-09T00:00:00	165000	PRIVATE TREATY			
153539	Sale	2003-07-10T00:00:00	305000	PRIVATE TREATY			
153539	Sale	1995-06-27T00:00:00	168000	PRIVATE TREATY			
153539	Sale	1991-08-15T00:00:00	157000	PRIVATE TREATY			
153541	Sale		CIVIUM - Build Develop Create	2015-10-29T00:00:00	455000.0	PRIVATE TREATY	
153541	Rental	13392	Bertram Ellis	2014-12-10T00:00:00	415.0	PER WEEK	35.0
153541	Sale	1996-04-17T00:00:00	125000	PRIVATE TREATY			
153542	Rental	22992	Century 21 City Walk Canberra	2019-10-23T00:00:00	550.0	PER WEEK	17.0
153542	Sale	14128	LJH Tuggeranong	2009-07-18T00:00:00	397000.0	PRIVATE TREATY	7.0
153542	Sale	2003-06-20T00:00:00	285000	PRIVATE TREATY			
153543	Sale	16565	McIntyre Property	2012-09-13T00:00:00	480000.0	Listed - not sold	118.0
153543	Sale	1999-10-20T00:00:00	151600	PRIVATE TREATY			
153543	Sale	1993-03-23T00:00:00	143000	PRIVATE TREATY			
153544	Sale	2012-05-24T00:00:00	560000	PRIVATE TREATY			
153544	Sale	2003-05-12T00:00:00	425000	PRIVATE TREATY	107.0		
153544	Sale	1998-05-27T00:00:00	230000	PRIVATE TREATY			
153545	Sale		Richard Luton Manuka	2007-03-03T00:00:00	475000.0	PRIVATE TREATY	8.0
153545	Sale		Badenoch Real Estate Sales	2001-09-22T00:00:00	395000.0	Listed - not sold	
153545	Sale	1992-03-19T00:00:00	233000	PRIVATE TREATY			
153546	Sale		Richard Luton Manuka	2006-11-04T00:00:00	567000.0	PRIVATE TREATY	17.0
153546	Sale		PBR Woden	2004-09-11T00:00:00		Listed - not sold	77.0
153547	Rental	14128	LJH Tuggeranong	2009-05-12T00:00:00	500.0	PER WEEK	23.0
153547	Sale		LJH Tuggeranong	2009-03-21T00:00:00	564500.0	AUCTION	
153547	Sale	1997-09-17T00:00:00	202500	PRIVATE TREATY			
153549	Sale		LJH Tuggeranong	2004-03-23T00:00:00	325000.0	PRIVATE TREATY	101.0
153549	Sale	1994-05-31T00:00:00	179000	PRIVATE TREATY			
153550	Sale	13922	Cream Residential	2017-03-08T00:00:00	777000.0	PRIVATE TREATY	18.0
153550	Sale	2000-08-09T00:00:00	343000	PRIVATE TREATY			
153551	Sale	2005-12-20T00:00:00	530000	PRIVATE TREATY			
153553	Sale		LJH Tuggeranong	2013-08-13T00:00:00	620000.0	PRIVATE TREATY	
153553	Sale	1992-11-03T00:00:00	271000	PRIVATE TREATY			
153554	Rental	23032	Element Property Services	2017-08-22T00:00:00	700.0	PER WEEK	76.0
153554	Sale	10312	Luton Properties Tuggeranong CRE	2017-05-29T00:00:00	845000.0	PRIVATE TREATY	51.0
153554	Sale		LJH Manuka	2002-10-26T00:00:00	415000.0	AUCTION	
153554	Sale	1991-12-18T00:00:00	245000	PRIVATE TREATY			
153555	Sale	1992-06-03T00:00:00	229000	PRIVATE TREATY			
153555	Sale	1991-11-26T00:00:00	66000	PRIVATE TREATY			
153556	Sale	1992-08-11T00:00:00	221850	PRIVATE TREATY			
153556	Sale	1991-11-26T00:00:00	65000	PRIVATE TREATY			
153557	Sale	2002-09-25T00:00:00	358000	PRIVATE TREATY			
153557	Sale	1992-07-13T00:00:00	216450	PRIVATE TREATY			
153557	Sale	1991-11-26T00:00:00	58000	PRIVATE TREATY			
153558	Sale	1992-03-04T00:00:00	198150	PRIVATE TREATY			
153560	Sale	2013-12-15T00:00:00	550000	PRIVATE TREATY			
153560	Sale	1998-06-19T00:00:00	217500	PRIVATE TREATY			
153561	Sale		Hodgkinson Real Estate	2006-09-11T00:00:00	445000.0	PRIVATE TREATY	30.0
153561	Sale	1999-01-25T00:00:00	190000	PRIVATE TREATY			
153562	Sale		Peter Blackshaw Real Estate Tuggeranong Projects	2019-05-25T00:00:00	835000.0	PRIVATE TREATY	
153562	Sale	2012-07-11T00:00:00	675000	PRIVATE TREATY	207.0		
