StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
153511	2020-02-05T19:29:12.873	High	630000	730000	830000	550	0.041	Unknown	Unknown
153512	2020-02-05T19:29:12.873	High	585000	670000	755000	550	0.041	Unknown	Unknown
153513	2020-02-05T19:29:12.873	High	640000	750000	860000			Unknown	Unknown
153514	2020-02-05T19:29:12.873	High	625000	730000	835000			Unknown	Unknown
153515	2020-02-05T19:29:12.873	High	615000	720000	825000			Unknown	Unknown
153516	2020-02-05T19:29:12.873	High	630000	730000	830000			Unknown	Unknown
153517	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
153518	2020-02-05T19:29:12.873	High	625000	735000	845000			Unknown	Unknown
153519	2020-02-05T19:29:12.873	High	695000	810000	925000	550	0.041	Unknown	Unknown
153520	2020-02-05T19:29:12.873	High	705000	820000	935000	550	0.041	Unknown	Unknown
153521	2020-02-05T19:29:12.873	High	705000	820000	935000			Unknown	Unknown
153522	2020-02-05T19:29:12.873	High	680000	790000	900000	550	0.041	Unknown	Unknown
153523	2020-02-05T19:29:12.873	High	700000	810000	920000			Unknown	Unknown
153524	2020-02-05T19:29:12.873	High	705000	820000	935000	550	0.041	Unknown	Unknown
153525	2020-02-05T19:29:12.873	High	715000	830000	945000			Unknown	Unknown
153526	2020-02-05T19:29:12.873	High	730000	850000	970000			Unknown	Unknown
153527	2020-02-05T19:29:12.873	High	705000	820000	935000	550	0.041	Unknown	Unknown
153528	2020-02-05T19:29:12.873	High	715000	840000	965000	550	0.041	Unknown	Unknown
153529	2019-12-18T09:44:26.13	High	705000	820000	935000			Unknown	Unknown
153530	2020-01-09T10:24:26.003	High	600000	700000	800000			Unknown	Unknown
153531	2020-02-05T19:29:12.873	Medium	620000	720000	820000	550	0.041	Unknown	Unknown
153532	2020-02-05T19:29:12.873	Medium	610000	710000	810000	550	0.041	Unknown	Unknown
153533	2019-12-18T09:44:26.13	High	590000	690000	790000	550	0.041	Unknown	Unknown
153534	2020-02-05T19:29:12.873	High	680000	790000	900000			Unknown	Unknown
153535	2020-02-05T19:29:12.873	High	600000	700000	800000	550	0.041	Unknown	Unknown
153536	2020-02-05T19:29:12.873	High	575000	670000	765000			Unknown	Unknown
153537	2020-02-05T19:29:12.873	High	670000	780000	890000			Unknown	Unknown
153538	2020-02-05T19:29:12.873	High	570000	670000	770000	550	0.041	Unknown	Unknown
153539	2020-02-05T19:29:12.873	High	590000	690000	790000	550	0.041	Unknown	Unknown
153540	2020-02-05T19:29:12.873	High	580000	670000	760000	550	0.041	Unknown	Unknown
153541	2020-02-05T19:29:12.873	High	580000	670000	760000			Unknown	Unknown
153542	2020-02-05T19:29:12.873	High	560000	645000	730000			Unknown	Unknown
153543	2020-02-05T19:29:12.873	High	570000	670000	770000			Unknown	Unknown
153544	2020-02-05T19:29:12.873	High	720000	840000	960000			Unknown	Unknown
153545	2020-02-05T19:29:12.873	Medium	600000	700000	800000			Unknown	Unknown
153546	2020-02-05T19:29:12.873	High	705000	820000	935000			Unknown	Unknown
153547	2020-02-05T19:29:12.873	High	660000	770000	880000			Unknown	Unknown
153548	2020-02-05T19:29:12.873	High	670000	780000	890000	550	0.041	Unknown	Unknown
153549	2020-02-05T19:29:12.873	High	570000	670000	770000			Unknown	Unknown
153550	2020-02-05T19:29:12.873	High	715000	840000	965000			Unknown	Unknown
153551	2020-02-05T19:29:12.873	High	670000	780000	890000	550	0.041	Unknown	Unknown
153552	2020-02-05T19:29:12.873	High	670000	780000	890000	550	0.041	Unknown	Unknown
153553	2020-02-05T19:29:12.873	High	725000	850000	975000			Unknown	Unknown
153554	2020-02-05T19:29:12.873	High	670000	780000	890000			Unknown	Unknown
153555	2020-02-05T19:29:12.873	High	660000	770000	880000	550	0.041	Unknown	Unknown
153556	2020-02-05T19:29:12.873	Medium	640000	740000	840000	550	0.041	Unknown	Unknown
153557	2020-02-05T19:29:12.873	Medium	640000	740000	840000	550	0.041	Unknown	Unknown
153558	2020-02-05T19:29:12.873	High	660000	770000	880000	550	0.041	Unknown	Unknown
153559						550	0.041	Unknown	Unknown
153560	2020-02-05T19:29:12.873	High	625000	730000	835000	550	0.041	Unknown	Unknown
153561	2020-02-05T19:29:12.873	High	600000	700000	800000			Unknown	Unknown
153562	2020-02-05T19:29:12.873	High	740000	860000	980000			Unknown	Unknown
153563	2020-02-05T19:29:12.873	High	635000	740000	845000	550	0.041	Unknown	Unknown
153564	2020-02-05T19:29:12.873	High	625000	730000	835000	550	0.041	Unknown	Unknown
153565	2020-02-05T19:29:12.873	Medium	605000	710000	815000	550	0.041	Unknown	Unknown
153566	2020-02-12T17:27:27.64	Medium	580000	680000	780000	550	0.041	Unknown	Unknown
153567	2020-02-05T19:29:12.873	High	600000	705000	810000			Unknown	Unknown
153568	2020-02-05T19:29:12.873	High	670000	780000	890000	550	0.041	Unknown	Unknown
153569								Unknown	Unknown
153570	2020-02-05T19:29:12.873	High	690000	800000	910000			Unknown	Unknown
153571	2020-02-05T19:29:12.873	High	670000	780000	890000	550	0.041	Unknown	Unknown
153572	2020-02-05T19:29:12.873	High	910000	1060000	1210000			Unknown	Unknown
153573	2020-02-05T19:29:12.873	High	650000	760000	870000			Unknown	Unknown
153574	2020-02-05T19:29:12.873	High	570000	660000	750000	550	0.041	Unknown	Unknown
153575	2020-02-05T19:29:12.873	High	655000	760000	865000			Unknown	Unknown
153576	2020-02-05T19:29:12.873	High	650000	760000	870000	550	0.041	Unknown	Unknown
153577	2020-02-05T19:29:12.873	High	660000	770000	880000			Unknown	Unknown
153578	2020-02-05T19:29:12.873	High	740000	860000	980000			Unknown	Unknown
153579	2020-02-05T19:29:12.873	High	675000	790000	905000			Unknown	Unknown
153580	2020-02-05T19:29:12.873	High	740000	860000	980000			Unknown	Unknown
153581	2020-02-05T19:29:12.873	High	705000	820000	935000	550	0.041	Unknown	Unknown
153582	2020-02-12T17:27:27.64	High	625000	725000	825000	550	0.041	Unknown	Unknown
153583	2020-02-05T19:29:12.873	High	715000	840000	965000			Unknown	Unknown
153584								Unknown	Unknown
153585	2020-02-05T19:29:12.873	High	725000	850000	975000			Unknown	Unknown
153586	2020-02-05T19:29:12.873	High	705000	820000	935000			Unknown	Unknown
153587	2020-02-05T19:29:12.873	High	715000	840000	965000			Unknown	Unknown
153588								Unknown	Unknown
153589	2020-02-05T19:29:12.873	High	680000	790000	900000			Unknown	Unknown
153590	2020-02-05T19:29:12.873	High	680000	790000	900000			Unknown	Unknown
153591	2020-02-05T19:29:12.873	Medium	630000	730000	830000	550	0.041	Unknown	Unknown
153592	2020-02-05T19:29:12.873	Medium	630000	730000	830000	550	0.041	Unknown	Unknown
153593	2020-02-05T19:29:12.873	High	530000	625000	720000			Unknown	Unknown
153594	2020-02-05T19:29:12.873	Medium	630000	730000	830000	550	0.041	Unknown	Unknown
153595	2020-02-05T19:29:12.873	High	635000	740000	845000			Unknown	Unknown
153596	2020-02-05T19:29:12.873	High	615000	720000	825000			Unknown	Unknown
153597	2020-02-05T19:29:12.873	High	580000	670000	760000			Unknown	Unknown
153598	2020-02-05T19:29:12.873	Medium	630000	730000	830000	550	0.041	Unknown	Unknown
153600	2020-02-05T19:29:12.873	High	645000	750000	855000			Unknown	Unknown
153601								Unknown	Unknown
153602	2020-02-05T19:29:12.873	High	675000	790000	905000			Unknown	Unknown
153603	2020-02-05T19:29:12.873	High	610000	710000	810000			Unknown	Unknown
153604	2020-02-05T19:29:12.873	High	610000	710000	810000			Unknown	Unknown
153605	2020-02-05T19:29:12.873	Medium	580000	680000	780000	550	0.041	Unknown	Unknown
153606	2020-02-05T19:29:12.873	Medium	590000	690000	790000	550	0.041	Unknown	Unknown
153607	2020-02-05T19:29:12.873	High	495000	580000	665000			Unknown	Unknown
153608	2020-02-05T19:29:12.873	High	640000	750000	860000			Unknown	Unknown
153609	2020-01-29T09:57:42.103	High	600000	700000	800000	550	0.041	Unknown	Unknown
153610	2020-02-05T19:29:12.873	Medium	610000	710000	810000	550	0.041	Unknown	Unknown
153611	2020-02-05T19:29:12.873	High	430000	500000	570000			Unknown	Unknown
153612	2020-02-05T19:29:12.873	High	530000	620000	710000			Unknown	Unknown
153613	2020-02-05T19:29:12.873	Medium	650000	760000	870000	550	0.041	Unknown	Unknown
153614	2020-02-05T19:29:12.873	Medium	600000	700000	800000	550	0.041	Unknown	Unknown
153615	2020-02-05T19:29:12.873	High	610000	710000	810000			Unknown	Unknown
153616	2020-02-05T19:29:12.873	High	495000	580000	665000			Unknown	Unknown
153617	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
153618	2020-01-29T09:57:42.103	High	600000	700000	800000	550	0.041	Unknown	Unknown
153619	2020-02-05T19:29:12.873	High	690000	800000	910000			Unknown	Unknown
153620	2020-02-05T19:29:12.873	Medium	580000	680000	780000	550	0.041	Unknown	Unknown
153621	2020-02-05T19:29:12.873	High	700000	810000	920000			Unknown	Unknown
153622	2020-02-05T19:29:12.873	Medium	600000	700000	800000	550	0.041	Unknown	Unknown
153623	2020-02-05T19:29:12.873	High	630000	730000	830000			Unknown	Unknown
153624	2020-01-09T10:24:26.003	High	640000	740000	840000			Unknown	Unknown
153625	2020-02-05T19:29:12.873	High	485000	565000	645000			Unknown	Unknown
153626	2020-02-05T19:29:12.873	Medium	610000	710000	810000	550	0.041	Unknown	Unknown
153627	2020-02-12T17:27:27.64	High	635000	735000	835000	550	0.041	Unknown	Unknown
153628	2020-02-05T19:29:12.873	Medium	570000	670000	770000	550	0.041	Unknown	Unknown
153629	2020-02-05T19:29:12.873	Medium	570000	670000	770000	550	0.041	Unknown	Unknown
153630	2020-02-05T19:29:12.873	High	620000	720000	820000			Unknown	Unknown
153631	2020-02-05T19:29:12.873	High	625000	725000	825000			Unknown	Unknown
153632	2020-02-05T19:29:12.873	Medium	590000	690000	790000	550	0.041	Unknown	Unknown
153633	2020-02-05T19:29:12.873	High	550000	640000	730000			Unknown	Unknown
153634	2020-02-05T19:29:12.873	High	495000	580000	665000			Unknown	Unknown
153635	2020-02-05T19:29:12.873	High	710000	830000	950000			Unknown	Unknown
153636	2020-02-05T19:29:12.873	Medium	650000	760000	870000	550	0.041	Unknown	Unknown
153637	2020-02-05T19:29:12.873	Medium	650000	760000	870000	550	0.041	Unknown	Unknown
153638	2019-12-12T00:45:20.067	High	690000	800000	910000			Unknown	Unknown
153639	2020-02-05T19:29:12.873	High	650000	760000	870000	550	0.041	Unknown	Unknown
153640	2016-04-18T00:00:00	High	600000	695000	790000			Unknown	Unknown
153641	2020-02-05T19:29:12.873	High	640000	750000	860000	550	0.041	Unknown	Unknown
153642	2020-02-05T19:29:12.873	High	670000	780000	890000			Unknown	Unknown
153643	2020-02-05T19:29:12.873	High	675000	790000	905000	550	0.041	Unknown	Unknown
153644	2020-02-05T19:29:12.873	High	650000	760000	870000			Unknown	Unknown
153645	2020-02-05T19:29:12.873	High	660000	770000	880000			Unknown	Unknown
153646	2020-02-05T19:29:12.873	High	705000	820000	935000			Unknown	Unknown
153647	2020-02-05T19:29:12.873	High	660000	770000	880000	550	0.041	Unknown	Unknown
153648	2020-02-05T19:29:12.873	High	675000	790000	905000	550	0.041	Unknown	Unknown
153649	2020-02-05T19:29:12.873	High	675000	790000	905000	550	0.041	Unknown	Unknown
153650	2020-02-05T19:29:12.873	High	650000	760000	870000	550	0.041	Unknown	Unknown
153651	2020-02-05T19:29:12.873	High	650000	760000	870000	550	0.041	Unknown	Unknown
153652	2020-02-05T19:29:12.873	High	610000	710000	810000			Unknown	Unknown
153653	2020-02-05T19:29:12.873	High	660000	770000	880000	550	0.041	Unknown	Unknown
153654	2020-02-05T19:29:12.873	High	650000	760000	870000			Unknown	Unknown
153655	2020-02-05T19:29:12.873	High	675000	790000	905000	550	0.041	Unknown	Unknown
153656	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
153657	2020-02-05T19:29:12.873	High	640000	750000	860000			Unknown	Unknown
153658	2020-02-05T19:29:12.873	High	560000	655000	750000			Unknown	Unknown
153659	2020-02-05T19:29:12.873	High	650000	760000	870000	550	0.041	Unknown	Unknown
153660	2020-02-05T19:29:12.873	High	670000	780000	890000			Unknown	Unknown
153661	2020-02-05T19:29:12.873	High	680000	790000	900000	550	0.041	Unknown	Unknown
153662	2019-12-18T09:44:26.13	High	640000	740000	840000	550	0.041	Unknown	Unknown
153663	2020-02-05T19:29:12.873	High	670000	780000	890000	550	0.041	Unknown	Unknown
153664	2020-02-05T19:29:12.873	High	650000	760000	870000			Unknown	Unknown
153665	2020-02-05T19:29:12.873	High	640000	750000	860000			Unknown	Unknown
153666	2020-02-05T19:29:12.873	High	650000	760000	870000	550	0.041	Unknown	Unknown
153667	2020-02-05T19:29:12.873	High	660000	770000	880000	550	0.041	Unknown	Unknown
153668	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
153669	2020-02-05T19:29:12.873	High	600000	700000	800000			Unknown	Unknown
153670	2020-02-05T19:29:12.873	High	640000	750000	860000			Unknown	Unknown
153671	2020-02-05T19:29:12.873	High	640000	740000	840000	550	0.041	Unknown	Unknown
153672	2020-02-05T19:29:12.873	High	700000	810000	920000			Unknown	Unknown
153673	2020-02-05T19:29:12.873	High	590000	690000	790000			Unknown	Unknown
153674	2020-02-05T19:29:12.873	High	535000	625000	715000			Unknown	Unknown
153675	2020-02-05T19:29:12.873	High	600000	700000	800000	550	0.041	Unknown	Unknown
153676	2020-02-05T19:29:12.873	High	640000	750000	860000			Unknown	Unknown
153677	2020-02-12T17:27:27.64	High	590000	690000	790000			Unknown	Unknown
153678	2020-02-05T19:29:12.873	High	660000	770000	880000	550	0.041	Unknown	Unknown
153679	2019-12-18T09:44:26.13	High	630000	730000	830000			Unknown	Unknown
153680	2019-12-18T09:44:26.13	High	640000	740000	840000	550	0.041	Unknown	Unknown
153681	2020-02-12T17:27:27.64	High	635000	735000	835000	550	0.041	Unknown	Unknown
153682	2020-02-05T19:29:12.873	High	570000	660000	750000			Unknown	Unknown
153683	2020-02-05T19:29:12.873	High	660000	770000	880000	550	0.041	Unknown	Unknown
153684	2020-02-05T19:29:12.873	High	640000	750000	860000			Unknown	Unknown
153685	2020-02-05T19:29:12.873	High	670000	780000	890000	550	0.041	Unknown	Unknown
153686	2020-02-05T19:29:12.873	High	610000	710000	810000	550	0.041	Unknown	Unknown
153687	2020-02-05T19:29:12.873	High	725000	840000	955000			Unknown	Unknown
153688	2020-02-05T19:29:12.873	High	610000	710000	810000	550	0.041	Unknown	Unknown
153689	2020-02-05T19:29:12.873	High	640000	750000	860000			Unknown	Unknown
153690	2020-02-05T19:29:12.873	Medium	520000	610000	700000			Unknown	Unknown
153691	2020-01-29T09:57:42.103	High	650000	760000	870000	550	0.041	Unknown	Unknown
153692	2020-02-05T19:29:12.873	Medium	580000	680000	780000	550	0.041	Unknown	Unknown
153693	2020-02-05T19:29:12.873	High	515000	595000	675000			Unknown	Unknown
153694	2020-02-05T19:29:12.873	Medium	580000	680000	780000	550	0.041	Unknown	Unknown
153695	2020-02-05T19:29:12.873	Medium	600000	700000	800000	550	0.041	Unknown	Unknown
153696	2020-02-05T19:29:12.873	Medium	570000	670000	770000	550	0.041	Unknown	Unknown
153697	2020-02-05T19:29:12.873	Medium	520000	610000	700000			Unknown	Unknown
153698	2020-02-05T19:29:12.873	Medium	590000	690000	790000	550	0.041	Unknown	Unknown
153699	2020-02-05T19:29:12.873	High	610000	710000	810000			Unknown	Unknown
153700	2020-02-05T19:29:12.873	High	645000	750000	855000			Unknown	Unknown
153701	2020-02-05T19:29:12.873	High	570000	660000	750000	550	0.041	Unknown	Unknown
153702	2020-02-05T19:29:12.873	Medium	565000	660000	755000	550	0.041	Unknown	Unknown
153703	2020-02-05T19:29:12.873	Medium	630000	730000	830000	550	0.041	Unknown	Unknown
153704	2020-02-05T19:29:12.873	Medium	565000	660000	755000	550	0.041	Unknown	Unknown
153705	2020-02-05T19:29:12.873	High	635000	740000	845000			Unknown	Unknown
153706	2020-02-05T19:29:12.873	Medium	620000	720000	820000	550	0.041	Unknown	Unknown
153707	2020-02-12T17:27:27.64	High	640000	745000	850000			Unknown	Unknown
153709	2020-02-12T17:27:27.64	Medium	565000	665000	765000	550	0.041	Unknown	Unknown
153710	2020-02-05T19:29:12.873	Medium	520000	610000	700000			Unknown	Unknown
153711	2020-02-05T19:29:12.873	Medium	605000	710000	815000	550	0.041	Unknown	Unknown
153712	2020-02-05T19:29:12.873	High	645000	760000	875000	550	0.041	Unknown	Unknown
153713	2020-01-09T10:24:26.003	High	625000	735000	845000	550	0.041	Unknown	Unknown
153714	2020-02-05T19:29:12.873	High	645000	760000	875000	550	0.041	Unknown	Unknown
153715	2020-02-05T19:29:12.873	High	715000	830000	945000			Unknown	Unknown
153716	2020-02-05T19:29:12.873	High	570000	670000	770000			Unknown	Unknown
153717	2020-02-05T19:29:12.873	High	660000	770000	880000			Unknown	Unknown
153718	2020-02-05T19:29:12.873	Medium	655000	770000	885000	550	0.041	Unknown	Unknown
153719	2020-02-05T19:29:12.873	High	625000	735000	845000	550	0.041	Unknown	Unknown
153720	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
153721	2020-02-05T19:29:12.873	High	625000	735000	845000	550	0.041	Unknown	Unknown
153722	2020-02-05T19:29:12.873	High	665000	780000	895000			Unknown	Unknown
153723	2020-02-05T19:29:12.873	Medium	655000	770000	885000	550	0.041	Unknown	Unknown
153724	2020-02-05T19:29:12.873	High	670000	780000	890000			Unknown	Unknown
153725	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
153726	2020-02-05T19:29:12.873	High	630000	730000	830000	550	0.041	Unknown	Unknown
153727	2020-02-05T19:29:12.873	High	645000	750000	855000	550	0.041	Unknown	Unknown
153728	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
153729	2020-02-05T19:29:12.873	High	665000	780000	895000			Unknown	Unknown
153730	2020-02-05T19:29:12.873	High	675000	790000	905000			Unknown	Unknown
153731	2019-12-31T04:52:33.6892946Z	Medium	580000	665000	750000			Unknown	Unknown
153732	2020-02-05T19:29:12.873	High	655000	760000	865000	550	0.041	Unknown	Unknown
153733	2020-02-05T19:29:12.873	High	670000	780000	890000	550	0.041	Unknown	Unknown
153734	2020-02-05T19:29:12.873	High	635000	745000	855000	550	0.041	Unknown	Unknown
153735	2020-02-05T19:29:12.873	High	660000	770000	880000	550	0.041	Unknown	Unknown
153736	2020-01-09T10:24:26.003	High	620000	720000	820000			Unknown	Unknown
153737	2020-02-05T19:29:12.873	High	620000	725000	830000	550	0.041	Unknown	Unknown
153738	2020-02-05T19:29:12.873	High	635000	740000	845000			Unknown	Unknown
153739	2020-02-05T19:29:12.873	High	620000	725000	830000	550	0.041	Unknown	Unknown
153740	2020-02-05T19:29:12.873	High	670000	780000	890000			Unknown	Unknown
153741	2018-05-05T01:26:35.8962157Z	Medium	635000	730000	825000			Unknown	Unknown
153742	2020-02-05T19:29:12.873	High	610000	710000	810000			Unknown	Unknown
153743	2020-02-05T19:29:12.873	Medium	540000	630000	720000			Unknown	Unknown
153744	2020-02-05T19:29:12.873	High	630000	730000	830000	550	0.041	Unknown	Unknown
153745	2020-02-05T19:29:12.873	High	650000	750000	850000	550	0.041	Unknown	Unknown
153746	2020-02-05T19:29:12.873	High	705000	830000	955000			Unknown	Unknown
153747	2020-01-09T10:24:26.003	High	475000	555000	635000			Unknown	Unknown
153748	2020-02-05T19:29:12.873	High	675000	790000	905000			Unknown	Unknown
153749	2020-02-05T19:29:12.873	High	670000	780000	890000			Unknown	Unknown
153750	2020-02-05T19:29:12.873	Medium	675000	785000	895000	550	0.041	Unknown	Unknown
153751	2020-02-05T19:29:12.873	High	580000	675000	770000			Unknown	Unknown
153752	2020-02-05T19:29:12.873	Medium	645000	745000	845000	550	0.041	Unknown	Unknown
153753	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
153754	2020-02-05T19:29:12.873	High	650000	760000	870000	550	0.041	Unknown	Unknown
153755	2020-02-05T19:29:12.873	High	650000	760000	870000	550	0.041	Unknown	Unknown
153756	2020-02-05T19:29:12.873	High	660000	770000	880000	550	0.041	Unknown	Unknown
153757	2020-02-05T19:29:12.873	High	790000	910000	1030000			Unknown	Unknown
