StreetAddressID	POI	Distance
154004	City GPO	1.5
154004	Major Shopping Centre - Erindale Shopping Centre	1.4
154004	Hospital - The Canberra Hospital	7.6
154004	Primary School - Monash Primary	0.4
154004	High School - Wanniassa School Senior Campus	2.1
154004	College - Mackillop College	1.0
154004	University - Australian National University	15.1
154005	City GPO	1.6
154005	Major Shopping Centre - Erindale Shopping Centre	1.5
154005	Hospital - The Canberra Hospital	7.6
154005	Primary School - Monash Primary	0.4
154005	High School - Wanniassa School Senior Campus	2.1
154005	College - Mackillop College	1.0
154005	University - Australian National University	15.1
154006	City GPO	1.5
154006	Major Shopping Centre - Erindale Shopping Centre	1.4
154006	Hospital - The Canberra Hospital	7.6
154006	Primary School - Monash Primary	0.4
154006	High School - Wanniassa School Senior Campus	2.0
154006	College - Mackillop College	0.9
154006	University - Australian National University	15.0
154007	City GPO	1.6
154007	Major Shopping Centre - Erindale Shopping Centre	1.5
154007	Hospital - The Canberra Hospital	7.6
154007	Primary School - Monash Primary	0.4
154007	High School - Wanniassa School Senior Campus	2.1
154007	College - Mackillop College	1.0
154007	University - Australian National University	15.1
154008	City GPO	1.5
154008	Major Shopping Centre - Erindale Shopping Centre	1.4
154008	Hospital - The Canberra Hospital	7.5
154008	Primary School - Monash Primary	0.4
154008	High School - Wanniassa School Senior Campus	2.0
154008	College - Mackillop College	0.9
154008	University - Australian National University	15.0
154009	City GPO	1.6
154009	Major Shopping Centre - Erindale Shopping Centre	1.5
154009	Hospital - The Canberra Hospital	7.6
154009	Primary School - Monash Primary	0.4
154009	High School - Wanniassa School Senior Campus	2.1
154009	College - Mackillop College	1.0
154009	University - Australian National University	15.1
154010	City GPO	1.6
154010	Major Shopping Centre - Erindale Shopping Centre	1.5
154010	Hospital - The Canberra Hospital	7.6
154010	Primary School - Monash Primary	0.4
154010	High School - Wanniassa School Senior Campus	2.1
154010	College - Mackillop College	1.0
154010	University - Australian National University	15.1
154011	City GPO	1.5
154011	Major Shopping Centre - Erindale Shopping Centre	1.4
154011	Hospital - The Canberra Hospital	7.6
154011	Primary School - Monash Primary	0.4
154011	High School - Wanniassa School Senior Campus	2.0
154011	College - Mackillop College	1.0
154011	University - Australian National University	15.1
154012	City GPO	1.6
