StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
154004	ZO-8656-AM	420000	2011-03-03	Independent Property Management	430	2018	17	True	False	16	101	2	House	House	1	3	893
154005	QC-4756-UP							False	False				House	House			
154006	ZM-1197-DO	495000	2011-05-23					False	False	17	101		House	House			1303
154007	SO-2305-SL	110000	1994-07-20					False	False	24	101		House	House			898
154008	QF-7524-GW							False	False				House	House			
154009	QB-9738-WJ							False	False				House	House			
154010	BM-0294-KR	92000	1996-01-16					False	False	22	101		House	House			738
154011	FI-6019-PW	110000	1999-01-04					False	False	20	101		House	House			882
154012	QH-0951-BH							False	False				House	House			
154013	NA-3616-YI	575000	2019-03-27					False	False	19	101		House	House		4	1457
154014	YW-5158-OY	180000	2001-12-21					False	False	29	101		House	House			730
154015	BV-5616-VT	158000	2001-11-01	LJH Tuggeranong	440	2011		True	False	13	101	2	House	House	1	4	806
154016	DS-5851-ZF	178000	2002-05-27					False	False	28	101	3	House	House	2	4	935
154017	FH-1888-HQ	430000	2011-06-09	LJH Tuggeranong	470	2011		False	False	14	101	2	House	House	1	4	795
154018	QD-8003-RP							False	False	27	101	0	House	House	1	4	913
154019	QI-4893-KO			Hodgkinson Real Estate 	420	2017	35	False	False			1	House	House	1	3	
154020	UJ-4968-JC	440000	2007-10-24	inStyle Estate Agents	530	2017	70	True	False	26	101	2	House	House	2	4	708
154021	VH-9781-GV							False	False			2	House	House	2	4	
154022	RC-2586-CD	458500	2009-01-16					False	False	2	169	2	House	House	2	4	775
154023	RV-8218-AK	159950	1999-11-05					False	False	3	169		House	House			860
154024	OX-7893-DQ	692500	2017-08-03					False	False	37	118	2	House	House	2	4	1028
154025	IE-2179-DS							False	False				House	House			
154026	WG-5891-QL	565000	2018-03-24					False	False	36	118	2	House	House	2	4	1038
154027	RU-7926-XK	186510	1999-06-18	Peter Blackshaw Tuggeranong	0	2019		True	False	5	169	2	House	House	2	4	785
154028	LD-7588-XC	182990	1999-12-21					False	False	35	118		House	House			766
154029	IC-7966-WP							False	False				House	House			
154030	JE-7024-HV	525000	2014-12-23	LJH Tuggeranong	450	2010		False	False	34	118	1	House	House	2	3	697
154031	ID-6621-QK							False	False				House	House			
