StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
154004	2020-01-09T10:24:26.003	High	500000	585000	670000	500	0.0437	Unknown	Unknown
154005	2020-02-05T19:29:12.873	High	570000	660000	750000	550	0.0449	Unknown	Unknown
154006	2020-02-05T19:29:12.873	High	570000	675000	780000	550	0.0449	Unknown	Unknown
154007	2020-01-09T10:24:26.003	High	550000	645000	740000	550	0.0449	Unknown	Unknown
154008	2020-01-09T10:24:26.003	High	560000	655000	750000	550	0.0449	Unknown	Unknown
154009	2020-02-05T19:29:12.873	High	570000	665000	760000	550	0.0449	Unknown	Unknown
154010	2020-02-05T19:29:12.873	High	580000	670000	760000	550	0.0449	Unknown	Unknown
154011	2020-01-09T10:24:26.003	High	580000	670000	760000	550	0.0449	Unknown	Unknown
154012	2019-12-18T09:44:26.13	High	550000	645000	740000	550	0.0449	Unknown	Unknown
154013	2020-02-05T19:29:12.873	High	510000	590000	670000	600	0.0443	Unknown	Unknown
154014	2019-12-18T09:44:26.13	High	550000	645000	740000	550	0.0449	Unknown	Unknown
154015	2020-01-09T10:24:26.003	High	510000	595000	680000	600	0.0443	Unknown	Unknown
154016	2018-01-06T01:37:39.4801821Z	Medium	545000	630000	715000	600	0.0443	Unknown	Unknown
154017	2020-01-09T10:24:26.003	High	530000	625000	720000	600	0.0443	Unknown	Unknown
154018	2019-12-04T09:49:14.273	Medium	500000	580000	660000	600	0.0443	Unknown	Unknown
154019	2020-02-05T19:29:12.873	High	520000	595000	670000	500	0.0437	Unknown	Unknown
154020	2020-01-09T10:24:26.003	High	600000	705000	810000	600	0.0443	Unknown	Unknown
154021	2020-01-09T10:24:26.003	High	590000	690000	790000	600	0.0443	Unknown	Unknown
154022	2020-02-05T19:29:12.873	High	620000	720000	820000	600	0.0443	Unknown	Unknown
154023	2020-02-05T19:29:12.873	High	580000	670000	760000	550	0.0449	Unknown	Unknown
154024	2020-01-22T10:30:07.47	High	630000	735000	840000	600	0.0443	Unknown	Unknown
154025	2020-02-05T19:29:12.873	High	595000	695000	795000	550	0.0449	Unknown	Unknown
154026	2020-01-09T10:24:26.003	High	555000	640000	725000	600	0.0443	Unknown	Unknown
