StreetAddressID	POI	Distance
156492	City GPO	1.0
156492	Major Shopping Centre - Hyperdome	1.4
156492	Hospital - The Canberra Hospital	9.2
156492	Primary School - Bonython Primary	0.8
156492	High School - Covenant College	1.9
156492	College - Mackillop College	1.4
156492	University - Australian National University	16.7
156493	City GPO	1.1
156493	Major Shopping Centre - Hyperdome	1.5
156493	Hospital - The Canberra Hospital	9.2
156493	Primary School - Bonython Primary	0.8
156493	High School - Covenant College	1.9
156493	College - Mackillop College	1.4
156493	University - Australian National University	16.7
156494	City GPO	1.1
156494	Major Shopping Centre - Hyperdome	1.5
156494	Hospital - The Canberra Hospital	9.2
156494	Primary School - Bonython Primary	0.8
156494	High School - Covenant College	1.9
156494	College - Mackillop College	1.4
156494	University - Australian National University	16.7
156496	City GPO	1.1
156496	Major Shopping Centre - Hyperdome	1.5
156496	Hospital - The Canberra Hospital	9.2
156496	Primary School - Bonython Primary	0.8
156496	High School - Covenant College	1.9
156496	College - Mackillop College	1.4
156496	University - Australian National University	16.7
156497	City GPO	1.1
156497	Major Shopping Centre - Hyperdome	1.5
156497	Hospital - The Canberra Hospital	9.3
156497	Primary School - Bonython Primary	0.8
156497	High School - Covenant College	1.9
156497	College - Mackillop College	1.4
156497	University - Australian National University	16.7
156498	City GPO	1.5
156498	Major Shopping Centre - Hyperdome	1.8
156498	Hospital - The Canberra Hospital	9.9
156498	Primary School - Bonython Primary	0.8
156498	High School - Covenant College	1.7
156498	College - Mackillop College	1.9
156498	University - Australian National University	17.4
156499	City GPO	1.4
156499	Major Shopping Centre - Hyperdome	1.8
156499	Hospital - The Canberra Hospital	9.8
156499	Primary School - Bonython Primary	0.7
156499	High School - Covenant College	1.7
156499	College - Mackillop College	1.8
156499	University - Australian National University	17.3
156501	City GPO	1.4
156501	Major Shopping Centre - Hyperdome	1.8
156501	Hospital - The Canberra Hospital	9.8
156501	Primary School - Bonython Primary	0.8
156501	High School - Covenant College	1.8
156501	College - Mackillop College	1.8
156501	University - Australian National University	17.3
156502	City GPO	1.4
156502	Major Shopping Centre - Hyperdome	1.7
156502	Hospital - The Canberra Hospital	9.8
156502	Primary School - Bonython Primary	0.8
156502	High School - Covenant College	1.8
156502	College - Mackillop College	1.9
156502	University - Australian National University	17.3
156503	City GPO	1.4
156503	Major Shopping Centre - Hyperdome	1.7
156503	Hospital - The Canberra Hospital	9.8
156503	Primary School - Bonython Primary	0.8
156503	High School - Covenant College	1.8
156503	College - Mackillop College	1.9
156503	University - Australian National University	17.3
156504	City GPO	1.3
