StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
156492	HN-5415-QY							False	False				House	House			313
156493	MV-1887-SD	460000	2015-05-18					False	False	3	71	2	House	Townhouse	1	3	442
156494	ST-6608-QK	450000	2010-01-20					False	False	6	72		House	Townhouse		3	369
156495	MV-8989-YQ	338000	2005-04-08					False	False	2	71		House	House		3	512
156496	SO-6840-OK	231500	2002-07-02					False	False	7	72		House	Townhouse		3	372
156497	SM-4299-HH	139550	1994-03-03					False	False	8	72		House	House			494
156498	YC-6234-JZ							False	False				House	House			
156499	YO-4593-HI	170000	1995-02-08					False	False	32	23		House	House			958
156500	UX-0023-KG	213000	1992-10-14					False	False	63	23		House	House			1182
156501	PU-2357-CD	952000	2019-09-20	Homefinders Real Estate	780	2019	29	False	False	33	23	3	House	House	3	4	1249
156502	YO-2953-HU	565500	2005-06-24	Elders Woden	490	2002	28	False	False	59	23	0	House	House	4	5	1003
156503	WQ-0386-RB	496500	2003-11-26					False	False	60	23	0	House	House	3	4	881
156504	WY-0278-SI							False	False				House	House			
156505	HB-0064-FX							False	False				House	House			1053
156506	WU-2954-GP	750000	2018-03-07					False	False	42	23		House	House			915
156507	UQ-9377-OP	231000	1993-12-01					False	False	29	23		House	House			1193
156508	UP-7981-XQ	738000	2017-09-23					False	False	41	23	2	House	House	2	4	981
156509	PZ-4989-TJ	200000	1991-12-02					False	False	30	23		House	House			893
156510	YH-6411-WL	610000	2016-10-24					False	False	40	23		House	House			988
156511	LD-0791-PM	233000	2001-08-07					False	False	31	23	2	House	House	2	4	815
156512	YP-8490-CL	115000	2005-10-06					False	False	39	23		House	House			1249
156513	WQ-0184-NZ							False	False				House	House			
156514	LN-0012-EB	692000	2016-12-13					False	False	6	1	2	House	House	2	4	1011
156515	DL-4919-HP	651000	2015-09-05					False	False	8	2	2	House	House	2	4	992
156516	KZ-9904-PG							False	False				House	House			
156517	QH-0406-PY							False	False				House	House			
156518	FE-3002-GS							False	False				House	House			
156519	ML-7936-AN							False	False				House	House			
156520	WZ-1775-AU	214000	1993-01-19					False	False	3	1		House	House			944
156521	UM-8731-RS	500000	2008-07-10					False	False	11	2		House	House			1007
156522	MR-9821-QC	700000	2011-09-16					False	False	4	1	2	House	House	2	4	1318
