StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
156493	2020-02-05T19:29:12.873	High	365000	425000	485000	520	0.0492	Unknown	Unknown
156494	2020-02-05T19:29:12.873	High	385000	450000	515000	520	0.0492	Unknown	Unknown
156495	2020-02-05T19:29:12.873	High	520000	585000	650000	520	0.0492	Unknown	Unknown
156496	2020-02-05T19:29:12.873	High	420000	490000	560000	520	0.0492	Unknown	Unknown
156497	2020-02-05T19:29:12.873	High	520000	585000	650000	540	0.0422	Unknown	Unknown
156498	2020-02-05T19:29:12.873	High	615000	720000	825000	540	0.0422	Unknown	Unknown
156499	2020-01-29T09:57:42.103	Medium	595000	700000	805000	540	0.0422	Unknown	Unknown
156500	2019-12-18T09:44:26.13	High	595000	695000	795000	540	0.0422	Unknown	Unknown
156501	2019-09-20T00:00:00	RecentlySold	955000	955000	955000	585		Unknown	Unknown
156502	2019-12-18T09:44:26.13	Medium	615000	720000	825000			Unknown	Unknown
156503	2020-02-05T19:29:12.873	High	645000	750000	855000	585		Unknown	Unknown
156504	2020-02-05T19:29:12.873	High	620000	725000	830000	540	0.0422	Unknown	Unknown
156505	2020-02-12T17:27:27.64	Medium	570000	670000	770000	540	0.0422	Unknown	Unknown
156506	2020-02-05T19:29:12.873	High	790000	920000	1050000	540	0.0422	Unknown	Unknown
156507	2020-02-05T19:29:12.873	High	615000	720000	825000	540	0.0422	Unknown	Unknown
156508	2020-01-22T10:30:07.47	High	750000	880000	1010000	585		Unknown	Unknown
156509	2020-02-05T19:29:12.873	High	615000	720000	825000	540	0.0422	Unknown	Unknown
156510	2020-02-05T19:29:12.873	High	620000	725000	830000	540	0.0422	Unknown	Unknown
156511	2020-01-29T09:57:42.103	High	625000	730000	835000	585		Unknown	Unknown
156512	2019-12-18T09:44:26.13	High	615000	715000	815000	540	0.0422	Unknown	Unknown
156513	2020-01-15T12:14:29.21	High	695000	810000	925000	540	0.0422	Unknown	Unknown
156514	2020-02-05T19:29:12.873	High	700000	810000	920000	585		Unknown	Unknown
156515	2020-02-05T19:29:12.873	High	710000	820000	930000	585		Unknown	Unknown
156516	2020-01-15T12:14:29.21	High	705000	820000	935000	540	0.0422	Unknown	Unknown
156517	2020-01-15T12:14:29.21	High	685000	800000	915000	540	0.0422	Unknown	Unknown
156518	2020-02-05T19:29:12.873	High	685000	800000	915000	540	0.0422	Unknown	Unknown
156519	2020-01-15T12:14:29.21	High	695000	810000	925000	540	0.0422	Unknown	Unknown
156520	2020-01-15T12:14:29.21	High	685000	800000	915000	540	0.0422	Unknown	Unknown
156521	2020-01-15T12:14:29.21	High	695000	810000	925000	540	0.0422	Unknown	Unknown
156522	2020-01-15T12:14:29.21	High	705000	820000	935000	585		Unknown	Unknown
156523	2020-01-15T12:14:29.21	High	670000	780000	890000	540	0.0422	Unknown	Unknown
156524	2020-01-15T12:14:29.21	High	710000	830000	950000	585		Unknown	Unknown
156525	2020-01-15T12:14:29.21	High	690000	800000	910000	585		Unknown	Unknown
156526	2020-02-05T19:29:12.873	High	355000	415000	475000	485	0.0509	Unknown	Unknown
156527	2020-02-05T19:29:12.873	High	355000	410000	465000	485	0.0509	Unknown	Unknown
156528	2020-02-05T19:29:12.873	High	585000	685000	785000	540	0.0422	Unknown	Unknown
156529	2019-10-18T12:32:42.017	High	600000	700000	800000	585		Unknown	Unknown
156530	2020-02-05T19:29:12.873	High	620000	720000	820000			Unknown	Unknown
156531	2019-12-12T00:45:20.067	High	600000	700000	800000	540	0.0422	Unknown	Unknown
156532	2020-02-05T19:29:12.873	High	605000	695000	785000	540	0.0422	Unknown	Unknown
156533	2020-02-05T19:29:12.873	High	595000	695000	795000	585		Unknown	Unknown
156534	2020-02-05T19:29:12.873	High	535000	625000	715000	585		Unknown	Unknown
156535	2020-01-09T10:24:26.003	High	505000	585000	665000	520	0.0492	Unknown	Unknown
156536						485	0.0509	Unknown	Unknown
156537	2020-02-05T19:29:12.873	High	355000	410000	465000	485	0.0509	Unknown	Unknown
156538	2020-02-05T19:29:12.873	Medium	460000	540000	620000	485	0.0509	Unknown	Unknown
156540	2020-01-15T12:14:29.21	High	610000	710000	810000	520	0.0492	Unknown	Unknown
156541	2019-12-12T00:45:20.067	High	610000	715000	820000	585		Unknown	Unknown
156542	2020-01-09T10:24:26.003	High	600000	705000	810000	540	0.0422	Unknown	Unknown
156543	2020-02-05T19:29:12.873	High	600000	705000	810000	540	0.0422	Unknown	Unknown
156544	2020-02-05T19:29:12.873	High	580000	680000	780000	520	0.0492	Unknown	Unknown
156545	2020-02-05T19:29:12.873	High	600000	705000	810000	540	0.0422	Unknown	Unknown
156546	2019-12-12T00:45:20.067	High	600000	705000	810000	540	0.0422	Unknown	Unknown
156547	2020-02-05T19:29:12.873	High	610000	710000	810000	520	0.0492	Unknown	Unknown
156548	2020-01-09T10:24:26.003	High	550000	640000	730000	520	0.0492	Unknown	Unknown
156549	2020-02-05T19:29:12.873	High	600000	705000	810000	540	0.0422	Unknown	Unknown
156550	2020-02-05T19:29:12.873	High	580000	680000	780000	540	0.0422	Unknown	Unknown
156551	2019-12-12T00:45:20.067	High	580000	670000	760000	540	0.0422	Unknown	Unknown
156552	2020-01-15T12:14:29.21	High	600000	700000	800000	520	0.0492	Unknown	Unknown
156553	2020-01-09T10:24:26.003	High	580000	680000	780000	540	0.0422	Unknown	Unknown
156554	2020-02-05T19:29:12.873	High	690000	800000	910000	585		Unknown	Unknown
156555	2020-02-05T19:29:12.873	Medium	550000	640000	730000	540	0.0422	Unknown	Unknown
156556	2020-02-05T19:29:12.873	Medium	540000	630000	720000	520	0.0492	Unknown	Unknown
156557	2020-02-05T19:29:12.873	High	520000	615000	710000	540	0.0422	Unknown	Unknown
156558	2020-02-05T19:29:12.873	High	585000	685000	785000	585		Unknown	Unknown
156559	2020-02-05T19:29:12.873	High	530000	625000	720000	540	0.0422	Unknown	Unknown
156560	2020-01-15T12:14:29.21	High	575000	670000	765000	520	0.0492	Unknown	Unknown
156561	2020-02-05T19:29:12.873	High	585000	685000	785000	540	0.0422	Unknown	Unknown
156562	2020-02-05T19:29:12.873	High	370000	430000	490000	490	0.0505	Unknown	Unknown
156563	2020-02-05T19:29:12.873	High	460000	535000	610000	490	0.0505	Unknown	Unknown
156564	2020-01-15T12:14:29.21	High	355000	415000	475000	490	0.0505	Unknown	Unknown
