StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
158247	Sale	2001-06-27T00:00:00	180000	PRIVATE TREATY			
158247	Sale	1992-05-06T00:00:00	128500	PRIVATE TREATY			
158248	Sale	1996-03-01T00:00:00	138000	PRIVATE TREATY			
158249	Sale	2010-04-16T00:00:00	487000	PRIVATE TREATY			
158249	Sale	2004-10-01T00:00:00	319000	PRIVATE TREATY	167.0		
158249	Sale	1993-03-11T00:00:00	152000	PRIVATE TREATY			
158249	Sale	1991-08-09T00:00:00	134000	PRIVATE TREATY			
158250	Sale		LJH Tuggeranong	2011-10-27T00:00:00	475500.0	PRIVATE TREATY	
158250	Sale	2003-02-10T00:00:00	270845	PRIVATE TREATY			
158250	Sale	2000-02-18T00:00:00	147000	PRIVATE TREATY			
158250	Sale	1991-12-16T00:00:00	138000	PRIVATE TREATY			
158251	Sale	2010-02-12T00:00:00	630000	PRIVATE TREATY			
158251	Sale	1999-04-09T00:00:00	185000	PRIVATE TREATY			
158252	Sale	25130	One Agency Andrew Thorpe	2015-02-27T00:00:00	640000.0	PRIVATE TREATY	14.0
158252	Sale	1991-12-18T00:00:00	126000	PRIVATE TREATY			
158253	Sale		LJH Tuggeranong	2005-09-02T00:00:00	327000.0	PRIVATE TREATY	27.0
158253	Sale	1998-06-05T00:00:00	124500	PRIVATE TREATY			
158254	Sale	1995-12-14T00:00:00	155000	PRIVATE TREATY			
158256	Sale	1999-07-09T00:00:00	136500	PRIVATE TREATY			
158258	Rental	14060	Hodgkinson Real Estate 	2008-05-28T00:00:00	320.0	PER WEEK	21.0
158259	Sale		LJH Tuggeranong	2010-06-29T00:00:00	425000.0	PRIVATE TREATY	53.0
158259	Sale	2002-02-18T00:00:00	198000	PRIVATE TREATY	23.0		
158259	Sale	1991-03-06T00:00:00	112000	PRIVATE TREATY			
158260	Sale	2006-09-04T00:00:00	276000	PRIVATE TREATY			
158260	Sale	2002-09-24T00:00:00	220000	PRIVATE TREATY			
158260	Sale	1999-12-21T00:00:00	155000	PRIVATE TREATY			
158261	Sale	2007-09-13T00:00:00	510000	PRIVATE TREATY			
158261	Sale	2005-07-01T00:00:00	550000	PRIVATE TREATY	115.0		
158261	Sale	1995-02-09T00:00:00	125500	PRIVATE TREATY			
158262	Sale	19011	McGrath Woden Property Management	2018-02-19T00:00:00	528000.0	PRIVATE TREATY	187.0
158262	Rental	19011	McGrath Woden Property Management	2016-09-25T00:00:00	465.0	PER WEEK	21.0
158262	Sale		McGrath - Projects	2011-11-04T00:00:00	470000.0	PRIVATE TREATY	75.0
158262	Sale	2002-03-28T00:00:00	225000	PRIVATE TREATY			
158262	Sale	1993-02-22T00:00:00	150000	PRIVATE TREATY			
158263	Sale	16565	McIntyre Property	2019-01-08T00:00:00		PRIVATE TREATY	
158263	Sale	2005-08-12T00:00:00	429000	PRIVATE TREATY	76.0		
158264	Sale	2001-07-10T00:00:00	225000	PRIVATE TREATY			
158264	Sale	1994-03-23T00:00:00	182250	PRIVATE TREATY			
158264	Sale	1992-12-23T00:00:00	182000	PRIVATE TREATY			
158265	Sale		Peter Blackshaw Manuka	2016-02-25T00:00:00	600000.0	AUCTION	
158265	Sale	1998-07-10T00:00:00	245000	PRIVATE TREATY			
158265	Sale	1993-09-22T00:00:00	258500	PRIVATE TREATY			
158266	Sale	18793	Peter Blackshaw Tuggeranong	2020-01-09T00:00:00		PRIVATE TREATY	55.0
158266	Sale	18793	Peter Blackshaw Tuggeranong	2019-01-09T00:00:00		PRIVATE TREATY	
158266	Sale	2006-02-13T00:00:00	395000	PRIVATE TREATY	16.0		
158266	Sale	1996-04-01T00:00:00	186950	PRIVATE TREATY			
158267	Sale	22060	Independent Tuggeranong	2017-08-28T00:00:00	520000.0	PRIVATE TREATY	54.0
158267	Sale	2001-10-17T00:00:00	217000	PRIVATE TREATY	25.0		
158267	Sale	1996-10-15T00:00:00	152000	PRIVATE TREATY			
158268	Sale		Luton Properties - Manuka	2014-06-30T00:00:00	600000.0	PRIVATE TREATY	27.0
158269	Sale	2000-05-03T00:00:00	240000	PRIVATE TREATY			
158272	Sale		Peter Blackshaw Manuka Projects	2019-10-18T00:00:00	665000.0	PRIVATE TREATY	34.0
158272	Sale	2003-02-14T00:00:00	287000	PRIVATE TREATY	6.0		
158272	Sale	2000-07-05T00:00:00	185000	PRIVATE TREATY			
158272	Sale	1998-08-11T00:00:00	158000	PRIVATE TREATY			
158272	Sale	1994-04-20T00:00:00	169000	PRIVATE TREATY			
158272	Sale	1992-04-13T00:00:00	148000	PRIVATE TREATY			
158273	Sale	28076	LJ Hooker Tuggeranong	2017-10-09T00:00:00	417000.0	PRIVATE TREATY	25.0
158273	Sale	1993-03-26T00:00:00	107500	PRIVATE TREATY			
158274	Sale	16565	McIntyre Property	2014-12-10T00:00:00	576000.0	PRIVATE TREATY	48.0
158274	Sale	1999-01-20T00:00:00	210000	PRIVATE TREATY			
158274	Sale	1994-07-01T00:00:00	200000	PRIVATE TREATY			
158275	Sale		The Real Estate Shop	2016-02-11T00:00:00		PRIVATE TREATY	156.0
158276	Sale	20010	Peter Blackshaw Real Estate Manuka	2019-07-01T00:00:00	645000.0	PRIVATE TREATY	2.0
158277	Sale	1999-02-19T00:00:00	179950	PRIVATE TREATY			
158277	Sale	1995-10-25T00:00:00	174000	PRIVATE TREATY			
158278	Sale	2001-01-05T00:00:00	225000	PRIVATE TREATY			
158278	Sale	1993-06-02T00:00:00	155000	PRIVATE TREATY			
158279	Sale	23987	One Agency Sandy Morris	2014-09-26T00:00:00	450000.0	PRIVATE TREATY	42.0
158279	Sale	2009-03-18T00:00:00	365000	PRIVATE TREATY	23.0		
158279	Sale	1995-02-22T00:00:00	150000	PRIVATE TREATY			
158280	Rental	16565	McIntyre Property	2016-08-26T00:00:00	450.0	PER WEEK	14.0
158280	Sale	14128	LJH Tuggeranong	2012-08-13T00:00:00	415000.0	PRIVATE TREATY	82.0
158280	Sale	2003-09-12T00:00:00	310000	PRIVATE TREATY			
158280	Sale	1999-12-02T00:00:00	150000	PRIVATE TREATY			
158280	Sale	1993-06-03T00:00:00	134950	PRIVATE TREATY			
158281	Sale	18793	Peter Blackshaw Tuggeranong	2016-08-25T00:00:00	335000.0	PRIVATE TREATY	144.0
158281	Sale		LJH Tuggeranong	2010-06-24T00:00:00	350000.0	PRIVATE TREATY	47.0
