StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
158247	2020-02-05T19:29:12.873	High	510000	595000	680000	500	0.0441	Unknown	Unknown
158248	2020-02-05T19:29:12.873	High	515000	605000	695000	500	0.0441	Unknown	Unknown
158249	2020-02-05T19:29:12.873	High	555000	650000	745000	480	0.0471	Unknown	Unknown
158250	2020-01-09T10:24:26.003	High	480000	565000	650000	480	0.0471	Unknown	Unknown
158251	2020-02-05T19:29:12.873	Medium	645000	750000	855000	500	0.0441	Unknown	Unknown
158252	2020-02-05T19:29:12.873	High	560000	655000	750000	600	0.0457	Unknown	Unknown
158253	2020-02-05T19:29:12.873	Medium	570000	670000	770000	480	0.0471	Unknown	Unknown
158254	2020-02-05T19:29:12.873	High	550000	640000	730000	500	0.0441	Unknown	Unknown
158255	2020-02-05T19:29:12.873	Medium	590000	690000	790000	500	0.0441	Unknown	Unknown
158256	2020-02-05T19:29:12.873	High	560000	650000	740000	500	0.0441	Unknown	Unknown
158257	2020-01-15T12:14:29.21	High	345000	405000	465000	430	0.0545	Unknown	Unknown
158258	2020-01-09T10:24:26.003	Medium	525000	610000	695000	480	0.0471	Unknown	Unknown
158259	2020-02-05T19:29:12.873	High	505000	585000	665000	480	0.0471	Unknown	Unknown
158260	2020-02-05T19:29:12.873	High	590000	690000	790000	500	0.0441	Unknown	Unknown
158261	2020-01-15T12:14:29.21	High	530000	620000	710000			Unknown	Unknown
158262	2020-02-05T19:29:12.873	High	555000	640000	725000	480	0.0471	Unknown	Unknown
158263	2020-01-15T12:14:29.21	High	620000	720000	820000			Unknown	Unknown
158264	2020-01-15T12:14:29.21	High	580000	680000	780000	500	0.0441	Unknown	Unknown
158265	2020-02-05T19:29:12.873	High	585000	685000	785000	600	0.0457	Unknown	Unknown
158266	2020-01-22T10:30:07.47	Low	550000	640000	730000	480	0.0471	Unknown	Unknown
158267	2020-02-05T19:29:12.873	High	535000	625000	715000	480	0.0471	Unknown	Unknown
158268	2020-02-05T19:29:12.873	High	580000	680000	780000	600	0.0457	Unknown	Unknown
158269	2020-02-05T19:29:12.873	High	610000	715000	820000	500	0.0441	Unknown	Unknown
158270	2020-02-05T19:29:12.873	High	610000	715000	820000	500	0.0441	Unknown	Unknown
158271	2020-02-05T19:29:12.873	High	595000	695000	795000	500	0.0441	Unknown	Unknown
158272	2019-10-18T00:00:00	RecentlySold	665000	665000	665000	480	0.0471	Unknown	Unknown
158273	2020-02-05T19:29:12.873	High	430000	500000	570000	480	0.0471	Unknown	Unknown
158274	2020-01-15T12:14:29.21	High	600000	700000	800000	600	0.0457	Unknown	Unknown
158275	2020-02-05T19:29:12.873	Medium	525000	620000	715000	480	0.0471	Unknown	Unknown
158276	2020-02-05T19:29:12.873	High	570000	670000	770000	480	0.0471	Unknown	Unknown
158277	2020-02-05T19:29:12.873	High	510000	595000	680000	500	0.0441	Unknown	Unknown
158278	2020-02-05T19:29:12.873	High	510000	590000	670000	500	0.0441	Unknown	Unknown
158279	2020-02-05T19:29:12.873	High	480000	560000	640000	480	0.0471	Unknown	Unknown
158280	2020-02-05T19:29:12.873	High	505000	585000	665000	480	0.0471	Unknown	Unknown
158281	2020-02-05T19:29:12.873	High	330000	380000	430000	430		Unknown	Unknown
158282	2020-02-05T19:29:12.873	High	330000	385000	440000	430	0.0545	Unknown	Unknown
158283	2020-02-05T19:29:12.873	High	585000	680000	775000	600	0.0457	Unknown	Unknown
158284	2019-09-02T00:00:00	RecentlySold	410000	410000	410000	430		Unknown	Unknown
158285	2020-02-05T19:29:12.873	High	320000	370000	420000	430		Unknown	Unknown
158286	2020-02-05T19:29:12.873	High	470000	540000	610000	500	0.0441	Unknown	Unknown
158287	2020-02-05T19:29:12.873	High	330000	370000	410000	430		Unknown	Unknown
158288	2020-02-05T19:29:12.873	High	320000	370000	420000	430		Unknown	Unknown
158289	2020-01-09T10:24:26.003	High	475000	555000	635000	480	0.0471	Unknown	Unknown
158290	2020-02-05T19:29:12.873	High	335000	375000	415000	430	0.0545	Unknown	Unknown
158291	2020-02-05T19:29:12.873	High	315000	365000	415000	430	0.0545	Unknown	Unknown
158292	2020-02-05T19:29:12.873	High	495000	555000	615000	500	0.0441	Unknown	Unknown
158293	2020-02-05T19:29:12.873	High	325000	375000	425000	430		Unknown	Unknown
158294	2020-02-05T19:29:12.873	High	315000	365000	415000	430	0.0545	Unknown	Unknown
