StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
160577	Sale	2012-07-31T00:00:00	380000	PRIVATE TREATY			
160577	Sale		Colin McIntyre Property - Chisholm	2007-12-01T00:00:00	413000.0	AUCTION	
160577	Sale	1999-11-12T00:00:00	164000	PRIVATE TREATY			
160577	Sale	1994-10-05T00:00:00	167000	PRIVATE TREATY			
160579	Sale	25305	McCann Properties	2018-08-31T00:00:00	798000.0	PRIVATE TREATY	19.0
160579	Sale		McGrath Woden Property Management	2012-03-29T00:00:00	614000.0	PRIVATE TREATY	152.0
160579	Sale	2002-06-21T00:00:00	305000	PRIVATE TREATY			
160580	Sale	2014-02-05T00:00:00	505000	PRIVATE TREATY			
160580	Sale	1991-01-10T00:00:00	128000	PRIVATE TREATY			
160581	Sale	2006-10-09T00:00:00	386500	PRIVATE TREATY			
160581	Sale	1998-09-11T00:00:00	182000	PRIVATE TREATY			
160582	Sale	2012-06-26T00:00:00	467500	PRIVATE TREATY			
160582	Sale	2004-07-30T00:00:00	320000	PRIVATE TREATY			
160582	Sale	1995-09-01T00:00:00	155000	PRIVATE TREATY			
160582	Sale	1991-03-12T00:00:00	127500	PRIVATE TREATY			
160583	Sale	1999-05-27T00:00:00	195000	PRIVATE TREATY			
160584	Sale	18793	Peter Blackshaw Tuggeranong	2017-05-10T00:00:00	563500.0	PRIVATE TREATY	33.0
160586	Sale	1996-05-17T00:00:00	137000	PRIVATE TREATY			
160586	Sale	1992-03-06T00:00:00	139500	PRIVATE TREATY			
160587	Sale	1996-10-04T00:00:00	142000	PRIVATE TREATY			
160588	Sale	14128	LJH Tuggeranong	2014-05-05T00:00:00		PRIVATE TREATY	
160589	Sale		Peter Blackshaw Canberra	2013-12-20T00:00:00	490000.0	PRIVATE TREATY	38.0
160590	Sale	24771	One Agency Don McPherson	2017-02-25T00:00:00	585000.0	PRIVATE TREATY	233.0
160591	Sale	1992-06-15T00:00:00	158000	PRIVATE TREATY			
160593	Sale	10312	Luton Properties Tuggeranong CRE	2009-02-20T00:00:00	399500.0	PRIVATE TREATY	41.0
160593	Sale	1994-04-12T00:00:00	149000	PRIVATE TREATY			
160594	Sale		Cec Hodgkinson Belconnen	2001-06-14T00:00:00	158750.0	PRIVATE TREATY	26.0
160594	Sale	2000-08-18T00:00:00	120000	PRIVATE TREATY			
160594	Sale	1996-05-14T00:00:00	121000	PRIVATE TREATY			
160595	Sale	14516	Luton Properties Woden	2015-10-26T00:00:00	490000.0	PRIVATE TREATY	24.0
160596	Sale	2019-09-21T00:00:00	460000	PRIVATE TREATY			
160597	Sale	1995-07-06T00:00:00	136000	PRIVATE TREATY			
160601	Sale	15868	The Real Estate Shop	2017-09-29T00:00:00	540000.0	PRIVATE TREATY	51.0
160601	Sale	2007-10-30T00:00:00	300000	PRIVATE TREATY			
160602	Sale	2011-07-15T00:00:00	425000	PRIVATE TREATY			
160602	Sale	2000-11-10T00:00:00	145000	PRIVATE TREATY			
160602	Sale	1992-01-30T00:00:00	132950	PRIVATE TREATY			
160604	Sale		McGrath Woden Property Management	2012-12-08T00:00:00	580000.0	PRIVATE TREATY	8.0
160604	Sale	2006-02-01T00:00:00	487000	PRIVATE TREATY	74.0		
160605	Sale	2011-10-28T00:00:00	395000	PRIVATE TREATY			
160605	Sale	2004-02-11T00:00:00	250000	PRIVATE TREATY			
160605	Sale	1996-09-20T00:00:00	93000	PRIVATE TREATY			
160606	Sale	2005-12-18T00:00:00	360000	PRIVATE TREATY			
160607	Sale	14060	Hodgkinson Real Estate 	2008-08-06T00:00:00	540000.0	PRIVATE TREATY	140.0
160608	Sale	2010-10-26T00:00:00	520000	PRIVATE TREATY			
160608	Sale	2002-10-09T00:00:00	280000	PRIVATE TREATY			
160608	Sale	2001-06-26T00:00:00	184000	PRIVATE TREATY	59.0		
160608	Sale	1996-06-12T00:00:00	162500	PRIVATE TREATY			
160609	Sale	2000-01-14T00:00:00	272000	PRIVATE TREATY			
160609	Sale	1992-02-10T00:00:00	215000	PRIVATE TREATY			
160610	Sale	20434	ethicsrealestate.com.au	2019-07-09T00:00:00	560250.0	PRIVATE TREATY	21.0
160611	Sale		John Roden Real Estate	2005-03-24T00:00:00	386000.0	PRIVATE TREATY	117.0
160611	Sale		John Roden Real Estate	2002-11-23T00:00:00	338000.0	Listed - not sold	
160615	Sale	1994-06-23T00:00:00	200000	PRIVATE TREATY			
160616	Sale	24771	One Agency Don McPherson	2015-07-10T00:00:00	570000.0	PRIVATE TREATY	26.0
160616	Sale	1995-08-25T00:00:00	165000	PRIVATE TREATY			
160617	Sale	2000-06-16T00:00:00	105000	PRIVATE TREATY			
