StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
160577	2020-02-05T19:29:12.873	High	450000	535000	620000			Unknown	Unknown
160578	2020-02-05T19:29:12.873	High	500000	585000	670000	510	0.0446	Unknown	Unknown
160579	2020-02-05T19:29:12.873	High	710000	830000	950000			Unknown	Unknown
160580	2020-01-09T10:24:26.003	High	535000	615000	695000	510	0.0446	Unknown	Unknown
160581	2020-02-05T19:29:12.873	High	515000	605000	695000			Unknown	Unknown
160582	2020-02-05T19:29:12.873	High	525000	605000	685000	510	0.0446	Unknown	Unknown
160583	2020-01-09T10:24:26.003	High	535000	625000	715000	510	0.0446	Unknown	Unknown
160584	2020-01-09T10:24:26.003	High	535000	625000	715000	498	0.0469	Unknown	Unknown
160585	2020-01-09T10:24:26.003	High	545000	625000	705000	510	0.0446	Unknown	Unknown
160586	2020-01-09T10:24:26.003	High	545000	625000	705000	510	0.0446	Unknown	Unknown
160587	2020-02-05T19:29:12.873	High	535000	625000	715000	510	0.0446	Unknown	Unknown
160588	2020-02-05T19:29:12.873	High	570000	660000	750000			Unknown	Unknown
160589	2020-02-05T19:29:12.873	High	545000	625000	705000			Unknown	Unknown
160590	2020-02-05T19:29:12.873	High	550000	645000	740000			Unknown	Unknown
160591	2020-02-05T19:29:12.873	High	450000	535000	620000	510	0.0446	Unknown	Unknown
160592	2020-02-05T19:29:12.873	High	520000	600000	680000	510	0.0446	Unknown	Unknown
160593	2019-12-18T09:44:26.13	High	525000	595000	665000	498	0.0469	Unknown	Unknown
160594	2020-02-05T19:29:12.873	High	500000	580000	660000	498	0.0469	Unknown	Unknown
160595	2020-02-05T19:29:12.873	High	535000	625000	715000	498	0.0469	Unknown	Unknown
160596	2019-09-21T00:00:00	RecentlySold	460000	460000	460000	510	0.0446	Unknown	Unknown
160597	2020-02-05T19:29:12.873	High	490000	570000	650000	510	0.0446	Unknown	Unknown
160598	2020-02-05T19:29:12.873	High	520000	600000	680000	510	0.0446	Unknown	Unknown
160599	2020-01-09T10:24:26.003	High	500000	580000	660000	510	0.0446	Unknown	Unknown
160600	2020-02-05T19:29:12.873	Medium	510000	590000	670000	510	0.0446	Unknown	Unknown
160601	2020-02-05T19:29:12.873	High	535000	625000	715000	498	0.0469	Unknown	Unknown
160602	2020-02-05T19:29:12.873	High	480000	565000	650000	510	0.0446	Unknown	Unknown
160603	2020-02-05T19:29:12.873	High	500000	580000	660000	510	0.0446	Unknown	Unknown
160604	2020-02-05T19:29:12.873	High	570000	665000	760000			Unknown	Unknown
160605								Unknown	Unknown
160606	2020-02-05T19:29:12.873	High	550000	640000	730000	510	0.0446	Unknown	Unknown
160607	2020-02-05T19:29:12.873	Medium	550000	640000	730000			Unknown	Unknown
160608	2020-01-15T12:14:29.21	High	550000	640000	730000	498	0.0469	Unknown	Unknown
160609	2020-01-09T10:24:26.003	Medium	540000	630000	720000	510	0.0446	Unknown	Unknown
160610	2020-02-05T19:29:12.873	Medium	500000	580000	660000	498	0.0469	Unknown	Unknown
160611	2020-01-09T10:24:26.003	Medium	540000	630000	720000			Unknown	Unknown
160613	2020-02-05T19:29:12.873	High	560000	650000	740000	510	0.0446	Unknown	Unknown
160614	2020-02-12T17:27:27.64	High	540000	630000	720000	510	0.0446	Unknown	Unknown
160615	2020-01-09T10:24:26.003	High	580000	670000	760000	510	0.0446	Unknown	Unknown
160616	2019-08-30T15:17:58.8313072Z	Medium	545000	630000	715000			Unknown	Unknown
160617								Unknown	Unknown
160618	2020-01-09T10:24:26.003	Medium	540000	630000	720000	510	0.0446	Unknown	Unknown
160619	2020-01-09T10:24:26.003	Medium	540000	630000	720000	510	0.0446	Unknown	Unknown
160620	2020-01-09T10:24:26.003	High	540000	630000	720000	510	0.0446	Unknown	Unknown
160621	2020-01-09T10:24:26.003	High	530000	620000	710000	510	0.0446	Unknown	Unknown
160622	2020-02-05T19:29:12.873	High	570000	660000	750000	498	0.0469	Unknown	Unknown
160623	2020-02-05T19:29:12.873	High	470000	550000	630000	510	0.0446	Unknown	Unknown
160624	2020-02-05T19:29:12.873	High	510000	595000	680000	510	0.0446	Unknown	Unknown
160625	2020-02-05T19:29:12.873	High	550000	640000	730000	510	0.0446	Unknown	Unknown
160626	2020-02-05T19:29:12.873	High	520000	610000	700000	510	0.0446	Unknown	Unknown
160627	2020-01-09T10:24:26.003	High	540000	630000	720000			Unknown	Unknown
