StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
162660	Sale	2008-11-27T00:00:00	330000	PRIVATE TREATY			
162660	Sale	2005-01-18T00:00:00	273000	PRIVATE TREATY			
162660	Sale	2002-10-20T00:00:00	212000	PRIVATE TREATY			
162660	Sale	1996-06-26T00:00:00	105000	PRIVATE TREATY			
162660	Sale	1994-09-27T00:00:00	118000	PRIVATE TREATY			
162662	Rental	25465	Independent Property Management	2016-11-15T00:00:00	360.0	PER WEEK	18.0
162663	Sale		Private	2005-09-08T00:00:00	415000.0	PRIVATE TREATY	19.0
162667	Sale		Luton Properties Tuggeranong CRE	2016-07-09T00:00:00	660000.0	AUCTION	
162667	Sale	1994-08-05T00:00:00	134000	PRIVATE TREATY			
162668	Sale	2009-09-02T00:00:00	400000	PRIVATE TREATY			
162668	Sale	2001-01-15T00:00:00	218000	PRIVATE TREATY			
162669	Rental		For Sale or Rent By Owner	2019-01-09T00:00:00	585.0	PER WEEK	133.0
162669	Sale		Richard Luton Dickson	2005-11-01T00:00:00	335000.0	PRIVATE TREATY	73.0
162669	Sale	2002-03-28T00:00:00	255000	PRIVATE TREATY	40.0		
162669	Sale	1993-04-22T00:00:00	135000	PRIVATE TREATY			
162671	Sale	21939	Independent Woden	2016-05-02T00:00:00		PRIVATE TREATY	82.0
162675	Sale	1998-10-26T00:00:00	180000	PRIVATE TREATY			
162675	Sale	1992-02-25T00:00:00	180000	PRIVATE TREATY			
162676	Rental	18793	Peter Blackshaw Tuggeranong	2018-06-14T00:00:00	380.0	PER WEEK	14.0
162676	Rental		Peter Blackshaw Real Estate Projects	2015-08-19T00:00:00	370.0	PER WEEK	215.0
162677	Sale	2014-01-16T00:00:00	530000	PRIVATE TREATY			
162679	Sale		home.byholly	2019-04-23T00:00:00	490000.0	Listed - not sold	23.0
162679	Rental	25201	EnVogue Property Management	2016-02-24T00:00:00	425.0	PER WEEK	22.0
162679	Rental	18604	PRDnationwide Canberra	2013-11-06T00:00:00	420.0	PER WEEK	64.0
162679	Sale		LJH Tuggeranong	2007-08-18T00:00:00	405000.0	AUCTION	
162679	Sale	2004-11-03T00:00:00	315000	PRIVATE TREATY	256.0		
162679	Sale	1996-05-14T00:00:00	137500	PRIVATE TREATY			
162679	Sale	1994-09-08T00:00:00	145000	PRIVATE TREATY			
162679	Sale	1992-11-20T00:00:00	148000	PRIVATE TREATY			
162684	Sale	2000-12-01T00:00:00	153000	PRIVATE TREATY			
162684	Sale	1991-05-02T00:00:00	92000	PRIVATE TREATY			
162686	Sale	2011-02-14T00:00:00	205000	PRIVATE TREATY			
162686	Sale	1992-08-31T00:00:00	131000	PRIVATE TREATY			
162686	Sale	1991-02-28T00:00:00	98000	PRIVATE TREATY			
162687	Sale	2002-04-29T00:00:00	185950	PRIVATE TREATY			
162687	Sale	1998-04-01T00:00:00	121500	PRIVATE TREATY			
162687	Sale	1992-05-13T00:00:00	132000	PRIVATE TREATY			
162688	Sale		LJH Tuggeranong	2004-03-20T00:00:00		Listed - not sold	140.0
162688	Sale	1997-10-29T00:00:00	180000	PRIVATE TREATY			
162690	Sale		McGrath Woden Property Management	2013-05-10T00:00:00	575000.0	PRIVATE TREATY	3.0
162692	Sale	18793	Peter Blackshaw Tuggeranong	2019-03-19T00:00:00	670000.0	PRIVATE TREATY	53.0
162692	Sale	1994-11-21T00:00:00	187000	PRIVATE TREATY			
162694	Sale	1995-03-17T00:00:00	193000	PRIVATE TREATY			
162696	Sale		LJH Tuggeranong	2011-06-14T00:00:00	490000.0	PRIVATE TREATY	
162697	Sale	1994-11-25T00:00:00	199000	PRIVATE TREATY			
162698	Sale	1997-08-29T00:00:00	191200	PRIVATE TREATY			
162702	Sale	2002-12-16T00:00:00	260000	PRIVATE TREATY			
162702	Sale	2000-03-23T00:00:00	157000	PRIVATE TREATY			
162706	Sale	2018-12-19T00:00:00	447843	PRIVATE TREATY			
162706	Sale	2001-12-21T00:00:00	193000	PRIVATE TREATY	69.0		
162708	Sale	2013-02-15T00:00:00	400000	PRIVATE TREATY			
162708	Sale	1998-08-14T00:00:00	120000	PRIVATE TREATY			
162709	Sale	2002-10-25T00:00:00	280000	PRIVATE TREATY			
162709	Sale	1992-02-03T00:00:00	170000	PRIVATE TREATY			
162714	Sale	25305	McCann Properties	2017-10-11T00:00:00	475000.0	PRIVATE TREATY	21.0
162714	Sale	2002-09-04T00:00:00	212000	PRIVATE TREATY	32.0		
162716	Sale	1992-08-12T00:00:00	115000	PRIVATE TREATY			
162716	Sale	1992-02-06T00:00:00	20698	PRIVATE TREATY			
162717	Sale	2005-11-22T00:00:00	280000	PRIVATE TREATY			
162717	Sale	2000-02-07T00:00:00	132500	PRIVATE TREATY			
162718	Sale	2014-08-12T00:00:00	430000	PRIVATE TREATY			
162718	Sale	2003-12-15T00:00:00	259000	PRIVATE TREATY			
162718	Sale	1997-11-21T00:00:00	103500	PRIVATE TREATY			
162718	Sale	1992-03-02T00:00:00	124000	PRIVATE TREATY			
162719	Sale	2001-08-10T00:00:00	222000	PRIVATE TREATY			
162722	Sale		Richard Luton Manuka	2003-10-29T00:00:00	310000.0	PRIVATE TREATY	25.0
162722	Sale	1991-05-06T00:00:00	109000	PRIVATE TREATY			
162723	Sale	1995-10-10T00:00:00	124500	PRIVATE TREATY			
