StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
162660	2020-02-05T19:29:12.873	High	350000	405000	460000			Unknown	Unknown
162661	2020-01-09T10:24:26.003	High	360000	420000	480000			Unknown	Unknown
162662	2020-02-05T19:29:12.873	High	520000	610000	700000	500	0.0454	Unknown	Unknown
162663	2020-02-05T19:29:12.873	High	570000	660000	750000			Unknown	Unknown
162664	2020-02-05T19:29:12.873	High	510000	600000	690000	520	0.0466	Unknown	Unknown
162665	2020-02-05T19:29:12.873	High	570000	670000	770000	520	0.0466	Unknown	Unknown
162666	2020-02-05T19:29:12.873	High	570000	670000	770000	520	0.0466	Unknown	Unknown
162667	2020-02-05T19:29:12.873	High	620000	720000	820000			Unknown	Unknown
162668	2020-02-05T19:29:12.873	High	570000	670000	770000	520	0.0466	Unknown	Unknown
162669	2020-02-05T19:29:12.873	High	610000	710000	810000			Unknown	Unknown
162670	2020-02-05T19:29:12.873	High	430000	500000	570000			Unknown	Unknown
162671	2020-02-05T19:29:12.873	High	350000	405000	460000			Unknown	Unknown
162672	2020-01-09T10:24:26.003	High	365000	425000	485000			Unknown	Unknown
162673	2019-10-18T12:32:42.017	High	345000	400000	455000			Unknown	Unknown
162674	2020-02-05T19:29:12.873	High	385000	450000	515000			Unknown	Unknown
162675	2020-02-05T19:29:12.873	High	520000	610000	700000	520	0.0466	Unknown	Unknown
162676								Unknown	Unknown
162677	2020-02-05T19:29:12.873	High	550000	640000	730000	520	0.0466	Unknown	Unknown
162678	2020-02-05T19:29:12.873	Medium	540000	630000	720000	520	0.0466	Unknown	Unknown
162679	2020-02-05T19:29:12.873	Medium	590000	690000	790000	500	0.0454	Unknown	Unknown
162680	2020-02-12T17:27:27.64	Medium	510000	600000	690000	520	0.0466	Unknown	Unknown
162681	2020-02-05T19:29:12.873	Medium	530000	620000	710000	520	0.0466	Unknown	Unknown
162682	2020-02-05T19:29:12.873	Medium	540000	630000	720000	520	0.0466	Unknown	Unknown
162683	2020-02-05T19:29:12.873	Medium	540000	630000	720000	520	0.0466	Unknown	Unknown
162684	2020-02-05T19:29:12.873	Medium	510000	600000	690000	520	0.0466	Unknown	Unknown
162685	2020-02-05T19:29:12.873	Medium	540000	630000	720000	520	0.0466	Unknown	Unknown
162686	2020-02-05T19:29:12.873	Medium	510000	590000	670000	520	0.0466	Unknown	Unknown
162687	2020-02-05T19:29:12.873	High	525000	610000	695000	520	0.0466	Unknown	Unknown
162688	2020-02-05T19:29:12.873	Medium	560000	650000	740000			Unknown	Unknown
162689	2020-02-05T19:29:12.873	Medium	520000	610000	700000	520	0.0466	Unknown	Unknown
162690	2020-02-05T19:29:12.873	High	640000	735000	830000			Unknown	Unknown
162691	2020-02-05T19:29:12.873	Medium	520000	610000	700000	520	0.0466	Unknown	Unknown
162692	2020-02-05T19:29:12.873	High	630000	730000	830000			Unknown	Unknown
162693	2020-02-05T19:29:12.873	Medium	510000	600000	690000	520	0.0466	Unknown	Unknown
162694	2020-02-05T19:29:12.873	Medium	575000	680000	785000	520	0.0466	Unknown	Unknown
162695	2020-02-05T19:29:12.873	Medium	560000	650000	740000	520	0.0466	Unknown	Unknown
162696	2020-02-05T19:29:12.873	High	610000	715000	820000			Unknown	Unknown
162697	2020-02-05T19:29:12.873	Medium	530000	620000	710000	520	0.0466	Unknown	Unknown
162698	2020-02-05T19:29:12.873	High	525000	610000	695000	520	0.0466	Unknown	Unknown
162699	2020-02-05T19:29:12.873	High	595000	695000	795000	520	0.0466	Unknown	Unknown
162700	2020-02-05T19:29:12.873	Medium	540000	630000	720000	520	0.0466	Unknown	Unknown
162701	2020-02-05T19:29:12.873	High	570000	660000	750000	520	0.0466	Unknown	Unknown
162702	2020-02-05T19:29:12.873	Medium	510000	600000	690000	520	0.0466	Unknown	Unknown
162703	2020-02-05T19:29:12.873	High	570000	660000	750000	520	0.0466	Unknown	Unknown
162704	2020-02-05T19:29:12.873	Medium	510000	600000	690000	520	0.0466	Unknown	Unknown
162705	2020-02-05T19:29:12.873	High	570000	660000	750000	520	0.0466	Unknown	Unknown
162706	2020-02-05T19:29:12.873	High	400000	465000	530000	500	0.0454	Unknown	Unknown
162707	2020-02-05T19:29:12.873	High	570000	660000	750000	520	0.0466	Unknown	Unknown
162708	2020-02-05T19:29:12.873	Medium	500000	580000	660000	520	0.0466	Unknown	Unknown
162709	2020-02-05T19:29:12.873	High	550000	640000	730000	520	0.0466	Unknown	Unknown
162710	2020-02-05T19:29:12.873	High	560000	650000	740000	520	0.0466	Unknown	Unknown
162711	2020-02-05T19:29:12.873	Medium	540000	630000	720000	520	0.0466	Unknown	Unknown
162712	2020-02-05T19:29:12.873	High	560000	650000	740000	520	0.0466	Unknown	Unknown
162713	2020-02-05T19:29:12.873	High	540000	630000	720000	520	0.0466	Unknown	Unknown
162714	2020-02-05T19:29:12.873	High	500000	585000	670000	500	0.0454	Unknown	Unknown
162716	2020-01-15T12:14:29.21	High	490000	570000	650000	520	0.0466	Unknown	Unknown
162717	2020-02-05T19:29:12.873	High	580000	680000	780000	520	0.0466	Unknown	Unknown
162718	2020-02-05T19:29:12.873	High	480000	560000	640000	520	0.0466	Unknown	Unknown
162719	2020-02-05T19:29:12.873	High	620000	720000	820000	520	0.0466	Unknown	Unknown
162720	2020-02-12T17:27:27.64	High	605000	705000	805000	520	0.0466	Unknown	Unknown
162721	2020-02-12T17:27:27.64	High	605000	705000	805000	520	0.0466	Unknown	Unknown
162722	2020-02-05T19:29:12.873	High	610000	710000	810000	500	0.0454	Unknown	Unknown
162723	2020-02-05T19:29:12.873	High	610000	710000	810000	520	0.0466	Unknown	Unknown
162724								Unknown	Unknown
162725	2020-02-05T19:29:12.873	High	495000	580000	665000	520	0.0466	Unknown	Unknown
162726	2020-02-05T19:29:12.873	High	620000	725000	830000			Unknown	Unknown
162727						500	0.0454	Unknown	Unknown
162728	2020-01-15T12:14:29.21	High	560000	650000	740000	520	0.0466	Unknown	Unknown
162729	2020-02-05T19:29:12.873	High	560000	650000	740000	520	0.0466	Unknown	Unknown
162730	2020-02-12T17:27:27.64	High	530000	620000	710000	520	0.0466	Unknown	Unknown
162731	2020-02-05T19:29:12.873	High	600000	700000	800000			Unknown	Unknown
162732	2020-02-05T19:29:12.873	High	600000	705000	810000			Unknown	Unknown
162733	2020-01-15T12:14:29.21	High	560000	650000	740000	500	0.0454	Unknown	Unknown
162734	2020-02-05T19:29:12.873	High	550000	640000	730000	520	0.0466	Unknown	Unknown
162735								Unknown	Unknown
162736	2020-02-05T19:29:12.873	High	570000	660000	750000	520	0.0466	Unknown	Unknown
162737	2020-01-15T12:14:29.21	High	550000	640000	730000	500	0.0454	Unknown	Unknown
162738	2019-10-03T00:00:00	RecentlySold	540000	540000	540000	500	0.0454	Unknown	Unknown
162739	2020-02-05T19:29:12.873	High	500000	585000	670000	520	0.0466	Unknown	Unknown
162740	2020-02-05T19:29:12.873	High	550000	640000	730000	500	0.0454	Unknown	Unknown
162741	2020-01-09T10:24:26.003	High	460000	540000	620000	500	0.0454	Unknown	Unknown
162742	2020-02-05T19:29:12.873	High	545000	635000	725000			Unknown	Unknown
162743	2020-02-05T19:29:12.873	High	480000	560000	640000	500	0.0454	Unknown	Unknown
162744	2020-02-05T19:29:12.873	High	520000	610000	700000			Unknown	Unknown
162745	2020-02-05T19:29:12.873	High	580000	670000	760000	520	0.0466	Unknown	Unknown
162746	2020-02-05T19:29:12.873	High	580000	680000	780000	520	0.0466	Unknown	Unknown
162747	2019-08-02T08:22:16.3098959Z	Medium	580000	665000	750000			Unknown	Unknown
162748	2020-02-05T19:29:12.873	High	565000	660000	755000	500	0.0454	Unknown	Unknown
162749	2020-02-05T19:29:12.873	High	520000	600000	680000	520	0.0466	Unknown	Unknown
162750	2020-01-09T10:24:26.003	High	475000	550000	625000	500	0.0454	Unknown	Unknown
162751	2019-08-30T00:00:00	RecentlySold	585000	585000	585000	500	0.0454	Unknown	Unknown
162752	2020-02-05T19:29:12.873	High	520000	615000	710000	520	0.0466	Unknown	Unknown
