StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
163735	TA-0927-SV	400000	2009-07-06					False	False	1	888	1	House	House	1	3	655
163736	GT-2966-UH	215000	2002-11-13					False	False	36	887		House	House			594
163737	YB-4469-XQ							False	False				House	House			
163738	OX-5709-PN							False	False				House	House			
163739	TD-5789-BQ	238000	2002-06-14					False	False	37	885		House	House		3	701
163740	PL-9812-IJ	420000	2011-07-22	Archived Peter Blackshaw Real Estate Woden & Weston Cre	460	2017	19	True	False	34	887	1	House	House	1	3	784
163741	IT-1225-PC	265000	2003-04-10					False	False	38	885		House	House		3	655
163742	PO-8024-FS	355000	2006-10-23					False	False	39	885	2	House	House	2	4	684
163743	XN-8752-AW							False	False				Unit	Unit			
163744	LG-1679-TP	189950	2002-02-08					False	False	1	885		House	House		3	798
163745	JJ-6232-LB	375000	2007-03-16					False	False	40	885		House	House		4	766
163746	PN-2783-XU	490000	2017-03-01					False	False	41	885	4	House	House	1	3	740
163747	LB-8087-GP	54000	1994-03-22					False	False	42	885		House	House			682
163748	ZM-3670-BF							False	False	53	886		House	House			1074
163749	DT-6596-CS	538000	2015-06-15					False	False	43	885	2	House	House	2	4	687
163750	HX-4605-FR	119950	1991-12-20					False	False	54	886		House	House			
163751	AW-0970-NO	420000	2016-09-02	Peter Blackshaw Real Estate Projects	380	2014	7	False	False	44	885	2	House	House	1	3	793
163752	MS-3363-QK	567000	2019-09-09	LJH Tuggeranong	440	2011	6	False	False	55	886	4	House	House	1	3	721
163753	IA-7060-KJ	470000	2016-04-27					False	False	45	885	2	House	House	1	3	915
163754	DJ-1633-ZC	127000	1996-04-22					False	False	56	886		House	House			776
163755	GR-0232-OK	445000	2012-06-20	LJH Tuggeranong	390	2008	15	False	False	46	885	2	House	House	1	3	989
163756	OH-0277-NQ	157500	1998-12-24					False	False	57	886		House	House			809
163757	LV-2800-ZE							False	False				House	House			
163758	GO-0569-MA	128500	1995-01-17					False	False	47	885		House	House			893
163759	GQ-7199-LR	345000	2010-06-18					False	False	59	886	3	House	House	1	3	1090
163760	YD-1001-TV							False	False				House	House			
163761	GX-2769-LR	287400	2002-11-28					False	False	60	886		House	House			753
163762	LG-5207-ZD	618000	2011-01-18					False	False	2	885		House	House			886
163763	ID-9365-DS	125500	1991-10-14					False	False	49	885		House	House			
163764	CU-6418-EU	119000	1991-11-26					False	False	61	886		House	House			
163765	RG-6471-MD	480000	2016-09-07	Hodgkinson Real Estate 	420	2015	84	False	False	50	885	2	House	House	2	3	740
163766	RS-0730-CL	438500	2010-07-24					False	False	62	886	5	House	House	1	3	1230
163767	JW-8395-OL	537500	2017-01-31					False	False	51	885	2	House	House	2	4	734
163768	HW-3844-PV	107500	1998-02-06	LJ Hooker Belconnen	450	2019		True	False	63	886	2	House	House	1	3	1272
163769	FY-0520-HK		2018-05-12					False	False	52	885	1	House	House	2	4	
163770	GF-6013-DE	512000	2016-10-27	PRD Leader Real Estate	420	2014	5	False	False	64	886	2	House	House	2	3	920
163771	SV-8486-OS							False	False				House	House			
163772	SX-8123-FG							False	False				House	House			
163773	JH-6553-FV	510000	2012-08-03					False	False	55	885	2	House	House	2	3	731
163774	OB-7191-IO							False	False	2	884		House	House			872
163775	IC-3970-EX	310000	2004-01-28					False	False	56	885		House	House			751
163776	BW-0583-BU	415000	2011-08-16	Colin McIntyre Property - Chisholm	390	2010	96	False	False	39	884	4	House	House	1	3	1050
163777	KR-8486-NN	300000	2006-05-26					False	False	40	884		House	House		3	956
163778	GT-0346-ZS	360000	2003-04-28					False	False	5	884	2	House	House	2	5	768
163779	JZ-5051-WA	220000	2002-10-11					False	False	6	884		House	House			722
163780	SZ-6278-XA							False	False				House	House			
163781	JX-6731-OA	264250	2004-09-10	LJH Tuggeranong	390	2010		True	False	41	884	2	House	House	1	3	922
163782	YX-2431-GD	109000	1995-05-19					False	False	8	884		House	House			901
163783	GK-6177-BT	56000	1994-10-20					False	False	9	884		House	House			679
163784	OB-8988-VQ	602500	2017-09-30					False	False	10	884	4	House	House	2	4	660
163785	ZI-1273-BY	112000	2004-07-01					False	False	38	887		House	House			641
163786	TG-8478-SZ	360000	2009-03-24					False	False	11	884	4	House	House	1	3	876
163787	YY-4298-CT							False	False	12	884		House	House			888
163788	OC-0343-YF							False	False				House	House			
163789	DW-6313-XZ	359950	2008-08-14					False	False	14	884	2	House	House	1	3	685
163790	JZ-8558-VZ	426000	2010-04-20					False	False	15	884		House	House			897
163791	FX-5836-GI	391000	2010-08-02					False	False	16	884		House	House			899
163792	LJ-0898-EW	94000	1991-04-26					False	False	17	884		House	House			
163793	ZH-9695-JB	451000	2013-08-28					False	False	37	887	2	House	House	1	3	527
163794	GL-6693-AZ	154000	1994-11-21					False	False	32	884		House	House			772
163795	TE-6380-WZ	307000	2004-04-23					False	False	33	884		House	House		4	1101
163796	NH-4109-MQ	510000	2016-06-08	Elders Woden	350	2007	28	False	False	34	884	2	House	House	2	3	907
163797	KE-6433-CQ	408000	2017-05-05					False	False	35	884	1	House	House	1	3	
163798	RL-3958-SB	450000	2017-06-13					False	False			3	House	House	1	3	
163799	PJ-1501-AW							False	False				House	House			
163800	EH-3848-RN							False	False				House	House		4	
163801	BA-0464-YK	627000	2018-01-22					False	False	5	834	2	House	House	2	4	815
163803	JY-9522-EV	170512	1997-11-13					False	False	6	834		House	House			1090
163804	ZA-9065-QJ	145000	1997-06-03					False	False	7	834		House	House			1132
163805	PP-9480-PF	528000	2011-02-17					False	False	8	834		House	House			742
163806	FU-2382-PZ	165000	2001-09-10					False	False	9	834		House	House			760
163807	KN-7409-HT	375000	2004-08-06					False	False	10	834		House	House			941
163808	DL-8975-YD	445000	2011-11-25					False	False	11	834	2	House	House	1	3	903
163809	YJ-1227-PW	665000	2019-12-17	LJH Tuggeranong	440	2011		False	False	13	833	2	House	House	3	4	
163810	KT-1933-SB	165000	2000-06-27					False	False	12	833		House	House			715
163811	KG-6877-PU	200000	2002-07-03					False	False	10	833		House	House			773
163812	NB-6044-KO							False	False				House	House			
163813	GX-7348-SW							False	False				House	House			
163814	YN-8092-FT	475000	2013-03-28					False	False	6	835		House	House			816
163815	FD-3400-IZ							False	False				House	House			
163816	FE-8373-IT							False	False				House	House			
163817	ZJ-0634-FH	445000	2009-12-04					False	False	2	834	4	House	House	2	3	839
163818	FF-0693-BZ							False	False				House	House			
163819	CL-1697-EN							False	False				House	House			
163820	AC-9188-ID							False	False				House	House			
163821	GT-8868-GJ							False	False				House	House			
163822	OZ-3889-WZ							False	False				House	House			
163823	MC-8823-UI	140000	1993-09-22					False	False	4	834		House	House		3	787
163826	JA-6594-YW							False	False				House	House			
163827	LR-9170-SG							False	False				House	House			
163828	AE-4594-OX							False	False				House	House			
163829	YH-0978-SE							False	False				House	House			
163830	AQ-4369-KW							False	False				House	House			
163831	KY-5341-YO							False	False				House	House			
163832	QH-3548-JM							False	False				House	House			
163833	AS-0176-WC							False	False				House	House			
163834	AK-0118-DV							False	False				House	House			
163835	KC-0202-KI							False	False				House	House			
163836	PQ-5651-HX							False	False				House	House			
163837	IE-0558-GO							False	False				House	House			
163838	OB-3924-QV							False	False				House	House			
163839	BL-7960-TX							False	False				House	House			
163840	OE-2269-MH							False	False				House	House			
163841	BR-9636-UH							False	False				House	House			
163842	ZY-3684-NB							False	False				House	House			
163843	ER-2836-NY							False	False				House	House			
163844	CU-0598-RB							False	False				House	House			
163845	ZX-8678-EW							False	False				House	House			
163846	ZX-5648-QX							False	False				House	House			
163847	ET-1196-OW							False	False				House	House			
163848	CQ-3276-ET							False	False				House	House			
163849	NH-0819-BO							False	False				House	House			
163850	ZV-0338-IS							False	False				House	House			
163851	GM-5495-QK							False	False				House	House			
163852	ZH-7768-NS							False	False				House	House			
163853	ZH-0711-PB							False	False				House	House			
163854	IW-7757-HO							False	False				House	House			
163855	XO-8607-MA							False	False				House	House			
163856	PV-6962-UI							False	False				House	House			
163857	WO-2973-AE							False	False				House	House			
163858	WX-2895-MQ							False	False				House	House			
163859	KB-9044-EG							False	False				House	House			
163860	VO-0401-MA							False	False				House	House			
163861	OZ-6823-CM							False	False				House	House			
163862	OU-9856-NN							False	False				House	House			
163863	UF-1544-YJ							False	False				House	House			
163864	SC-4570-IG							False	False				House	House			
163865	GP-1367-SQ							False	False				House	House			
163866	HP-6879-VT							False	False				House	House			
163867	BI-5746-ER							False	False				House	House			
163868	FD-8421-DF							False	False			2	House	Villa	1	2	
163869	RY-6163-MA							False	False				House	House			
163870	CL-9857-JR							False	False			1	House	Villa	1	2	
163871	EO-1577-AP							False	False				House	House			
163872	FW-4694-HS							False	False				House	House			
163873	CL-7582-HX							False	False			1	House	Villa	2	2	
163874	IS-2104-CQ							False	False				House	House			
163875	LX-6066-EB							False	False				House	House			
163876	NV-1243-LA							False	False				House	House			
163877	CE-7229-NR							False	False			1	House	Villa	2	2	
163878	XU-4262-XM							False	False				House	House			
163879	MK-5709-DZ							False	False				House	House			
163880	QG-0734-DY							False	False				House	House			
163881	VU-1553-BW							False	False				House	House			
163882	VT-4340-NU							False	False				House	House			
163883	BQ-5587-JL							False	False				House	House			
163884	IG-3838-EW							False	False				House	House			
163885	IM-6688-WI							False	False				House	House			
163886	IK-8411-SF							False	False				House	House			
163887	UV-0938-ID							False	False				House	House			
163888	IH-4825-AD							False	False				House	House			
163889	IG-2553-EZ							False	False				House	House			
163890	HI-7820-JX							False	False				House	House			
163891	HH-2519-MJ							False	False				House	House			
163892	IC-7663-EX							False	False				House	House			
163893	HW-6502-KH							False	False				House	House			
163894	QT-5040-UG							False	False				House	House			
163895	ND-2172-PW							False	False				House	House			
163896	GU-2121-JR							False	False				House	House			
163897	GY-0403-CA							False	False				House	House			
163898	SG-6696-QS							False	False				House	House			
163899	RV-0255-DG							False	False				House	House			
163900	RV-8433-PH							False	False				House	House			
