StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
165583	Sale	14128	LJH Tuggeranong	2010-10-05T00:00:00		AUCTION - SOLD PRIOR	
165584	Sale	2003-07-18T00:00:00	63333	PRIVATE TREATY			
165584	Sale	1997-10-22T00:00:00	80000	PRIVATE TREATY			
165587	Sale		Colin McIntyre Property - Chisholm	2010-06-14T00:00:00		Listed - not sold	37.0
165587	Sale	2000-08-30T00:00:00	100500	PRIVATE TREATY			
165593	Sale	2004-08-09T00:00:00	265000	PRIVATE TREATY			
165593	Sale	2000-10-03T00:00:00	105000	PRIVATE TREATY			
165594	Sale		Paradime Calwell	2002-03-21T00:00:00	175000.0	PRIVATE TREATY	33.0
165594	Sale	2000-09-13T00:00:00	100000	PRIVATE TREATY			
165594	Sale	1997-05-13T00:00:00	82000	PRIVATE TREATY			
165595	Sale	2009-07-27T00:00:00	355000	PRIVATE TREATY			
165595	Sale	2003-10-22T00:00:00	275000	PRIVATE TREATY			
165595	Sale	2001-08-15T00:00:00	145000	PRIVATE TREATY			
165595	Sale	1997-05-16T00:00:00	80000	PRIVATE TREATY			
165601	Sale		CIVIUM - Build Develop Create	2015-10-29T00:00:00	442000.0	PRIVATE TREATY	30.0
165601	Sale		LJH Tuggeranong	2010-09-21T00:00:00	380000.0	PRIVATE TREATY	
165601	Sale	2006-03-14T00:00:00	310000	PRIVATE TREATY			
165601	Sale	2004-05-05T00:00:00	274000	PRIVATE TREATY	186.0		
165601	Sale	1995-03-10T00:00:00	98000	PRIVATE TREATY			
165603	Sale	1998-09-29T00:00:00	124000	PRIVATE TREATY			
165604	Sale	2012-08-01T00:00:00	467000	PRIVATE TREATY			
165604	Sale	1994-06-24T00:00:00	135750	PRIVATE TREATY			
165606	Sale	14128	LJH Tuggeranong	2008-09-17T00:00:00	400000.0	PRIVATE TREATY	47.0
165606	Sale	2004-06-16T00:00:00	160000	PRIVATE TREATY			
165608	Sale		RW Queanbeyan/Jerrabomberra	2012-11-19T00:00:00	470000.0	PRIVATE TREATY	74.0
165608	Sale	2009-04-20T00:00:00	410000	PRIVATE TREATY			
165608	Rental	7750	Strictly Rentals	2008-06-11T00:00:00	410.0	PER WEEK	14.0
165608	Sale	2004-10-06T00:00:00	155000	PRIVATE TREATY			
165608	Sale	1992-05-08T00:00:00	156500	PRIVATE TREATY			
165609	Sale	14109	LJ Hooker Gungahlin	2017-04-19T00:00:00	575000.0	Listed - not sold	132.0
165610	Sale	1999-03-11T00:00:00	136000	PRIVATE TREATY			
165610	Sale	1992-04-14T00:00:00	157000	PRIVATE TREATY			
165612	Sale		LJH Tuggeranong	2004-07-13T00:00:00	305000.0	PRIVATE TREATY	87.0
165613	Sale	1997-07-31T00:00:00	95161	PRIVATE TREATY			
165614	Sale		Luton Properties Canberra City	2018-02-10T00:00:00	586000.0	AUCTION	
165614	Sale		LJH Tuggeranong	2009-03-25T00:00:00	350000.0	PRIVATE TREATY	13.0
165614	Sale	1995-12-08T00:00:00	124000	PRIVATE TREATY			
165615	Sale	14367	Wright Dunn Real Estate 	2011-10-25T00:00:00	435000.0	PRIVATE TREATY	31.0
165615	Sale	2008-02-26T00:00:00	409500	PRIVATE TREATY	38.0		
165615	Sale	1995-03-06T00:00:00	135000	PRIVATE TREATY			
165617	Sale	24771	One Agency Don McPherson	2018-05-14T00:00:00	532000.0	PRIVATE TREATY	67.0
165618	Sale	2019-10-10T00:00:00	315000	PRIVATE TREATY			
165618	Sale	2000-08-21T00:00:00	135000	PRIVATE TREATY	37.0		
165618	Sale	1992-08-18T00:00:00	135000	PRIVATE TREATY			
165619	Rental	14615	Colin McIntyre Property - Chisholm	2011-06-22T00:00:00	500.0	PER WEEK	9.0
165619	Sale		LJH Tuggeranong	2009-04-18T00:00:00	380000.0	PRIVATE TREATY	7.0
165619	Rental	14128	LJH Tuggeranong	2009-03-17T00:00:00	430.0	PER WEEK	42.0
165619	Sale	2007-02-22T00:00:00	311500	PRIVATE TREATY			
165619	Sale	2006-07-17T00:00:00	310000	PRIVATE TREATY			
165619	Sale	1999-03-17T00:00:00	123000	PRIVATE TREATY			
165621	Sale	14615	Colin McIntyre Property - Chisholm	2012-06-29T00:00:00	425000.0	PRIVATE TREATY	161.0
165622	Sale		Luton Properties Gungahlin	2018-10-27T00:00:00	607000.0	AUCTION	
165622	Sale		Richard Luton Belconnen	2006-03-25T00:00:00	398000.0	Listed - not sold	
165622	Sale		Cec Hodgkinson Tuggernong	2004-01-24T00:00:00	349000.0	Listed - not sold	56.0
165624	Sale	10312	Luton Properties Tuggeranong CRE	2017-10-16T00:00:00	464000.0	PRIVATE TREATY	23.0
165624	Sale		LJH Tuggeranong	2005-07-23T00:00:00	299000.0	Listed - not sold	
165624	Sale	2003-03-05T00:00:00	175000	PRIVATE TREATY			
165626	Sale	19011	McGrath Woden Property Management	2017-10-03T00:00:00	495000.0	PRIVATE TREATY	39.0
165626	Sale	2013-07-30T00:00:00	426000	PRIVATE TREATY			
165627	Sale		John Roden Real Estate	2007-07-27T00:00:00	360000.0	PRIVATE TREATY	12.0
165629	Sale	1991-01-23T00:00:00	91000	PRIVATE TREATY			
165630	Sale	2017-02-15T00:00:00	498000	PRIVATE TREATY			
165632	Sale		Laurrie Scheele Real Estate	2018-03-20T00:00:00	445000.0	AUCTION	
165633	Sale	16565	McIntyre Property	2017-10-16T00:00:00	436000.0	PRIVATE TREATY	26.0
165633	Sale	2007-11-27T00:00:00	364990	PRIVATE TREATY	19.0		
165633	Sale	2006-01-13T00:00:00	260000	PRIVATE TREATY	34.0		
165633	Sale	1998-06-26T00:00:00	81000	PRIVATE TREATY			
165635	Sale	2009-10-21T00:00:00	391000	PRIVATE TREATY			
165635	Sale	2005-03-04T00:00:00	290000	PRIVATE TREATY			
165635	Sale	1998-12-01T00:00:00	122000	PRIVATE TREATY			
165635	Sale	1995-11-10T00:00:00	123500	PRIVATE TREATY			
165635	Sale	1993-06-02T00:00:00	132000	PRIVATE TREATY			
165638	Rental	11155	Luton Properties - Weston Creek and Molonglo Valley	2015-06-07T00:00:00	410.0	PER WEEK	12.0
165638	Sale	15357	Civium Property Group	2015-03-17T00:00:00	401000.0	PRIVATE TREATY	20.0
165638	Sale	2009-08-19T00:00:00	367000	PRIVATE TREATY			
165638	Sale	2007-04-06T00:00:00	300000	PRIVATE TREATY	38.0		
165638	Sale	1995-07-28T00:00:00	117000	PRIVATE TREATY			
165638	Sale	1992-01-22T00:00:00	105000	PRIVATE TREATY			
165639	Sale	2000-08-14T00:00:00	120000	PRIVATE TREATY			
165639	Sale	1992-07-21T00:00:00	60000	PRIVATE TREATY			
165641	Sale	2011-08-09T00:00:00	447000	PRIVATE TREATY			
165641	Sale		LJH Tuggeranong	2009-11-30T00:00:00	432000.0	PRIVATE TREATY	30.0
165641	Sale	2002-04-10T00:00:00	179000	PRIVATE TREATY			
165644	Sale	1991-10-30T00:00:00	115000	PRIVATE TREATY			
165645	Rental		Philip Kouvelis Real estate	2011-09-20T00:00:00		PER WEEK	
165645	Sale	14615	Colin McIntyre Property - Chisholm	2010-12-23T00:00:00	430000.0	PRIVATE TREATY	26.0
165645	Sale	2005-01-17T00:00:00	205000	PRIVATE TREATY			
165645	Sale	2002-09-02T00:00:00	200000	PRIVATE TREATY			
165645	Sale	2000-07-19T00:00:00	129950	PRIVATE TREATY			
165646	Sale		Leggetts Real Estate	2003-05-17T00:00:00	320000.0	Listed - not sold	
165646	Sale	1999-12-22T00:00:00	156000	PRIVATE TREATY			
165646	Sale	1993-11-29T00:00:00	138500	PRIVATE TREATY			
165647	Sale	10312	Luton Properties Tuggeranong CRE	2019-01-15T00:00:00	612000.0	PRIVATE TREATY	40.0
165647	Sale	2013-04-30T00:00:00	470000	PRIVATE TREATY			
165647	Sale	2007-08-07T00:00:00	345000	PRIVATE TREATY			
165647	Rental	5795	Maloney's the Estate Agent	2006-05-18T00:00:00	325.0	PER WEEK	14.0
165647	Sale	1993-06-24T00:00:00	134950	PRIVATE TREATY			
165649	Sale	1992-02-24T00:00:00	120000	PRIVATE TREATY			
165652	Sale	2007-07-06T00:00:00	387500	PRIVATE TREATY			
165653	Sale	31430	Hayman Partners	2019-07-29T00:00:00	620000.0	PRIVATE TREATY	24.0
165653	Sale		LJH Tuggeranong	2009-06-13T00:00:00	410000.0	AUCTION	
165653	Sale	2002-02-18T00:00:00	102500	PRIVATE TREATY			
165653	Sale	1999-12-13T00:00:00	160000	PRIVATE TREATY			
165655	Sale		LJH Tuggeranong	2015-02-14T00:00:00	505000.0	AUCTION	
165656	Sale	16565	McIntyre Property	2018-11-09T00:00:00	568000.0	PRIVATE TREATY	36.0
165656	Rental	16565	McIntyre Property	2016-11-30T00:00:00	450.0	PER WEEK	15.0
165656	Sale	2008-09-25T00:00:00	370000	PRIVATE TREATY	147.0		
165656	Sale	2002-08-23T00:00:00	210000	PRIVATE TREATY	20.0		
165656	Sale	2001-07-25T00:00:00	163000	PRIVATE TREATY			
165656	Sale	2000-11-27T00:00:00	20000	PRIVATE TREATY			
165656	Sale	1995-09-22T00:00:00	125000	PRIVATE TREATY			
165657	Sale	1998-03-06T00:00:00	172000	PRIVATE TREATY			
165658	Rental	15357	Civium Property Group	2019-07-26T00:00:00	480.0	PER WEEK	2.0
165658	Rental	15357	Civium Property Group	2017-07-26T00:00:00	460.0	PER WEEK	3.0
165658	Rental		Bertram Ellis	2010-11-03T00:00:00	420.0	PER WEEK	14.0
165658	Rental		Bertram Ellis	2009-02-05T00:00:00	385.0	PER WEEK	7.0
165658	Sale	1993-12-21T00:00:00	132500	PRIVATE TREATY			
165659	Sale		PBR Woden	2004-02-21T00:00:00	339000.0	Listed - not sold	112.0
165659	Sale	1999-01-22T00:00:00	121000	PRIVATE TREATY			
165659	Sale	1992-01-14T00:00:00	128000	PRIVATE TREATY			
165661	Rental	25465	Independent Property Management	2020-01-23T00:00:00	0.0	PER WEEK	20.0
165661	Sale		Independent Tuggeranong	2019-12-07T00:00:00	647000.0	AUCTION	
165661	Sale		Richard Luton Dickson	2009-09-30T00:00:00	425000.0	PRIVATE TREATY	25.0
165661	Sale	2003-09-19T00:00:00	278150	PRIVATE TREATY			
165662	Sale	10312	Luton Properties Tuggeranong CRE	2012-07-24T00:00:00	481000.0	PRIVATE TREATY	25.0
165662	Sale	2002-12-11T00:00:00	280000	PRIVATE TREATY			
165662	Sale	1994-06-02T00:00:00	191000	PRIVATE TREATY			
165664	Sale	2005-09-13T00:00:00	302000	PRIVATE TREATY			
165665	Sale	7813	Lanyon Real Estate	2008-02-04T00:00:00	340000.0	PRIVATE TREATY	45.0
165665	Sale	1993-02-05T00:00:00	108000	PRIVATE TREATY			
165667	Sale	2001-07-24T00:00:00	145000	PRIVATE TREATY			
165668	Sale		LJH Tuggeranong	2011-01-25T00:00:00	445000.0	PRIVATE TREATY	
165668	Sale	2002-07-10T00:00:00	187000	PRIVATE TREATY			
165668	Sale	1993-06-16T00:00:00	118000	PRIVATE TREATY			
165669	Sale	2005-07-18T00:00:00	296500	PRIVATE TREATY			
165669	Sale	2002-05-07T00:00:00	170000	PRIVATE TREATY			
165670	Sale	2017-02-07T00:00:00	600000	PRIVATE TREATY			
165670	Sale	2013-10-30T00:00:00	305850	PRIVATE TREATY			
