StreetAddressID	POI	Distance
166794	City GPO	3.3
166794	Major Shopping Centre - Calwell Shops	1.8
166794	Hospital - The Canberra Hospital	11.5
166794	Primary School - Theodore Primary	0.3
166794	High School - Calwell High School, Calwell	1.1
166794	College - Mackillop College	4.0
166794	University - Australian National University	18.6
166795	City GPO	3.3
166795	Major Shopping Centre - Calwell Shops	1.8
166795	Hospital - The Canberra Hospital	11.6
166795	Primary School - Theodore Primary	0.3
166795	High School - Calwell High School, Calwell	1.1
166795	College - Mackillop College	4.0
166795	University - Australian National University	18.7
166796	City GPO	3.3
166796	Major Shopping Centre - Calwell Shops	1.8
166796	Hospital - The Canberra Hospital	11.5
166796	Primary School - Theodore Primary	0.3
166796	High School - Calwell High School, Calwell	1.1
166796	College - Mackillop College	4.0
166796	University - Australian National University	18.6
166797	City GPO	3.3
166797	Major Shopping Centre - Calwell Shops	1.8
166797	Hospital - The Canberra Hospital	11.6
166797	Primary School - Theodore Primary	0.3
166797	High School - Calwell High School, Calwell	1.1
166797	College - Mackillop College	4.0
166797	University - Australian National University	18.7
166798	City GPO	3.3
166798	Major Shopping Centre - Calwell Shops	1.8
166798	Hospital - The Canberra Hospital	11.5
166798	Primary School - Theodore Primary	0.3
166798	High School - Calwell High School, Calwell	1.1
166798	College - Mackillop College	4.0
166798	University - Australian National University	18.6
166799	City GPO	3.3
166799	Major Shopping Centre - Calwell Shops	1.8
166799	Hospital - The Canberra Hospital	11.5
166799	Primary School - Theodore Primary	0.3
166799	High School - Calwell High School, Calwell	1.1
166799	College - Mackillop College	4.0
166799	University - Australian National University	18.6
166800	City GPO	3.3
166800	Major Shopping Centre - Calwell Shops	1.8
166800	Hospital - The Canberra Hospital	11.5
166800	Primary School - Theodore Primary	0.3
166800	High School - Calwell High School, Calwell	1.1
166800	College - Mackillop College	4.0
166800	University - Australian National University	18.6
166801	City GPO	3.2
166801	Major Shopping Centre - Calwell Shops	1.8
166801	Hospital - The Canberra Hospital	11.6
166801	Primary School - Theodore Primary	0.2
166801	High School - Calwell High School, Calwell	1.1
166801	College - Mackillop College	4.0
166801	University - Australian National University	18.7
166802	City GPO	3.1
166802	Major Shopping Centre - Calwell Shops	1.8
166802	Hospital - The Canberra Hospital	11.7
166802	Primary School - Theodore Primary	0.2
166802	High School - Calwell High School, Calwell	1.1
166802	College - Mackillop College	4.0
166802	University - Australian National University	18.8
166803	City GPO	3.1
166803	Major Shopping Centre - Calwell Shops	1.8
166803	Hospital - The Canberra Hospital	11.6
166803	Primary School - Theodore Primary	0.1
166803	High School - Calwell High School, Calwell	1.1
166803	College - Mackillop College	3.9
166803	University - Australian National University	18.7
166804	City GPO	3.1
166804	Major Shopping Centre - Calwell Shops	1.8
166804	Hospital - The Canberra Hospital	11.6
166804	Primary School - Theodore Primary	0.2
166804	High School - Calwell High School, Calwell	1.1
166804	College - Mackillop College	4.0
166804	University - Australian National University	18.8
166805	City GPO	3.1
166805	Major Shopping Centre - Calwell Shops	1.8
166805	Hospital - The Canberra Hospital	11.6
166805	Primary School - Theodore Primary	0.1
166805	High School - Calwell High School, Calwell	1.1
166805	College - Mackillop College	3.9
166805	University - Australian National University	18.7
166806	City GPO	3.1
166806	Major Shopping Centre - Calwell Shops	1.8
166806	Hospital - The Canberra Hospital	11.6
166806	Primary School - Theodore Primary	0.2
166806	High School - Calwell High School, Calwell	1.1
166806	College - Mackillop College	4.0
166806	University - Australian National University	18.8
166807	City GPO	3.1
166807	Major Shopping Centre - Calwell Shops	1.8
166807	Hospital - The Canberra Hospital	11.6
166807	Primary School - Theodore Primary	0.1
166807	High School - Calwell High School, Calwell	1.0
166807	College - Mackillop College	3.9
166807	University - Australian National University	18.7
166808	City GPO	3.2
166808	Major Shopping Centre - Calwell Shops	1.9
166808	Hospital - The Canberra Hospital	11.6
166808	Primary School - Theodore Primary	0.2
166808	High School - Calwell High School, Calwell	1.1
166808	College - Mackillop College	4.0
166808	University - Australian National University	18.8
166809	City GPO	3.2
166809	Major Shopping Centre - Calwell Shops	1.8
166809	Hospital - The Canberra Hospital	11.6
166809	Primary School - Theodore Primary	0.2
166809	High School - Calwell High School, Calwell	1.1
166809	College - Mackillop College	3.9
166809	University - Australian National University	18.7
166810	City GPO	3.3
166810	Major Shopping Centre - Calwell Shops	1.4
166810	Hospital - The Canberra Hospital	11.1
166810	Primary School - Theodore Primary	0.4
166810	High School - Calwell High School, Calwell	0.8
166810	College - Mackillop College	3.6
