StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
166795	2020-02-05T19:29:12.873	High	500000	580000	660000	478	0.0475	Unknown	Unknown
166796	2020-02-05T19:29:12.873	High	475000	555000	635000	478	0.0445	Unknown	Unknown
166797	2020-02-05T19:29:12.873	High	480000	560000	640000	478	0.0445	Unknown	Unknown
166798	2019-08-20T00:00:00	RecentlySold	535000	535000	535000	478	0.0475	Unknown	Unknown
166799	2020-02-05T19:29:12.873	High	485000	565000	645000	478	0.0475	Unknown	Unknown
166800	2020-01-09T10:24:26.003	High	445000	520000	595000	478	0.0475	Unknown	Unknown
166801	2020-02-05T19:29:12.873	High	605000	695000	785000			Unknown	Unknown
166802	2019-11-21T00:00:00	RecentlySold	670000	670000	670000	478	0.0445	Unknown	Unknown
166803	2020-02-05T19:29:12.873	High	510000	590000	670000			Unknown	Unknown
166804	2020-02-05T19:29:12.873	High	575000	675000	775000			Unknown	Unknown
166805	2020-02-05T19:29:12.873	High	560000	655000	750000	478	0.0445	Unknown	Unknown
166806	2020-02-05T19:29:12.873	High	480000	560000	640000			Unknown	Unknown
166807	2020-02-05T19:29:12.873	High	570000	660000	750000	478	0.0445	Unknown	Unknown
166808	2020-02-05T19:29:12.873	High	585000	685000	785000	478	0.0445	Unknown	Unknown
166809	2020-02-05T19:29:12.873	High	550000	640000	730000	478	0.0445	Unknown	Unknown
166810	2020-02-05T19:29:12.873	High	575000	670000	765000			Unknown	Unknown
166811	2020-01-15T12:14:29.21	High	480000	560000	640000	478	0.0475	Unknown	Unknown
166812	2020-02-05T19:29:12.873	High	520000	610000	700000	478	0.0445	Unknown	Unknown
166813	2020-02-05T19:29:12.873	High	495000	580000	665000	478	0.0445	Unknown	Unknown
166814	2020-02-05T19:29:12.873	High	465000	540000	615000	478	0.0475	Unknown	Unknown
166815	2020-02-05T19:29:12.873	High	495000	580000	665000	478	0.0445	Unknown	Unknown
166816	2020-02-05T19:29:12.873	High	510000	590000	670000	478	0.0445	Unknown	Unknown
166817	2020-02-05T19:29:12.873	High	480000	560000	640000	478	0.0445	Unknown	Unknown
166818	2020-02-05T19:29:12.873	High	480000	560000	640000	478	0.0445	Unknown	Unknown
166819	2020-01-15T12:14:29.21	High	470000	550000	630000	478	0.0445	Unknown	Unknown
166820								Unknown	Unknown
166821	2020-02-05T19:29:12.873	High	370000	430000	490000			Unknown	Unknown
166822	2020-02-05T19:29:12.873	High	360000	415000	470000			Unknown	Unknown
166823	2020-02-05T19:29:12.873	High	355000	415000	475000	478	0.0475	Unknown	Unknown
166824	2020-02-05T19:29:12.873	High	540000	630000	720000	478	0.0445	Unknown	Unknown
166825	2020-02-05T19:29:12.873	High	585000	685000	785000			Unknown	Unknown
166826	2020-02-05T19:29:12.873	High	550000	645000	740000			Unknown	Unknown
166827	2020-02-05T19:29:12.873	High	580000	680000	780000	478	0.0445	Unknown	Unknown
166828	2020-02-05T19:29:12.873	High	520000	600000	680000	478	0.0475	Unknown	Unknown
166829	2020-02-05T19:29:12.873	High	595000	695000	795000	478	0.0475	Unknown	Unknown
166830	2020-02-05T19:29:12.873	High	550000	645000	740000	478	0.0475	Unknown	Unknown
166831	2020-02-05T19:29:12.873	High	585000	685000	785000			Unknown	Unknown
166832	2020-02-05T19:29:12.873	High	540000	630000	720000	478	0.0445	Unknown	Unknown
166834	2020-02-12T17:27:27.64	High	445000	520000	595000	478	0.0475	Unknown	Unknown
166835	2020-02-05T19:29:12.873	High	570000	660000	750000	478	0.0445	Unknown	Unknown
166836	2020-02-05T19:29:12.873	High	380000	440000	500000			Unknown	Unknown
166837	2020-02-12T17:27:27.64	High	330000	385000	440000			Unknown	Unknown
166838	2020-02-12T17:27:27.64	High	440000	520000	600000			Unknown	Unknown
166839	2020-02-05T19:29:12.873	High	550000	640000	730000	478	0.0445	Unknown	Unknown
166840	2020-01-09T10:24:26.003	High	490000	575000	660000	478	0.0475	Unknown	Unknown
166841	2020-02-05T19:29:12.873	High	560000	655000	750000	478	0.0475	Unknown	Unknown
166842	2020-01-09T10:24:26.003	Medium	510000	590000	670000	478	0.0445	Unknown	Unknown
166843	2020-01-09T10:24:26.003	High	530000	620000	710000	478	0.0445	Unknown	Unknown
166845	2020-02-05T19:29:12.873	High	560000	655000	750000			Unknown	Unknown
166846	2020-02-05T19:29:12.873	High	345000	400000	455000			Unknown	Unknown
166847	2020-02-05T19:29:12.873	High	570000	665000	760000			Unknown	Unknown
166848	2020-02-05T19:29:12.873	High	530000	620000	710000	478	0.0445	Unknown	Unknown
