StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
170434	2020-02-12T17:27:27.64	High	340000	395000	450000			Unknown	Unknown
170435	2020-02-05T19:29:12.873	High	520000	610000	700000	495	0.038	Unknown	Unknown
170436	2020-02-05T19:29:12.873	High	520000	600000	680000	495	0.038	Unknown	Unknown
170437	2020-02-05T19:29:12.873	High	440000	510000	580000	485	0.0509	Unknown	Unknown
170438	2020-02-05T19:29:12.873	High	505000	585000	665000	495	0.038	Unknown	Unknown
170439								Unknown	Unknown
170440								Unknown	Unknown
170441	2020-02-05T19:29:12.873	High	560000	650000	740000			Unknown	Unknown
170442	2020-02-05T19:29:12.873	High	465000	545000	625000	485	0.0509	Unknown	Unknown
170443	2019-12-12T00:45:20.067	High	340000	395000	450000			Unknown	Unknown
170444	2020-02-05T19:29:12.873	High	485000	545000	605000	485	0.0509	Unknown	Unknown
170445	2020-02-05T19:29:12.873	High	475000	545000	615000	485	0.0509	Unknown	Unknown
170446	2020-02-05T19:29:12.873	High	485000	565000	645000	485	0.0509	Unknown	Unknown
170447								Unknown	Unknown
170448	2020-02-05T19:29:12.873	High	465000	545000	625000	495	0.038	Unknown	Unknown
170449	2020-02-05T19:29:12.873	High	485000	555000	625000	485	0.0509	Unknown	Unknown
170450	2020-02-05T19:29:12.873	High	460000	535000	610000	485	0.0509	Unknown	Unknown
170451	2020-02-05T19:29:12.873	High	490000	575000	660000	485	0.0509	Unknown	Unknown
170452	2020-02-05T19:29:12.873	High	500000	585000	670000			Unknown	Unknown
170453	2020-02-05T19:29:12.873	High	495000	565000	635000	485	0.0509	Unknown	Unknown
170454	2020-02-05T19:29:12.873	High	460000	545000	630000	495	0.038	Unknown	Unknown
170455	2020-02-05T19:29:12.873	High	500000	580000	660000	495	0.038	Unknown	Unknown
170456	2020-02-05T19:29:12.873	High	510000	590000	670000	495	0.038	Unknown	Unknown
170457	2020-02-05T19:29:12.873	High	460000	535000	610000	495	0.038	Unknown	Unknown
170458	2020-01-15T12:14:29.21	High	490000	575000	660000			Unknown	Unknown
170459	2020-02-05T19:29:12.873	High	495000	565000	635000	485	0.0509	Unknown	Unknown
170460								Unknown	Unknown
170461	2020-02-05T19:29:12.873	High	460000	535000	610000	495	0.038	Unknown	Unknown
170462	2020-02-05T19:29:12.873	High	520000	610000	700000	495	0.038	Unknown	Unknown
170463	2020-02-05T19:29:12.873	High	555000	650000	745000			Unknown	Unknown
170464	2020-02-05T19:29:12.873	High	520000	610000	700000	495	0.038	Unknown	Unknown
