StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
172705								Unknown	Unknown
172706	2020-02-05T19:29:12.873	High	570000	660000	750000	470	0.0455	Unknown	Unknown
172707	2020-02-05T19:29:12.873	High	550000	640000	730000	470	0.0455	Unknown	Unknown
172708	2020-02-05T19:29:12.873	High	550000	640000	730000	470	0.0455	Unknown	Unknown
172709	2020-02-05T19:29:12.873	High	550000	640000	730000	470	0.0455	Unknown	Unknown
172710	2020-02-05T19:29:12.873	High	550000	640000	730000	470	0.0455	Unknown	Unknown
172711	2020-02-05T19:29:12.873	High	630000	730000	830000	608	0.0452	Unknown	Unknown
172712	2020-02-05T19:29:12.873	High	570000	660000	750000	470	0.0455	Unknown	Unknown
172713	2019-11-07T03:53:22.2118711Z	Medium	545000	630000	715000	608	0.0452	Unknown	Unknown
172714	2020-02-05T19:29:12.873	High	620000	720000	820000	608	0.0452	Unknown	Unknown
172715	2020-02-05T19:29:12.873	High	610000	710000	810000	608	0.0452	Unknown	Unknown
172716	2020-02-05T19:29:12.873	High	600000	705000	810000	470	0.0455	Unknown	Unknown
172717	2020-02-05T19:29:12.873	High	620000	725000	830000	608	0.0452	Unknown	Unknown
172718	2020-02-05T19:29:12.873	High	620000	725000	830000	608	0.0452	Unknown	Unknown
172719	2020-02-05T19:29:12.873	High	610000	715000	820000	608	0.0452	Unknown	Unknown
172720	2020-02-05T19:29:12.873	High	605000	695000	785000	470	0.0455	Unknown	Unknown
172721	2020-02-05T19:29:12.873	High	605000	705000	805000	608	0.0452	Unknown	Unknown
172722	2020-02-12T17:27:27.64	High	605000	705000	805000	470	0.0455	Unknown	Unknown
172723	2020-02-05T19:29:12.873	High	620000	720000	820000	608	0.0452	Unknown	Unknown
172724	2020-02-05T19:29:12.873	High	610000	715000	820000	470	0.0455	Unknown	Unknown
172725	2020-02-05T19:29:12.873	High	620000	725000	830000	470	0.0455	Unknown	Unknown
172726	2020-02-12T17:27:27.64	Medium	685000	795000	905000	470	0.0455	Unknown	Unknown
172727	2020-02-05T19:29:12.873	High	530000	620000	710000	470	0.0455	Unknown	Unknown
172728	2020-02-05T19:29:12.873	High	550000	635000	720000	450	0.0478	Unknown	Unknown
172729	2020-02-05T19:29:12.873	Low	450000	525000	600000	450	0.0478	Unknown	Unknown
172730	2020-02-05T19:29:12.873	Low	395000	460000	525000	450	0.0478	Unknown	Unknown
172731	2020-02-05T19:29:12.873	High	540000	630000	720000	450	0.0478	Unknown	Unknown
172732	2020-02-05T19:29:12.873	High	480000	560000	640000	450	0.0478	Unknown	Unknown
172733								Unknown	Unknown
172734								Unknown	Unknown
172735	2020-02-05T19:29:12.873	High	485000	570000	655000	450	0.0478	Unknown	Unknown
172736	2020-02-05T19:29:12.873	High	480000	560000	640000	450	0.0478	Unknown	Unknown
172737						470	0.0455	Unknown	Unknown
172738	2020-02-05T19:29:12.873	Medium	630000	730000	830000			Unknown	Unknown
172739						470	0.0455	Unknown	Unknown
172740						470	0.0455	Unknown	Unknown
172741	2020-02-05T19:29:12.873	Medium	440000	510000	580000	470	0.0455	Unknown	Unknown
172742	2020-02-05T19:29:12.873	Medium	615000	715000	815000	608	0.0452	Unknown	Unknown
172743	2020-02-05T19:29:12.873	Medium	705000	815000	925000	470	0.0455	Unknown	Unknown
172744	2020-02-05T19:29:12.873	Medium	590000	695000	800000	470	0.0455	Unknown	Unknown
172745	2020-02-12T17:27:27.64	High	645000	750000	855000	470	0.0455	Unknown	Unknown
172746	2020-02-05T19:29:12.873	Medium	590000	695000	800000	470	0.0455	Unknown	Unknown
172747	2020-02-05T19:29:12.873	High	485000	570000	655000	450	0.0478	Unknown	Unknown
172748	2020-02-05T19:29:12.873	High	420000	480000	540000	450	0.0478	Unknown	Unknown
172749	2020-02-05T19:29:12.873	High	420000	490000	560000	470	0.0455	Unknown	Unknown
172750	2020-02-05T19:29:12.873	High	420000	490000	560000	470	0.0455	Unknown	Unknown
172751	2019-08-31T15:03:09.3636972Z	Medium	410000	470000	530000	470	0.0455	Unknown	Unknown
172752	2020-02-05T19:29:12.873	High	430000	490000	550000	450	0.0478	Unknown	Unknown
172753	2020-02-05T19:29:12.873	High	450000	515000	580000	450	0.0478	Unknown	Unknown
172754	2020-02-12T17:27:27.64	High	430000	500000	570000	470	0.0455	Unknown	Unknown
172755	2020-02-05T19:29:12.873	High	435000	505000	575000	470	0.0455	Unknown	Unknown
172756	2020-02-05T19:29:12.873	High	425000	495000	565000	470	0.0455	Unknown	Unknown
172757	2020-02-05T19:29:12.873	High	530000	620000	710000	608	0.0452	Unknown	Unknown
172758	2020-02-05T19:29:12.873	High	440000	505000	570000	450	0.0478	Unknown	Unknown
172759	2020-02-05T19:29:12.873	High	420000	480000	540000	450	0.0478	Unknown	Unknown
172760	2020-02-05T19:29:12.873	High	420000	490000	560000	470	0.0455	Unknown	Unknown
172761	2020-02-05T19:29:12.873	High	420000	490000	560000	470	0.0455	Unknown	Unknown
172762	2020-02-05T19:29:12.873	High	420000	490000	560000	470	0.0455	Unknown	Unknown
172763						460	0.0576	Unknown	Unknown
172765						460	0.0576	Unknown	Unknown
172766						460	0.0576	Unknown	Unknown
172767						460	0.0576	Unknown	Unknown
172768						460	0.0576	Unknown	Unknown
172769						460	0.0576	Unknown	Unknown
172770						460	0.0576	Unknown	Unknown
172771						460	0.0576	Unknown	Unknown
172772						460	0.0576	Unknown	Unknown
172773						460	0.0576	Unknown	Unknown
172774						460	0.0576	Unknown	Unknown
172775	2020-02-05T19:29:12.873	High	650000	760000	870000	470	0.0455	Unknown	Unknown
172776						460	0.0576	Unknown	Unknown
172777	2020-02-05T19:29:12.873	High	630000	735000	840000	608	0.0452	Unknown	Unknown
172778						460	0.0576	Unknown	Unknown
172779						460	0.0576	Unknown	Unknown
172780	2020-02-05T19:29:12.873	High	650000	760000	870000	608	0.0452	Unknown	Unknown
172781						460	0.0576	Unknown	Unknown
172783						460	0.0576	Unknown	Unknown
172784						460	0.0576	Unknown	Unknown
172785						460	0.0576	Unknown	Unknown
172786	2020-02-05T19:29:12.873	High	620000	720000	820000			Unknown	Unknown
172787	2020-02-05T19:29:12.873	High	550000	640000	730000	450	0.0478	Unknown	Unknown
172788	2020-02-05T19:29:12.873	High	620000	720000	820000	608	0.0452	Unknown	Unknown
172789	2020-02-05T19:29:12.873	High	515000	600000	685000	450	0.0478	Unknown	Unknown
172790	2020-02-05T19:29:12.873	High	520000	610000	700000	470	0.0455	Unknown	Unknown
172791	2020-02-05T19:29:12.873	High	610000	710000	810000	608	0.0452	Unknown	Unknown
172792	2020-02-05T19:29:12.873	High	570000	660000	750000	470	0.0455	Unknown	Unknown
172793	2020-02-05T19:29:12.873	High	510000	600000	690000	470	0.0455	Unknown	Unknown
172794	2020-02-05T19:29:12.873	High	540000	630000	720000	470	0.0455	Unknown	Unknown
172795	2020-02-05T19:29:12.873	High	495000	580000	665000	450	0.0478	Unknown	Unknown
172796	2020-02-05T19:29:12.873	High	520000	610000	700000	470	0.0455	Unknown	Unknown
172797	2020-02-05T19:29:12.873	Medium	540000	630000	720000	470	0.0455	Unknown	Unknown
172798	2020-02-12T17:27:27.64	High	530000	620000	710000	470	0.0455	Unknown	Unknown
172799	2020-02-05T19:29:12.873	High	610000	710000	810000	608	0.0452	Unknown	Unknown
172800	2020-01-15T12:14:29.21	High	550000	630000	710000	450	0.0478	Unknown	Unknown
172801	2020-02-05T19:29:12.873	High	620000	720000	820000			Unknown	Unknown
172802	2020-02-05T19:29:12.873	High	550000	640000	730000	450	0.0478	Unknown	Unknown
172803	2020-02-05T19:29:12.873	High	530000	620000	710000	470	0.0455	Unknown	Unknown
172804	2020-02-05T19:29:12.873	High	575000	675000	775000	470	0.0455	Unknown	Unknown
172805	2020-02-05T19:29:12.873	High	595000	695000	795000	608	0.0452	Unknown	Unknown
172806	2020-02-05T19:29:12.873	High	595000	695000	795000	608	0.0452	Unknown	Unknown
172807	2020-02-05T19:29:12.873	High	500000	580000	660000	450	0.0478	Unknown	Unknown
172808	2020-02-05T19:29:12.873	High	570000	665000	760000	608	0.0452	Unknown	Unknown
172809	2020-02-05T19:29:12.873	High	575000	675000	775000	470	0.0455	Unknown	Unknown
172810								Unknown	Unknown
172811	2020-02-05T19:29:12.873	High	540000	630000	720000	470	0.0455	Unknown	Unknown
172812	2020-02-05T19:29:12.873	High	550000	640000	730000	470	0.0455	Unknown	Unknown
172813	2020-02-05T19:29:12.873	High	610000	710000	810000	608	0.0452	Unknown	Unknown
172814	2020-02-05T19:29:12.873	High	580000	670000	760000	470	0.0455	Unknown	Unknown
172815	2020-02-05T19:29:12.873	High	580000	670000	760000	470	0.0455	Unknown	Unknown
172816	2020-02-05T19:29:12.873	High	575000	675000	775000	470	0.0455	Unknown	Unknown
172817								Unknown	Unknown
172818	2020-02-05T19:29:12.873	High	710000	820000	930000	608	0.0452	Unknown	Unknown
172819	2020-02-05T19:29:12.873	High	705000	820000	935000	608	0.0452	Unknown	Unknown
172820	2020-02-05T19:29:12.873	High	685000	800000	915000	608	0.0452	Unknown	Unknown
172821	2020-02-05T19:29:12.873	Medium	605000	705000	805000	450	0.0478	Unknown	Unknown
172822	2020-02-05T19:29:12.873	High	640000	740000	840000	608	0.0452	Unknown	Unknown
172823	2020-02-05T19:29:12.873	High	580000	680000	780000	470	0.0455	Unknown	Unknown
172824	2020-02-05T19:29:12.873	High	590000	690000	790000	608	0.0452	Unknown	Unknown
172825	2020-02-05T19:29:12.873	High	580000	680000	780000	608	0.0452	Unknown	Unknown
172826	2020-02-05T19:29:12.873	High	580000	670000	760000	470	0.0455	Unknown	Unknown
172827	2020-02-05T19:29:12.873	High	580000	670000	760000	470	0.0455	Unknown	Unknown
172828	2020-02-05T19:29:12.873	High	580000	680000	780000	470	0.0455	Unknown	Unknown
172829	2020-02-05T19:29:12.873	High	570000	660000	750000	470	0.0455	Unknown	Unknown
172830	2020-02-05T19:29:12.873	High	600000	700000	800000	608	0.0452	Unknown	Unknown
172831	2020-02-05T19:29:12.873	High	585000	685000	785000	608	0.0452	Unknown	Unknown
172832	2020-02-05T19:29:12.873	High	575000	675000	775000	608	0.0452	Unknown	Unknown
172833	2020-02-05T19:29:12.873	High	580000	670000	760000	470	0.0455	Unknown	Unknown
172834	2020-02-05T19:29:12.873	High	575000	675000	775000	608	0.0452	Unknown	Unknown
172835	2020-02-05T19:29:12.873	High	580000	680000	780000	470	0.0455	Unknown	Unknown
172836	2020-02-05T19:29:12.873	High	570000	665000	760000	608	0.0452	Unknown	Unknown
172837								Unknown	Unknown
172838	2020-02-05T19:29:12.873	High	550000	640000	730000	470	0.0455	Unknown	Unknown
172839								Unknown	Unknown
172840	2020-02-05T19:29:12.873	High	625000	730000	835000	470	0.0455	Unknown	Unknown
172841	2020-02-05T19:29:12.873	High	620000	725000	830000	470	0.0455	Unknown	Unknown
172842	2019-11-15T00:00:00	RecentlySold	775000	775000	775000			Unknown	Unknown
172843	2020-02-05T19:29:12.873	High	605000	705000	805000	608	0.0452	Unknown	Unknown
172844	2020-02-05T19:29:12.873	High	625000	730000	835000	470	0.0455	Unknown	Unknown
172845	2020-02-05T19:29:12.873	High	620000	720000	820000	470	0.0455	Unknown	Unknown
172846						608	0.0452	Unknown	Unknown
172847	2020-02-05T19:29:12.873	High	625000	730000	835000	470	0.0455	Unknown	Unknown
172848	2020-02-05T19:29:12.873	High	590000	685000	780000	608	0.0452	Unknown	Unknown
172849	2020-02-05T19:29:12.873	High	705000	815000	925000	608	0.0452	Unknown	Unknown
172850								Unknown	Unknown
172851	2020-02-05T19:29:12.873	High	425000	485000	545000	470	0.0455	Unknown	Unknown
172852	2020-02-05T19:29:12.873	Medium	285000	335000	385000			Unknown	Unknown
