StreetAddressID	POI	Distance
176068	City GPO	3.4
176068	Major Shopping Centre - The Marketplace	3.2
176068	Hospital - Calvary Private Hospital	5.8
176068	Primary School - Palmerston District Primary	1.6
176068	High School - Burgmann Anglican School, Gungahlin	2.2
176068	College - Gungahlin College	3.0
176068	University - University Of Canberra, Bruce	4.6
176069	City GPO	3.4
176069	Major Shopping Centre - The Marketplace	3.2
176069	Hospital - Calvary Private Hospital	5.8
176069	Primary School - Palmerston District Primary	1.6
176069	High School - Burgmann Anglican School, Gungahlin	2.2
176069	College - Gungahlin College	3.0
176069	University - University Of Canberra, Bruce	4.6
176072	City GPO	3.3
176072	Major Shopping Centre - The Marketplace	3.2
176072	Hospital - Calvary Private Hospital	5.8
176072	Primary School - Palmerston District Primary	1.5
176072	High School - Burgmann Anglican School, Gungahlin	2.2
176072	College - Gungahlin College	3.0
176072	University - University Of Canberra, Bruce	4.7
176073	City GPO	3.5
176073	Major Shopping Centre - The Marketplace	3.3
176073	Hospital - Calvary Private Hospital	5.7
176073	Primary School - Palmerston District Primary	1.6
176073	High School - Burgmann Anglican School, Gungahlin	2.3
176073	College - Gungahlin College	3.1
176073	University - University Of Canberra, Bruce	4.5
176074	City GPO	3.5
176074	Major Shopping Centre - The Marketplace	3.3
176074	Hospital - Calvary Private Hospital	5.7
176074	Primary School - Palmerston District Primary	1.6
176074	High School - Burgmann Anglican School, Gungahlin	2.3
176074	College - Gungahlin College	3.1
176074	University - University Of Canberra, Bruce	4.5
176075	City GPO	3.3
176075	Major Shopping Centre - The Marketplace	3.1
176075	Hospital - Calvary Private Hospital	5.9
176075	Primary School - Palmerston District Primary	1.5
176075	High School - Burgmann Anglican School, Gungahlin	2.1
176075	College - Gungahlin College	2.9
176075	University - University Of Canberra, Bruce	4.7
176077	City GPO	3.3
176077	Major Shopping Centre - The Marketplace	3.1
176077	Hospital - Calvary Private Hospital	5.9
176077	Primary School - Palmerston District Primary	1.4
176077	High School - Burgmann Anglican School, Gungahlin	2.1
176077	College - Gungahlin College	2.9
176077	University - University Of Canberra, Bruce	4.7
176078	City GPO	3.3
176078	Major Shopping Centre - The Marketplace	3.1
176078	Hospital - Calvary Private Hospital	5.8
176078	Primary School - Palmerston District Primary	1.5
176078	High School - Burgmann Anglican School, Gungahlin	2.1
176078	College - Gungahlin College	2.9
176078	University - University Of Canberra, Bruce	4.7
176079	City GPO	3.3
176079	Major Shopping Centre - The Marketplace	3.1
176079	Hospital - Calvary Private Hospital	5.9
176079	Primary School - Palmerston District Primary	1.4
176079	High School - Burgmann Anglican School, Gungahlin	2.1
176079	College - Gungahlin College	2.9
176079	University - University Of Canberra, Bruce	4.7
176081	City GPO	3.2
176081	Major Shopping Centre - The Marketplace	3.1
176081	Hospital - Calvary Private Hospital	5.9
176081	Primary School - Palmerston District Primary	1.4
176081	High School - Burgmann Anglican School, Gungahlin	2.1
176081	College - Gungahlin College	2.9
176081	University - University Of Canberra, Bruce	4.7
176083	City GPO	3.2
176083	Major Shopping Centre - The Marketplace	3.1
176083	Hospital - Calvary Private Hospital	5.9
176083	Primary School - Palmerston District Primary	1.4
176083	High School - Burgmann Anglican School, Gungahlin	2.1
176083	College - Gungahlin College	2.9
176083	University - University Of Canberra, Bruce	4.7
176084	City GPO	3.2
176084	Major Shopping Centre - The Marketplace	3.1
176084	Hospital - Calvary Private Hospital	5.9
176084	Primary School - Palmerston District Primary	1.4
176084	High School - Burgmann Anglican School, Gungahlin	2.1
176084	College - Gungahlin College	2.9
176084	University - University Of Canberra, Bruce	4.7
176085	City GPO	3.2
176085	Major Shopping Centre - The Marketplace	3.0
176085	Hospital - Calvary Private Hospital	5.9
176085	Primary School - Palmerston District Primary	1.4
176085	High School - Burgmann Anglican School, Gungahlin	2.1
176085	College - Gungahlin College	2.9
176085	University - University Of Canberra, Bruce	4.7
176086	City GPO	3.2
176086	Major Shopping Centre - The Marketplace	3.1
176086	Hospital - Calvary Private Hospital	5.8
176086	Primary School - Palmerston District Primary	1.4
176086	High School - Burgmann Anglican School, Gungahlin	2.1
176086	College - Gungahlin College	2.9
176086	University - University Of Canberra, Bruce	4.7
176087	City GPO	3.2
176087	Major Shopping Centre - The Marketplace	3.0
176087	Hospital - Calvary Private Hospital	5.9
176087	Primary School - Palmerston District Primary	1.4
176087	High School - Burgmann Anglican School, Gungahlin	2.1
176087	College - Gungahlin College	2.9
176087	University - University Of Canberra, Bruce	4.7
176088	City GPO	3.2
176088	Major Shopping Centre - The Marketplace	3.1
176088	Hospital - Calvary Private Hospital	5.8
176088	Primary School - Palmerston District Primary	1.4
176088	High School - Burgmann Anglican School, Gungahlin	2.1
176088	College - Gungahlin College	2.9
176088	University - University Of Canberra, Bruce	4.7
176089	City GPO	3.2
176089	Major Shopping Centre - The Marketplace	3.0
176089	Hospital - Calvary Private Hospital	5.9
176089	Primary School - Palmerston District Primary	1.4
176089	High School - Burgmann Anglican School, Gungahlin	2.1
176089	College - Gungahlin College	2.8
176089	University - University Of Canberra, Bruce	4.7
176091	City GPO	3.2
176091	Major Shopping Centre - The Marketplace	3.0
176091	Hospital - Calvary Private Hospital	5.9
176091	Primary School - Palmerston District Primary	1.3
176091	High School - Burgmann Anglican School, Gungahlin	2.1
176091	College - Gungahlin College	2.8
176091	University - University Of Canberra, Bruce	4.7
176092	City GPO	3.2
176092	Major Shopping Centre - The Marketplace	3.0
176092	Hospital - Calvary Private Hospital	5.8
176092	Primary School - Palmerston District Primary	1.3
176092	High School - Burgmann Anglican School, Gungahlin	2.1
176092	College - Gungahlin College	2.9
176092	University - University Of Canberra, Bruce	4.7
176094	City GPO	3.4
176094	Major Shopping Centre - The Marketplace	3.3
176094	Hospital - Calvary Private Hospital	5.8
176094	Primary School - Palmerston District Primary	1.6
176094	High School - Burgmann Anglican School, Gungahlin	2.3
176094	College - Gungahlin College	3.1
176094	University - University Of Canberra, Bruce	4.6
176095	City GPO	3.4
