StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
176068	ZD-4347-VX	790000	2013-12-23					False	False	20	3	2	House	House	2	4	540
176069	WB-2935-JA	650000	2012-06-29	LJ Hooker Gungahlin	630	2017	67	True	False	21	3	2	House	House	2	4	450
176070	HA-6742-FN	289000	2012-10-19					False	False	1	3		House	House			671
176071	CW-7642-BL	805000	2011-12-23	LJ Hooker Belconnen	0	2019	26	True	False	2	3	2	House	House	2	4	690
176072	SB-2755-VJ	830000	2015-09-17					False	False			2	House	House	2	4	671
176073	EY-4259-FG							False	False			4	Commercial	Commercial			775
176074	ZE-9653-AP							False	False				House	House			
176075	RD-0731-CU	535000	2011-08-19					False	False	20	10		House	House			423
176077	BD-6401-HW	510000	2011-05-06					False	False	19	10		House	House			450
176078	NY-5056-GU	515000	2011-06-30					False	False	2	14		House	House			294
176079	BC-0406-HL	600000	2016-08-30					False	False	18	10	2	House	House	2	3	450
176080	RV-7069-KB	515000	2011-05-25					False	False	3	14		House	House			294
176081	VC-0252-BM	500000	2011-02-16					False	False	17	10		House	House			450
176082	QO-9547-JK	530000	2011-07-26					False	False	4	14		House	House			442
176083	GV-7887-BL	480000	2011-03-10					False	False	16	10		House	House			383
176084	YA-4640-AU							False	False				House	House			
176085	FL-3197-AM	540000	2015-05-29					False	False	15	10	1	House	House	2	3	383
176086	QN-9978-RH	530000	2011-07-22					False	False	1	15		House	House			
176087	DA-6405-IH	500000	2011-03-07					False	False	14	10		House	House			450
176088	RW-0153-PC	510000	2011-06-06					False	False	2	15		House	House			294
176089	XI-9883-EL	515000	2012-02-02					False	False	13	10		House	House			450
176090	RZ-9380-DL	515000	2011-05-24					False	False	3	15		House	House			294
176091	XH-6791-GV	500000	2011-11-01					False	False	12	10		House	House			450
176093	HY-7650-XF							False	False				House	House			
176094	CV-5281-CZ	300000	2013-10-24					False	False	17	3		Land	Land			405
176095	DI-7307-SY							False	False				House	House			
176096	ZF-5728-OC							False	False				House	House			
176097	IS-7802-KV							False	False				House	House			
176098	CZ-8715-QU	820000	2014-12-23					False	False	15	11		House	House			554
176099	AA-2135-HO	220000	2011-11-07					False	False	2	16		Land	Land			295
176100	UR-2340-EI	344800	2012-10-03	Peter Blackshaw Real Estate Gungahlin	550	2018	28	True	False	14	11	2	House	House	2	4	452
176101	AH-2827-WZ	220000	2010-11-15					False	False	3	16		Land	Land			301
176102	IX-8183-UF	727000	2017-04-29					False	False	13	11	2	House	House	2	3	454
176103	MX-8087-CK	255000	2012-06-28					False	False	4	16		Land	Land			
176104	JA-6873-QM	251500	2010-03-17	Ray White Canberra	670	2018	8	True	False	12	11	2	House	House	2	4	460
176105	FR-9152-GS	440000	2019-03-20					False	False	1	46			Other			
176107	RY-3189-OY							False	False				House	House			
176108	GE-6437-WS	253500	2010-04-14					False	False	11	11		Land	Land			468
176109	GC-0187-KJ	281500	2010-08-02					False	False	10	11		Land	Land			569
176110	NI-3499-XQ	235000	2012-02-24					False	False	26	17		Land	Land			370
176111	RZ-8505-IL							False	False			2	House	House	2	4	
176112	VT-6208-BD	220000	2012-09-14	McGrath Estate Agents	500	2017	22	True	False	27	17	1	House	House	2	3	309
176113	SU-8480-ST	255000	2012-10-04					False	False	28	17		Land	Land			471
