StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
179083	Sale	10311	Luton Properties - Dickson	2010-07-13T00:00:00	567000.0	PRIVATE TREATY	74.0
179083	Sale	2004-09-17T00:00:00	210000	PRIVATE TREATY			
179083	Sale	2003-11-14T00:00:00	190000	PRIVATE TREATY			
179084	Sale	2010-03-26T00:00:00	520000	PRIVATE TREATY	132.0		
179084	Sale	2006-04-05T00:00:00	521356	PRIVATE TREATY			
179084	Sale	2004-06-29T00:00:00	466000	PRIVATE TREATY			
179085	Sale		Gold Creek Quality Property	2008-10-20T00:00:00	520000.0	Listed - not sold	171.0
179085	Sale		R&H Gungahlin	2006-01-17T00:00:00	440000.0	PRIVATE TREATY	290.0
179085	Sale	2003-05-20T00:00:00	152500	PRIVATE TREATY			
179087	Sale		Independent Property Group	2016-10-21T00:00:00	539000.0	PRIVATE TREATY	
179087	Sale	2008-08-29T00:00:00	444000	PRIVATE TREATY			
179087	Sale	2006-06-09T00:00:00	365000	PRIVATE TREATY			
179088	Rental	17080	McGrath Estate Agents	2019-05-16T00:00:00	0.0	PER WEEK	2.0
179088	Rental	13892	Badenoch Real Estate Rentals	2010-04-28T00:00:00	440.0	PER WEEK	45.0
179088	Sale	2005-03-15T00:00:00	160000	PRIVATE TREATY			
179089	Sale	14109	LJ Hooker Gungahlin	2014-10-22T00:00:00	595000.0	PRIVATE TREATY	61.0
179089	Sale	2004-03-25T00:00:00	207000	PRIVATE TREATY			
179090	Sale		RW Belconnen	2015-04-02T00:00:00	600000.0	AUCTION	
179090	Rental	14110	LJ Hooker Kaleen	2011-06-15T00:00:00	570.0	PER WEEK	
179090	Sale	2005-05-12T00:00:00	420000	PRIVATE TREATY			
179090	Sale	2003-07-17T00:00:00	185000	PRIVATE TREATY			
179091	Rental	19982	Peter Blackshaw Real Estate Gungahlin	2016-06-19T00:00:00	540.0	PER WEEK	10.0
179091	Sale	2009-11-18T00:00:00	500000	PRIVATE TREATY			
179091	Sale	2003-05-01T00:00:00	165000	PRIVATE TREATY			
179092	Sale	2004-06-07T00:00:00	429000	PRIVATE TREATY			
179093	Sale		PBR Gungahlin	2008-03-18T00:00:00	528000.0	PRIVATE TREATY	38.0
179094	Sale	2004-08-13T00:00:00	415000	PRIVATE TREATY			
179095	Sale	2003-07-25T00:00:00	183000	PRIVATE TREATY			
179096	Sale	21656	Independent Gungahlin	2016-10-06T00:00:00	725000.0	PRIVATE TREATY	28.0
179096	Sale	2007-02-08T00:00:00	475000	PRIVATE TREATY			
179096	Sale	2004-09-08T00:00:00	435000	PRIVATE TREATY			
179097	Sale	22652	Rutherford Johnston Properties	2017-02-06T00:00:00	748000.0	PRIVATE TREATY	4.0
179097	Sale	2004-10-26T00:00:00	405400	PRIVATE TREATY			
179098	Sale	2003-10-28T00:00:00	170000	PRIVATE TREATY			
179099	Sale	2003-01-16T00:00:00	134000	PRIVATE TREATY			
179100	Sale	2010-02-18T00:00:00	537500	PRIVATE TREATY			
179101	Sale	19982	Peter Blackshaw Real Estate Gungahlin	2014-05-13T00:00:00	797000.0	PRIVATE TREATY	19.0
179101	Sale	2006-12-22T00:00:00	190000	PRIVATE TREATY			
179102	Sale		Colliers International Invest Assur	2010-02-10T00:00:00	520500.0	PRIVATE TREATY	3.0
179102	Sale	2006-04-05T00:00:00	508141	PRIVATE TREATY			
179102	Sale	2004-09-07T00:00:00	450000	PRIVATE TREATY			
179104	Rental	14109	LJ Hooker Gungahlin	2018-07-22T00:00:00	550.0	PER WEEK	121.0
179104	Sale		LJ Hooker Gungahlin	2016-08-03T00:00:00	535000.0	AUCTION	
179104	Rental	20095	For Sale By Owner	2014-08-20T00:00:00	550.0	PER WEEK	15.0
179104	Sale	17080	McGrath Estate Agents	2012-08-17T00:00:00	473000.0	PRIVATE TREATY	57.0
179104	Rental	1570	Elders Real Estate Belconnen	2009-06-06T00:00:00	460.0	PER WEEK	12.0
179104	Rental		Elders Real Estate Belconnen	2007-07-17T00:00:00	400.0	PER WEEK	
179104	Rental		Elders Real Estate Belconnen	2006-08-24T00:00:00	400.0	PER WEEK	
179104	Sale		Independent Property Group Canberra City	2006-04-22T00:00:00	374950.0	Listed - not sold	56.0
179105	Sale	11153	Luton Properties - Belconnen	2012-03-01T00:00:00	492000.0	PRIVATE TREATY	35.0
179105	Sale	2009-03-31T00:00:00	455000	PRIVATE TREATY			
