StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
179083	2020-02-05T19:29:12.873	High	685000	775000	865000	600	0.0411	Unknown	Unknown
179084	2020-02-05T19:29:12.873	High	680000	790000	900000	600	0.0411	Unknown	Unknown
179085	2020-01-09T10:24:26.003	High	675000	765000	855000	600	0.0411	Unknown	Unknown
179086	2020-01-15T12:14:29.21	Low	320000	375000	430000	440	0.061	Unknown	Unknown
179087	2020-02-05T19:29:12.873	High	505000	590000	675000			Unknown	Unknown
179088	2020-02-05T19:29:12.873	High	565000	650000	735000	600	0.0411	Unknown	Unknown
179089	2020-01-09T10:24:26.003	High	670000	780000	890000	600	0.0411	Unknown	Unknown
179090	2020-02-05T19:29:12.873	High	670000	780000	890000	600	0.0411	Unknown	Unknown
179091	2020-01-09T10:24:26.003	High	670000	780000	890000	600	0.0411	Unknown	Unknown
179092	2020-02-05T19:29:12.873	High	690000	800000	910000	570	0.0413	Unknown	Unknown
179093	2020-02-05T19:29:12.873	High	710000	815000	920000	600	0.0411	Unknown	Unknown
179094	2020-02-05T19:29:12.873	High	730000	825000	920000	570	0.0413	Unknown	Unknown
179095								Unknown	Unknown
179096	2020-02-05T19:29:12.873	High	710000	815000	920000			Unknown	Unknown
179097	2020-01-09T10:24:26.003	High	710000	805000	900000	600	0.0411	Unknown	Unknown
179098								Unknown	Unknown
179099	2020-01-09T10:24:26.003	High	720000	815000	910000	570	0.0413	Unknown	Unknown
179100	2020-02-05T19:29:12.873	High	740000	825000	910000	570	0.0413	Unknown	Unknown
179101	2019-10-18T12:32:42.017	High	860000	1000000	1140000			Unknown	Unknown
179102	2020-01-09T10:24:26.003	High	725000	850000	975000	570	0.0413	Unknown	Unknown
179104	2020-02-05T19:29:12.873	High	470000	530000	590000	530	0.0467	Unknown	Unknown
179105	2020-02-05T19:29:12.873	High	575000	660000	745000	530	0.0467	Unknown	Unknown
179106	2020-02-05T19:29:12.873	High	565000	650000	735000	530	0.0467	Unknown	Unknown
179107	2020-02-12T17:27:27.64	High	555000	650000	745000	530	0.0467	Unknown	Unknown
179108	2020-02-12T17:27:27.64	High	560000	640000	720000	530	0.0467	Unknown	Unknown
179109	2020-02-05T19:29:12.873	High	550000	640000	730000	530	0.0467	Unknown	Unknown
179110	2020-02-05T19:29:12.873	High	505000	590000	675000	600	0.0411	Unknown	Unknown
179111	2020-02-12T17:27:27.64	Medium	625000	725000	825000	570	0.0413	Unknown	Unknown
179112								Unknown	Unknown
179113	2020-02-05T19:29:12.873	High	580000	675000	770000	570	0.0413	Unknown	Unknown
179114	2020-02-05T19:29:12.873	High	580000	675000	770000	570	0.0413	Unknown	Unknown
179115	2019-10-28T00:00:00	RecentlySold	645000	645000	645000	600	0.0411	Unknown	Unknown
179116	2020-02-05T19:29:12.873	High	620000	720000	820000	570	0.0413	Unknown	Unknown
179117	2020-02-05T19:29:12.873	High	540000	630000	720000	600	0.0411	Unknown	Unknown
179119	2020-02-12T17:27:27.64	High	520000	610000	700000	570	0.0413	Unknown	Unknown
179120	2020-02-12T17:27:27.64	High	695000	815000	935000	570	0.0413	Unknown	Unknown
179121	2020-02-05T19:29:12.873	High	735000	860000	985000			Unknown	Unknown
179122								Unknown	Unknown
179123	2020-02-05T19:29:12.873	Medium	335000	390000	445000	440	0.061	Unknown	Unknown
179124	2020-01-09T10:24:26.003	Low	305000	355000	405000	440	0.061	Unknown	Unknown
179125	2020-02-12T17:27:27.64	High	560000	640000	720000	570	0.0413	Unknown	Unknown
179126	2020-02-05T19:29:12.873	High	735000	860000	985000	600	0.0411	Unknown	Unknown
179127	2020-01-09T10:24:26.003	High	740000	870000	1000000	570	0.0413	Unknown	Unknown
179128	2020-02-05T19:29:12.873	High	705000	820000	935000	600	0.0411	Unknown	Unknown
179129	2020-01-09T10:24:26.003	High	740000	870000	1000000	600	0.0411	Unknown	Unknown
179130	2020-02-05T19:29:12.873	High	750000	880000	1010000	600	0.0411	Unknown	Unknown
