StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
182249						520	0.0485	Unknown	Unknown
182250	2020-01-01T10:13:00.68	High	420000	480000	540000	520	0.0485	Unknown	Unknown
182251	2020-01-01T10:13:00.68	High	420000	480000	540000	520	0.0485	Unknown	Unknown
182254	2020-01-22T10:30:07.47	High	415000	475000	535000			Unknown	Unknown
182255	2020-01-01T10:13:00.68	High	320000	375000	430000	420	0.045	Unknown	Unknown
182256	2020-02-12T17:27:27.64	High	470000	530000	590000	520	0.0485	Unknown	Unknown
182257								Unknown	Unknown
182258	2020-02-05T19:29:12.873	High	320000	370000	420000	440	0.0538	Unknown	Unknown
182260	2020-02-05T19:29:12.873	High	320000	370000	420000	440	0.0538	Unknown	Unknown
182261	2020-02-05T19:29:12.873	High	350000	410000	470000	420	0.045	Unknown	Unknown
182262	2020-01-15T12:14:29.21	High	325000	380000	435000	440	0.0538	Unknown	Unknown
182263								Unknown	Unknown
182264	2020-02-05T19:29:12.873	High	320000	370000	420000	440	0.0538	Unknown	Unknown
182265	2020-02-12T17:27:27.64	Medium	345000	400000	455000	440	0.0538	Unknown	Unknown
182266	2020-02-05T19:29:12.873	High	350000	410000	470000	420	0.045	Unknown	Unknown
182267	2020-02-05T19:29:12.873	High	320000	370000	420000	440	0.0538	Unknown	Unknown
182268	2020-01-22T10:30:07.47	High	415000	480000	545000			Unknown	Unknown
182269	2020-01-01T10:13:00.68	Medium	355000	415000	475000	420	0.045	Unknown	Unknown
182270	2020-02-05T19:29:12.873	High	350000	410000	470000	420	0.045	Unknown	Unknown
182271	2020-02-11T00:00:00	RecentlySold	390000	390000	390000	440	0.0538	Unknown	Unknown
182272	2020-01-15T12:14:29.21	High	335000	385000	435000	440	0.0538	Unknown	Unknown
182273	2020-01-01T10:13:00.68	High	365000	425000	485000	420	0.045	Unknown	Unknown
182274	2020-01-15T12:14:29.21	High	325000	380000	435000	440	0.0538	Unknown	Unknown
182275	2020-02-05T19:29:12.873	High	320000	370000	420000	440	0.0538	Unknown	Unknown
182276	2020-01-01T10:13:00.68	High	420000	480000	540000	520	0.0485	Unknown	Unknown
182277	2020-01-01T10:13:00.68	High	320000	375000	430000	420	0.045	Unknown	Unknown
182278	2020-01-01T10:13:00.68	High	320000	375000	430000	420	0.045	Unknown	Unknown
182279	2020-01-01T10:13:00.68	High	320000	375000	430000	420	0.045	Unknown	Unknown
182280	2020-01-22T10:30:07.47	High	400000	465000	530000	420	0.045	Unknown	Unknown
182281	2020-02-12T17:27:27.64	High	470000	530000	590000	520	0.0485	Unknown	Unknown
182282	2020-01-01T10:13:00.68	High	320000	375000	430000	420	0.045	Unknown	Unknown
182283	2019-11-27T00:00:00	RecentlySold	310000	310000	310000			Unknown	Unknown
182284								Unknown	Unknown
182285								Unknown	Unknown
182286								Unknown	Unknown
182287								Unknown	Unknown
182288								Unknown	Unknown
182289	2020-02-12T17:27:27.64	High	415000	480000	545000			Unknown	Unknown
182290	2020-02-12T17:27:27.64	High	470000	530000	590000	520	0.0485	Unknown	Unknown
182291	2020-01-01T10:13:00.68	High	420000	480000	540000	520	0.0485	Unknown	Unknown
182292	2020-02-12T17:27:27.64	High	350000	410000	470000	418		Unknown	Unknown
182293	2020-01-22T10:30:07.47	High	385000	450000	515000	420	0.045	Unknown	Unknown
182294	2020-01-01T10:13:00.68	High	420000	480000	540000	520	0.0485	Unknown	Unknown
182295	2019-09-12T00:00:00	RecentlySold	440000	440000	440000	420	0.045	Unknown	Unknown
182296	2020-01-01T10:13:00.68	High	420000	480000	540000	520	0.0485	Unknown	Unknown
182297	2020-01-01T10:13:00.68	High	320000	370000	420000	420	0.045	Unknown	Unknown
182298	2020-02-05T19:29:12.873	High	370000	415000	460000			Unknown	Unknown
182299	2020-02-12T17:27:27.64	High	500000	585000	670000	520	0.0485	Unknown	Unknown
182300	2020-02-05T19:29:12.873	High	360000	415000	470000	420	0.045	Unknown	Unknown
182301	2020-02-05T19:29:12.873	High	370000	415000	460000			Unknown	Unknown
182302	2020-02-12T17:27:27.64	High	660000	755000	850000	635	0.0436	Unknown	Unknown
182303	2020-02-05T19:29:12.873	High	365000	410000	455000			Unknown	Unknown
182304	2020-02-05T19:29:12.873	High	360000	415000	470000	420	0.045	Unknown	Unknown
182305								Unknown	Unknown
182306	2020-02-05T19:29:12.873	High	370000	415000	460000			Unknown	Unknown
182307	2019-09-09T00:00:00	RecentlySold	415000	415000	415000			Unknown	Unknown
182308	2020-02-12T17:27:27.64	High	550000	650000	750000	530	0.0459	Unknown	Unknown
182309	2020-01-22T10:30:07.47	High	350000	410000	470000	420	0.045	Unknown	Unknown
182310	2020-01-22T10:30:07.47	High	370000	415000	460000			Unknown	Unknown
182312								Unknown	Unknown
182313	2020-01-01T10:13:00.68	High	320000	370000	420000	420	0.045	Unknown	Unknown
