StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
187773	Sale	25460	Asset Real Estate	2018-07-06T00:00:00	820000.0	PRIVATE TREATY	56.0
187773	Sale	1999-11-16T00:00:00	42000	PRIVATE TREATY			
187773	Sale	1996-09-10T00:00:00	45000	PRIVATE TREATY			
187774	Sale	20150	Morrissey Property Pty Ltd	2018-09-17T00:00:00	910000.0	PRIVATE TREATY	127.0
187774	Sale	1997-04-10T00:00:00	42500	PRIVATE TREATY			
187774	Sale	1996-09-10T00:00:00	44000	PRIVATE TREATY			
187776	Sale	2009-08-15T00:00:00	530000	PRIVATE TREATY			
187776	Sale	2007-05-31T00:00:00	157000	PRIVATE TREATY			
187776	Sale	2005-02-23T00:00:00	375500	PRIVATE TREATY	228.0		
187776	Sale	2003-05-13T00:00:00	330000	PRIVATE TREATY	185.0		
187776	Sale	1998-02-06T00:00:00	48000	PRIVATE TREATY			
187777	Sale		LJ Hooker Gungahlin	2014-02-26T00:00:00	621500.0	PRIVATE TREATY	
187777	Sale	2002-10-09T00:00:00	397500	PRIVATE TREATY			
187777	Sale	1999-07-13T00:00:00	275000	PRIVATE TREATY			
187777	Sale	1998-09-01T00:00:00	44000	PRIVATE TREATY			
187778	Sale		Peter Blackshaw Gungahlin Projects	2016-11-03T00:00:00	700000.0	PRIVATE TREATY	
187778	Sale	2003-09-15T00:00:00	460000	PRIVATE TREATY			
187778	Sale	1999-03-08T00:00:00	232000	PRIVATE TREATY			
187778	Sale	1998-05-04T00:00:00	56000	PRIVATE TREATY			
187779	Sale		LJ Hooker Gungahlin	2003-08-22T00:00:00	339000.0	PRIVATE TREATY	13.0
187779	Sale	2001-03-22T00:00:00	176000	PRIVATE TREATY			
187779	Sale	1997-05-06T00:00:00	39500	PRIVATE TREATY			
187780	Sale	20150	Morrissey Property Pty Ltd	2019-01-10T00:00:00	778000.0	PRIVATE TREATY	60.0
187780	Sale		LJH Belconnen	2010-08-02T00:00:00	550000.0	PRIVATE TREATY	73.0
187780	Sale	2000-02-24T00:00:00	260000	PRIVATE TREATY			
187780	Sale	1998-09-01T00:00:00	38000	PRIVATE TREATY			
187782	Rental	14110	LJ Hooker Kaleen	2011-10-26T00:00:00	580.0	PER WEEK	13.0
187782	Rental		LJ Hooker Kaleen	2010-12-21T00:00:00	530.0	PER WEEK	
187782	Rental	14110	LJ Hooker Kaleen	2009-05-07T00:00:00	500.0	PER WEEK	28.0
187782	Sale		LJ Hooker Kaleen	2000-08-11T00:00:00	265000.0	PRIVATE TREATY	27.0
187782	Sale	1998-09-01T00:00:00	38000	PRIVATE TREATY			
187783	Rental	29179	KC Property Management	2017-05-07T00:00:00	430.0	PER WEEK	10.0
187783	Sale	27374	Harcourts Brindabella	2017-03-10T00:00:00	431000.0	PRIVATE TREATY	20.0
187783	Sale	2008-03-14T00:00:00	331000	PRIVATE TREATY			
