StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
187773								Unknown	Unknown
187774	2020-02-05T19:29:12.873	High	780000	910000	1040000	610	0.0464	Unknown	Unknown
187775	2020-02-05T19:29:12.873	Medium	615000	710000	805000	480	0.048	Unknown	Unknown
187776	2020-02-05T19:29:12.873	High	645000	750000	855000	610	0.0464	Unknown	Unknown
187777	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
187778	2020-02-05T19:29:12.873	High	655000	770000	885000			Unknown	Unknown
187779	2020-02-05T19:29:12.873	High	500000	585000	670000	470	0.0479	Unknown	Unknown
187780	2020-02-05T19:29:12.873	High	660000	770000	880000	610	0.0464	Unknown	Unknown
187781	2020-02-05T19:29:12.873	Medium	585000	685000	785000	480	0.048	Unknown	Unknown
187782	2020-02-05T19:29:12.873	High	665000	775000	885000	610	0.0464	Unknown	Unknown
187783	2020-01-01T10:13:00.68	High	375000	440000	505000	470	0.0479	Unknown	Unknown
187784	2020-02-05T19:29:12.873	High	410000	475000	540000	470	0.0479	Unknown	Unknown
187785	2020-02-05T19:29:12.873	High	380000	445000	510000	470	0.0479	Unknown	Unknown
187786	2020-01-01T10:13:00.68	High	390000	455000	520000	480	0.048	Unknown	Unknown
187787	2020-02-05T19:29:12.873	High	395000	460000	525000	480	0.048	Unknown	Unknown
187788	2020-02-05T19:29:12.873	High	415000	480000	545000	480	0.048	Unknown	Unknown
187789	2020-02-05T19:29:12.873	High	520000	595000	670000	610	0.0464	Unknown	Unknown
187790	2020-02-05T19:29:12.873	High	500000	575000	650000	470	0.0479	Unknown	Unknown
187791	2020-02-05T19:29:12.873	Medium	525000	620000	715000	480	0.048	Unknown	Unknown
187792	2020-02-05T19:29:12.873	High	460000	540000	620000	480	0.048	Unknown	Unknown
187793								Unknown	Unknown
187794	2020-02-05T19:29:12.873	High	415000	485000	555000	470	0.0479	Unknown	Unknown
187795	2020-02-05T19:29:12.873	High	410000	465000	520000	480	0.048	Unknown	Unknown
187796	2020-02-05T19:29:12.873	High	595000	695000	795000	610	0.0464	Unknown	Unknown
187797						435	0.0561	Unknown	Unknown
187798	2020-02-05T19:29:12.873	High	485000	555000	625000	470	0.0479	Unknown	Unknown
187799								Unknown	Unknown
187800	2020-02-05T19:29:12.873	High	500000	585000	670000	610	0.0464	Unknown	Unknown
187801	2020-02-12T17:27:27.64	High	510000	600000	690000	480	0.048	Unknown	Unknown
187802	2020-02-05T19:29:12.873	High	475000	555000	635000	480	0.048	Unknown	Unknown
187803	2020-02-05T19:29:12.873	High	630000	730000	830000	610	0.0464	Unknown	Unknown
