StreetAddressID	POI	Distance
197936	City GPO	2.3
197936	Major Shopping Centre - The Marketplace	3.8
197936	Hospital - Calvary Private Hospital	8.5
197936	Primary School - Holy Spirit Primary School	1.0
197936	High School - Gold Creek High School	0.7
197936	College - Gungahlin College	3.7
197936	University - University Of Canberra, Bruce	7.2
197937	City GPO	2.3
197937	Major Shopping Centre - The Marketplace	3.8
197937	Hospital - Calvary Private Hospital	8.5
197937	Primary School - Holy Spirit Primary School	1.0
197937	High School - Gold Creek High School	0.7
197937	College - Gungahlin College	3.7
197937	University - University Of Canberra, Bruce	7.2
197938	City GPO	2.3
197938	Major Shopping Centre - The Marketplace	3.8
197938	Hospital - Calvary Private Hospital	8.5
197938	Primary School - Holy Spirit Primary School	1.0
197938	High School - Gold Creek High School	0.7
197938	College - Gungahlin College	3.7
197938	University - University Of Canberra, Bruce	7.2
197939	City GPO	2.3
197939	Major Shopping Centre - The Marketplace	3.8
197939	Hospital - Calvary Private Hospital	8.5
197939	Primary School - Holy Spirit Primary School	1.0
197939	High School - Gold Creek High School	0.7
197939	College - Gungahlin College	3.7
197939	University - University Of Canberra, Bruce	7.2
197940	City GPO	2.3
197940	Major Shopping Centre - The Marketplace	3.8
197940	Hospital - Calvary Private Hospital	8.5
197940	Primary School - Holy Spirit Primary School	1.0
197940	High School - Gold Creek High School	0.7
197940	College - Gungahlin College	3.7
197940	University - University Of Canberra, Bruce	7.2
197941	City GPO	2.3
197941	Major Shopping Centre - The Marketplace	3.8
197941	Hospital - Calvary Private Hospital	8.5
197941	Primary School - Holy Spirit Primary School	1.0
197941	High School - Gold Creek High School	0.7
197941	College - Gungahlin College	3.7
197941	University - University Of Canberra, Bruce	7.2
197942	City GPO	2.3
197942	Major Shopping Centre - The Marketplace	3.8
197942	Hospital - Calvary Private Hospital	8.5
197942	Primary School - Holy Spirit Primary School	1.0
197942	High School - Gold Creek High School	0.7
197942	College - Gungahlin College	3.7
197942	University - University Of Canberra, Bruce	7.2
197943	City GPO	2.3
197943	Major Shopping Centre - The Marketplace	3.8
197943	Hospital - Calvary Private Hospital	8.5
197943	Primary School - Holy Spirit Primary School	1.0
197943	High School - Gold Creek High School	0.7
197943	College - Gungahlin College	3.7
197943	University - University Of Canberra, Bruce	7.2
197944	City GPO	2.3
197944	Major Shopping Centre - The Marketplace	3.8
197944	Hospital - Calvary Private Hospital	8.5
197944	Primary School - Holy Spirit Primary School	1.0
197944	High School - Gold Creek High School	0.7
197944	College - Gungahlin College	3.7
197944	University - University Of Canberra, Bruce	7.2
197945	City GPO	2.3
197945	Major Shopping Centre - The Marketplace	3.8
197945	Hospital - Calvary Private Hospital	8.5
197945	Primary School - Holy Spirit Primary School	1.0
197945	High School - Gold Creek High School	0.7
197945	College - Gungahlin College	3.7
197945	University - University Of Canberra, Bruce	7.2
197946	City GPO	2.3
197946	Major Shopping Centre - The Marketplace	3.8
197946	Hospital - Calvary Private Hospital	8.5
197946	Primary School - Holy Spirit Primary School	1.0
197946	High School - Gold Creek High School	0.7
197946	College - Gungahlin College	3.7
197946	University - University Of Canberra, Bruce	7.2
197947	City GPO	2.3
197947	Major Shopping Centre - The Marketplace	3.8
197947	Hospital - Calvary Private Hospital	8.5
197947	Primary School - Holy Spirit Primary School	1.0
197947	High School - Gold Creek High School	0.7
197947	College - Gungahlin College	3.7
197947	University - University Of Canberra, Bruce	7.2
197948	City GPO	2.3
197948	Major Shopping Centre - The Marketplace	3.8
197948	Hospital - Calvary Private Hospital	8.5
197948	Primary School - Holy Spirit Primary School	1.0
197948	High School - Gold Creek High School	0.7
197948	College - Gungahlin College	3.7
197948	University - University Of Canberra, Bruce	7.2
197949	City GPO	2.3
197949	Major Shopping Centre - The Marketplace	3.8
197949	Hospital - Calvary Private Hospital	8.5
197949	Primary School - Holy Spirit Primary School	1.0
197949	High School - Gold Creek High School	0.7
197949	College - Gungahlin College	3.7
197949	University - University Of Canberra, Bruce	7.2
197950	City GPO	2.3
197950	Major Shopping Centre - The Marketplace	3.8
197950	Hospital - Calvary Private Hospital	8.5
197950	Primary School - Holy Spirit Primary School	1.0
197950	High School - Gold Creek High School	0.7
197950	College - Gungahlin College	3.7
197950	University - University Of Canberra, Bruce	7.2
197951	City GPO	2.3
197951	Major Shopping Centre - The Marketplace	3.8
197951	Hospital - Calvary Private Hospital	8.5
197951	Primary School - Holy Spirit Primary School	1.0
197951	High School - Gold Creek High School	0.7
197951	College - Gungahlin College	3.7
197951	University - University Of Canberra, Bruce	7.2
197952	City GPO	2.3
197952	Major Shopping Centre - The Marketplace	3.8
197952	Hospital - Calvary Private Hospital	8.5
197952	Primary School - Holy Spirit Primary School	1.0
197952	High School - Gold Creek High School	0.7
197952	College - Gungahlin College	3.7
197952	University - University Of Canberra, Bruce	7.2
197953	City GPO	2.3
197953	Major Shopping Centre - The Marketplace	3.8
197953	Hospital - Calvary Private Hospital	8.5
197953	Primary School - Holy Spirit Primary School	1.0
197953	High School - Gold Creek High School	0.7
197953	College - Gungahlin College	3.7
197953	University - University Of Canberra, Bruce	7.2
197954	City GPO	2.3
197954	Major Shopping Centre - The Marketplace	3.8
197954	Hospital - Calvary Private Hospital	8.5
197954	Primary School - Holy Spirit Primary School	1.0
197954	High School - Gold Creek High School	0.7
197954	College - Gungahlin College	3.7
197954	University - University Of Canberra, Bruce	7.2
197955	City GPO	2.3
197955	Major Shopping Centre - The Marketplace	3.8
197955	Hospital - Calvary Private Hospital	8.5
197955	Primary School - Holy Spirit Primary School	1.0
197955	High School - Gold Creek High School	0.7
197955	College - Gungahlin College	3.7
197955	University - University Of Canberra, Bruce	7.2
197956	City GPO	2.3
197956	Major Shopping Centre - The Marketplace	3.8
197956	Hospital - Calvary Private Hospital	8.5
197956	Primary School - Holy Spirit Primary School	1.0
197956	High School - Gold Creek High School	0.7
197956	College - Gungahlin College	3.7
197956	University - University Of Canberra, Bruce	7.2
197957	City GPO	2.3
197957	Major Shopping Centre - The Marketplace	3.8
197957	Hospital - Calvary Private Hospital	8.5
197957	Primary School - Holy Spirit Primary School	1.0
197957	High School - Gold Creek High School	0.7
197957	College - Gungahlin College	3.7
197957	University - University Of Canberra, Bruce	7.2
197958	City GPO	2.3
197958	Major Shopping Centre - The Marketplace	3.8
197958	Hospital - Calvary Private Hospital	8.5
197958	Primary School - Holy Spirit Primary School	1.0
197958	High School - Gold Creek High School	0.7
197958	College - Gungahlin College	3.7
197958	University - University Of Canberra, Bruce	7.2
197959	City GPO	2.3
197959	Major Shopping Centre - The Marketplace	3.8
197959	Hospital - Calvary Private Hospital	8.5
197959	Primary School - Holy Spirit Primary School	1.0
197959	High School - Gold Creek High School	0.7
197959	College - Gungahlin College	3.7
197959	University - University Of Canberra, Bruce	7.2
197960	City GPO	2.3
197960	Major Shopping Centre - The Marketplace	3.8
197960	Hospital - Calvary Private Hospital	8.5
197960	Primary School - Holy Spirit Primary School	1.0
197960	High School - Gold Creek High School	0.7
197960	College - Gungahlin College	3.7
197960	University - University Of Canberra, Bruce	7.2
197961	City GPO	2.3
197961	Major Shopping Centre - The Marketplace	3.8
197961	Hospital - Calvary Private Hospital	8.5
197961	Primary School - Holy Spirit Primary School	1.0
197961	High School - Gold Creek High School	0.7
197961	College - Gungahlin College	3.7
197961	University - University Of Canberra, Bruce	7.2
197962	City GPO	2.3
197962	Major Shopping Centre - The Marketplace	3.8
197962	Hospital - Calvary Private Hospital	8.5
197962	Primary School - Holy Spirit Primary School	1.0
197962	High School - Gold Creek High School	0.7
197962	College - Gungahlin College	3.7
197962	University - University Of Canberra, Bruce	7.2
197963	City GPO	2.3
197963	Major Shopping Centre - The Marketplace	3.8
197963	Hospital - Calvary Private Hospital	8.5
197963	Primary School - Holy Spirit Primary School	1.0
197963	High School - Gold Creek High School	0.7
197963	College - Gungahlin College	3.7
197963	University - University Of Canberra, Bruce	7.2
197964	City GPO	2.3
197964	Major Shopping Centre - The Marketplace	3.8
197964	Hospital - Calvary Private Hospital	8.5
197964	Primary School - Holy Spirit Primary School	1.0
197964	High School - Gold Creek High School	0.7
197964	College - Gungahlin College	3.7
197964	University - University Of Canberra, Bruce	7.2
197965	City GPO	2.3
197965	Major Shopping Centre - The Marketplace	3.8
197965	Hospital - Calvary Private Hospital	8.5
197965	Primary School - Holy Spirit Primary School	1.0
197965	High School - Gold Creek High School	0.7
197965	College - Gungahlin College	3.7
197965	University - University Of Canberra, Bruce	7.2
197966	City GPO	2.3
197966	Major Shopping Centre - The Marketplace	3.8
197966	Hospital - Calvary Private Hospital	8.5
197966	Primary School - Holy Spirit Primary School	1.0
197966	High School - Gold Creek High School	0.7
197966	College - Gungahlin College	3.7
197966	University - University Of Canberra, Bruce	7.2
197967	City GPO	2.3
197967	Major Shopping Centre - The Marketplace	3.8
197967	Hospital - Calvary Private Hospital	8.5
197967	Primary School - Holy Spirit Primary School	1.0
197967	High School - Gold Creek High School	0.7
197967	College - Gungahlin College	3.7
197967	University - University Of Canberra, Bruce	7.2
197968	City GPO	2.3
197968	Major Shopping Centre - The Marketplace	3.8
197968	Hospital - Calvary Private Hospital	8.5
197968	Primary School - Holy Spirit Primary School	1.0
197968	High School - Gold Creek High School	0.7
197968	College - Gungahlin College	3.7
197968	University - University Of Canberra, Bruce	7.2
197969	City GPO	2.3
197969	Major Shopping Centre - The Marketplace	3.8
197969	Hospital - Calvary Private Hospital	8.5
197969	Primary School - Holy Spirit Primary School	1.0
197969	High School - Gold Creek High School	0.7
197969	College - Gungahlin College	3.7
197969	University - University Of Canberra, Bruce	7.2
197970	City GPO	2.3
197970	Major Shopping Centre - The Marketplace	3.8
197970	Hospital - Calvary Private Hospital	8.5
197970	Primary School - Holy Spirit Primary School	1.0
197970	High School - Gold Creek High School	0.7
197970	College - Gungahlin College	3.7
197970	University - University Of Canberra, Bruce	7.2
197971	City GPO	2.3
197971	Major Shopping Centre - The Marketplace	3.8
197971	Hospital - Calvary Private Hospital	8.5
197971	Primary School - Holy Spirit Primary School	1.0
197971	High School - Gold Creek High School	0.7
197971	College - Gungahlin College	3.7
197971	University - University Of Canberra, Bruce	7.2
197972	City GPO	2.3
197972	Major Shopping Centre - The Marketplace	3.8
197972	Hospital - Calvary Private Hospital	8.5
197972	Primary School - Holy Spirit Primary School	1.0
197972	High School - Gold Creek High School	0.7
197972	College - Gungahlin College	3.7
197972	University - University Of Canberra, Bruce	7.2
197973	City GPO	2.3
197973	Major Shopping Centre - The Marketplace	3.8
197973	Hospital - Calvary Private Hospital	8.5
197973	Primary School - Holy Spirit Primary School	1.0
197973	High School - Gold Creek High School	0.7
197973	College - Gungahlin College	3.7
197973	University - University Of Canberra, Bruce	7.2
197974	City GPO	2.3
197974	Major Shopping Centre - The Marketplace	3.8
197974	Hospital - Calvary Private Hospital	8.5
197974	Primary School - Holy Spirit Primary School	1.0
197974	High School - Gold Creek High School	0.7
197974	College - Gungahlin College	3.7
197974	University - University Of Canberra, Bruce	7.2
197975	City GPO	2.3
197975	Major Shopping Centre - The Marketplace	3.8
197975	Hospital - Calvary Private Hospital	8.5
197975	Primary School - Holy Spirit Primary School	1.0
197975	High School - Gold Creek High School	0.7
197975	College - Gungahlin College	3.7
197975	University - University Of Canberra, Bruce	7.2
197976	City GPO	2.3
197976	Major Shopping Centre - The Marketplace	3.8
197976	Hospital - Calvary Private Hospital	8.5
197976	Primary School - Holy Spirit Primary School	1.0
197976	High School - Gold Creek High School	0.7
197976	College - Gungahlin College	3.7
197976	University - University Of Canberra, Bruce	7.2
197977	City GPO	2.3
197977	Major Shopping Centre - The Marketplace	3.8
197977	Hospital - Calvary Private Hospital	8.5
197977	Primary School - Holy Spirit Primary School	1.0
197977	High School - Gold Creek High School	0.7
197977	College - Gungahlin College	3.7
197977	University - University Of Canberra, Bruce	7.2
197978	City GPO	2.3
197978	Major Shopping Centre - The Marketplace	3.8
197978	Hospital - Calvary Private Hospital	8.5
197978	Primary School - Holy Spirit Primary School	1.0
197978	High School - Gold Creek High School	0.7
197978	College - Gungahlin College	3.7
197978	University - University Of Canberra, Bruce	7.2
197979	City GPO	2.3
197979	Major Shopping Centre - The Marketplace	3.8
197979	Hospital - Calvary Private Hospital	8.5
197979	Primary School - Holy Spirit Primary School	1.0
197979	High School - Gold Creek High School	0.7
197979	College - Gungahlin College	3.7
197979	University - University Of Canberra, Bruce	7.2
197980	City GPO	2.3
197980	Major Shopping Centre - The Marketplace	3.8
197980	Hospital - Calvary Private Hospital	8.5
197980	Primary School - Holy Spirit Primary School	1.0
197980	High School - Gold Creek High School	0.7
197980	College - Gungahlin College	3.7
197980	University - University Of Canberra, Bruce	7.2
197981	City GPO	2.3
197981	Major Shopping Centre - The Marketplace	3.8
197981	Hospital - Calvary Private Hospital	8.5
197981	Primary School - Holy Spirit Primary School	1.0
197981	High School - Gold Creek High School	0.7
197981	College - Gungahlin College	3.7
197981	University - University Of Canberra, Bruce	7.2
197982	City GPO	2.3
197982	Major Shopping Centre - The Marketplace	3.8
197982	Hospital - Calvary Private Hospital	8.5
197982	Primary School - Holy Spirit Primary School	1.0
197982	High School - Gold Creek High School	0.7
197982	College - Gungahlin College	3.7
197982	University - University Of Canberra, Bruce	7.2
197983	City GPO	2.3
197983	Major Shopping Centre - The Marketplace	3.8
197983	Hospital - Calvary Private Hospital	8.5
197983	Primary School - Holy Spirit Primary School	1.0
